**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

side,anchor,sigma_rank_q,sub_motif_shape,measure_shape,n_total,n_is,n_oos,P_is,ci_is_lo,ci_is_hi,mean_is,sign_match,P_oos,ci_oos_lo,ci_oos_hi,mean_oos
above,low,4,GENTLE_LINEAR_UP,STEEP_LINEAR_UP,10,10,0,0.5,0.2338,0.7662,0.93,-1,,,,
above,low,4,STEEP_CONCAVE_UP,NOISE,16,14,2,0.5,0.2659,0.7341,3.36,-1,,,,
above,low,4,STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,20,15,5,0.2353,0.0727,0.4565,-41.85,0,0.7143,0.3588,0.9567,25.25
above,low,4,STEEP_CONCAVE_UP,STEEP_CONVEX_DOWN,10,7,3,0.4444,0.157,0.7551,2.29,-1,,,,
above,low,4,STEEP_CONCAVE_UP,STEEP_LINEAR_UP,23,16,7,0.7222,0.501,0.8969,29.45,1,0.5556,0.2449,0.843,44.18
above,low,4,STEEP_LINEAR_UP,FLATLINE,12,9,3,0.6364,0.3475,0.8784,34.08,-1,,,,
above,low,4,STEEP_LINEAR_UP,NOISE,13,12,1,0.5714,0.3158,0.8078,47.56,-1,,,,
above,low,4,STEEP_LINEAR_UP,STEEP_CONCAVE_UP,39,27,12,0.4828,0.3065,0.6613,1.44,0,0.7857,0.5455,0.9496,30.42
above,low,4,STEEP_LINEAR_UP,STEEP_LINEAR_DOWN,10,8,2,0.5,0.212,0.788,-26.66,-1,,,,
above,low,4,STEEP_LINEAR_UP,STEEP_LINEAR_UP,56,44,12,0.4348,0.2964,0.5785,-10.38,0,0.7143,0.4619,0.9091,18.1
below,high,0,FLATLINE,STEEP_CONVEX_DOWN,14,13,1,0.5333,0.2886,0.7696,-9.31,-1,,,,
below,high,0,FLATLINE,STEEP_LINEAR_DOWN,14,10,4,0.3333,0.1093,0.6097,-45.02,-1,,,,
below,high,0,GENTLE_CONCAVE_UP,NOISE,10,10,0,0.5,0.2338,0.7662,-2.9,-1,,,,
below,high,0,GENTLE_LINEAR_DOWN,NOISE,13,12,1,0.3571,0.1386,0.6143,-10.71,-1,,,,
below,high,0,GENTLE_LINEAR_DOWN,STEEP_LINEAR_DOWN,15,13,2,0.5333,0.2886,0.7696,0.63,-1,,,,
below,high,0,NOISE,NOISE,11,3,8,,,,,-1,0.1,0.0028,0.3363,-61.69
below,high,0,STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,10,10,0,0.5,0.2338,0.7662,-12.47,-1,,,,
below,high,0,STEEP_CONCAVE_UP,STEEP_LINEAR_DOWN,16,11,5,0.5385,0.2767,0.7891,27.34,0,0.2857,0.0433,0.6412,-70.05
below,high,0,STEEP_CONVEX_DOWN,FLATLINE,14,5,9,0.7143,0.3588,0.9567,70.6,0,0.1818,0.0252,0.445,-18.78
below,high,0,STEEP_CONVEX_DOWN,STEEP_CONCAVE_UP,16,11,5,0.5385,0.2767,0.7891,-1.75,0,0.2857,0.0433,0.6412,-27.95
below,high,0,STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,50,45,5,0.617,0.4755,0.7491,27.49,1,0.5714,0.2228,0.8819,1.85
below,high,0,STEEP_CONVEX_DOWN,STEEP_LINEAR_DOWN,18,18,0,0.4,0.2025,0.6164,-30.06,-1,,,,
below,high,0,STEEP_LINEAR_DOWN,NOISE,19,14,5,0.3125,0.1182,0.551,-56.12,0,0.5714,0.2228,0.8819,49.55
below,high,0,STEEP_LINEAR_DOWN,STEEP_CONCAVE_DOWN,16,14,2,0.25,0.0779,0.4809,10.73,-1,,,,
below,high,0,STEEP_LINEAR_DOWN,STEEP_CONVEX_DOWN,44,39,5,0.3171,0.1857,0.4653,-35.47,0,0.7143,0.3588,0.9567,64.85
below,high,0,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,81,67,14,0.3043,0.2024,0.4171,-22.91,1,0.4375,0.2127,0.6771,-15.09
below,high,0,STEEP_LINEAR_UP,STEEP_LINEAR_UP,15,14,1,0.5625,0.3229,0.7873,20.98,-1,,,,
below,high,1,FLATLINE,STEEP_LINEAR_DOWN,10,9,1,0.6364,0.3475,0.8784,23.94,-1,,,,
below,high,1,GENTLE_CONVEX_DOWN,NOISE,13,10,3,0.6667,0.3903,0.8907,3.35,-1,,,,
below,high,1,GENTLE_LINEAR_DOWN,STEEP_CONVEX_DOWN,10,4,6,,,,,-1,0.375,0.099,0.7096,-18.58
below,high,1,GENTLE_LINEAR_DOWN,STEEP_LINEAR_DOWN,11,10,1,0.4167,0.1675,0.6921,3.33,-1,,,,
below,high,1,STEEP_CONCAVE_DOWN,STEEP_LINEAR_DOWN,12,10,2,0.5,0.2338,0.7662,-71.42,-1,,,,
below,high,1,STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,15,13,2,0.6,0.3514,0.8234,-13.13,-1,,,,
below,high,1,STEEP_CONCAVE_UP,STEEP_LINEAR_DOWN,18,18,0,0.6,0.3836,0.7975,-24.14,-1,,,,
below,high,1,STEEP_CONVEX_DOWN,FLATLINE,11,9,2,0.5455,0.2624,0.8129,1.83,-1,,,,
below,high,1,STEEP_CONVEX_DOWN,NOISE,15,12,3,0.6429,0.3857,0.8614,19.04,-1,,,,
below,high,1,STEEP_CONVEX_DOWN,STEEP_CONCAVE_UP,12,12,0,0.2857,0.0909,0.5381,-54.83,-1,,,,
