side,anchor,sigma_rank_q,measure_shape,n_total,n_is,n_oos,P_is,ci_is_lo,ci_is_hi,mean_is,sign_match,P_oos,ci_oos_lo,ci_oos_hi,mean_oos
below,low,3,NOISE,30,22,8,0.5417,0.3449,0.7318,13.08,0,0.4,0.137,0.7007,-8.25
below,low,3,STEEP_CONCAVE_DOWN,11,8,3,0.4,0.137,0.7007,-5.88,-1,,,,
below,low,3,STEEP_CONCAVE_UP,11,9,2,0.7273,0.4439,0.9333,17.83,-1,,,,
below,low,3,STEEP_CONVEX_DOWN,45,39,6,0.5854,0.4333,0.7296,13.93,0,0.375,0.099,0.7096,-65.67
below,low,3,STEEP_LINEAR_DOWN,83,62,21,0.375,0.2615,0.496,-28.21,1,0.3043,0.1386,0.5022,-49.89
below,low,3,STEEP_LINEAR_UP,16,15,1,0.5294,0.2988,0.7535,-2.77,-1,,,,
below,low,4,FLATLINE,14,13,1,0.7333,0.492,0.9161,32.25,-1,,,,
below,low,4,NOISE,18,12,6,0.5714,0.3158,0.8078,-4.48,1,0.75,0.4213,0.9633,71.38
below,low,4,STEEP_CONCAVE_UP,13,12,1,0.5,0.2513,0.7487,0.52,-1,,,,
below,low,4,STEEP_CONVEX_DOWN,50,41,9,0.5349,0.3867,0.68,-10.67,0,0.4545,0.1871,0.7376,-11.44
below,low,4,STEEP_LINEAR_DOWN,97,74,23,0.3947,0.2885,0.5062,-29.82,1,0.28,0.1262,0.4671,-66.96
