**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

motif_shape,sub_motif_shape,measure_shape,n_total,n_is,n_oos,P_is,ci_is_lo,ci_is_hi,mean_is,sign_match,P_oos,ci_oos_lo,ci_oos_hi,mean_oos
NOISE,GENTLE_LINEAR_DOWN,STEEP_LINEAR_DOWN,12,12,0,0.5714,0.3158,0.8078,-0.77,-1,,,,
NOISE,NOISE,NOISE,20,17,3,0.7895,0.5858,0.9359,3.91,-1,,,,
NOISE,NOISE,STEEP_CONCAVE_UP,12,10,2,0.5833,0.3079,0.8325,0.93,-1,,,,
NOISE,NOISE,STEEP_LINEAR_UP,10,8,2,0.5,0.212,0.788,-133.06,-1,,,,
NOISE,STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,25,18,7,0.3,0.1258,0.512,-93.54,0,0.5556,0.2449,0.843,2.68
NOISE,STEEP_CONCAVE_UP,STEEP_LINEAR_DOWN,15,13,2,0.6,0.3514,0.8234,12.92,-1,,,,
NOISE,STEEP_CONVEX_DOWN,NOISE,13,12,1,0.5,0.2513,0.7487,27.4,-1,,,,
NOISE,STEEP_CONVEX_DOWN,STEEP_CONCAVE_UP,10,8,2,0.4,0.137,0.7007,-14.47,-1,,,,
NOISE,STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,23,20,3,0.6364,0.4303,0.8189,34.61,-1,,,,
NOISE,STEEP_CONVEX_DOWN,STEEP_LINEAR_DOWN,10,10,0,0.4167,0.1675,0.6921,1.07,-1,,,,
NOISE,STEEP_CONVEX_UP,STEEP_LINEAR_UP,12,12,0,0.5714,0.3158,0.8078,46.04,-1,,,,
NOISE,STEEP_LINEAR_DOWN,NOISE,12,10,2,0.4167,0.1675,0.6921,-17.88,-1,,,,
NOISE,STEEP_LINEAR_DOWN,STEEP_CONCAVE_UP,17,13,4,0.2,0.0466,0.4281,-31.85,-1,,,,
NOISE,STEEP_LINEAR_DOWN,STEEP_CONVEX_DOWN,27,21,6,0.5217,0.3221,0.7178,-5.19,1,0.875,0.5904,0.9964,122.83
NOISE,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,37,35,2,0.2973,0.1635,0.4519,-39.7,-1,,,,
NOISE,STEEP_LINEAR_UP,STEEP_CONCAVE_UP,17,12,5,0.1429,0.0192,0.3603,-23.6,0,0.5714,0.2228,0.8819,-32.75
NOISE,STEEP_LINEAR_UP,STEEP_LINEAR_UP,51,40,11,0.4286,0.2847,0.5789,-15.65,0,0.6154,0.3489,0.8483,6.45
STEEP_CONCAVE_DOWN,STEEP_CONCAVE_DOWN,STEEP_LINEAR_DOWN,29,18,11,0.3,0.1258,0.512,-30.01,1,0.1538,0.0209,0.3848,-161.43
STEEP_CONCAVE_DOWN,STEEP_LINEAR_DOWN,STEEP_CONVEX_DOWN,10,9,1,0.3636,0.1216,0.6525,-13.22,-1,,,,
STEEP_CONCAVE_DOWN,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,14,10,4,0.3333,0.1093,0.6097,-52.98,-1,,,,
STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,FLATLINE,18,17,1,0.6316,0.4099,0.827,31.44,-1,,,,
STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,NOISE,23,20,3,0.5,0.2978,0.7022,14.45,-1,,,,
STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,50,41,9,0.2558,0.1386,0.3945,-32.73,0,0.6364,0.3475,0.8784,5.11
STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,STEEP_CONVEX_DOWN,24,18,6,0.4,0.2025,0.6164,11.12,0,0.5,0.1841,0.8159,-7.62
STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,STEEP_LINEAR_DOWN,10,10,0,0.5833,0.3079,0.8325,-15.9,-1,,,,
STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,STEEP_LINEAR_UP,50,46,4,0.5833,0.4427,0.7174,1.68,-1,,,,
STEEP_CONCAVE_UP,STEEP_CONVEX_DOWN,STEEP_CONCAVE_UP,10,8,2,0.4,0.137,0.7007,-24.56,-1,,,,
STEEP_CONCAVE_UP,STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,19,18,1,0.65,0.4345,0.8371,26.88,-1,,,,
STEEP_CONCAVE_UP,STEEP_CONVEX_DOWN,STEEP_LINEAR_UP,10,7,3,0.3333,0.0852,0.6509,-82.96,-1,,,,
STEEP_CONCAVE_UP,STEEP_LINEAR_DOWN,STEEP_CONVEX_DOWN,20,18,2,0.5,0.2886,0.7114,-5.0,-1,,,,
STEEP_CONCAVE_UP,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,19,17,2,0.6316,0.4099,0.827,16.66,-1,,,,
STEEP_CONCAVE_UP,STEEP_LINEAR_UP,STEEP_CONCAVE_UP,31,22,9,0.5417,0.3449,0.7318,-1.88,1,0.7273,0.4439,0.9333,2.03
STEEP_CONCAVE_UP,STEEP_LINEAR_UP,STEEP_CONVEX_UP,12,10,2,0.5833,0.3079,0.8325,1.3,-1,,,,
STEEP_CONCAVE_UP,STEEP_LINEAR_UP,STEEP_LINEAR_UP,64,49,15,0.5098,0.3742,0.6447,-11.63,1,0.7059,0.4762,0.8898,13.75
