side,entry_ts,entry_utc,entry_price,exit_ts,exit_utc,exit_price,exit_reason,duration_min,realized_pnl_dollars,peak_pnl_ticks,worst_pnl_ticks,entry_pos_in_band,entry_z_1h_high,entry_z_15m_crm,entry_slope_15s_long,entry_slope_15s_short,entry_slope_15m,entry_sig_above_1h_low
LONG,1751867040,2025-07-07 05:44:00,22943.25,1751869020,2025-07-07 06:17:00,22926.75,hard_stop,33.0,-33.0,25.0,-66.0,0.356,-0.832,-1.022,0.379,0.408,-0.147,0.631
LONG,1751871360,2025-07-07 06:56:00,22937.5,1751875740,2025-07-07 08:09:00,22922.25,hard_stop,73.0,-30.5,46.0,-61.0,0.229,-1.1,-0.619,0.385,0.975,-0.193,0.408
LONG,1751879460,2025-07-07 09:11:00,22921.5,1751886660,2025-07-07 11:11:00,22957.5,time_stop,120.0,72.0,265.0,-12.0,-0.274,-1.862,-0.931,0.429,1.5,-0.204,-0.568
LONG,1751895060,2025-07-07 13:31:00,22958.5,1751895180,2025-07-07 13:33:00,22922.5,hard_stop,2.0,-72.0,0.0,-144.0,0.347,-0.694,-0.514,0.534,3.733,-0.208,0.812
LONG,1751898180,2025-07-07 14:23:00,22941.75,1751898720,2025-07-07 14:32:00,22926.5,hard_stop,9.0,-30.5,72.0,-61.0,0.138,-1.636,-0.812,0.396,3.158,-0.225,0.306
LONG,1751900580,2025-07-07 15:03:00,22896.0,1751905200,2025-07-07 16:20:00,22879.75,hard_stop,77.0,-32.5,243.0,-65.0,-0.587,-4.063,-1.778,-2.181,1.725,-0.479,-1.169
LONG,1751908140,2025-07-07 17:09:00,22879.0,1751909880,2025-07-07 17:38:00,22863.25,hard_stop,29.0,-31.5,115.0,-63.0,-0.847,-4.435,-1.482,0.314,0.354,-0.418,-1.281
LONG,1751911920,2025-07-07 18:12:00,22867.75,1751912160,2025-07-07 18:16:00,22852.75,hard_stop,4.0,-30.0,20.0,-60.0,-0.51,-4.344,-1.099,0.369,0.783,-0.133,-0.755
LONG,1751913960,2025-07-07 18:46:00,22854.5,1751920800,2025-07-07 20:40:00,22839.0,hard_stop,114.0,-31.0,122.0,-62.0,-1.052,-4.944,-0.567,4.491,5.008,-0.375,-1.556
LONG,1751925600,2025-07-07 22:00:00,22848.0,1751925840,2025-07-07 22:04:00,22832.25,hard_stop,4.0,-31.5,0.0,-63.0,-0.635,-2.375,-0.079,1.014,1.008,-0.183,-0.763
