side,entry_utc,exit_utc,entry_px,exit_px,pnl,dur_min,reason,entry_z_15m,entry_pos,slope_long,slope_short,peak_ticks,worst_ticks
SHORT,2025-09-09 02:24:00,2025-09-09 03:09:00,23830.0,23829.5,1.0,45.0,time_stop,1.934,0.823,0.486,-0.162,15.0,-41.0
SHORT,2025-09-09 06:21:00,2025-09-09 07:06:00,23848.75,23851.0,-4.5,45.0,time_stop,1.744,1.66,0.549,-0.733,23.0,-23.0
SHORT,2025-09-09 07:22:00,2025-09-09 07:37:00,23863.75,23883.0,-38.5,15.0,stop_z_extension,1.918,2.063,0.758,-0.358,4.0,-77.0
LONG,2025-09-09 11:00:00,2025-09-09 11:03:00,23842.25,23837.5,-9.5,3.0,stop_z_extension,-1.614,0.794,-0.739,0.121,0.0,-19.0
LONG,2025-09-09 11:25:00,2025-09-09 11:26:00,23823.0,23822.0,-2.0,1.0,stop_z_extension,-3.906,-0.182,-1.71,0.758,0.0,-4.0
LONG,2025-09-09 13:11:00,2025-09-09 13:31:00,23822.25,23845.25,46.0,20.0,target_15m_mean,-2.06,-0.3,-2.22,0.4,92.0,-34.0
LONG,2025-09-09 13:58:00,2025-09-09 14:00:00,23815.5,23786.25,-58.5,2.0,stop_z_extension,-2.231,-0.384,-2.15,0.154,0.0,-117.0
LONG,2025-09-09 14:24:00,2025-09-09 14:26:00,23818.0,23802.0,-32.0,2.0,stop_z_extension,-1.536,-0.165,-1.761,0.537,0.0,-64.0
SHORT,2025-09-09 17:18:00,2025-09-09 18:03:00,23843.0,23839.75,6.5,45.0,time_stop,1.662,0.894,1.014,-0.117,51.0,-41.0
SHORT,2025-09-09 19:33:00,2025-09-09 19:50:00,23860.5,23863.75,-6.5,17.0,stop_z_extension,2.121,1.097,0.654,-0.338,95.0,-13.0
SHORT,2025-09-09 20:49:00,2025-09-09 22:00:00,23905.0,23903.5,3.0,71.0,time_stop,1.886,2.241,0.539,-0.312,75.0,0.0
SHORT,2025-09-10 02:04:00,2025-09-10 02:49:00,23902.75,23910.0,-14.5,45.0,time_stop,1.591,1.62,0.396,-0.121,21.0,-48.0
SHORT,2025-09-10 03:10:00,2025-09-10 03:55:00,23912.75,23914.25,-3.0,45.0,time_stop,1.74,1.806,0.345,-0.271,4.0,-21.0
SHORT,2025-09-10 07:03:00,2025-09-10 07:48:00,23944.5,23943.5,2.0,45.0,time_stop,1.803,2.162,0.424,-0.225,34.0,-24.0
LONG,2025-09-10 08:28:00,2025-09-10 08:33:00,23911.25,23893.5,-35.5,5.0,stop_z_extension,-1.945,0.962,-1.233,0.771,1.0,-71.0
LONG,2025-09-10 09:14:00,2025-09-10 09:59:00,23894.0,23908.75,29.5,45.0,time_stop,-1.774,-0.163,-0.344,0.233,59.0,-45.0
SHORT,2025-09-10 11:51:00,2025-09-10 12:30:00,23952.25,23990.5,-76.5,39.0,stop_z_extension,1.987,2.293,1.011,-0.142,57.0,-153.0
SHORT,2025-09-10 13:26:00,2025-09-10 13:30:00,24011.0,23943.25,135.5,4.0,target_15m_mean,1.748,3.073,0.99,-0.179,271.0,-9.0
LONG,2025-09-10 16:28:00,2025-09-10 17:13:00,23915.25,23925.5,20.5,45.0,time_stop,-2.005,0.128,-1.861,0.517,74.0,-57.0
LONG,2025-09-10 18:32:00,2025-09-10 19:12:00,23861.0,23813.25,-95.5,40.0,stop_z_extension,-1.775,-0.864,-1.136,0.483,68.0,-191.0
LONG,2025-09-10 19:27:00,2025-09-10 19:53:00,23803.25,23878.5,150.5,26.0,target_15m_mean,-2.415,-1.652,-0.9,0.358,301.0,0.0
SHORT,2025-09-10 22:56:00,2025-09-10 23:41:00,23905.75,23897.5,16.5,45.0,time_stop,1.823,0.13,0.88,-0.35,45.0,-26.0
