**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

side,entry_ts,entry_utc,entry_price,exit_ts,exit_utc,exit_price,exit_reason,duration_min,realized_pnl_dollars,peak_pnl_ticks,worst_pnl_ticks,entry_pos_in_band,entry_z_1h_high,entry_z_15m_crm,entry_slope_15s,entry_slope_15m,entry_sig_above_1h_low
SHORT,1749198780,2025-06-06 08:33:00,21658.0,1749199020,2025-06-06 08:37:00,21651.75,crossed_15m_mean,4.0,12.5,25.0,0.0,1.428,0.622,-0.099,2.35,-0.022,1.518
SHORT,1749199440,2025-06-06 08:44:00,21659.0,1749207600,2025-06-06 11:00:00,21654.25,crossed_15m_mean,136.0,9.5,24.0,-140.0,1.433,0.643,0.05,0.335,-0.022,1.524
SHORT,1749208980,2025-06-06 11:23:00,21669.0,1749209280,2025-06-06 11:28:00,21647.5,crossed_15m_mean,5.0,43.0,86.0,-42.0,1.785,0.561,-0.056,1.712,0.061,1.517
SHORT,1749209820,2025-06-06 11:37:00,21675.5,1749224160,2025-06-06 15:36:00,21773.25,crossed_15m_mean,239.0,-195.5,41.0,-732.0,1.779,0.702,0.383,0.76,0.112,1.511
SHORT,1749224700,2025-06-06 15:45:00,21799.75,1749226860,2025-06-06 16:21:00,21796.75,crossed_15m_mean,36.0,6.0,28.0,-107.0,2.465,1.127,-0.355,3.118,0.156,2.714
SHORT,1749227160,2025-06-06 16:26:00,21794.0,1749227220,2025-06-06 16:27:00,21787.75,crossed_15m_mean,1.0,12.5,25.0,0.0,1.938,0.725,-1.134,-3.053,0.274,2.481
SHORT,1749227520,2025-06-06 16:32:00,21793.25,1749227580,2025-06-06 16:33:00,21792.25,crossed_15m_mean,1.0,2.0,4.0,0.0,1.866,0.716,-1.089,-0.71,-0.049,2.389
SHORT,1749227880,2025-06-06 16:38:00,21788.25,1749227940,2025-06-06 16:39:00,21779.25,crossed_15m_mean,1.0,18.0,36.0,0.0,1.826,0.656,-1.32,-0.482,-0.049,2.337
SHORT,1749228240,2025-06-06 16:44:00,21760.75,1749228300,2025-06-06 16:45:00,21757.25,crossed_15m_mean,1.0,7.0,14.0,0.0,1.692,0.327,-2.591,-1.418,-0.049,2.167
SHORT,1749228600,2025-06-06 16:50:00,21761.5,1749228660,2025-06-06 16:51:00,21768.25,crossed_15m_mean,1.0,-13.5,0.0,-27.0,1.492,0.336,-1.9,-1.655,-0.44,1.91
SHORT,1749228960,2025-06-06 16:56:00,21738.75,1749229020,2025-06-06 16:57:00,21747.5,crossed_15m_mean,1.0,-17.5,0.0,-35.0,1.304,0.064,-2.787,-2.96,-0.44,1.67
SHORT,1749229320,2025-06-06 17:02:00,21754.5,1749229380,2025-06-06 17:03:00,21764.75,crossed_15m_mean,1.0,-20.5,0.0,-41.0,1.062,0.07,-1.72,1.268,-0.472,1.542
SHORT,1749229680,2025-06-06 17:08:00,21749.75,1749229740,2025-06-06 17:09:00,21750.0,crossed_15m_mean,1.0,-0.5,0.0,-1.0,1.086,0.014,-1.888,-0.182,-0.472,1.577
SHORT,1749230100,2025-06-06 17:15:00,21760.25,1749230160,2025-06-06 17:16:00,21763.75,crossed_15m_mean,1.0,-7.0,0.0,-14.0,1.068,0.139,-1.296,0.838,-0.407,1.551
SHORT,1749230460,2025-06-06 17:21:00,21795.75,1749240000,2025-06-06 20:00:00,21782.0,crossed_15m_mean,159.0,27.5,55.0,-288.0,1.372,0.562,-0.045,3.855,-0.407,1.994
SHORT,1749241440,2025-06-06 20:24:00,21812.0,1757289600,2025-09-08 00:00:00,23777.25,time_stop,134136.0,-3930.5,29.0,-7861.0,1.196,0.249,-0.335,1.115,0.2,1.514
SHORT,1757325360,2025-09-08 09:56:00,23780.5,1757332740,2025-09-08 11:59:00,23763.0,crossed_15m_mean,123.0,35.0,70.0,-34.0,1.493,0.698,2.381,2.145,0.068,1.546
LONG,1757334060,2025-09-08 12:21:00,23753.5,1757334420,2025-09-08 12:27:00,23751.75,slope_rolled_over,6.0,-3.5,0.0,-36.0,0.12,-1.5,-1.723,0.32,-0.089,0.224
LONG,1757334720,2025-09-08 12:32:00,23766.0,1757335200,2025-09-08 12:40:00,23756.5,slope_rolled_over,8.0,-19.0,0.0,-38.0,0.359,-0.571,-0.509,1.357,-0.053,0.67
LONG,1757335740,2025-09-08 12:49:00,23767.75,1757337000,2025-09-08 13:10:00,23772.25,slope_rolled_over,21.0,9.0,54.0,0.0,0.507,-0.441,-0.321,0.368,-0.031,0.946
SHORT,1757337300,2025-09-08 13:15:00,23782.75,1757348760,2025-09-08 16:26:00,23825.25,crossed_15m_mean,191.0,-85.0,9.0,-411.0,1.213,0.821,0.963,0.165,-0.031,2.492
SHORT,1757349060,2025-09-08 16:31:00,23820.75,1757349120,2025-09-08 16:32:00,23810.25,crossed_15m_mean,1.0,21.0,42.0,0.0,1.669,0.394,-2.037,-0.618,0.264,2.215
SHORT,1757349420,2025-09-08 16:37:00,23797.0,1757349480,2025-09-08 16:38:00,23808.0,crossed_15m_mean,1.0,-22.0,0.0,-44.0,1.237,-0.07,-3.383,-3.508,0.264,1.642
SHORT,1757349780,2025-09-08 16:43:00,23818.5,1757349840,2025-09-08 16:44:00,23813.25,crossed_15m_mean,1.0,10.5,21.0,0.0,1.156,0.35,-2.165,0.02,0.264,1.535
SHORT,1757350500,2025-09-08 16:55:00,23818.0,1757350560,2025-09-08 16:56:00,23812.75,crossed_15m_mean,1.0,10.5,21.0,0.0,1.167,0.34,-1.808,1.745,-0.101,1.549
LONG,1757351580,2025-09-08 17:13:00,23794.5,1757351880,2025-09-08 17:18:00,23800.25,slope_rolled_over,5.0,11.5,23.0,-26.0,0.67,-0.3,-2.399,0.11,-0.19,1.006
LONG,1757353740,2025-09-08 17:49:00,23788.75,1757353800,2025-09-08 17:50:00,23790.5,slope_rolled_over,1.0,3.5,7.0,0.0,0.748,-0.408,-1.503,0.12,-0.435,1.123
LONG,1757354400,2025-09-08 18:00:00,23778.25,1757354700,2025-09-08 18:05:00,23782.0,slope_rolled_over,5.0,7.5,16.0,-7.0,0.298,-0.757,-1.508,0.31,-0.429,0.508
LONG,1757355000,2025-09-08 18:10:00,23796.75,1757356020,2025-09-08 18:27:00,23808.0,slope_rolled_over,17.0,22.5,88.0,-1.0,0.308,-0.385,-0.97,0.397,-0.429,0.523
LONG,1757357220,2025-09-08 18:47:00,23809.25,1757357640,2025-09-08 18:54:00,23795.0,slope_rolled_over,7.0,-28.5,3.0,-59.0,0.647,-0.134,-0.176,0.02,-0.333,1.101
LONG,1757358540,2025-09-08 19:09:00,23787.25,1757358720,2025-09-08 19:12:00,23769.5,slope_rolled_over,3.0,-35.5,0.0,-71.0,0.408,-0.712,-1.156,0.145,-0.44,0.777
LONG,1757359320,2025-09-08 19:22:00,23766.25,1757359440,2025-09-08 19:24:00,23769.0,slope_rolled_over,2.0,5.5,11.0,-13.0,-0.01,-1.161,-2.166,0.14,-0.406,-0.02
LONG,1757359860,2025-09-08 19:31:00,23780.5,1757361180,2025-09-08 19:53:00,23800.5,slope_rolled_over,22.0,40.0,122.0,-38.0,-0.022,-0.857,-1.014,0.297,-0.336,-0.042
LONG,1757361720,2025-09-08 20:02:00,23800.5,1757362560,2025-09-08 20:16:00,23800.0,slope_rolled_over,14.0,-1.0,35.0,-12.0,0.477,-0.5,0.468,0.075,-0.043,0.96
LONG,1757363340,2025-09-08 20:29:00,23801.25,1757363880,2025-09-08 20:38:00,23798.25,slope_rolled_over,9.0,-6.0,3.0,-14.0,0.565,-0.483,0.417,0.188,0.092,1.136
LONG,1757365080,2025-09-08 20:58:00,23796.5,1757369880,2025-09-08 22:18:00,23815.75,slope_rolled_over,80.0,38.5,84.0,0.0,0.468,-0.588,0.151,0.055,-0.046,0.941
LONG,1757375460,2025-09-08 23:51:00,23810.0,1757377200,2025-09-09 00:20:00,23815.5,slope_rolled_over,29.0,11.0,68.0,-22.0,0.585,-0.502,-0.065,0.235,0.033,1.224
LONG,1757377920,2025-09-09 00:32:00,23812.75,1757378520,2025-09-09 00:42:00,23811.25,slope_rolled_over,10.0,-3.0,6.0,-16.0,0.61,-0.547,-0.121,0.082,0.076,1.252
LONG,1757379120,2025-09-09 00:52:00,23812.5,1757379540,2025-09-09 00:59:00,23807.5,slope_rolled_over,7.0,-10.0,9.0,-25.0,0.57,-0.554,-0.347,0.15,0.099,1.171
LONG,1757380080,2025-09-09 01:08:00,23810.5,1757380560,2025-09-09 01:16:00,23806.25,slope_rolled_over,8.0,-8.5,0.0,-19.0,0.432,-0.773,-0.785,0.192,0.05,0.905
LONG,1757381580,2025-09-09 01:33:00,23796.5,1757384760,2025-09-09 02:26:00,23831.75,slope_rolled_over,53.0,70.5,152.0,-5.0,0.244,-1.175,-1.871,0.332,-0.103,0.512
SHORT,1757388840,2025-09-09 03:34:00,23841.5,1757394900,2025-09-09 05:15:00,23830.25,crossed_15m_mean,101.0,22.5,45.0,0.0,1.008,0.113,1.583,0.75,0.122,2.171
LONG,1757395920,2025-09-09 05:32:00,23825.75,1757396520,2025-09-09 05:42:00,23823.75,slope_rolled_over,10.0,-4.0,0.0,-24.0,0.676,-0.285,-1.349,0.075,-0.078,1.064
SHORT,1757397360,2025-09-09 05:56:00,23837.75,1757407560,2025-09-09 08:46:00,23840.5,crossed_15m_mean,170.0,-5.5,22.0,-181.0,1.042,0.377,0.795,1.135,-0.046,1.641
SHORT,1757408580,2025-09-09 09:03:00,23843.25,1757408820,2025-09-09 09:07:00,23844.25,crossed_15m_mean,4.0,-2.0,0.0,-17.0,1.109,0.127,-1.192,0.962,0.049,1.546
SHORT,1757409120,2025-09-09 09:12:00,23846.75,1757411820,2025-09-09 09:57:00,23843.25,crossed_15m_mean,45.0,7.0,14.0,-32.0,1.09,0.302,-0.714,-0.485,0.049,1.52
SHORT,1757412480,2025-09-09 10:08:00,23848.0,1757413800,2025-09-09 10:30:00,23843.75,crossed_15m_mean,22.0,8.5,17.0,-30.0,1.032,0.191,-0.476,0.248,-0.031,1.513
SHORT,1757414100,2025-09-09 10:35:00,23846.75,1757414940,2025-09-09 10:49:00,23843.25,crossed_15m_mean,14.0,7.0,14.0,-38.0,1.068,0.121,-0.576,-1.225,-0.111,1.565
LONG,1757416200,2025-09-09 11:10:00,23839.0,1757416440,2025-09-09 11:14:00,23831.5,slope_rolled_over,4.0,-15.0,0.0,-36.0,0.696,-0.463,-2.48,0.052,-0.056,1.024
LONG,1757417160,2025-09-09 11:26:00,23822.0,1757419380,2025-09-09 12:03:00,23846.25,slope_rolled_over,37.0,48.5,118.0,-6.0,-0.109,-1.427,-4.068,0.52,-0.086,-0.161
SHORT,1757420040,2025-09-09 12:14:00,23853.5,1757422920,2025-09-09 13:02:00,23831.75,back_in_band,48.0,43.5,87.0,-9.0,1.048,0.265,0.906,0.478,0.035,1.676
LONG,1757423520,2025-09-09 13:12:00,23822.0,1757423880,2025-09-09 13:18:00,23820.0,slope_rolled_over,6.0,-4.0,2.0,-15.0,-0.148,-1.895,-2.083,0.2,-0.031,-0.253
LONG,1757424480,2025-09-09 13:28:00,23831.5,1757425140,2025-09-09 13:39:00,23834.25,slope_rolled_over,11.0,5.5,55.0,-20.0,-0.07,-1.286,-0.845,0.8,-0.175,-0.119
LONG,1757425620,2025-09-09 13:47:00,23845.25,1757425860,2025-09-09 13:51:00,23809.5,slope_rolled_over,4.0,-71.5,0.0,-143.0,0.37,-0.405,0.566,0.235,-0.078,0.634
LONG,1757426400,2025-09-09 14:00:00,23786.25,1757426580,2025-09-09 14:03:00,23784.5,slope_rolled_over,3.0,-3.5,42.0,-7.0,-0.313,-5.847,-4.04,0.462,-0.169,-0.668
LONG,1757426940,2025-09-09 14:09:00,23831.75,1757427480,2025-09-09 14:18:00,23814.0,slope_rolled_over,9.0,-35.5,63.0,-71.0,-0.736,-1.967,-0.396,0.505,-0.169,-1.57
LONG,1757427900,2025-09-09 14:25:00,23816.5,1757428020,2025-09-09 14:27:00,23810.5,slope_rolled_over,2.0,-12.0,0.0,-58.0,-0.145,-3.268,-1.657,0.132,0.022,-0.31
LONG,1757429340,2025-09-09 14:49:00,23760.75,1757430180,2025-09-09 15:03:00,23769.0,slope_rolled_over,14.0,16.5,133.0,-54.0,-2.666,-8.022,-2.265,1.072,-0.511,-5.682
LONG,1757430780,2025-09-09 15:13:00,23777.75,1757431500,2025-09-09 15:25:00,23781.25,slope_rolled_over,12.0,7.0,43.0,-6.0,-1.351,-6.68,-1.444,0.9,-0.354,-1.533
LONG,1757431860,2025-09-09 15:31:00,23778.5,1757432100,2025-09-09 15:35:00,23768.25,slope_rolled_over,4.0,-20.5,14.0,-41.0,-0.984,-6.615,-1.026,0.26,-0.378,-1.117
LONG,1757432880,2025-09-09 15:48:00,23761.75,1757433720,2025-09-09 16:02:00,23787.75,slope_rolled_over,14.0,52.0,197.0,-10.0,-1.485,-8.062,-1.285,0.16,-0.454,-1.685
LONG,1757434020,2025-09-09 16:07:00,23799.0,1757434920,2025-09-09 16:22:00,23797.75,slope_rolled_over,15.0,-2.5,122.0,-5.0,-0.445,-3.216,-0.024,1.157,-0.301,-0.477
LONG,1757435340,2025-09-09 16:29:00,23818.0,1757435700,2025-09-09 16:35:00,23819.25,slope_rolled_over,6.0,2.5,8.0,-19.0,0.073,-2.075,0.587,1.6,-0.015,0.079
