side,entry_utc,exit_utc,entry_px,exit_px,pnl,dur_min,reason,entry_z_15m,entry_pos,slope_long,slope_short,peak_ticks,worst_ticks
SHORT,2025-07-03 13:14:00,2025-07-03 13:26:00,22910.5,22928.0,-35.0,12.0,stop_z_extension,2.624,2.071,1.474,-1.308,13.0,-70.0
SHORT,2025-07-03 13:41:00,2025-07-03 13:43:00,22940.0,22948.25,-16.5,2.0,stop_z_extension,2.41,3.436,2.465,-2.875,0.0,-33.0
SHORT,2025-07-03 14:17:00,2025-07-03 15:02:00,23047.25,23061.75,-29.0,45.0,time_stop,2.152,4.96,1.645,-0.875,33.0,-58.0
LONG,2025-07-03 22:01:00,2025-07-03 22:46:00,23033.75,23049.5,31.5,45.0,time_stop,-2.169,2.546,-0.736,0.438,109.0,-7.0
LONG,2025-07-04 00:32:00,2025-07-04 01:17:00,23025.75,23034.25,17.0,45.0,time_stop,-1.571,1.696,-0.5,0.188,41.0,-22.0
LONG,2025-07-04 02:24:00,2025-07-04 02:25:00,23010.75,23008.0,-5.5,1.0,stop_z_extension,-2.603,0.707,-1.004,0.967,0.0,-11.0
LONG,2025-07-04 04:33:00,2025-07-04 05:18:00,23000.25,22999.75,-1.0,45.0,time_stop,-1.523,0.139,-1.133,0.171,36.0,-17.0
LONG,2025-07-04 06:13:00,2025-07-04 06:14:00,22989.0,22989.25,0.5,1.0,stop_z_extension,-3.183,-0.582,-1.202,0.713,1.0,0.0
LONG,2025-07-04 07:26:00,2025-07-04 07:29:00,22970.75,22963.75,-14.0,3.0,stop_z_extension,-2.525,-1.549,-1.38,2.004,0.0,-28.0
LONG,2025-07-04 07:55:00,2025-07-04 07:58:00,22956.5,22947.5,-18.0,3.0,stop_z_extension,-2.256,-1.631,-0.964,0.233,0.0,-36.0
SHORT,2025-07-04 14:43:00,2025-07-04 14:44:00,22943.0,22942.0,2.0,1.0,stop_z_extension,3.578,-0.046,0.51,-0.346,4.0,0.0
LONG,2025-07-04 16:49:00,2025-07-04 16:55:00,22905.5,22899.25,-12.5,6.0,stop_z_extension,-2.151,-0.568,-1.476,0.358,7.0,-25.0
SHORT,2025-07-06 22:13:00,2025-07-06 22:14:00,22988.75,22992.25,-7.0,1.0,stop_z_extension,5.13,1.982,3.912,-1.154,0.0,-14.0
SHORT,2025-07-06 22:44:00,2025-07-06 23:29:00,22992.75,22993.0,-0.5,45.0,time_stop,2.08,1.781,0.69,-0.371,120.0,-41.0
LONG,2025-07-07 01:18:00,2025-07-07 02:03:00,22947.0,22940.75,-12.5,45.0,time_stop,-1.523,0.234,-1.561,1.35,43.0,-44.0
LONG,2025-07-07 05:14:00,2025-07-07 05:59:00,22939.0,22949.5,21.0,45.0,time_stop,-2.32,0.322,-0.734,0.263,42.0,-20.0
LONG,2025-07-07 06:25:00,2025-07-07 07:03:00,22926.25,22945.75,39.0,38.0,target_15m_mean,-1.784,-0.061,-0.801,0.671,78.0,-4.0
LONG,2025-07-07 08:17:00,2025-07-07 09:02:00,22924.0,22912.0,-24.0,45.0,time_stop,-1.526,-0.225,-1.474,0.863,39.0,-53.0
SHORT,2025-07-07 10:18:00,2025-07-07 11:03:00,22970.25,22965.0,10.5,45.0,time_stop,1.625,1.01,0.74,-0.929,36.0,-70.0
LONG,2025-07-07 13:29:00,2025-07-07 13:30:00,22942.75,22970.5,55.5,1.0,target_15m_mean,-1.832,0.123,-0.507,1.221,111.0,0.0
LONG,2025-07-07 14:08:00,2025-07-07 14:53:00,22932.75,22904.5,-56.5,45.0,time_stop,-1.695,0.106,-2.429,1.637,108.0,-113.0
LONG,2025-07-07 16:28:00,2025-07-07 16:50:00,22884.5,22864.0,-41.0,22.0,stop_z_extension,-2.383,-0.928,-7.212,0.817,147.0,-82.0
LONG,2025-07-07 17:35:00,2025-07-07 18:20:00,22869.25,22801.0,-136.5,45.0,stop_z_extension,-1.522,-0.407,-0.615,3.271,37.0,-273.0
LONG,2025-07-07 18:36:00,2025-07-07 18:57:00,22814.75,22878.25,127.0,21.0,target_15m_mean,-1.682,-1.827,-0.832,1.833,254.0,0.0
SHORT,2025-07-08 00:49:00,2025-07-08 01:34:00,22894.25,22922.0,-55.5,45.0,time_stop,1.586,0.532,1.6,-0.379,0.0,-111.0
SHORT,2025-07-08 02:36:00,2025-07-08 03:21:00,22927.75,22929.75,-4.0,45.0,time_stop,1.802,1.019,1.39,-0.633,36.0,-35.0
SHORT,2025-07-08 06:39:00,2025-07-08 06:57:00,22938.0,22949.5,-23.0,18.0,stop_z_extension,2.021,1.56,0.516,-0.85,3.0,-46.0
LONG,2025-07-08 09:58:00,2025-07-08 10:04:00,22925.0,22910.0,-30.0,6.0,stop_z_extension,-2.113,1.025,-1.23,0.367,0.0,-60.0
LONG,2025-07-08 13:43:00,2025-07-08 13:44:00,22912.25,22905.25,-14.0,1.0,stop_z_extension,-3.542,-0.143,-2.406,0.421,0.0,-28.0
LONG,2025-07-08 14:13:00,2025-07-08 14:25:00,22883.25,22855.25,-56.0,12.0,stop_z_extension,-2.362,-0.814,-1.349,0.721,46.0,-112.0
SHORT,2025-07-08 16:32:00,2025-07-08 16:35:00,22935.25,22897.75,75.0,3.0,target_15m_mean,1.526,1.018,2.978,-0.671,150.0,0.0
SHORT,2025-07-08 23:16:00,2025-07-08 23:23:00,22919.25,22899.75,39.0,7.0,target_15m_mean,1.553,0.601,0.455,-0.246,78.0,-14.0
LONG,2025-07-09 00:12:00,2025-07-09 00:13:00,22885.0,22879.0,-12.0,1.0,stop_z_extension,-5.073,0.035,-0.968,0.421,0.0,-24.0
LONG,2025-07-09 00:39:00,2025-07-09 01:24:00,22872.25,22883.0,21.5,45.0,time_stop,-2.159,-0.271,-0.355,0.208,73.0,-18.0
LONG,2025-07-09 06:14:00,2025-07-09 06:49:00,22856.5,22878.25,43.5,35.0,target_15m_mean,-3.111,-0.78,-1.942,0.35,87.0,-14.0
SHORT,2025-07-09 09:29:00,2025-07-09 09:40:00,22932.0,22936.5,-9.0,11.0,stop_z_extension,3.701,1.818,1.03,-0.121,21.0,-18.0
SHORT,2025-07-09 12:22:00,2025-07-09 13:01:00,22944.5,22933.0,23.0,39.0,target_15m_mean,1.696,2.038,0.36,-0.421,46.0,-40.0
SHORT,2025-07-09 13:57:00,2025-07-09 13:58:00,23080.75,23076.75,8.0,1.0,stop_z_extension,3.666,6.48,2.117,-0.458,16.0,0.0
SHORT,2025-07-09 18:18:00,2025-07-09 19:03:00,23010.0,23036.5,-53.0,45.0,time_stop,1.871,1.582,1.32,-1.992,9.0,-114.0
SHORT,2025-07-09 19:28:00,2025-07-09 20:13:00,23036.75,23057.75,-42.0,45.0,time_stop,1.79,1.87,1.138,-0.496,26.0,-84.0
LONG,2025-07-10 05:38:00,2025-07-10 06:23:00,22983.75,22981.5,-4.5,45.0,time_stop,-1.703,-0.311,-1.071,0.167,42.0,-9.0
SHORT,2025-07-10 07:31:00,2025-07-10 07:39:00,23005.5,23009.5,-8.0,8.0,stop_z_extension,2.065,0.176,1.18,-0.237,3.0,-16.0
SHORT,2025-07-10 07:54:00,2025-07-10 07:55:00,23016.25,23019.75,-7.0,1.0,stop_z_extension,2.487,0.52,0.429,-0.604,0.0,-14.0
SHORT,2025-07-10 08:10:00,2025-07-10 08:24:00,23019.75,23038.75,-38.0,14.0,stop_z_extension,2.025,0.762,0.308,-0.862,0.0,-76.0
SHORT,2025-07-10 08:47:00,2025-07-10 09:30:00,23037.5,23016.75,41.5,43.0,target_15m_mean,1.56,1.436,0.424,-0.167,83.0,-40.0
SHORT,2025-07-10 11:11:00,2025-07-10 11:44:00,23051.5,23072.0,-41.0,33.0,stop_z_extension,1.693,1.88,0.685,-0.317,4.0,-82.0
LONG,2025-07-10 13:41:00,2025-07-10 13:48:00,23026.75,23003.5,-46.5,7.0,stop_z_extension,-2.575,1.152,-3.789,0.312,21.0,-93.0
LONG,2025-07-10 14:11:00,2025-07-10 14:12:00,22944.0,22939.5,-9.0,1.0,stop_z_extension,-3.405,-1.859,-3.455,1.137,0.0,-18.0
LONG,2025-07-10 14:31:00,2025-07-10 15:16:00,22945.0,22961.25,32.5,45.0,time_stop,-1.63,-1.689,-2.658,0.162,157.0,-17.0
SHORT,2025-07-10 18:15:00,2025-07-10 19:00:00,23039.0,23042.0,-6.0,45.0,time_stop,1.524,0.967,0.379,-0.883,49.0,-25.0
LONG,2025-07-10 20:17:00,2025-07-10 22:00:00,23004.75,23015.75,22.0,103.0,time_stop,-2.027,0.258,-0.801,0.175,75.0,-3.0
LONG,2025-07-11 00:35:00,2025-07-11 00:38:00,22895.25,22882.75,-25.0,3.0,stop_z_extension,-2.563,-1.933,-5.536,3.975,4.0,-50.0
LONG,2025-07-11 06:04:00,2025-07-11 06:24:00,22951.25,22964.75,27.0,20.0,target_15m_mean,-1.626,-0.206,-1.259,0.329,54.0,0.0
LONG,2025-07-11 07:29:00,2025-07-11 07:54:00,22932.25,22900.25,-64.0,25.0,stop_z_extension,-1.803,-0.724,-1.057,1.562,20.0,-128.0
LONG,2025-07-11 08:25:00,2025-07-11 09:10:00,22897.25,22905.5,16.5,45.0,time_stop,-1.584,-1.169,-0.477,1.104,59.0,-72.0
SHORT,2025-07-11 12:13:00,2025-07-11 12:24:00,22917.5,22886.0,63.0,11.0,target_15m_mean,1.911,0.315,0.605,-0.183,126.0,-8.0
SHORT,2025-07-11 14:05:00,2025-07-11 14:07:00,22961.25,22970.5,-18.5,2.0,stop_z_extension,2.565,1.294,2.136,-0.463,26.0,-37.0
SHORT,2025-07-11 14:32:00,2025-07-11 15:14:00,22989.75,22915.75,148.0,42.0,target_15m_mean,1.886,2.073,1.383,-0.629,296.0,-60.0
LONG,2025-07-11 19:11:00,2025-07-11 19:56:00,22966.75,22962.0,-9.5,45.0,time_stop,-1.852,0.841,-2.638,1.188,102.0,-19.0
LONG,2025-07-13 22:08:00,2025-07-13 22:09:00,22848.75,22846.5,-4.5,1.0,stop_z_extension,-4.368,-1.056,-9.659,2.492,0.0,-9.0
LONG,2025-07-13 22:24:00,2025-07-13 23:09:00,22847.5,22846.0,-3.0,45.0,time_stop,-2.347,-1.302,-0.374,0.308,147.0,-17.0
SHORT,2025-07-14 03:54:00,2025-07-14 04:39:00,22872.25,22870.75,3.0,45.0,time_stop,1.532,-0.497,0.564,-0.613,17.0,-25.0
LONG,2025-07-14 05:57:00,2025-07-14 05:58:00,22831.75,22831.0,-1.5,1.0,stop_z_extension,-5.209,-1.262,-1.995,0.208,0.0,-3.0
LONG,2025-07-14 06:14:00,2025-07-14 06:59:00,22826.5,22841.75,30.5,45.0,time_stop,-3.141,-1.29,-0.715,0.287,71.0,-23.0
LONG,2025-07-14 07:14:00,2025-07-14 07:42:00,22824.75,22850.25,51.0,28.0,target_15m_mean,-1.669,-0.805,-0.988,0.142,102.0,-62.0
SHORT,2025-07-14 08:04:00,2025-07-14 08:49:00,22875.0,22883.0,-16.0,45.0,time_stop,1.518,0.638,0.523,-1.346,28.0,-32.0
LONG,2025-07-14 11:29:00,2025-07-14 11:41:00,22870.75,22891.0,40.5,12.0,target_15m_mean,-1.607,0.713,-1.086,0.254,81.0,-4.0
SHORT,2025-07-14 13:36:00,2025-07-14 13:37:00,22955.5,22946.0,19.0,1.0,stop_z_extension,3.226,2.827,3.075,-0.662,38.0,0.0
SHORT,2025-07-14 14:14:00,2025-07-14 14:21:00,22945.0,22979.75,-69.5,7.0,stop_z_extension,2.211,1.931,1.478,-0.317,0.0,-139.0
SHORT,2025-07-14 14:51:00,2025-07-14 14:59:00,22972.25,22992.0,-39.5,8.0,stop_z_extension,2.044,2.578,2.125,-0.133,0.0,-79.0
SHORT,2025-07-14 15:14:00,2025-07-14 15:59:00,23007.25,23008.75,-3.0,45.0,time_stop,2.391,3.07,0.446,-2.225,45.0,-26.0
SHORT,2025-07-14 17:24:00,2025-07-14 18:09:00,23054.5,23048.0,13.0,45.0,time_stop,1.574,3.532,0.889,-0.421,65.0,-40.0
LONG,2025-07-14 19:51:00,2025-07-14 20:00:00,23024.75,23023.75,-2.0,9.0,stop_z_extension,-2.684,2.257,-0.514,0.208,58.0,-4.0
LONG,2025-07-14 20:34:00,2025-07-14 22:00:00,23025.5,23026.5,2.0,86.0,time_stop,-1.575,2.01,-0.491,0.225,50.0,0.0
LONG,2025-07-14 23:09:00,2025-07-14 23:54:00,23001.0,23010.5,19.0,45.0,time_stop,-1.747,1.011,-0.503,0.121,39.0,-3.0
SHORT,2025-07-15 01:59:00,2025-07-15 02:00:00,23143.0,23158.75,-31.5,1.0,stop_z_extension,6.173,3.983,7.029,-1.417,0.0,-63.0
SHORT,2025-07-15 05:35:00,2025-07-15 06:20:00,23155.5,23144.75,21.5,45.0,time_stop,1.774,2.67,1.485,-0.204,66.0,0.0
SHORT,2025-07-15 07:51:00,2025-07-15 08:01:00,23166.75,23144.0,45.5,10.0,target_15m_mean,1.725,2.299,1.181,-0.575,91.0,0.0
SHORT,2025-07-15 08:34:00,2025-07-15 09:19:00,23166.5,23169.0,-5.0,45.0,time_stop,1.502,2.203,1.169,-1.883,56.0,-16.0
SHORT,2025-07-15 10:37:00,2025-07-15 10:47:00,23180.75,23166.75,28.0,10.0,target_15m_mean,2.032,2.049,0.556,-0.188,56.0,-2.0
LONG,2025-07-15 12:14:00,2025-07-15 12:15:00,23153.0,23149.25,-7.5,1.0,stop_z_extension,-3.074,1.002,-1.426,0.275,0.0,-15.0
SHORT,2025-07-15 13:02:00,2025-07-15 13:23:00,23197.0,23215.25,-36.5,21.0,stop_z_extension,2.114,1.514,1.667,-0.754,19.0,-73.0
LONG,2025-07-15 13:49:00,2025-07-15 14:11:00,23148.5,23186.75,76.5,22.0,target_15m_mean,-1.568,0.943,-0.538,0.8,153.0,-86.0
LONG,2025-07-15 14:51:00,2025-07-15 14:56:00,23124.75,23103.5,-42.5,5.0,stop_z_extension,-2.063,0.7,-0.401,2.575,0.0,-85.0
LONG,2025-07-15 20:11:00,2025-07-15 20:56:00,23029.25,23017.75,-23.0,45.0,time_stop,-2.466,-1.178,-3.611,0.521,0.0,-68.0
LONG,2025-07-16 00:20:00,2025-07-16 00:35:00,22990.0,23004.0,28.0,15.0,target_15m_mean,-1.557,-1.171,-0.331,0.179,56.0,-28.0
LONG,2025-07-16 06:01:00,2025-07-16 06:04:00,23004.75,23001.5,-6.5,3.0,stop_z_extension,-2.221,-0.258,-0.904,0.354,0.0,-13.0
LONG,2025-07-16 06:46:00,2025-07-16 06:54:00,22981.0,22972.75,-16.5,8.0,stop_z_extension,-2.152,-0.798,-0.883,0.787,0.0,-33.0
LONG,2025-07-16 07:15:00,2025-07-16 08:00:00,22964.75,22983.75,38.0,45.0,time_stop,-1.715,-1.25,-2.416,1.467,97.0,0.0
SHORT,2025-07-16 12:43:00,2025-07-16 12:44:00,23073.5,23067.5,12.0,1.0,stop_z_extension,5.316,2.344,2.561,-1.438,24.0,0.0
SHORT,2025-07-16 13:18:00,2025-07-16 13:34:00,23069.75,23026.75,86.0,16.0,target_15m_mean,1.564,2.088,0.414,-0.608,172.0,-28.0
LONG,2025-07-16 14:03:00,2025-07-16 14:30:00,22978.75,23028.5,99.5,27.0,target_15m_mean,-1.515,-0.287,-2.045,0.712,199.0,-108.0
LONG,2025-07-16 15:30:00,2025-07-16 15:34:00,22943.5,22897.0,-93.0,4.0,stop_z_extension,-1.905,-0.449,-2.92,8.833,30.0,-186.0
SHORT,2025-07-16 17:16:00,2025-07-16 18:01:00,23052.0,23027.75,48.5,45.0,time_stop,1.523,1.32,1.221,-0.517,113.0,-41.0
SHORT,2025-07-16 19:08:00,2025-07-16 19:53:00,23076.0,23083.5,-15.0,45.0,time_stop,1.502,1.411,1.103,-0.75,53.0,-82.0
LONG,2025-07-16 22:48:00,2025-07-16 23:33:00,23039.5,23032.75,-13.5,45.0,time_stop,-1.618,0.774,-0.415,0.388,15.0,-29.0
SHORT,2025-07-17 01:00:00,2025-07-17 01:33:00,23054.75,23039.75,30.0,33.0,target_15m_mean,1.899,0.771,0.506,-0.217,60.0,-10.0
SHORT,2025-07-17 05:12:00,2025-07-17 05:22:00,23046.25,23053.75,-15.0,10.0,stop_z_extension,2.352,0.664,0.651,-0.188,5.0,-30.0
SHORT,2025-07-17 05:58:00,2025-07-17 05:59:00,23085.0,23087.25,-4.5,1.0,stop_z_extension,3.15,1.861,1.45,-1.037,0.0,-9.0
SHORT,2025-07-17 06:14:00,2025-07-17 06:16:00,23115.0,23124.5,-19.0,2.0,stop_z_extension,3.699,2.618,2.476,-0.629,0.0,-38.0
SHORT,2025-07-17 06:34:00,2025-07-17 07:19:00,23137.5,23103.75,67.5,45.0,time_stop,2.107,3.206,1.484,-0.113,135.0,-48.0
LONG,2025-07-17 11:08:00,2025-07-17 11:53:00,23086.0,23080.75,-10.5,45.0,time_stop,-2.589,0.906,-1.046,1.371,30.0,-41.0
SHORT,2025-07-17 13:09:00,2025-07-17 13:28:00,23147.75,23102.75,90.0,19.0,target_15m_mean,2.473,2.511,0.943,-0.4,180.0,0.0
SHORT,2025-07-17 14:00:00,2025-07-17 14:45:00,23161.0,23168.75,-15.5,45.0,time_stop,2.09,2.04,2.165,-0.221,145.0,-70.0
SHORT,2025-07-17 15:13:00,2025-07-17 15:14:00,23234.5,23236.25,-3.5,1.0,stop_z_extension,3.097,3.404,3.164,-0.454,0.0,-7.0
SHORT,2025-07-17 15:53:00,2025-07-17 16:38:00,23242.75,23257.0,-28.5,45.0,time_stop,1.604,3.619,0.708,-0.171,5.0,-120.0
SHORT,2025-07-17 19:38:00,2025-07-17 19:43:00,23269.75,23257.25,25.0,5.0,target_15m_mean,1.589,2.786,0.695,-0.213,50.0,0.0
SHORT,2025-07-17 23:59:00,2025-07-18 00:44:00,23280.25,23269.0,22.5,45.0,time_stop,2.505,2.301,0.707,-0.146,45.0,-8.0
SHORT,2025-07-18 02:58:00,2025-07-18 03:43:00,23280.0,23277.25,5.5,45.0,time_stop,1.527,1.558,0.471,-0.229,23.0,-14.0
SHORT,2025-07-18 05:12:00,2025-07-18 05:13:00,23283.25,23293.5,-20.5,1.0,stop_z_extension,1.511,1.107,0.375,-0.425,0.0,-41.0
SHORT,2025-07-18 05:41:00,2025-07-18 05:42:00,23306.0,23304.5,3.0,1.0,stop_z_extension,3.808,1.964,1.092,-0.213,6.0,0.0
LONG,2025-07-18 10:30:00,2025-07-18 10:31:00,23256.5,23254.25,-4.5,1.0,stop_z_extension,-2.967,-0.345,-1.383,0.579,0.0,-9.0
LONG,2025-07-18 11:25:00,2025-07-18 11:54:00,23259.75,23272.0,24.5,29.0,target_15m_mean,-1.586,-0.365,-0.464,0.654,49.0,-10.0
SHORT,2025-07-18 13:15:00,2025-07-18 13:17:00,23274.25,23264.5,19.5,2.0,target_15m_mean,1.884,0.696,0.586,-0.217,39.0,0.0
LONG,2025-07-18 14:04:00,2025-07-18 14:14:00,23247.5,23230.5,-34.0,10.0,stop_z_extension,-1.746,-0.009,-1.599,1.017,16.0,-68.0
LONG,2025-07-18 16:34:00,2025-07-18 17:19:00,23188.5,23198.5,20.0,45.0,time_stop,-1.591,-1.382,-2.134,0.425,96.0,-53.0
SHORT,2025-07-18 19:59:00,2025-07-18 20:44:00,23226.75,23221.75,10.0,45.0,time_stop,2.215,-0.112,1.062,-0.388,33.0,-3.0
SHORT,2025-07-20 22:37:00,2025-07-20 22:39:00,23236.5,23243.5,-14.0,2.0,stop_z_extension,1.963,0.367,1.475,-0.242,0.0,-28.0
SHORT,2025-07-21 01:24:00,2025-07-21 02:09:00,23275.5,23264.5,22.0,45.0,time_stop,2.372,1.405,0.485,-0.421,55.0,0.0
LONG,2025-07-21 03:39:00,2025-07-21 04:18:00,23249.75,23260.75,22.0,39.0,target_15m_mean,-1.823,0.981,-0.312,0.271,44.0,-24.0
SHORT,2025-07-21 06:33:00,2025-07-21 07:18:00,23289.5,23293.0,-7.0,45.0,time_stop,1.766,2.47,0.59,-0.246,62.0,-24.0
SHORT,2025-07-21 08:07:00,2025-07-21 08:37:00,23301.25,23286.0,30.5,30.0,target_15m_mean,1.744,2.394,0.314,-0.312,61.0,-22.0
SHORT,2025-07-21 10:20:00,2025-07-21 10:30:00,23301.0,23292.0,18.0,10.0,target_15m_mean,2.115,1.949,1.141,-0.171,36.0,0.0
LONG,2025-07-21 12:15:00,2025-07-21 12:54:00,23273.25,23251.5,-43.5,39.0,stop_z_extension,-1.674,0.491,-0.495,0.217,25.0,-87.0
LONG,2025-07-21 13:12:00,2025-07-21 13:13:00,23233.0,23228.5,-9.0,1.0,stop_z_extension,-2.866,-1.346,-0.62,0.2,0.0,-18.0
SHORT,2025-07-21 13:54:00,2025-07-21 13:55:00,23374.25,23383.0,-17.5,1.0,stop_z_extension,3.607,4.754,4.139,-0.458,0.0,-35.0
SHORT,2025-07-21 14:12:00,2025-07-21 14:13:00,23397.25,23395.5,3.5,1.0,stop_z_extension,2.878,3.689,0.943,-0.846,7.0,0.0
SHORT,2025-07-21 14:28:00,2025-07-21 15:13:00,23411.25,23396.25,30.0,45.0,time_stop,2.275,4.017,0.933,-0.842,112.0,-40.0
SHORT,2025-07-21 17:27:00,2025-07-21 18:12:00,23417.75,23407.25,21.0,45.0,time_stop,1.633,3.008,0.579,-0.492,42.0,-19.0
LONG,2025-07-21 19:20:00,2025-07-21 19:55:00,23376.0,23338.0,-76.0,35.0,stop_z_extension,-1.696,1.414,-0.962,0.188,12.0,-152.0
SHORT,2025-07-22 00:18:00,2025-07-22 00:22:00,23353.75,23358.5,-9.5,4.0,stop_z_extension,1.833,0.504,0.328,-0.117,0.0,-19.0
SHORT,2025-07-22 01:55:00,2025-07-22 01:59:00,23364.0,23365.25,-2.5,4.0,stop_z_extension,2.517,0.598,0.467,-0.196,3.0,-5.0
LONG,2025-07-22 03:43:00,2025-07-22 04:16:00,23330.0,23306.75,-46.5,33.0,stop_z_extension,-2.357,-0.795,-0.579,0.158,6.0,-93.0
SHORT,2025-07-22 07:23:00,2025-07-22 07:24:00,23340.0,23339.0,2.0,1.0,stop_z_extension,3.271,0.311,0.446,-0.142,4.0,0.0
LONG,2025-07-22 08:32:00,2025-07-22 09:17:00,23290.0,23284.5,-11.0,45.0,time_stop,-1.743,-1.102,-2.029,0.625,13.0,-82.0
SHORT,2025-07-22 11:12:00,2025-07-22 11:57:00,23308.0,23326.25,-36.5,45.0,time_stop,1.974,0.288,1.651,-0.221,29.0,-77.0
LONG,2025-07-22 13:40:00,2025-07-22 13:43:00,23289.5,23261.75,-55.5,3.0,stop_z_extension,-1.773,0.035,-3.704,2.542,0.0,-111.0
SHORT,2025-07-22 17:36:00,2025-07-22 18:17:00,23239.25,23181.75,115.0,41.0,target_15m_mean,1.743,-0.021,1.864,-1.138,230.0,-5.0
LONG,2025-07-22 20:09:00,2025-07-22 20:54:00,23204.75,23193.0,-23.5,45.0,time_stop,-1.599,-0.146,-2.986,0.212,0.0,-63.0
SHORT,2025-07-22 23:48:00,2025-07-22 23:57:00,23245.0,23264.75,-39.5,9.0,stop_z_extension,1.939,0.582,0.799,-0.308,0.0,-79.0
