**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

mode,low_thr,high_thr,low_mult,high_mult,mean,median,min,pos_days,days_over_200,total
linear,-200,300,0.0,1.5,987.0221505893024,588.5146366146038,-484.24534868640177,26,22,30597.686668268376
linear,-100,300,0.3,1.5,987.0221505893022,588.5146366146037,-484.24534868640177,26,22,30597.68666826837
linear,0,300,0.5,1.5,940.1807784283062,528.85432240576,-438.07658742472034,26,22,29145.604131277494
linear,0,100,0.7,1.0,886.5851699664069,663.2668582752771,-568.3316463530898,26,22,27484.140268958614
linear,-200,100,0.0,1.0,884.0195957970993,646.9930403275621,-565.4009554479165,26,22,27404.607469710078
linear,-100,100,0.3,1.0,881.8551788363853,640.6389186579619,-563.7815619294889,26,22,27337.510543927947
linear,-100,100,0.0,1.0,862.3754261899601,583.4518236315623,-549.2070202636386,26,22,26733.638211888763
linear,0,100,0.5,1.0,859.4366599364266,589.394447979087,-548.6935267108339,26,22,26642.536458029226
linear,0,200,0.7,1.0,832.6804509430001,605.6702950993839,-469.85011283725777,26,22,25813.093979233003
linear,-100,200,0.5,1.0,823.1458747976917,584.977733803522,-455.8058648016129,26,22,25517.522118728444
linear,-200,200,0.3,1.0,817.9377717870075,575.5228468077204,-448.70671675086976,26,22,25356.07092539723
linear,-200,300,0.5,1.0,792.6613510354566,563.358630786771,-460.3095291370369,26,22,24572.501882099154
linear,0,300,0.7,1.0,792.0735977847498,562.8827263985445,-460.2068304264763,26,22,24554.281531327244
linear,-100,200,0.3,1.0,781.4810507122169,509.33863783710683,-399.0126803956686,26,22,24225.912572078723
linear,-200,200,0.0,1.0,771.0648446908486,490.4288638455029,-384.8143842941829,26,22,23903.010185416308
linear,0,200,0.5,1.0,769.5954615640817,493.4001760192653,-384.55763751778073,26,22,23857.459308486534
linear,-100,300,0.5,1.0,758.999705041476,535.4927345675868,-425.93970496717816,26,22,23528.990856285756
linear,-200,300,0.3,1.0,738.8027174450878,506.86280586935004,-405.31781046526277,26,22,22902.88424079772
linear,0,100,0.0,2.0,1583.13076972295,1153.36593671752,-999.1964552103889,24,21,49077.05386141145
linear,0,100,0.3,1.5,1228.0708423371836,863.9817335751258,-778.8545208711752,26,21,38070.19611245269
linear,0,100,0.0,1.5,1187.3480772922123,865.0244525381402,-749.3973414077915,24,21,36807.79039605858
linear,0,300,0.3,2.0,1088.287959071863,625.4225228272148,-415.9463444229641,25,21,33736.92673122775
linear,-100,300,0.0,1.5,886.0372126073613,476.36241954164507,-381.13587617682515,26,21,27467.153590828202
linear,0,300,0.3,1.5,850.0245536105543,472.71465583102815,-346.35525716472233,25,21,26350.761161927185
linear,0,100,0.3,1.0,832.2881499064459,548.4136225323984,-529.0554070685782,27,21,25800.932647099824
linear,0,300,0.5,1.0,701.9173729669976,457.9460296327703,-368.4855001664784,26,21,21759.438561976927
linear,-100,300,0.3,1.0,691.6764130535154,440.05963890679715,-357.2000566274602,26,21,21441.968804658976
linear,0,200,0.3,2.0,1318.3934603019493,774.0611992558411,-470.5916114173911,26,20,40870.197269360426
linear,0,200,0.3,1.5,1012.4519662435561,577.6360744865287,-384.92838680784706,25,20,31386.010953550238
linear,0,300,0.0,2.0,953.0536218452349,514.8372346037604,-278.36434903296714,24,20,29544.662277202282
linear,0,100,0.0,1.0,791.565384861475,576.68296835876,-499.59822760519444,24,20,24538.526930705724
linear,-100,200,0.0,1.0,718.9838145840054,395.8799938874833,-313.82290378675276,26,20,22288.498252104167
linear,0,300,0.0,1.5,714.7902163839259,386.12792595282036,-208.77326177472534,24,20,22158.496707901704
linear,0,200,0.3,1.0,706.5104721851633,381.21094971721686,-299.26516219830324,26,20,21901.82463774006
linear,-200,300,0.0,1.0,658.0147670595351,392.3430910764024,-322.8302324576013,26,20,20398.457778845586
linear,0,200,0.0,2.0,1223.7659762335709,772.2558519056407,-342.6528984381751,25,19,37936.7452632407
linear,0,200,0.0,1.5,917.8244821751781,579.1918889292305,-256.9896738286314,25,19,28452.55894743052
linear,0,200,0.0,1.0,611.8829881167854,386.12792595282036,-171.32644921908755,25,19,18968.37263162035
linear,0,300,0.3,1.0,611.7611481492456,331.49425199805415,-276.76416990648045,26,19,18964.595592626614
linear,-100,300,0.0,1.0,590.6914750715742,317.57494636109675,-254.0905841178833,26,19,18311.435727218803
linear,0,300,0.0,1.0,476.52681092261747,257.4186173018802,-139.18217451648357,24,16,14772.331138601141
