**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

realistic_pnl_usd,size_flat,size_gbm_ev,size_gbm_quantile,size_hand_aggressive
-26.5,1.0,1.6255074487871952,1.5,2.0
-45.0,1.0,1.5368048765155629,1.5,2.0
-71.5,1.0,1.2932434012301552,1.5,2.0
-48.0,1.0,1.4951596066375266,1.5,1.2
49.5,1.0,1.2711883884976571,1.5,2.0
-20.5,1.0,1.8662638736363735,2.0,2.0
93.0,1.0,1.3009478210435956,1.5,1.2
8.5,1.0,1.9125507972345792,2.0,2.0
-79.0,1.0,1.559325127652968,1.5,2.0
-71.5,1.0,1.5419359064087756,1.5,1.2
-26.0,1.0,1.3091284952281477,1.5,2.0
36.0,1.0,1.0783724621372048,0.8,2.0
-70.5,1.0,1.331633707100076,1.5,2.0
-11.5,1.0,1.3174995023466725,1.5,1.2
505.5,1.0,1.1328273085980363,0.8,1.2
144.5,1.0,2.175605908650864,2.0,2.0
92.5,1.0,1.824015347006501,2.0,1.2
166.5,1.0,2.183692312702852,2.0,1.2
18.5,1.0,1.674612528350984,1.5,1.2
3.0,1.0,1.2492301127282004,1.5,0.8
-23.0,1.0,1.349538539079374,1.5,2.0
-26.5,1.0,1.0056264968611424,0.8,0.8
-6.5,1.0,1.0449455756572958,0.8,0.0
-26.0,1.0,1.1183476041312876,0.8,0.0
58.5,1.0,1.4426220749833987,1.5,0.8
197.5,1.0,1.083104731212022,0.8,0.0
71.5,1.0,1.0624753862150307,0.8,0.0
66.5,1.0,0.9110844935572675,0.5,0.0
174.0,1.0,1.1249299591594197,0.8,0.0
-85.0,1.0,0.9747275326970362,0.8,0.8
-75.0,1.0,1.7676759545712857,2.0,0.8
22.0,1.0,1.0567957826291794,0.8,0.0
-34.5,1.0,1.0880465624081865,0.8,0.0
-17.5,1.0,0.9494026200951575,0.8,0.0
-7.5,1.0,1.019084148101752,0.8,0.8
-33.5,1.0,1.2264039647132052,1.5,0.0
35.0,1.0,0.9532449023991716,0.8,0.8
3.0,1.0,1.050415434207498,0.8,0.8
40.0,1.0,2.1696064995143,2.0,1.2
114.5,1.0,1.1620463489253336,0.8,0.0
-41.5,1.0,1.4127058733762032,1.5,0.8
1.0,1.0,1.6084303276395158,1.5,0.8
3.5,1.0,1.7696279140823608,2.0,2.0
-65.0,1.0,1.2199358404170146,1.5,0.8
-58.0,1.0,1.3476350079209665,1.5,2.0
-45.0,1.0,1.7183896343842737,1.5,0.8
-24.5,1.0,1.739831471784767,2.0,0.8
-38.0,1.0,1.214169698193691,1.5,0.0
44.0,1.0,1.1439271650687952,0.8,0.8
165.5,1.0,2.234852522555744,2.0,1.2
116.0,1.0,1.852013821008771,2.0,0.8
-57.5,1.0,2.3467233330770223,2.0,1.2
-34.5,1.0,1.9124085821646846,2.0,1.2
309.0,1.0,1.755283348102744,2.0,0.8
156.5,1.0,2.921562024956284,2.0,1.2
47.0,1.0,1.9325414050996952,2.0,0.8
-54.5,1.0,1.9945406965812311,2.0,2.0
-30.0,1.0,1.985637078213871,2.0,0.8
21.5,1.0,1.954653676522987,2.0,2.0
-71.5,1.0,2.021847149589108,2.0,1.2
-43.5,1.0,1.9929234128480071,2.0,0.8
-44.5,1.0,1.820527121794545,2.0,0.8
-61.5,1.0,1.8177225909405608,2.0,1.2
-35.0,1.0,1.178238294854682,1.5,0.0
64.0,1.0,1.2450214025893298,1.5,0.0
15.5,1.0,1.5193876041939909,1.5,0.8
-84.5,1.0,1.5889652528613216,1.5,0.8
-79.5,1.0,1.8147917950600956,2.0,0.8
-70.5,1.0,1.2303165706999266,1.5,0.8
-19.0,1.0,1.0088236680479294,0.8,0.8
-28.0,1.0,1.6091395820703274,1.5,0.8
-67.0,1.0,1.3652700235684105,1.5,0.0
-25.5,1.0,1.2484045056076996,1.5,0.8
-24.0,1.0,1.55085165928516,1.5,0.8
-21.0,1.0,1.0865959534848422,0.8,0.8
60.5,1.0,1.203511629195372,1.5,0.8
96.0,1.0,0.9598591284862861,0.8,2.0
-32.0,1.0,1.2641298687978684,1.5,1.2
-93.5,1.0,0.8933942425159125,0.5,2.0
-56.0,1.0,1.0702437271771759,0.8,1.2
-59.0,1.0,1.0639464461187305,0.8,0.8
107.5,1.0,0.8701321194291807,0.5,0.8
192.0,1.0,1.23802801869402,1.5,1.2
223.0,1.0,1.1008943085624772,0.8,0.8
42.0,1.0,0.9542494625851445,0.8,0.0
30.5,1.0,1.4100750205490478,1.5,2.0
-30.5,1.0,1.1173446796142792,0.8,1.2
-18.5,1.0,1.0298454442590081,0.8,0.8
84.0,1.0,1.2033725583168082,1.5,1.2
-53.0,1.0,1.2976891524038288,1.5,2.0
-18.0,1.0,1.2316633262350738,1.5,1.2
-19.5,1.0,1.3762761387232447,1.5,2.0
-32.0,1.0,1.137679556436523,0.8,1.2
-33.0,1.0,1.380009085696428,1.5,2.0
54.5,1.0,1.248029530409711,1.5,2.0
-15.5,1.0,1.4031633651198039,1.5,1.2
-62.0,1.0,1.1173095510616409,0.8,1.2
22.5,1.0,1.2942059692329915,1.5,2.0
-18.0,1.0,0.955449692763991,0.8,0.8
-55.5,1.0,1.0637992255936477,0.8,1.2
98.0,1.0,1.1720481258045194,0.8,0.8
15.5,1.0,1.0067323231639698,0.8,1.2
17.5,1.0,1.0395190294352137,0.8,0.8
45.5,1.0,1.1743017852269673,0.8,1.2
22.5,1.0,1.2990055770785829,1.5,1.2
-45.5,1.0,1.9427880697606885,2.0,2.0
-4.0,1.0,1.8631544145703205,2.0,1.2
185.0,1.0,2.325970829920378,2.0,1.2
56.0,1.0,2.127148804784776,2.0,1.2
53.5,1.0,2.749541391701552,2.0,1.2
-3.5,1.0,2.07177963761747,2.0,1.2
-24.5,1.0,1.850741977795451,2.0,2.0
-17.0,1.0,2.1211556887231353,2.0,2.0
-20.0,1.0,1.9296849475273667,2.0,1.2
-5.5,1.0,1.5110195146116232,1.5,1.2
-5.0,1.0,1.798341213119199,2.0,1.2
197.5,1.0,1.9017981680671503,2.0,1.2
54.5,1.0,1.7976562608388171,2.0,2.0
-31.0,1.0,1.6714107697471325,1.5,2.0
-41.0,1.0,1.8835960475141924,2.0,1.2
-14.5,1.0,1.8520125085756574,2.0,1.2
-54.5,1.0,1.4400977859642086,1.5,2.0
-22.5,1.0,1.1685850401559645,0.8,1.2
-37.5,1.0,1.399359444529765,1.5,2.0
88.5,1.0,1.780520915763503,2.0,1.2
-22.0,1.0,1.9371412441549842,2.0,2.0
