**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

skip_zones,b6_thr,p_early_min,n_total,n_kept,n_skipped,keep_rate,mean_pnl_kept,mean_pnl_skipped,total_pnl_kept,total_pnl_skipped,per_day_kept,pos_pct_kept,delta_per_leg,delta_per_day,pct_capture
CLEAR|WATCH,0.5,0.3,1827,522,1305,0.2857142857142857,82.85919540229885,64.94227330779056,43252.5,84749.66666666667,1351.640625,0.9808429118773946,12.797801496077355,-2648.4270833333335,0.33790443651344443
none,0.5,0.4,1827,287,1540,0.15708812260536398,82.29094076655052,67.78225108225108,23617.5,104384.66666666667,738.046875,0.9686411149825784,12.229546860329023,-3262.0208333333335,0.18450859555762728
CLEAR|WATCH,0.0,0.2,1827,904,923,0.49480021893814996,82.24594395280236,58.12766341639581,74350.33333333334,53651.833333333336,2323.447916666667,0.9811946902654868,12.184550046580867,-1676.6197916666665,0.5808521470339695
none,0.6,0.4,1827,191,1636,0.10454296661193213,82.23560209424083,68.64007742461288,15707.0,112295.16666666667,490.84375,0.9581151832460733,12.174208188019335,-3509.2239583333335,0.12270886039689431
none,0.4,0.4,1827,380,1447,0.20799124247400108,82.09210526315789,66.90198111034324,31195.0,96807.16666666667,974.84375,0.9763157894736842,12.030711356936393,-3025.2239583333335,0.24370681225448007
CLEAR|WATCH,0.0,0.0,1827,951,876,0.5205254515599343,82.08184367332633,57.011796042617966,78059.83333333334,49942.333333333336,2439.369791666667,0.9810725552050473,12.020449767104836,-1560.6979166666665,0.6098321252374634
none,0.3,0.4,1827,429,1398,0.2348111658456486,81.6969696969697,66.490820219361,35048.0,92954.16666666667,1095.25,0.9766899766899767,11.635575790748206,-2904.8177083333335,0.2738078652314479
CLEAR|WATCH,0.6,0.0,1827,597,1230,0.32676518883415434,81.31574539363484,64.59891598915989,48545.5,79456.66666666667,1517.046875,0.9765494137353434,11.254351487413345,-2483.0208333333335,0.3792552990639481
CLEAR|WATCH,0.3,0.2,1827,871,956,0.4767378215654078,81.28013777267509,59.840132496513256,70795.0,57207.16666666667,2212.34375,0.9804822043628014,11.218743866453593,-1787.7239583333335,0.5530765755267163
CLEAR|WATCH,0.5,0.2,1827,724,1103,0.39627805145046524,81.27831491712708,62.69870051375038,58845.5,69156.66666666667,1838.921875,0.9792817679558011,11.21692101090558,-2161.1458333333335,0.4597226869857671
CLEAR|WATCH,0.3,0.0,1827,917,910,0.5019157088122606,81.19574700109051,58.84139194139195,74456.5,53545.66666666667,2326.765625,0.9803707742639041,11.134353094869013,-1673.3020833333335,0.5816815600777591
CLEAR|WATCH,0.4,0.2,1827,827,1000,0.4526546250684182,81.19286577992744,60.85566666666667,67146.5,60855.66666666667,2098.328125,0.9818621523579202,11.131471873705948,-1901.7395833333335,0.5245731517565457
CLEAR|WATCH,0.6,0.2,1827,554,1273,0.3032293377120963,81.18140794223827,65.22204765645458,44974.5,83027.66666666667,1405.453125,0.9765342960288809,11.12001403601677,-2594.6145833333335,0.35135733379513107
CLEAR|WATCH,0.5,0.0,1827,770,1057,0.421455938697318,81.17792207792208,61.96326080100915,62507.0,65495.16666666667,1953.34375,0.9792207792207792,11.11652817170058,-2046.7239583333335,0.4883276715368099
CLEAR|WATCH,0.4,0.0,1827,873,954,0.47783251231527096,81.10882016036655,59.95195667365479,70808.0,57194.16666666667,2212.75,0.981672394043528,11.047426254145051,-1787.3177083333335,0.5531781363075885
CLEAR,0.6,0.3,1827,486,1341,0.2660098522167488,80.78292181069959,66.17573949788715,39260.5,88741.66666666667,1226.890625,0.9711934156378601,10.721527904478094,-2773.1770833333335,0.30671746441791997
none,0.6,0.3,1827,515,1312,0.28188286808976465,80.22233009708738,66.07291666666667,41314.5,86687.66666666667,1291.078125,0.9689320388349515,10.160936190865883,-2708.9895833333335,0.3227640677957274
CLEAR,0.0,0.3,1827,912,915,0.49917898193760263,79.65460526315789,60.499635701275054,72645.0,55357.16666666667,2270.15625,0.9747807017543859,9.593211356936393,-1729.9114583333335,0.5675294558816062
CLEAR,0.3,0.3,1827,876,951,0.4794745484400657,78.74885844748859,62.05906063792499,68984.0,59018.16666666667,2155.75,0.973744292237443,8.68746454126709,-1844.3177083333335,0.5389283775144431
CLEAR,0.6,0.2,1827,691,1136,0.37821565407772306,78.51013024602027,64.92224178403757,54250.5,73751.66666666667,1695.328125,0.9725036179450073,8.44873633979877,-2304.7395833333335,0.42382485713132456
CLEAR,0.5,0.3,1827,683,1144,0.3738368910782704,78.25549048316252,65.16928904428904,53448.5,74553.66666666667,1670.265625,0.9707174231332357,8.194096576941021,-2329.8020833333335,0.41755933818828583
CLEAR,0.4,0.3,1827,814,1013,0.4455391351943076,78.05466830466831,63.63836788417243,63536.5,64465.66666666667,1985.515625,0.9754299754299754,7.993274398446815,-2014.5520833333335,0.49637050414511213
CLEAR,0.6,0.0,1827,748,1079,0.4094143404488232,77.99598930481284,64.56085881989497,58341.0,69661.16666666667,1823.15625,0.9732620320855615,7.934595398591341,-2176.9114583333335,0.4557813474511499
CLEAR,0.0,0.2,1827,1221,606,0.6683087027914614,77.32828282828284,55.419691969196926,94417.83333333334,33584.333333333336,2950.557291666667,0.9746109746109746,7.266888922061341,-1049.5104166666665,0.7376268370457272
none,0.6,0.2,1827,755,1072,0.4132457580733443,77.09867549668874,65.10509950248756,58209.5,69792.66666666667,1819.046875,0.9708609271523179,7.037281590467245,-2181.0208333333335,0.45475402109078883
none,0.5,0.3,1827,770,1057,0.421455938697318,77.0056277056277,65.00268054241565,59294.333333333336,68707.83333333334,1852.9479166666667,0.9701298701298702,6.944233799406206,-2147.119791666667,0.4632291380484445
CLEAR,0.0,0.0,1827,1290,537,0.7060755336617406,76.70994832041345,54.09000620732465,98955.83333333334,29046.333333333336,3092.369791666667,0.9744186046511628,6.648554414191949,-907.6979166666665,0.773079361937884
CLEAR,0.5,0.2,1827,951,876,0.5205254515599343,76.53259726603575,63.0361491628615,72782.5,55219.66666666667,2274.453125,0.9726603575184016,6.471203359814254,-1725.6145833333335,0.5686036564485236
CLEAR,0.3,0.2,1827,1180,647,0.6458675424192666,76.5042372881356,58.31092220504895,90275.0,37727.16666666667,2821.09375,0.9737288135593221,6.442843381914102,-1178.9739583333335,0.7052614994798265
CLEAR,0.4,0.2,1827,1114,713,0.6097427476737821,76.02692998204668,60.74076671341749,84694.0,43308.16666666667,2646.6875,0.9757630161579892,5.9655360758251845,-1353.3802083333335,0.6616606750146156
none,0.0,0.3,1827,1174,653,0.6425834701696771,76.02072685973879,59.34737110770802,89248.33333333334,38753.833333333336,2789.010416666667,0.9710391822827938,5.95933295351729,-1211.0572916666665,0.6972408019135093
none,0.3,0.3,1827,1098,729,0.6009852216748769,75.97024893746206,61.16163694558757,83415.33333333334,44586.833333333336,2606.729166666667,0.970856102003643,5.908855031240563,-1393.3385416666665,0.6516712607729297
CLEAR,0.3,0.0,1827,1248,579,0.6830870279146142,75.93349358974359,57.404432930339674,94765.0,33237.16666666667,2961.40625,0.9735576923076923,5.872099683522094,-1038.6614583333335,0.7403390307195321
none,0.4,0.3,1827,993,834,0.5435139573070608,75.90668009399128,63.10171862509992,75375.33333333334,52626.833333333336,2355.479166666667,0.972809667673716,5.845286187769787,-1644.5885416666665,0.5888598239873545
CLEAR,0.5,0.0,1827,1017,810,0.5566502463054187,75.90462143559489,62.72489711934157,77195.0,50807.16666666667,2412.34375,0.9734513274336283,5.843227529373394,-1587.7239583333335,0.6030757291868757
none,0.6,0.0,1827,837,990,0.458128078817734,75.74313022700119,65.25774410774412,63397.0,64605.16666666667,1981.15625,0.972520908004779,5.681736320779692,-2018.9114583333335,0.49528067884267585
CLEAR,0.4,0.0,1827,1181,646,0.6464148877941981,75.44834885690094,60.21310629514964,89104.5,38897.66666666667,2784.515625,0.9754445385266723,5.3869549506794385,-1215.5520833333335,0.6961171230174489
none,0.5,0.2,1827,1130,697,0.6185002736726875,73.69188790560473,64.17551410808225,83271.83333333334,44730.333333333336,2602.244791666667,0.968141592920354,3.6304939993832335,-1397.8229166666665,0.6505501859994558
none,0.4,0.2,1827,1433,394,0.7843459222769568,72.18550825773437,62.33587140439933,103441.83333333334,24560.333333333336,3232.557291666667,0.9692951849267272,2.1241143515128726,-767.5104166666665,0.8081256437065519
none,0.5,0.0,1827,1255,572,0.6869184455391352,72.1046480743692,65.57837995337995,90491.33333333334,37510.833333333336,2827.854166666667,0.9681274900398407,2.0432541681476977,-1172.2135416666665,0.7069515750384434
none,0.3,0.2,1827,1560,267,0.8538587848932676,71.96848290598291,58.91885143570538,112270.83333333334,15731.333333333336,3508.463541666667,0.9666666666666667,1.907088999761413,-491.6041666666665,0.8771010386542937
none,0.0,0.2,1827,1661,166,0.9091406677613574,71.77523580172587,52.91265060240964,119218.66666666667,8783.5,3725.5833333333335,0.9656833232992174,1.7138418955043733,-274.484375,0.9313800677853109
none,0.4,0.0,1827,1574,253,0.8615216201423098,70.72892842016095,65.90843214756259,111327.33333333334,16674.833333333336,3478.979166666667,0.968869123252859,0.667534513939458,-521.0885416666665,0.8697300696732998
