day,split,direction,entry_ts,actual_exit_ts,entry_price,actual_exit_price,actual_pnl,actual_exit_reason,bayes_exit_ts,bayes_exit_price,bayes_exit_reason,bayes_pnl,p_final_at_exit,delta_vs_actual
2025_10_29,IS,long,1761756660,1761756720,26254.25,26258.5,8.5,z_se_retracement,1761756720,26258.5,oracle_never_fired,8.5,,0.0
2025_10_29,IS,long,1761760620,1761760625,26249.0,26249.0,0.0,z_15s_overshoot,1761760625,26249.0,oracle_never_fired,0.0,,0.0
2025_10_29,IS,short,1761763860,1761764040,26182.0,26191.75,-19.5,z_se_retracement,1761764005,26182.75,bayes_exit_p0.94_t5_cap0,-1.5,0.935,18.0
2025_10_29,IS,short,1761764820,1761765000,26207.25,26200.75,13.0,z_se_retracement,1761765000,26200.75,oracle_never_fired,13.0,,0.0
2025_10_29,IS,long,1761766200,1761766260,26203.0,26188.25,-29.5,z_se_retracement,1761766260,26188.25,oracle_never_fired,-29.5,,0.0
2025_10_29,IS,long,1761766320,1761766325,26179.25,26179.25,0.0,z_15s_overshoot,1761766325,26179.25,oracle_never_fired,0.0,,0.0
2025_10_29,IS,long,1761766380,1761766500,26176.75,26165.5,-22.5,z_se_retracement,1761766500,26165.5,oracle_never_fired,-22.5,,0.0
2025_10_29,IS,short,1761766740,1761766860,26210.5,26192.25,36.5,z_se_retracement,1761766860,26192.25,oracle_never_fired,36.5,,0.0
2025_10_29,IS,long,1761769320,1761769365,26193.0,26193.0,0.0,z_15s_overshoot,1761769365,26193.0,oracle_never_fired,0.0,,0.0
2025_10_29,IS,long,1761771300,1761771305,26240.25,26240.25,0.0,z_15s_overshoot,1761771305,26240.25,oracle_never_fired,0.0,,0.0
2025_10_29,IS,short,1761777120,1761777135,26200.25,26200.25,0.0,z_15s_overshoot,1761777135,26200.25,oracle_never_fired,0.0,,0.0
2025_10_29,IS,short,1761777180,1761777300,26203.25,26208.25,-10.0,z_15s_overshoot,1761777300,26208.25,oracle_never_fired,-10.0,,0.0
2025_10_29,IS,short,1761777300,1761777310,26208.25,26208.25,0.0,z_15s_overshoot,1761777310,26208.25,oracle_never_fired,0.0,,0.0
2025_10_29,IS,short,1761777360,1761777420,26208.25,26207.5,1.5,z_se_retracement,1761777420,26207.5,oracle_never_fired,1.5,,0.0
2025_10_29,IS,short,1761778140,1761778200,26203.5,26207.5,-8.0,z_se_retracement,1761778200,26207.5,oracle_never_fired,-8.0,,0.0
2025_10_29,IS,short,1761778380,1761778440,26206.25,26201.25,10.0,z_se_retracement,1761778440,26201.25,oracle_never_fired,10.0,,0.0
2025_10_29,IS,long,1761778800,1761778815,26196.75,26196.75,0.0,z_15s_overshoot,1761778815,26196.75,oracle_never_fired,0.0,,0.0
2025_10_29,IS,long,1761778860,1761778920,26198.25,26202.75,9.0,z_se_retracement,1761778920,26202.75,oracle_never_fired,9.0,,0.0
2025_10_29,IS,short,1761778980,1761778985,26201.75,26201.75,0.0,z_15s_overshoot,1761778985,26201.75,oracle_never_fired,0.0,,0.0
2025_10_29,IS,short,1761779160,1761779220,26201.0,26198.25,5.5,z_se_retracement,1761779220,26198.25,oracle_never_fired,5.5,,0.0
2025_10_29,IS,short,1761780060,1761780065,26218.0,26218.0,0.0,z_15s_overshoot,1761780065,26218.0,oracle_never_fired,0.0,,0.0
2025_10_29,IS,short,1761781740,1761781785,26211.75,26211.75,0.0,z_15s_overshoot,1761781785,26211.75,oracle_never_fired,0.0,,0.0
