**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

side,entry_utc,exit_utc,entry_px,exit_px,pnl,dur_min,reason,entry_z_15m,entry_pos,slope_long,slope_short,peak_ticks,worst_ticks
LONG,2026-01-22 20:43:00,2026-01-22 21:28:00,25613.25,25658.25,90.0,45.0,time_stop,-2.073,-0.447,-1.631,0.567,193.0,0.0
LONG,2026-01-22 23:08:00,2026-01-22 23:53:00,25599.0,25606.5,15.0,45.0,time_stop,-1.745,-0.41,-4.831,0.396,114.0,-63.0
SHORT,2026-01-23 01:15:00,2026-01-23 02:00:00,25673.25,25680.25,-14.0,45.0,time_stop,1.812,0.709,0.924,-0.15,51.0,-55.0
SHORT,2026-01-23 03:27:00,2026-01-23 04:12:00,25706.5,25693.75,25.5,45.0,time_stop,2.074,1.197,1.029,-0.154,65.0,0.0
SHORT,2026-01-23 06:11:00,2026-01-23 06:12:00,25715.75,25717.25,-3.0,1.0,stop_z_extension,2.817,1.629,1.017,-0.5,0.0,-6.0
SHORT,2026-01-23 06:27:00,2026-01-23 07:00:00,25724.5,25705.25,38.5,33.0,target_15m_mean,2.739,1.719,0.779,-0.458,77.0,-11.0
LONG,2026-01-23 07:53:00,2026-01-23 08:01:00,25688.75,25675.25,-27.0,8.0,stop_z_extension,-2.243,1.016,-1.512,0.275,14.0,-54.0
LONG,2026-01-23 08:41:00,2026-01-23 08:43:00,25620.5,25620.0,-1.0,2.0,stop_z_extension,-2.776,-0.718,-1.746,1.054,29.0,-2.0
LONG,2026-01-23 09:00:00,2026-01-23 09:45:00,25614.0,25546.75,-134.5,45.0,time_stop,-1.529,-0.926,-2.26,0.571,52.0,-269.0
SHORT,2026-01-23 11:39:00,2026-01-23 12:24:00,25647.0,25606.5,81.0,45.0,time_stop,1.866,0.386,1.914,-0.6,192.0,-4.0
SHORT,2026-01-23 15:10:00,2026-01-23 15:11:00,25707.75,25702.25,11.0,1.0,stop_z_extension,3.536,1.496,5.927,-0.238,22.0,0.0
SHORT,2026-01-23 15:30:00,2026-01-23 15:34:00,25754.5,25772.25,-35.5,4.0,stop_z_extension,2.45,2.241,5.424,-0.846,3.0,-71.0
SHORT,2026-01-23 16:08:00,2026-01-23 16:53:00,25817.75,25799.25,37.0,45.0,time_stop,1.852,3.093,1.173,-2.621,203.0,-46.0
LONG,2026-01-23 21:24:00,2026-01-23 21:25:00,25692.75,25690.0,-5.5,1.0,stop_z_extension,-2.608,0.651,-2.368,0.9,0.0,-11.0
LONG,2026-01-25 23:12:00,2026-01-25 23:13:00,25497.25,25489.75,-15.0,1.0,stop_z_extension,-8.745,-1.99,-10.917,3.625,0.0,-30.0
SHORT,2026-01-26 05:28:00,2026-01-26 05:34:00,25665.0,25675.25,-20.5,6.0,stop_z_extension,2.693,0.22,1.45,-0.475,14.0,-41.0
SHORT,2026-01-26 06:10:00,2026-01-26 06:13:00,25681.5,25688.5,-14.0,3.0,stop_z_extension,2.323,0.804,1.119,-0.167,7.0,-28.0
SHORT,2026-01-26 08:04:00,2026-01-26 08:23:00,25710.0,25727.25,-34.5,19.0,stop_z_extension,1.66,1.263,0.849,-0.696,26.0,-69.0
LONG,2026-01-26 09:57:00,2026-01-26 10:42:00,25610.0,25660.25,100.5,45.0,time_stop,-2.764,-0.177,-2.89,1.892,250.0,0.0
SHORT,2026-01-26 12:16:00,2026-01-26 13:01:00,25704.75,25694.25,21.0,45.0,time_stop,1.955,1.409,1.694,-0.129,109.0,0.0
SHORT,2026-01-26 14:13:00,2026-01-26 14:34:00,25725.25,25770.5,-90.5,21.0,stop_z_extension,1.992,1.583,0.669,-0.629,34.0,-181.0
SHORT,2026-01-26 14:52:00,2026-01-26 14:53:00,25824.0,25839.5,-31.0,1.0,stop_z_extension,2.837,3.068,2.24,-1.85,0.0,-62.0
SHORT,2026-01-26 15:27:00,2026-01-26 16:12:00,25856.75,25889.0,-64.5,45.0,time_stop,1.969,3.54,4.366,-0.933,75.0,-143.0
LONG,2026-01-26 20:24:00,2026-01-26 20:54:00,25876.75,25859.0,-35.5,30.0,stop_z_extension,-1.75,1.888,-0.938,0.592,57.0,-71.0
LONG,2026-01-26 21:09:00,2026-01-26 21:54:00,25849.25,25863.5,28.5,45.0,time_stop,-2.229,1.31,-0.325,1.325,83.0,-13.0
SHORT,2026-01-27 00:46:00,2026-01-27 01:31:00,25898.0,25916.5,-37.0,45.0,time_stop,1.535,1.699,0.54,-0.15,5.0,-74.0
SHORT,2026-01-27 01:57:00,2026-01-27 02:08:00,25923.5,25941.75,-36.5,11.0,stop_z_extension,1.898,1.784,0.495,-0.2,5.0,-73.0
SHORT,2026-01-27 02:47:00,2026-01-27 03:32:00,25956.5,25965.75,-18.5,45.0,time_stop,1.617,2.126,0.971,-0.163,0.0,-81.0
SHORT,2026-01-27 04:17:00,2026-01-27 05:02:00,25992.5,25987.25,10.5,45.0,time_stop,1.521,2.395,1.76,-0.188,41.0,-1.0
SHORT,2026-01-27 06:12:00,2026-01-27 06:13:00,26014.0,26022.5,-17.0,1.0,stop_z_extension,2.456,2.998,1.171,-0.6,0.0,-34.0
LONG,2026-01-27 08:43:00,2026-01-27 09:28:00,25975.0,25986.5,23.0,45.0,time_stop,-2.443,1.583,-0.56,0.908,72.0,-8.0
SHORT,2026-01-27 10:58:00,2026-01-27 11:34:00,26000.25,26024.5,-48.5,36.0,stop_z_extension,1.543,1.898,0.338,-1.117,21.0,-97.0
SHORT,2026-01-27 11:58:00,2026-01-27 12:26:00,26034.25,26000.0,68.5,28.0,target_15m_mean,2.541,2.611,0.823,-0.467,137.0,0.0
LONG,2026-01-27 13:57:00,2026-01-27 14:34:00,25988.75,25961.75,-54.0,37.0,stop_z_extension,-1.852,0.619,-1.351,0.183,74.0,-108.0
SHORT,2026-01-27 15:07:00,2026-01-27 15:09:00,26041.0,26066.25,-50.5,2.0,stop_z_extension,1.732,1.672,1.484,-1.804,0.0,-101.0
SHORT,2026-01-27 15:51:00,2026-01-27 16:36:00,26075.75,26090.25,-29.0,45.0,time_stop,1.574,2.584,0.579,-0.654,38.0,-109.0
LONG,2026-01-27 18:10:00,2026-01-27 18:20:00,26050.0,26078.0,56.0,10.0,target_15m_mean,-1.681,1.177,-1.034,0.958,112.0,0.0
SHORT,2026-01-27 21:53:00,2026-01-27 23:00:00,26109.75,26133.0,-46.5,67.0,stop_z_extension,1.592,1.939,0.595,-0.254,5.0,-93.0
SHORT,2026-01-27 23:18:00,2026-01-28 00:03:00,26136.0,26138.0,-4.0,45.0,time_stop,2.005,2.245,0.417,-0.204,24.0,-21.0
SHORT,2026-01-28 00:20:00,2026-01-28 00:42:00,26157.5,26204.0,-93.0,22.0,stop_z_extension,1.554,2.311,1.286,-0.204,2.0,-186.0
SHORT,2026-01-28 01:17:00,2026-01-28 02:02:00,26221.25,26213.25,16.0,45.0,time_stop,1.655,3.206,1.021,-0.308,71.0,-19.0
SHORT,2026-01-28 04:18:00,2026-01-28 05:03:00,26223.25,26222.75,1.0,45.0,time_stop,1.521,2.69,0.68,-0.121,37.0,-12.0
SHORT,2026-01-28 05:58:00,2026-01-28 06:00:00,26248.25,26298.5,-100.5,2.0,stop_z_extension,2.338,3.213,0.49,-0.179,10.0,-201.0
SHORT,2026-01-28 06:25:00,2026-01-28 06:26:00,26309.75,26308.25,3.0,1.0,stop_z_extension,2.852,4.597,1.246,-0.175,6.0,0.0
SHORT,2026-01-28 06:43:00,2026-01-28 07:28:00,26317.25,26306.0,22.5,45.0,time_stop,2.352,5.145,1.244,-0.688,79.0,-33.0
LONG,2026-01-28 09:11:00,2026-01-28 09:12:00,26284.0,26275.75,-16.5,1.0,stop_z_extension,-1.996,1.853,-0.93,0.45,0.0,-33.0
LONG,2026-01-28 09:31:00,2026-01-28 10:16:00,26256.5,26282.0,51.0,45.0,time_stop,-2.279,1.711,-1.152,0.308,147.0,-1.0
LONG,2026-01-28 13:47:00,2026-01-28 14:32:00,26261.75,26282.0,40.5,45.0,target_15m_mean,-1.57,0.604,-0.97,0.296,86.0,-90.0
LONG,2026-01-28 15:18:00,2026-01-28 15:34:00,26229.0,26195.25,-67.5,16.0,stop_z_extension,-1.759,-0.273,-2.075,1.783,64.0,-135.0
LONG,2026-01-28 15:53:00,2026-01-28 15:58:00,26180.25,26163.75,-33.0,5.0,stop_z_extension,-2.314,-1.28,-3.091,0.354,0.0,-66.0
LONG,2026-01-28 16:30:00,2026-01-28 17:15:00,26162.5,26144.5,-36.0,45.0,time_stop,-1.57,-1.265,-0.691,3.171,0.0,-216.0
SHORT,2026-01-28 19:58:00,2026-01-28 20:05:00,26189.25,26187.5,3.5,7.0,stop_z_extension,2.783,-0.432,3.005,-1.283,114.0,0.0
SHORT,2026-01-28 20:20:00,2026-01-28 20:22:00,26191.0,26207.0,-32.0,2.0,stop_z_extension,1.931,-0.106,0.517,-1.333,0.0,-64.0
SHORT,2026-01-28 21:41:00,2026-01-28 21:42:00,26263.75,26268.75,-10.0,1.0,stop_z_extension,2.609,1.073,0.366,-0.683,0.0,-20.0
LONG,2026-01-29 01:34:00,2026-01-29 02:19:00,26097.75,26139.75,84.0,45.0,time_stop,-1.662,-0.286,-1.167,3.85,200.0,-17.0
SHORT,2026-01-29 03:27:00,2026-01-29 04:12:00,26184.5,26199.0,-29.0,45.0,time_stop,1.525,0.693,0.954,-0.304,18.0,-68.0
SHORT,2026-01-29 04:27:00,2026-01-29 05:12:00,26213.5,26216.75,-6.5,45.0,time_stop,1.552,1.051,1.404,-0.167,2.0,-72.0
SHORT,2026-01-29 06:21:00,2026-01-29 07:06:00,26261.75,26242.25,39.0,45.0,time_stop,1.808,1.571,0.726,-0.183,114.0,0.0
LONG,2026-01-29 10:10:00,2026-01-29 10:12:00,26216.25,26206.0,-20.5,2.0,stop_z_extension,-2.378,0.593,-0.759,1.512,2.0,-41.0
LONG,2026-01-29 11:09:00,2026-01-29 11:54:00,26198.0,26194.25,-7.5,45.0,time_stop,-1.516,0.207,-1.05,1.029,18.0,-73.0
LONG,2026-01-29 12:50:00,2026-01-29 13:35:00,26175.25,26191.75,33.0,45.0,target_15m_mean,-1.541,-0.172,-1.728,0.596,66.0,-89.0
LONG,2026-01-29 14:10:00,2026-01-29 14:13:00,26159.75,26150.75,-18.0,3.0,stop_z_extension,-2.087,-0.452,-2.617,0.508,11.0,-36.0
SHORT,2026-01-29 21:05:00,2026-01-29 21:08:00,25978.5,25997.75,-38.5,3.0,stop_z_extension,2.409,0.669,4.111,-0.921,41.0,-77.0
SHORT,2026-01-29 21:37:00,2026-01-29 23:00:00,25993.5,25997.75,-8.5,83.0,time_stop,1.651,0.666,3.336,-1.392,81.0,-35.0
LONG,2026-01-30 01:12:00,2026-01-30 01:39:00,25896.5,25841.75,-109.5,27.0,stop_z_extension,-1.926,0.502,-1.198,0.829,39.0,-219.0
LONG,2026-01-30 02:09:00,2026-01-30 02:29:00,25838.0,25751.75,-172.5,20.0,stop_z_extension,-1.622,0.198,-0.864,0.129,24.0,-345.0
LONG,2026-01-30 06:24:00,2026-01-30 06:25:00,25790.75,25789.25,-3.0,1.0,stop_z_extension,-3.11,-0.281,-1.879,1.317,0.0,-6.0
LONG,2026-01-30 06:53:00,2026-01-30 06:57:00,25786.25,25749.0,-74.5,4.0,stop_z_extension,-1.713,-0.407,-2.085,0.546,21.0,-149.0
LONG,2026-01-30 07:51:00,2026-01-30 08:36:00,25730.5,25701.0,-59.0,45.0,time_stop,-1.705,-0.941,-1.135,1.146,134.0,-165.0
LONG,2026-01-30 09:23:00,2026-01-30 09:46:00,25704.5,25666.0,-77.0,23.0,stop_z_extension,-1.76,-0.841,-1.986,2.067,61.0,-154.0
SHORT,2026-01-30 10:43:00,2026-01-30 11:12:00,25766.0,25804.5,-77.0,29.0,stop_z_extension,1.849,-0.278,3.015,-0.638,33.0,-154.0
SHORT,2026-01-30 11:31:00,2026-01-30 11:58:00,25818.0,25879.25,-122.5,27.0,stop_z_extension,1.811,0.39,0.971,-0.117,86.0,-245.0
LONG,2026-01-30 16:28:00,2026-01-30 16:43:00,25797.25,25843.75,93.0,15.0,target_15m_mean,-1.627,0.164,-4.658,1.262,186.0,-41.0
LONG,2026-01-30 17:13:00,2026-01-30 17:14:00,25704.5,25703.0,-3.0,1.0,stop_z_extension,-3.265,-0.378,-4.729,0.842,0.0,-6.0
LONG,2026-01-30 17:41:00,2026-01-30 18:22:00,25730.75,25575.75,-310.0,41.0,stop_z_extension,-1.576,-0.067,-3.84,0.796,115.0,-620.0
LONG,2026-01-30 18:40:00,2026-01-30 18:58:00,25625.0,25756.75,263.5,18.0,target_15m_mean,-1.893,-0.978,-3.028,0.633,527.0,-7.0
LONG,2026-01-30 20:14:00,2026-01-30 20:46:00,25616.0,25672.25,112.5,32.0,target_15m_mean,-1.929,-0.644,-3.165,0.721,225.0,-148.0
LONG,2026-02-02 01:56:00,2026-02-02 02:41:00,25413.75,25428.0,28.5,45.0,time_stop,-1.732,-1.603,-1.949,2.479,130.0,-50.0
LONG,2026-02-02 06:05:00,2026-02-02 06:50:00,25238.25,25198.5,-79.5,45.0,time_stop,-1.591,-1.341,-1.085,0.246,34.0,-187.0
SHORT,2026-02-02 08:12:00,2026-02-02 08:13:00,25377.0,25383.0,-12.0,1.0,stop_z_extension,2.658,-0.052,2.838,-0.746,0.0,-24.0
SHORT,2026-02-02 08:32:00,2026-02-02 09:17:00,25404.5,25392.25,24.5,45.0,time_stop,2.019,0.068,1.12,-0.158,178.0,-45.0
SHORT,2026-02-02 09:33:00,2026-02-02 10:18:00,25461.0,25445.5,31.0,45.0,time_stop,1.701,0.604,1.974,-0.825,103.0,-10.0
SHORT,2026-02-02 12:14:00,2026-02-02 12:20:00,25476.0,25502.25,-52.5,6.0,stop_z_extension,1.619,1.247,1.785,-0.246,0.0,-105.0
SHORT,2026-02-02 12:37:00,2026-02-02 13:05:00,25506.0,25459.5,93.0,28.0,target_15m_mean,1.982,1.565,0.945,-0.492,186.0,-73.0
SHORT,2026-02-02 14:08:00,2026-02-02 14:30:00,25527.0,25623.5,-193.0,22.0,stop_z_extension,1.558,2.108,1.529,-0.154,24.0,-386.0
SHORT,2026-02-02 14:58:00,2026-02-02 14:59:00,25732.5,25752.75,-40.5,1.0,stop_z_extension,3.123,4.375,5.292,-1.833,0.0,-81.0
SHORT,2026-02-02 15:28:00,2026-02-02 16:13:00,25871.5,25851.25,40.5,45.0,time_stop,2.27,4.716,2.475,-0.975,241.0,-129.0
SHORT,2026-02-02 18:01:00,2026-02-02 18:46:00,25932.5,25927.25,10.5,45.0,time_stop,1.826,3.97,1.708,-0.446,131.0,-10.0
LONG,2026-02-02 19:47:00,2026-02-02 19:53:00,25893.0,25882.25,-21.5,6.0,stop_z_extension,-1.912,3.305,-0.642,0.775,2.0,-43.0
SHORT,2026-02-02 23:15:00,2026-02-02 23:35:00,25926.5,25960.75,-68.5,20.0,stop_z_extension,1.922,2.396,3.384,-1.033,18.0,-137.0
SHORT,2026-02-03 00:32:00,2026-02-03 01:17:00,25975.25,25986.0,-21.5,45.0,time_stop,1.549,2.484,2.39,-0.525,112.0,-48.0
LONG,2026-02-03 02:45:00,2026-02-03 03:30:00,25903.25,25941.0,75.5,45.0,time_stop,-2.192,1.142,-1.489,0.354,164.0,-1.0
SHORT,2026-02-03 04:39:00,2026-02-03 05:24:00,25975.75,25976.0,-0.5,45.0,time_stop,1.54,1.381,1.72,-0.262,80.0,-33.0
SHORT,2026-02-03 05:58:00,2026-02-03 06:43:00,25988.0,26005.5,-35.0,45.0,time_stop,1.582,1.596,1.171,-0.204,51.0,-70.0
LONG,2026-02-03 08:49:00,2026-02-03 09:05:00,25981.25,26007.5,52.5,16.0,target_15m_mean,-1.57,1.33,-0.31,0.662,105.0,-38.0
LONG,2026-02-03 09:23:00,2026-02-03 10:08:00,25969.25,25980.5,22.5,45.0,time_stop,-1.966,1.105,-0.644,0.454,63.0,-33.0
SHORT,2026-02-03 12:27:00,2026-02-03 13:12:00,25981.25,26001.0,-39.5,45.0,time_stop,1.889,0.569,0.785,-0.258,6.0,-79.0
LONG,2026-02-03 14:24:00,2026-02-03 14:31:00,25942.5,25890.75,-103.5,7.0,stop_z_extension,-1.657,0.013,-1.123,0.858,17.0,-207.0
SHORT,2026-02-03 20:43:00,2026-02-03 20:55:00,25385.25,25437.0,-103.5,12.0,stop_z_extension,1.821,-2.21,5.121,-0.592,0.0,-207.0
SHORT,2026-02-03 21:10:00,2026-02-03 21:55:00,25453.5,25416.5,74.0,45.0,time_stop,2.452,-1.219,1.007,-3.396,268.0,0.0
SHORT,2026-02-04 01:28:00,2026-02-04 02:13:00,25442.25,25460.0,-35.5,45.0,time_stop,1.85,-0.173,0.654,-0.35,100.0,-116.0
SHORT,2026-02-04 06:19:00,2026-02-04 06:36:00,25450.25,25468.5,-36.5,17.0,stop_z_extension,1.571,1.114,0.866,-0.137,36.0,-73.0
SHORT,2026-02-04 06:53:00,2026-02-04 07:38:00,25478.75,25502.75,-48.0,45.0,time_stop,2.35,1.345,0.794,-0.904,36.0,-96.0
SHORT,2026-02-04 07:58:00,2026-02-04 08:04:00,25505.0,25462.75,84.5,6.0,target_15m_mean,1.694,1.701,0.444,-0.217,169.0,-6.0
LONG,2026-02-04 08:34:00,2026-02-04 09:19:00,25424.0,25383.0,-82.0,45.0,time_stop,-1.529,0.597,-4.612,1.492,118.0,-172.0
LONG,2026-02-04 09:51:00,2026-02-04 10:19:00,25371.0,25440.75,139.5,28.0,target_15m_mean,-1.672,-0.117,-0.317,0.842,279.0,0.0
SHORT,2026-02-04 11:45:00,2026-02-04 12:26:00,25470.25,25427.5,85.5,41.0,target_15m_mean,1.559,1.053,1.36,-1.658,171.0,-68.0
LONG,2026-02-04 12:49:00,2026-02-04 13:05:00,25408.75,25385.25,-47.0,16.0,stop_z_extension,-1.578,0.173,-1.371,1.95,33.0,-94.0
LONG,2026-02-04 13:28:00,2026-02-04 13:50:00,25390.75,25348.25,-85.0,22.0,stop_z_extension,-1.969,-0.272,-0.544,0.329,34.0,-170.0
LONG,2026-02-04 14:12:00,2026-02-04 14:31:00,25352.0,25265.75,-172.5,19.0,stop_z_extension,-1.978,-1.038,-2.233,0.808,134.0,-345.0
LONG,2026-02-04 14:51:00,2026-02-04 14:52:00,25290.5,25277.5,-26.0,1.0,stop_z_extension,-2.568,-1.129,-0.72,0.192,0.0,-52.0
SHORT,2026-02-04 20:03:00,2026-02-04 20:48:00,25078.25,25085.75,-15.0,45.0,time_stop,1.758,-0.52,1.056,-3.104,180.0,-62.0
SHORT,2026-02-04 21:44:00,2026-02-04 23:00:00,25154.75,25066.5,176.5,76.0,time_stop,2.126,0.146,6.828,-0.254,353.0,-41.0
SHORT,2026-02-05 01:45:00,2026-02-05 02:03:00,25151.25,25106.0,90.5,18.0,target_15m_mean,1.506,0.628,0.639,-0.388,181.0,0.0
LONG,2026-02-05 02:21:00,2026-02-05 02:58:00,25036.5,24982.5,-108.0,37.0,stop_z_extension,-1.632,0.013,-7.589,0.754,182.0,-216.0
SHORT,2026-02-05 06:39:00,2026-02-05 07:24:00,25045.5,25068.25,-45.5,45.0,time_stop,1.67,0.624,1.115,-0.321,0.0,-143.0
SHORT,2026-02-05 07:54:00,2026-02-05 08:39:00,25083.75,25084.0,-0.5,45.0,time_stop,1.571,0.789,0.556,-1.175,152.0,-136.0
LONG,2026-02-05 09:03:00,2026-02-05 09:26:00,25010.75,25058.75,96.0,23.0,target_15m_mean,-1.607,0.336,-3.18,1.125,192.0,-115.0
LONG,2026-02-05 12:18:00,2026-02-05 12:19:00,24997.5,24974.25,-46.5,1.0,stop_z_extension,-1.926,0.418,-1.14,0.421,0.0,-93.0
LONG,2026-02-05 13:23:00,2026-02-05 14:08:00,24791.5,24808.0,33.0,45.0,time_stop,-1.572,-1.375,-1.636,0.483,249.0,-107.0
LONG,2026-02-05 19:40:00,2026-02-05 20:07:00,24700.5,24781.0,161.0,27.0,target_15m_mean,-1.657,-0.469,-5.87,3.242,322.0,-98.0
LONG,2026-02-05 20:41:00,2026-02-05 21:26:00,24648.5,24549.25,-198.5,45.0,time_stop,-1.682,-0.703,-0.428,2.142,57.0,-430.0
LONG,2026-02-05 21:46:00,2026-02-05 23:00:00,24473.0,24444.5,-57.0,74.0,time_stop,-1.947,-1.394,-5.086,1.188,23.0,-261.0
LONG,2026-02-05 23:28:00,2026-02-06 00:13:00,24403.75,24275.75,-256.0,45.0,time_stop,-1.722,-1.455,-5.61,1.842,86.0,-552.0
SHORT,2026-02-06 02:11:00,2026-02-06 02:56:00,24541.5,24533.75,15.5,45.0,time_stop,2.17,0.082,2.114,-0.621,121.0,-131.0
LONG,2026-02-06 04:45:00,2026-02-06 04:54:00,24465.0,24442.5,-45.0,9.0,stop_z_extension,-2.001,-0.196,-2.429,0.8,48.0,-90.0
SHORT,2026-02-06 05:48:00,2026-02-06 05:53:00,24555.5,24592.25,-73.5,5.0,stop_z_extension,1.611,0.354,1.719,-0.383,20.0,-147.0
SHORT,2026-02-06 06:09:00,2026-02-06 06:54:00,24590.0,24556.5,67.0,45.0,time_stop,2.123,0.692,0.61,-0.162,182.0,-86.0
SHORT,2026-02-06 09:44:00,2026-02-06 10:29:00,24774.5,24718.75,111.5,45.0,time_stop,3.549,2.267,3.369,-0.262,223.0,0.0
SHORT,2026-02-06 11:11:00,2026-02-06 11:56:00,24823.5,24859.75,-72.5,45.0,time_stop,1.577,2.699,1.756,-2.142,68.0,-145.0
SHORT,2026-02-06 14:44:00,2026-02-06 14:45:00,24926.75,24931.75,-10.0,1.0,stop_z_extension,4.795,2.877,11.009,-0.258,0.0,-20.0
SHORT,2026-02-06 15:34:00,2026-02-06 16:13:00,24925.5,25001.75,-152.5,39.0,stop_z_extension,2.082,2.373,2.859,-1.071,384.0,-305.0
SHORT,2026-02-06 16:28:00,2026-02-06 17:13:00,24993.5,25045.0,-103.0,45.0,time_stop,1.837,2.847,0.958,-3.6,24.0,-244.0
SHORT,2026-02-06 20:27:00,2026-02-06 20:40:00,25117.5,25125.75,-16.5,13.0,stop_z_extension,2.612,2.435,1.932,-0.108,64.0,-33.0
SHORT,2026-02-06 20:58:00,2026-02-06 21:43:00,25177.75,25100.5,154.5,45.0,target_15m_mean,3.949,3.013,4.175,-3.521,309.0,0.0
SHORT,2026-02-08 23:12:00,2026-02-08 23:13:00,25240.25,25238.25,4.0,1.0,stop_z_extension,5.167,2.853,10.051,-0.992,8.0,0.0
SHORT,2026-02-08 23:44:00,2026-02-09 00:29:00,25274.0,25294.75,-41.5,45.0,time_stop,2.542,3.061,3.02,-0.112,23.0,-271.0
LONG,2026-02-09 03:35:00,2026-02-09 04:20:00,25204.0,25217.25,26.5,45.0,time_stop,-1.52,1.499,-0.599,0.804,69.0,-57.0
LONG,2026-02-09 05:00:00,2026-02-09 05:20:00,25182.0,25215.5,67.0,20.0,target_15m_mean,-1.767,0.847,-1.291,0.279,134.0,-4.0
LONG,2026-02-09 06:13:00,2026-02-09 06:18:00,25188.0,25164.25,-47.5,5.0,stop_z_extension,-1.503,0.75,-0.45,0.646,28.0,-95.0
LONG,2026-02-09 07:08:00,2026-02-09 07:28:00,25166.5,25138.0,-57.0,20.0,stop_z_extension,-1.704,0.26,-1.269,1.483,28.0,-114.0
LONG,2026-02-09 09:46:00,2026-02-09 09:53:00,25125.25,25105.25,-40.0,7.0,stop_z_extension,-1.925,-0.461,-2.58,0.371,0.0,-80.0
LONG,2026-02-09 10:10:00,2026-02-09 10:13:00,25079.0,25076.5,-5.0,3.0,stop_z_extension,-2.7,-1.258,-2.109,0.642,21.0,-10.0
SHORT,2026-02-09 13:17:00,2026-02-09 13:54:00,25125.25,25078.25,94.0,37.0,target_15m_mean,1.528,0.211,1.97,-2.146,188.0,-113.0
SHORT,2026-02-09 15:14:00,2026-02-09 15:15:00,25214.0,25228.75,-29.5,1.0,stop_z_extension,4.164,1.236,7.108,-0.604,0.0,-59.0
SHORT,2026-02-09 15:43:00,2026-02-09 15:44:00,25258.0,25264.75,-13.5,1.0,stop_z_extension,2.997,1.933,4.842,-0.346,0.0,-27.0
SHORT,2026-02-09 16:04:00,2026-02-09 16:49:00,25320.75,25384.25,-127.0,45.0,time_stop,2.153,2.333,3.194,-0.475,42.0,-256.0
SHORT,2026-02-09 19:23:00,2026-02-09 20:08:00,25405.5,25410.0,-9.0,45.0,time_stop,1.625,2.571,1.555,-0.338,26.0,-89.0
LONG,2026-02-10 00:08:00,2026-02-10 00:13:00,25339.0,25318.0,-42.0,5.0,stop_z_extension,-1.533,1.482,-0.92,0.321,0.0,-84.0
LONG,2026-02-10 02:43:00,2026-02-10 03:05:00,25303.25,25291.75,-23.0,22.0,stop_z_extension,-1.946,0.45,-1.86,0.562,37.0,-46.0
SHORT,2026-02-10 05:43:00,2026-02-10 06:18:00,25341.75,25316.5,50.5,35.0,target_15m_mean,1.742,0.478,2.521,-1.604,101.0,-64.0
LONG,2026-02-10 06:45:00,2026-02-10 07:06:00,25298.5,25329.0,61.0,21.0,target_15m_mean,-1.641,-0.248,-1.294,0.496,122.0,-16.0
SHORT,2026-02-10 09:29:00,2026-02-10 10:04:00,25396.0,25350.0,92.0,35.0,target_15m_mean,2.926,1.735,0.976,-0.117,184.0,-5.0
SHORT,2026-02-10 12:12:00,2026-02-10 12:28:00,25388.0,25412.0,-48.0,16.0,stop_z_extension,1.522,1.561,1.11,-1.829,0.0,-96.0
LONG,2026-02-10 13:15:00,2026-02-10 13:47:00,25322.5,25362.0,79.0,32.0,target_15m_mean,-1.607,-0.052,-2.512,0.208,158.0,-43.0
LONG,2026-02-10 14:48:00,2026-02-10 14:54:00,25262.75,25367.5,209.5,6.0,target_15m_mean,-3.158,-0.254,-5.161,0.188,419.0,0.0
SHORT,2026-02-10 15:27:00,2026-02-10 15:56:00,25412.75,25353.0,119.5,29.0,target_15m_mean,1.544,1.433,0.575,-4.396,239.0,-76.0
LONG,2026-02-10 16:59:00,2026-02-10 17:16:00,25327.25,25370.0,85.5,17.0,target_15m_mean,-1.535,0.322,-1.061,1.846,171.0,-71.0
LONG,2026-02-10 18:25:00,2026-02-10 18:29:00,25312.0,25292.0,-40.0,4.0,stop_z_extension,-2.133,0.091,-3.165,0.125,0.0,-80.0
LONG,2026-02-10 18:54:00,2026-02-10 19:39:00,25278.5,25294.75,32.5,45.0,time_stop,-2.25,-0.389,-1.411,0.221,172.0,0.0
LONG,2026-02-10 21:02:00,2026-02-10 21:47:00,25225.25,25244.25,38.0,45.0,time_stop,-1.688,-0.973,-3.259,1.342,82.0,0.0
SHORT,2026-02-11 01:10:00,2026-02-11 01:55:00,25307.25,25322.0,-29.5,45.0,time_stop,1.913,0.328,1.201,-0.212,18.0,-70.0
SHORT,2026-02-11 04:00:00,2026-02-11 04:27:00,25338.5,25318.75,39.5,27.0,target_15m_mean,2.113,0.988,0.491,-0.179,79.0,0.0
LONG,2026-02-11 04:47:00,2026-02-11 05:16:00,25302.75,25321.75,38.0,29.0,target_15m_mean,-1.719,0.392,-0.969,0.725,76.0,0.0
LONG,2026-02-11 05:39:00,2026-02-11 05:43:00,25300.25,25285.5,-29.5,4.0,stop_z_extension,-1.527,0.405,-1.395,0.842,0.0,-59.0
LONG,2026-02-11 06:26:00,2026-02-11 07:11:00,25282.5,25263.75,-37.5,45.0,time_stop,-1.619,0.252,-0.781,0.908,12.0,-75.0
LONG,2026-02-11 08:26:00,2026-02-11 09:02:00,25241.25,25266.75,51.0,36.0,target_15m_mean,-1.72,-0.976,-1.392,0.233,102.0,-21.0
LONG,2026-02-11 09:47:00,2026-02-11 10:01:00,25223.0,25159.25,-127.5,14.0,stop_z_extension,-1.544,-0.989,-1.939,1.258,16.0,-255.0
