**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

tf,c1,c2,regime_2d,n,pearson
1m,bar_range,vwap_w,FLAT_CHOPPY,18315,-0.414151929616375
1m,bar_range,vol_velocity_w,UP_SMOOTH,7146,0.2604988430103971
1m,bar_range,vol_velocity_w,UP_CHOPPY,3924,0.2515818819587582
1m,bar_range,vol_velocity_w,DOWN_SMOOTH,4662,0.2396239904222247
1m,bar_range,vol_velocity_w,DOWN_CHOPPY,2988,0.2970254644062976
1m,bar_range,vol_velocity_w,FLAT_SMOOTH,9890,0.2963342195686826
1m,bar_range,vol_velocity_w,FLAT_CHOPPY,18315,0.27731813115664616
1m,bar_range,vol_mean_w,UP_SMOOTH,7146,0.5004697682415229
1m,bar_range,vol_mean_w,UP_CHOPPY,3924,0.6241269403383735
1m,bar_range,vol_mean_w,DOWN_SMOOTH,4662,0.6461066761890849
1m,bar_range,vol_mean_w,DOWN_CHOPPY,2988,0.6996374501457068
1m,bar_range,vol_mean_w,FLAT_SMOOTH,9890,0.698818213875573
1m,bar_range,vol_mean_w,FLAT_CHOPPY,18315,0.6616581726836733
1m,bar_range,z_se_w,UP_SMOOTH,7146,0.023617056527470613
1m,bar_range,z_se_w,UP_CHOPPY,3924,0.001624491452130646
1m,bar_range,z_se_w,DOWN_SMOOTH,4662,-0.05102250776851777
1m,bar_range,z_se_w,DOWN_CHOPPY,2988,-0.049480951720604335
1m,bar_range,z_se_w,FLAT_SMOOTH,9890,-0.024412544107410842
1m,bar_range,z_se_w,FLAT_CHOPPY,18315,-0.021161364351268537
1m,bar_range,hurst_w,UP_SMOOTH,7146,0.027744569605847834
1m,bar_range,hurst_w,UP_CHOPPY,3924,0.04756331855767181
1m,bar_range,hurst_w,DOWN_SMOOTH,4662,0.0366236052407227
1m,bar_range,hurst_w,DOWN_CHOPPY,2988,0.006848410373215566
1m,bar_range,hurst_w,FLAT_SMOOTH,9893,-0.013903733302087325
1m,bar_range,hurst_w,FLAT_CHOPPY,18315,0.02525150364912909
1m,bar_range,reversion_prob_w,UP_SMOOTH,7146,-0.21836087852668118
1m,bar_range,reversion_prob_w,UP_CHOPPY,3924,-0.1486027806106591
1m,bar_range,reversion_prob_w,DOWN_SMOOTH,4662,-0.19041943210216292
1m,bar_range,reversion_prob_w,DOWN_CHOPPY,2988,-0.21669290224314008
1m,bar_range,reversion_prob_w,FLAT_SMOOTH,9890,-0.20961941465059375
1m,bar_range,reversion_prob_w,FLAT_CHOPPY,18315,-0.21258516941087519
1m,body,vwap_w,UP_SMOOTH,7146,-0.030553238577398566
1m,body,vwap_w,UP_CHOPPY,3924,-0.005578682865879899
1m,body,vwap_w,DOWN_SMOOTH,4662,0.012704650825795218
1m,body,vwap_w,DOWN_CHOPPY,2988,0.0181678574342729
1m,body,vwap_w,FLAT_SMOOTH,9890,0.007217365385268059
1m,body,vwap_w,FLAT_CHOPPY,18315,0.009222561607268002
1m,body,vol_velocity_w,UP_SMOOTH,7146,0.0714167531350183
1m,body,vol_velocity_w,UP_CHOPPY,3924,-0.07168215651145964
1m,body,vol_velocity_w,DOWN_SMOOTH,4662,-0.09879766051796887
1m,body,vol_velocity_w,DOWN_CHOPPY,2988,-0.09703736417323734
1m,body,vol_velocity_w,FLAT_SMOOTH,9890,-0.04266150172622216
1m,body,vol_velocity_w,FLAT_CHOPPY,18315,-0.02027212499011252
1m,body,vol_mean_w,UP_SMOOTH,7146,0.05679604076707467
1m,body,vol_mean_w,UP_CHOPPY,3924,-0.06126473165788478
1m,body,vol_mean_w,DOWN_SMOOTH,4662,-0.08887296581101341
1m,body,vol_mean_w,DOWN_CHOPPY,2988,-0.0232023991344435
1m,body,vol_mean_w,FLAT_SMOOTH,9890,0.027541691813033606
1m,body,vol_mean_w,FLAT_CHOPPY,18315,0.003757014632757361
1m,body,z_se_w,UP_SMOOTH,7146,0.368669996017291
1m,body,z_se_w,UP_CHOPPY,3924,0.36733349826733597
