tf,X,Y,Z,r_min,r_max,lift,sign_flip
1h,bar_range,hurst_w,vwap_w,-0.038012756387257,0.20466706442470436,0.24267982081196138,False
1h,vol_velocity_w,reversion_prob_w,body,-0.30655330761332045,-0.06441454159431402,0.2421387660190064,False
1h,vwap_w,hurst_w,vol_mean_w,-0.20705437406027136,0.03196214121296721,0.23901651527323858,False
1m,vol_velocity_w,reversion_prob_w,z_se_w,-0.23760648421511252,-0.0015510644736781193,0.2360554197414344,False
5m,vwap_w,vol_mean_w,bar_range,0.0033501597894969944,0.23932009060161932,0.23596993081212234,False
5m,vol_velocity_w,vol_mean_w,z_se_w,-0.060764047414267955,0.1738322227318593,0.23459627014612727,True
1m,vwap_w,vol_mean_w,bar_range,0.007425602209261064,0.2408977919330411,0.23347218972378003,False
5m,bar_range,body,hurst_w,-0.09173511398282409,0.1405587097782333,0.2322938237610574,True
1m,bar_range,reversion_prob_w,z_se_w,-0.23074037186610583,0.0011029694973555791,0.2318433413634614,False
1h,vol_mean_w,reversion_prob_w,body,0.036735699829243094,0.26635581312282025,0.22962011329357715,False
5s,vwap_w,z_se_w,body,-0.13218699229912842,0.09640188756750334,0.22858887986663176,True
1h,bar_range,reversion_prob_w,vol_mean_w,-0.6548814153005736,-0.4284175472223996,0.22646386807817404,False
5m,bar_range,vol_velocity_w,body,0.11953974635422693,0.3449105695971745,0.22537082324294755,False
1h,vwap_w,vol_velocity_w,bar_range,0.22737167366946398,0.45210169147143137,0.22473001780196739,False
1h,vol_velocity_w,z_se_w,bar_range,-0.10757421511226622,0.11452393957820517,0.2220981546904714,True
5m,bar_range,vol_mean_w,vol_velocity_w,0.46930603254721565,0.6908547022733202,0.2215486697261046,False
15m,bar_range,body,reversion_prob_w,-0.1354472508895209,0.08455528540372592,0.22000253629324681,True
1h,body,z_se_w,vol_velocity_w,0.4519198934990277,0.6686119812092741,0.2166920877102464,False
5m,vol_velocity_w,reversion_prob_w,z_se_w,-0.21673196082759333,-0.0009965058703159033,0.21573545495727742,False
15m,vol_velocity_w,reversion_prob_w,vol_mean_w,-0.41371078918710036,-0.19850680283773484,0.21520398634936552,False
15m,body,reversion_prob_w,vwap_w,-0.014954935118864218,0.19699638099919498,0.2119513161180592,False
5m,bar_range,body,vwap_w,-0.15475971158476046,0.05590329941362406,0.21066301099838453,True
1h,z_se_w,reversion_prob_w,vol_velocity_w,0.000305709909541097,0.2080358705184506,0.2077301606089095,False
1h,body,reversion_prob_w,vol_velocity_w,-0.03256115702803429,0.17448229079946062,0.2070434478274949,False
1h,z_se_w,hurst_w,body,-0.08447107840479108,0.1206500950268707,0.20512117343166178,True
1h,vwap_w,vol_velocity_w,reversion_prob_w,-0.10989854934878422,0.09511901387578398,0.2050175632245682,True
5s,bar_range,reversion_prob_w,z_se_w,-0.20711361002252465,-0.004823760336089207,0.20228984968643546,False
15m,bar_range,vol_velocity_w,vol_mean_w,0.33276168524157496,0.5346736711112652,0.20191198586969022,False
15m,vwap_w,vol_velocity_w,bar_range,0.040788040515908175,0.24226274294596958,0.2014747024300614,False
1m,bar_range,z_se_w,body,-0.09034431367114311,0.10991115413254983,0.20025546780369294,True
5s,bar_range,body,vol_velocity_w,-0.1424978684557618,0.057751061091056766,0.20024892954681855,True
1h,body,z_se_w,vol_mean_w,0.5215811809768363,0.7216041733607041,0.2000229923838679,False
15m,vol_velocity_w,reversion_prob_w,body,-0.23385053494271124,-0.03673573558541152,0.19711479935729972,False
1h,vwap_w,vol_mean_w,bar_range,-0.39525133336276236,-0.19820342936137159,0.19704790400139077,False
5m,bar_range,reversion_prob_w,body,-0.09176443398616904,0.10493607966987667,0.1967005136560457,True
1h,vol_velocity_w,vol_mean_w,bar_range,-0.20523900471736262,-0.009150815321814963,0.19608818939554765,False
1h,vwap_w,vol_velocity_w,z_se_w,-0.10901486217228641,0.08701376415771069,0.1960286263299971,True
1h,bar_range,vol_velocity_w,z_se_w,0.4044368463024591,0.6000023002415318,0.1955654539390727,False
15m,bar_range,vol_velocity_w,vwap_w,0.3277597239015913,0.5230850512607611,0.1953253273591698,False
1h,z_se_w,reversion_prob_w,bar_range,-0.03250952658073843,0.16255928789449614,0.19506881447523458,False
5m,bar_range,vwap_w,vol_mean_w,-0.45067386450506974,-0.260469229689852,0.19020463481521777,False
1h,body,vol_velocity_w,hurst_w,-0.12853881048036264,0.06149103808738454,0.19002984856774718,True
1m,bar_range,vol_mean_w,vol_velocity_w,0.4853380850663718,0.6749053119991326,0.1895672269327608,False
15m,vwap_w,vol_mean_w,vol_velocity_w,-0.34862914861065003,-0.1592680568816125,0.18936109172903753,False
1m,vwap_w,z_se_w,body,-0.09990055972175363,0.08944093921705643,0.18934149893881005,True
15m,body,z_se_w,bar_range,0.48953022325209833,0.6775178275977748,0.18798760434567646,False
5s,vol_velocity_w,vol_mean_w,z_se_w,0.5338546444061689,0.7199120838775888,0.18605743947141984,False
1h,bar_range,vol_mean_w,vwap_w,0.12769916598190692,0.31274662049687607,0.18504745451496915,False
1h,bar_range,body,vol_velocity_w,-0.013068690320849025,0.17173729789878794,0.18480598821963698,False
1h,bar_range,vol_velocity_w,vwap_w,0.488547138671562,0.6728400533970615,0.18429291472549952,False
15m,vol_mean_w,reversion_prob_w,bar_range,0.09044537182168441,0.2744945602311861,0.1840491884095017,False
1h,vol_velocity_w,vol_mean_w,reversion_prob_w,0.09886884043420693,0.281596672513864,0.18272783207965707,False
5m,bar_range,vol_mean_w,body,0.5000256888469319,0.6813614323984006,0.18133574355146875,False
5s,bar_range,vol_velocity_w,reversion_prob_w,0.1662930559872868,0.3471702583403919,0.1808772023531051,False
5m,body,z_se_w,bar_range,0.5789096035280332,0.7592976923569797,0.18038808882894652,False
5m,vol_mean_w,reversion_prob_w,body,0.004189995369158036,0.18445752767151646,0.18026753230235842,False
15m,z_se_w,reversion_prob_w,hurst_w,-0.05851613858384269,0.1214433340833262,0.17995947266716888,True
5s,bar_range,vol_velocity_w,z_se_w,0.16343297029429002,0.3431740945715451,0.17974112427725505,False
1h,vol_mean_w,reversion_prob_w,z_se_w,-0.03884385674293152,0.1389490979646008,0.1777929547075323,False
15m,body,reversion_prob_w,hurst_w,-0.05258233529458925,0.1248432709155975,0.17742560621018677,True
15m,bar_range,reversion_prob_w,vol_mean_w,-0.5234781990230456,-0.3461162458225362,0.1773619532005094,False
