**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

tf,c1,c2,regime_min,regime_max,is_r_min,is_r_max,oos_r_min,oos_r_max,n_oos_min,n_oos_max,sign_min_ok,sign_max_ok,regime_diff_holds,survives
15m,price_accel_1b,vol_velocity_1b,DOWN_SMOOTH,UP_SMOOTH,-0.2414863572594928,0.1759244975362169,-0.23116452241915922,0.262687312649001,1782,2592,True,True,True,True
15m,price_accel_w,reversion_prob_w,UP_SMOOTH,DOWN_SMOOTH,-0.1908371869791044,0.222921508513806,-0.2068702632899908,0.26645115609043746,2592,1782,True,True,True,True
5m,price_velocity_1b,price_sigma_w,DOWN_SMOOTH,UP_SMOOTH,-0.1652383271901708,0.2211646543956945,-0.16007914121372055,0.09207933727343755,1782,2592,True,True,True,True
15m,z_se_w,reversion_prob_w,UP_SMOOTH,DOWN_SMOOTH,-0.1552970930658384,0.2193708907148365,-0.17752031736651236,0.16382563162471467,2592,1782,True,True,True,True
5m,body,price_sigma_w,DOWN_SMOOTH,UP_SMOOTH,-0.1388219436034981,0.2119159033156067,-0.1424819443343842,0.09457825417389637,1782,2592,True,True,True,True
15m,body,vol_accel_w,DOWN_SMOOTH,UP_SMOOTH,-0.2415315017832118,0.1085688551902839,-0.18058777378257979,0.14458623417435917,1782,2592,True,True,True,True
15m,price_accel_1b,bar_range,DOWN_SMOOTH,UP_SMOOTH,-0.1411644583974204,0.208851257555414,-0.1373955428845087,0.18743233539518547,1782,2592,True,True,True,True
5m,bar_range,price_accel_w,DOWN_SMOOTH,UP_SMOOTH,-0.177102427188552,0.172367864533968,-0.15219965785765235,0.12872284286279997,1782,2592,True,True,True,True
5m,price_velocity_1b,vol_velocity_1b,DOWN_SMOOTH,UP_SMOOTH,-0.2359744327822877,0.1112981938687554,-0.13434375489064634,0.06942994463433781,1782,2592,True,True,True,True
15m,price_velocity_1b,vol_accel_w,DOWN_SMOOTH,UP_SMOOTH,-0.2298381171696805,0.1129830946588397,-0.17885763511665426,0.13553305347911326,1782,2592,True,True,True,True
1h,price_velocity_w,hurst_w,DOWN_SMOOTH,FLAT_SMOOTH,-0.2109715793940587,0.1108907913445007,-0.04794148232820641,0.5229729590914504,1782,1350,False,True,True,False
15m,body,vol_velocity_w,DOWN_SMOOTH,UP_SMOOTH,-0.1691785361630118,0.1438279366895016,-0.23432766719703224,0.20919982018549024,1782,2592,True,True,True,True
15m,price_accel_1b,reversion_prob_w,UP_SMOOTH,DOWN_SMOOTH,-0.1477834150673727,0.1628781199938131,-0.23135142481974333,0.22589239018323304,2592,1782,True,True,True,True
15m,price_accel_1b,vol_accel_w,DOWN_SMOOTH,UP_SMOOTH,-0.1821853124042547,0.1144853178651487,-0.13866792932640945,0.198718729276467,1782,2592,True,True,True,True
15m,vol_velocity_w,z_high_w,DOWN_SMOOTH,UP_SMOOTH,-0.1473170076889903,0.1478624569256594,-0.08650456021845816,0.15694406809585515,1782,2592,True,True,True,True
15m,price_velocity_1b,vol_velocity_w,DOWN_SMOOTH,UP_SMOOTH,-0.1511551383380469,0.1412202109177997,-0.21323637399271816,0.19370504489997648,1782,2592,True,True,True,True
1h,price_velocity_w,vol_accel_w,UP_SMOOTH,DOWN_CHOPPY,-0.1090494701065098,0.172320333351979,-0.0671389610803038,0.1848070503129295,2592,1332,True,True,True,True
15m,body,vol_sigma_w,DOWN_SMOOTH,UP_SMOOTH,-0.1267556117580604,0.1542708909862994,-0.16676598413088073,0.12847043382756482,1782,2592,True,True,True,True
15m,vol_velocity_w,z_se_w,DOWN_SMOOTH,UP_SMOOTH,-0.1504871353339346,0.1287024586238093,-0.07750606772532241,0.14380057119897185,1782,2592,True,True,True,True
15m,price_velocity_1b,vol_sigma_w,DOWN_SMOOTH,UP_SMOOTH,-0.1235199249890147,0.1510395573137367,-0.16121180608281827,0.11024160377636458,1782,2592,True,True,True,True
5m,body,vol_sigma_w,DOWN_SMOOTH,UP_SMOOTH,-0.139051602966815,0.1141846503340487,-0.16302226748801604,0.08729220226134139,1782,2592,True,True,True,True
5m,price_velocity_1b,vol_sigma_w,DOWN_SMOOTH,UP_SMOOTH,-0.1327213191885879,0.1122980932859796,-0.15312207221751742,0.08618993877884111,1782,2592,True,True,True,True
1h,price_sigma_w,z_se_w,UP_SMOOTH,DOWN_CHOPPY,-0.0880540416208911,0.1314072466799142,-0.11756049466300711,0.13545626264152338,2592,1332,True,True,True,True
