day,N,R2_Contemp,R2_Forward,block
2024_02_27,60,0.9999999999916602,-0.05755812179571178,IS_H1_2024
2024_02_27,120,0.9999999999901338,-0.07093924461788217,IS_H1_2024
2024_02_27,240,0.9999999999882982,-0.1559823935525357,IS_H1_2024
2024_02_27,480,0.9999999999856584,-0.594380580087772,IS_H1_2024
2024_02_27,960,0.9999999999697643,-0.3320775629650413,IS_H1_2024
2024_02_27,1920,0.9999999999530488,-3.131345347082449,IS_H1_2024
2024_02_27,3840,0.9999999999483601,-7.3074534590589195,IS_H1_2024
2024_02_28,60,0.9999999999921882,-0.08544435636190133,IS_H1_2024
2024_02_28,120,0.9999999999898384,-0.12812731478448444,IS_H1_2024
2024_02_28,240,0.9999999999856162,-0.3076485634942476,IS_H1_2024
2024_02_28,480,0.9999999999791305,-0.4708655569223092,IS_H1_2024
2024_02_28,960,0.9999999999759389,-1.6044871552823783,IS_H1_2024
2024_02_28,1920,0.9999999999437807,-6.164916627257374,IS_H1_2024
2024_02_28,3840,0.9999999999352379,-19.077796735564164,IS_H1_2024
2024_02_29,60,0.9999999999909459,-0.05836693137085014,IS_H1_2024
2024_02_29,120,0.999999999987811,-0.07799227463140834,IS_H1_2024
2024_02_29,240,0.9999999999842843,-0.31630546650066554,IS_H1_2024
2024_02_29,480,0.9999999999772164,-0.3924593379135606,IS_H1_2024
2024_02_29,960,0.9999999999707079,-2.2435710869074024,IS_H1_2024
2024_02_29,1920,0.9999999999618054,-4.381620792197841,IS_H1_2024
2024_02_29,3840,0.9999999999316971,-33.859047997794285,IS_H1_2024
2024_03_01,60,0.9999999999939313,-0.024809431428349127,IS_H1_2024
2024_03_01,120,0.9999999999919741,-0.05589381879434976,IS_H1_2024
2024_03_01,240,0.9999999999880249,-0.11400249720686757,IS_H1_2024
2024_03_01,480,0.9999999999816561,-0.10429858360281194,IS_H1_2024
2024_03_01,960,0.9999999999737297,-1.4974176434992221,IS_H1_2024
2024_03_01,1920,0.9999999999297632,-5.75381139940657,IS_H1_2024
2024_03_01,3840,0.9999999998319291,-11.532480984468275,IS_H1_2024
2024_03_04,60,0.999999999992452,-0.008444428586957153,IS_H1_2024
2024_03_04,120,0.9999999999910358,-0.05178491742826223,IS_H1_2024
2024_03_04,240,0.999999999990618,-0.2070329521727959,IS_H1_2024
2024_03_04,480,0.9999999999873257,-2.674467073750207,IS_H1_2024
2024_03_04,960,0.9999999999805539,-3.6172421219837823,IS_H1_2024
2024_03_04,1920,0.999999999949863,-29.988863851634534,IS_H1_2024
2024_03_04,3840,0.9999999999112431,-35.871759755893606,IS_H1_2024
2025_02_20,60,0.9999999999842268,-0.12536410291114045,OOS1_H1_2025
2025_02_20,120,0.9999999999792755,-0.2559926209746255,OOS1_H1_2025
2025_02_20,240,0.999999999966969,-0.5027569599426605,OOS1_H1_2025
2025_02_20,480,0.9999999999477774,-0.7481882640116145,OOS1_H1_2025
2025_02_20,960,0.9999999999245104,-3.8124295237807893,OOS1_H1_2025
2025_02_20,1920,0.9999999998897302,-10.027656257227116,OOS1_H1_2025
2025_02_20,3840,0.9999999993544609,-20.211060571270092,OOS1_H1_2025
2025_02_21,60,0.9999999999855206,-0.09353192922949005,OOS1_H1_2025
2025_02_21,120,0.9999999999830717,-0.16524242048556126,OOS1_H1_2025
2025_02_21,240,0.9999999999801542,-0.3443363690333994,OOS1_H1_2025
2025_02_21,480,0.9999999999693611,-0.7525371502211833,OOS1_H1_2025
2025_02_21,960,0.9999999999307965,-1.7519659854236473,OOS1_H1_2025
2025_02_21,1920,0.9999999998486132,-1.5090131656339374,OOS1_H1_2025
2025_02_21,3840,0.9999999972745501,-72.17266946530704,OOS1_H1_2025
2025_02_24,60,0.999999999990098,-0.08102469666085461,OOS1_H1_2025
2025_02_24,120,0.9999999999891148,-0.19400756895082188,OOS1_H1_2025
2025_02_24,240,0.9999999999861773,-0.47353900545528943,OOS1_H1_2025
2025_02_24,480,0.9999999999812802,-1.2069577825092872,OOS1_H1_2025
2025_02_24,960,0.9999999999612719,-2.3651747351732757,OOS1_H1_2025
2025_02_24,1920,0.9999999998581881,-4.6480163393820195,OOS1_H1_2025
2025_02_24,3840,0.9999999993623166,-30.441652261677746,OOS1_H1_2025
2025_02_25,60,0.9999999999914632,-0.01684845778459614,OOS1_H1_2025
2025_02_25,120,0.999999999990167,-0.04028342182341169,OOS1_H1_2025
2025_02_25,240,0.9999999999879918,-0.018315644240966454,OOS1_H1_2025
2025_02_25,480,0.9999999999856831,-0.0354717512060847,OOS1_H1_2025
2025_02_25,960,0.9999999999817911,-0.22339367922969125,OOS1_H1_2025
2025_02_25,1920,0.9999999999591628,-1.2506206863789735,OOS1_H1_2025
2025_02_25,3840,0.9999999997452671,-7.639416069068055,OOS1_H1_2025
2025_02_26,60,0.9999999999780721,-0.10150470776507622,OOS1_H1_2025
2025_02_26,120,0.9999999999739346,-0.06883771656714921,OOS1_H1_2025
2025_02_26,240,0.9999999999763322,-0.1411880020923713,OOS1_H1_2025
2025_02_26,480,0.999999999972369,-0.4921965798046079,OOS1_H1_2025
2025_02_26,960,0.9999999999690502,-1.3072625615323523,OOS1_H1_2025
2025_02_26,1920,0.9999999998916941,-2.1575584035162043,OOS1_H1_2025
2025_02_26,3840,0.9999999990621141,-7.150955650044968,OOS1_H1_2025
2025_02_27,60,0.999999999989633,-0.046853289785152796,OOS1_H1_2025
2025_02_27,120,0.9999999999880955,-0.09589813751698939,OOS1_H1_2025
2025_02_27,240,0.9999999999855801,-0.1593861190800266,OOS1_H1_2025
2025_02_27,480,0.9999999999782739,-0.4686838410776675,OOS1_H1_2025
2025_02_27,960,0.9999999999708832,-1.249222664675559,OOS1_H1_2025
2025_02_27,1920,0.9999999999243698,-1.9283483341970757,OOS1_H1_2025
2025_02_27,3840,0.9999999996565752,-5.595000807749104,OOS1_H1_2025
2025_02_28,60,0.9999999999919795,-0.07455987140613232,OOS1_H1_2025
2025_02_28,120,0.99999999999082,-0.13586454674894127,OOS1_H1_2025
2025_02_28,240,0.9999999999891228,-0.1274698739665602,OOS1_H1_2025
2025_02_28,480,0.9999999999859135,-0.12717554036138007,OOS1_H1_2025
2025_02_28,960,0.9999999999782444,-0.2700655357504134,OOS1_H1_2025
2025_02_28,1920,0.9999999999611425,-1.6006941564270036,OOS1_H1_2025
2025_02_28,3840,0.9999999997002493,-0.1118779412979533,OOS1_H1_2025
2025_03_03,60,0.999999999992401,-0.03986315358315338,OOS1_H1_2025
2025_03_03,120,0.9999999999917483,-0.03650565675775606,OOS1_H1_2025
2025_03_03,240,0.9999999999917858,-0.12469225495210186,OOS1_H1_2025
2025_03_03,480,0.9999999999892264,-0.17360022124680288,OOS1_H1_2025
2025_03_03,960,0.999999999982672,-0.3409303125960629,OOS1_H1_2025
2025_03_03,1920,0.9999999999412849,-1.2453512575866572,OOS1_H1_2025
2025_03_03,3840,0.9999999998291667,-1.2229916041596613,OOS1_H1_2025
2025_03_04,60,0.9999999999934481,-0.016853805880970275,OOS1_H1_2025
2025_03_04,120,0.9999999999928111,-0.021923827757492555,OOS1_H1_2025
2025_03_04,240,0.9999999999914844,-0.06269800091407891,OOS1_H1_2025
2025_03_04,480,0.9999999999889079,-0.08998773553126486,OOS1_H1_2025
2025_03_04,960,0.999999999982083,-0.20976951654313397,OOS1_H1_2025
2025_03_04,1920,0.9999999999656535,-0.4692493861878975,OOS1_H1_2025
2025_03_04,3840,0.9999999998934141,-3.047446567098221,OOS1_H1_2025
2025_03_05,60,0.9999999999919427,-0.02439953065818008,OOS1_H1_2025
2025_03_05,120,0.9999999999912094,-0.016587731701744414,OOS1_H1_2025
2025_03_05,240,0.9999999999903606,-0.037036875399624525,OOS1_H1_2025
2025_03_05,480,0.9999999999891365,-0.09804719807783295,OOS1_H1_2025
2025_03_05,960,0.9999999999869349,-0.31590075964880854,OOS1_H1_2025
2025_03_05,1920,0.9999999999736169,-1.3988251756689096,OOS1_H1_2025
2025_03_05,3840,0.9999999998998936,-4.922836736863392,OOS1_H1_2025
2025_08_20,60,0.9999999999879645,-0.03200096698528219,OOS2_H2_2025
2025_08_20,120,0.9999999999858833,-0.036496632357523984,OOS2_H2_2025
2025_08_20,240,0.9999999999823943,-0.06497858472261844,OOS2_H2_2025
2025_08_20,480,0.9999999999782722,-0.17078352618637077,OOS2_H2_2025
2025_08_20,960,0.9999999999629242,-1.0692380318598087,OOS2_H2_2025
2025_08_20,1920,0.9999999998245203,-4.211221021853676,OOS2_H2_2025
2025_08_20,3840,0.9999999983257684,-4.658179940774624,OOS2_H2_2025
2025_08_21,60,0.999999999986875,-0.03334271389405576,OOS2_H2_2025
2025_08_21,120,0.9999999999855081,-0.1030381319827971,OOS2_H2_2025
2025_08_21,240,0.9999999999826563,-0.17421207019070922,OOS2_H2_2025
2025_08_21,480,0.9999999999797217,-0.2637026628211515,OOS2_H2_2025
2025_08_21,960,0.9999999999671697,-1.3343171848644093,OOS2_H2_2025
2025_08_21,1920,0.999999999940816,-1.5730692210425479,OOS2_H2_2025
2025_08_21,3840,0.9999999999286452,-0.4087902474275862,OOS2_H2_2025
2025_08_22,60,0.9999999999536202,-0.07829698047739467,OOS2_H2_2025
2025_08_22,120,0.999999999929406,-0.18833901458649388,OOS2_H2_2025
2025_08_22,240,0.9999999999100039,-0.35408450782465434,OOS2_H2_2025
2025_08_22,480,0.9999999999268514,-0.5138232568339198,OOS2_H2_2025
2025_08_22,960,0.9999999998779507,-3.265604814987031,OOS2_H2_2025
2025_08_22,1920,0.99999999974112,-2.7739497046895507,OOS2_H2_2025
2025_08_22,3840,0.9999999991025362,-6.279109835904601,OOS2_H2_2025
2025_08_25,60,0.9999999999842893,-0.014606714235602603,OOS2_H2_2025
2025_08_25,120,0.999999999981782,-0.03251132200952025,OOS2_H2_2025
2025_08_25,240,0.9999999999781837,-0.012599619767985803,OOS2_H2_2025
2025_08_25,480,0.9999999999714724,-0.2403710790728711,OOS2_H2_2025
2025_08_25,960,0.9999999999424283,-0.431596516977306,OOS2_H2_2025
2025_08_25,1920,0.9999999998521985,-1.14643871024237,OOS2_H2_2025
2025_08_25,3840,0.9999999979289609,-4.499242944244181,OOS2_H2_2025
2025_08_26,60,0.9999999999860038,-0.061238383044223486,OOS2_H2_2025
2025_08_26,120,0.9999999999787862,-0.12017584530892089,OOS2_H2_2025
2025_08_26,240,0.9999999999838585,-0.276889275221646,OOS2_H2_2025
2025_08_26,480,0.9999999999849752,-0.667194143183486,OOS2_H2_2025
2025_08_26,960,0.9999999999797357,-2.5213899395405472,OOS2_H2_2025
2025_08_26,1920,0.9999999999571209,-1.7619681717653255,OOS2_H2_2025
2025_08_26,3840,0.9999999998717707,-6.531108245522262,OOS2_H2_2025
2025_08_27,60,0.9999999999509372,-0.14512859097402622,OOS2_H2_2025
2025_08_27,120,0.9999999999463501,-0.14445384815751824,OOS2_H2_2025
2025_08_27,240,0.9999999999469811,-0.20288477349500322,OOS2_H2_2025
2025_08_27,480,0.9999999999518024,-0.34940388306421594,OOS2_H2_2025
2025_08_27,960,0.9999999998602644,-0.4358167813118534,OOS2_H2_2025
2025_08_27,1920,0.9999999993508197,-0.808870327441717,OOS2_H2_2025
2025_08_27,3840,0.9999999994288334,-5.637195835153866,OOS2_H2_2025
2025_08_28,60,0.9999999999739908,-0.05728754370896603,OOS2_H2_2025
2025_08_28,120,0.9999999999675129,-0.07182096869791015,OOS2_H2_2025
2025_08_28,240,0.9999999999630538,-0.09719507146157355,OOS2_H2_2025
2025_08_28,480,0.9999999999634038,-0.22333087668102763,OOS2_H2_2025
2025_08_28,960,0.999999999944811,-0.783159649231423,OOS2_H2_2025
2025_08_28,1920,0.9999999999245874,-0.49081689875932283,OOS2_H2_2025
2025_08_28,3840,0.9999999999083784,-2.2780957287429664,OOS2_H2_2025
2025_08_29,60,0.9999999999826128,-0.017233363084450205,OOS2_H2_2025
2025_08_29,120,0.9999999999807156,-0.10296313585051071,OOS2_H2_2025
2025_08_29,240,0.9999999999737275,-0.20440213767169121,OOS2_H2_2025
2025_08_29,480,0.9999999999633769,-0.2586376155168811,OOS2_H2_2025
2025_08_29,960,0.9999999999287029,-3.1108615821797914,OOS2_H2_2025
2025_08_29,1920,0.9999999998466602,-2.9870949062715937,OOS2_H2_2025
2025_08_29,3840,0.9999999987588992,-8.080218253662846,OOS2_H2_2025
2025_09_02,60,0.9999999999899213,-0.03217490115163142,OOS2_H2_2025
2025_09_02,120,0.9999999999881668,-0.106880915760181,OOS2_H2_2025
2025_09_02,240,0.9999999999839341,-0.13485922784438534,OOS2_H2_2025
2025_09_02,480,0.9999999999817103,-0.354784336251302,OOS2_H2_2025
2025_09_02,960,0.9999999999490269,-1.0282763511196022,OOS2_H2_2025
2025_09_02,1920,0.9999999999352571,-1.380659865080255,OOS2_H2_2025
2025_09_02,3840,0.9999999999214554,-4.026587707436205,OOS2_H2_2025
2025_09_03,60,0.9999999999865752,-0.05015368932711288,OOS2_H2_2025
2025_09_03,120,0.9999999999843577,-0.06378440760983257,OOS2_H2_2025
2025_09_03,240,0.999999999984053,-0.12983600116571353,OOS2_H2_2025
2025_09_03,480,0.9999999999815664,-0.2768887063019232,OOS2_H2_2025
2025_09_03,960,0.9999999999663707,-1.2048560875406613,OOS2_H2_2025
2025_09_03,1920,0.9999999998902457,-1.0888441730006861,OOS2_H2_2025
2025_09_03,3840,0.9999999996818272,-1.7027160609168093,OOS2_H2_2025
2026_02_20,60,0.9999999999876783,-0.08224757122221557,OOS3_2026
2026_02_20,120,0.999999999986858,-0.1354132429581484,OOS3_2026
2026_02_20,240,0.9999999999861025,-0.2534316915618455,OOS3_2026
2026_02_20,480,0.9999999999858945,-0.4840694170017172,OOS3_2026
2026_02_20,960,0.9999999999802449,-1.2424647158228663,OOS3_2026
2026_02_20,1920,0.9999999999553426,-3.3771951822152326,OOS3_2026
2026_02_20,3840,0.9999999998426834,-4.898289199865934,OOS3_2026
2026_02_23,60,0.9999999999944157,-0.016544062985019602,OOS3_2026
2026_02_23,120,0.9999999999933861,-0.06086166833084898,OOS3_2026
2026_02_23,240,0.9999999999922936,-0.09375807418928625,OOS3_2026
2026_02_23,480,0.9999999999899257,-0.3457908389202163,OOS3_2026
2026_02_23,960,0.9999999999878112,-0.5262929816814167,OOS3_2026
2026_02_23,1920,0.9999999999821924,-1.427083806392074,OOS3_2026
2026_02_23,3840,0.9999999999588741,-15.826884431468674,OOS3_2026
2026_02_24,60,0.9999999999950683,-0.01662193790487989,OOS3_2026
2026_02_24,120,0.9999999999943203,-0.02512843193427705,OOS3_2026
2026_02_24,240,0.999999999992675,-0.15211714867508405,OOS3_2026
2026_02_24,480,0.9999999999879667,-0.2705848893151418,OOS3_2026
2026_02_24,960,0.9999999999828606,-1.9106969381716887,OOS3_2026
2026_02_24,1920,0.9999999999817366,-1.2478914446931557,OOS3_2026
2026_02_24,3840,0.9999999999481337,-4.52466190415382,OOS3_2026
2026_02_25,60,0.9999999999927404,-0.02498110913010263,OOS3_2026
2026_02_25,120,0.9999999999911244,-0.05546607223220863,OOS3_2026
2026_02_25,240,0.9999999999888258,-0.1806343932469952,OOS3_2026
2026_02_25,480,0.9999999999859398,-0.7158720557346236,OOS3_2026
2026_02_25,960,0.9999999999729173,-1.4479030606483054,OOS3_2026
2026_02_25,1920,0.9999999998644473,-15.8449577715535,OOS3_2026
2026_02_25,3840,0.9999999998308597,-2.462125426093504,OOS3_2026
2026_02_26,60,0.9999999999943933,-0.01578067026023966,OOS3_2026
2026_02_26,120,0.9999999999932955,-0.07528329589712826,OOS3_2026
2026_02_26,240,0.9999999999915318,-0.12497498534219931,OOS3_2026
2026_02_26,480,0.9999999999844732,-0.259002875032945,OOS3_2026
2026_02_26,960,0.9999999999781031,-0.4464278221362247,OOS3_2026
2026_02_26,1920,0.9999999999642339,-1.8432127904310989,OOS3_2026
2026_02_26,3840,0.9999999998658048,-6.722894807311535,OOS3_2026
2026_02_27,60,0.9999999999933126,-0.028783800655247927,OOS3_2026
2026_02_27,120,0.9999999999923128,-0.05070637707798644,OOS3_2026
2026_02_27,240,0.999999999991727,-0.09800134883486593,OOS3_2026
2026_02_27,480,0.9999999999906715,-0.1858655072463972,OOS3_2026
2026_02_27,960,0.9999999999906016,-0.4156737891285796,OOS3_2026
2026_02_27,1920,0.999999999985933,-0.7378089964192324,OOS3_2026
2026_02_27,3840,0.9999999999588194,-2.305917656298969,OOS3_2026
2026_03_02,60,0.9999999999956278,-0.010750832020216806,OOS3_2026
2026_03_02,120,0.9999999999942325,-0.05607547547194107,OOS3_2026
2026_03_02,240,0.9999999999923113,-0.13579289133096434,OOS3_2026
2026_03_02,480,0.9999999999891369,-0.3038179926439871,OOS3_2026
2026_03_02,960,0.9999999999888999,-0.6108737974402055,OOS3_2026
2026_03_02,1920,0.9999999999864508,-3.7832966473125538,OOS3_2026
2026_03_02,3840,0.9999999999676911,-2.0709665648039786,OOS3_2026
2026_03_03,60,0.9999999999961423,-0.011877362824277427,OOS3_2026
2026_03_03,120,0.9999999999955916,-0.0372443740090147,OOS3_2026
2026_03_03,240,0.9999999999951331,-0.03904234598010943,OOS3_2026
2026_03_03,480,0.9999999999941807,-0.15247971014886402,OOS3_2026
2026_03_03,960,0.9999999999930036,-0.3012316497142497,OOS3_2026
2026_03_03,1920,0.9999999999904041,-1.2943307970159381,OOS3_2026
2026_03_03,3840,0.9999999999493537,-1.6808088607452851,OOS3_2026
2026_03_04,60,0.9999999999960079,-0.019845067195928913,OOS3_2026
2026_03_04,120,0.9999999999957818,-0.0353167752645616,OOS3_2026
2026_03_04,240,0.9999999999955997,-0.04948643300503386,OOS3_2026
2026_03_04,480,0.9999999999950735,-0.16377614363387866,OOS3_2026
2026_03_04,960,0.9999999999939243,-0.4028963867361733,OOS3_2026
2026_03_04,1920,0.9999999999887976,-0.5931248152759881,OOS3_2026
2026_03_04,3840,0.9999999999765841,-6.594007184832347,OOS3_2026
2026_03_05,60,0.9999999999959451,-0.014978762675895662,OOS3_2026
2026_03_05,120,0.9999999999957861,-0.024667549876483008,OOS3_2026
2026_03_05,240,0.9999999999954486,-0.09646723930594195,OOS3_2026
2026_03_05,480,0.9999999999945786,-0.1158149583517607,OOS3_2026
2026_03_05,960,0.9999999999891802,-0.9376890182750856,OOS3_2026
2026_03_05,1920,0.9999999999770768,-0.5680987978039077,OOS3_2026
2026_03_05,3840,0.9999999999673047,-3.820110577160654,OOS3_2026
