**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

======================================================================
  STANDALONE RESEARCH
  Data: DATA/ATLAS
  Base TF: 1m
  Context: 21d warmup, 0d analysis
  Mode: PRICE I-MR (default)
======================================================================

--- STEP 1: Loading base TF data (1m) ---
  1m: 391,514 bars loaded

--- STEP 2: Price I-MR Chart ---
  Price I-MR: 391514 bars, warmup=20010, analysis=371504
  Center=21383.93, MR_bar=4.28, UCL_MR=13.99, UCL_I=21395.32, LCL_I=21372.54
    R226:  831 bars, price=21787.7, vol=2.19, dir=LONG, chg=+6.2
    R227:  165 bars, price=21752.7, vol=3.46, dir=LONG, chg=+23.2
    R228:   14 bars, price=21764.3, vol=8.84, dir=LONG, chg=+46.5
    R229:   16 bars, price=21799.0, vol=7.75, dir=SHORT, chg=-14.5
    R230:    8 bars, price=21784.0, vol=7.44, dir=LONG, chg=+24.5
    R231:   15 bars, price=21831.3, vol=7.90, dir=LONG, chg=+7.2
    R232:   17 bars, price=21797.7, vol=10.59, dir=SHORT, chg=-17.5
    R233:   79 bars, price=21782.8, vol=5.24, dir=SHORT, chg=-26.8
    R234:   71 bars, price=21796.3, vol=3.75, dir=LONG, chg=+72.0
    R235:   82 bars, price=21819.1, vol=3.97, dir=SHORT, chg=-59.8
    R236:   88 bars, price=21781.1, vol=5.07, dir=LONG, chg=+131.0
    R237:   18 bars, price=21816.0, vol=11.71, dir=LONG, chg=+43.8
    R238:   41 bars, price=21844.0, vol=3.27, dir=LONG, chg=+0.2
    R239:  872 bars, price=21861.1, vol=1.97, dir=LONG, chg=+11.0
    R240:   64 bars, price=21876.7, vol=5.77, dir=LONG, chg=+140.0
    R241:   83 bars, price=21807.2, vol=13.48, dir=SHORT, chg=-259.8
    R242:   78 bars, price=21662.5, vol=11.79, dir=SHORT, chg=-75.0
    R243:   15 bars, price=21623.4, vol=8.20, dir=LONG, chg=+9.0
    R244:   19 bars, price=21652.0, vol=5.80, dir=LONG, chg=+45.2
    R245:   11 bars, price=21660.4, vol=7.84, dir=LONG, chg=+19.2
    R246:   41 bars, price=21708.9, vol=5.35, dir=LONG, chg=+0.8
    R247:   38 bars, price=21628.0, vol=5.32, dir=SHORT, chg=-61.5
    R248:   32 bars, price=21597.8, vol=5.98, dir=LONG, chg=+36.2
    R249:    8 bars, price=21608.0, vol=5.47, dir=SHORT, chg=-5.8
    R250:   10 bars, price=21584.8, vol=4.53, dir=SHORT, chg=-2.2
    R251:   39 bars, price=21581.7, vol=5.21, dir=LONG, chg=+31.0
    R252:   70 bars, price=21587.5, vol=2.79, dir=SHORT, chg=-33.5
    R253:   33 bars, price=21540.7, vol=7.18, dir=LONG, chg=+49.8
