tf,X,Y,Z,r_min,r_max,lift,n_bins,sign_flip
15m,vol_velocity_1b,vol_velocity_w,vol_accel_w,-0.4116457571847127,0.740976614635957,1.1526223718206696,5,True
5s,price_velocity_1b,bar_range,price_accel_1b,-0.6269649036839056,0.5220676864983458,1.1490325901822513,5,True
5m,price_velocity_1b,bar_range,z_high_w,-0.5857482194721747,0.5564105338648395,1.1421587533370143,5,True
5s,vol_velocity_w,vol_mean_w,bar_range,-0.38882982270327904,0.7516902204040059,1.1405200431072848,5,True
5s,vol_velocity_w,vol_sigma_w,vol_accel_1b,-0.22400238623069366,0.9163168342968125,1.1403192205275061,5,True
15m,price_velocity_1b,reversion_prob_w,z_high_w,-0.5182409502470027,0.6218584882400588,1.1400994384870615,5,True
1h,z_low_w,reversion_prob_w,body,-0.4239640853568624,0.7133239302052864,1.1372880155621488,5,True
1m,z_se_w,reversion_prob_w,price_accel_w,-0.5596092911347951,0.5776483232404578,1.1372576143752529,5,True
5s,vol_accel_1b,vol_mean_w,vol_velocity_1b,-0.29234273805589744,0.8445411318450139,1.1368838699009114,5,True
1h,z_se_w,reversion_prob_w,price_accel_1b,-0.5155724513761829,0.6200616208929686,1.1356340722691516,5,True
5m,body,price_sigma_w,z_se_w,-0.6002080276258898,0.5347085109338929,1.1349165385597826,5,True
1h,price_accel_1b,bar_range,body,-0.5311608847263739,0.5964036429838787,1.1275645277102526,5,True
5s,vol_accel_1b,vol_velocity_w,vol_accel_w,-0.22235704617025606,0.9038207833838513,1.1261778295541074,5,True
15m,price_velocity_1b,reversion_prob_w,z_low_w,-0.585119354407177,0.5391082772352269,1.124227631642404,5,True
1h,price_velocity_1b,reversion_prob_w,z_high_w,-0.43868731880510237,0.6824441962090643,1.1211315150141665,5,True
1m,z_low_w,reversion_prob_w,body,-0.48703961962863973,0.6333051143908413,1.120344734019481,5,True
1m,z_low_w,reversion_prob_w,price_velocity_1b,-0.48651945398174395,0.6333524185375093,1.1198718725192534,5,True
5s,vol_velocity_w,vol_sigma_w,vol_accel_w,-0.16366392859054193,0.9525853165414427,1.1162492451319848,5,True
5s,vol_velocity_w,vol_mean_w,vol_accel_1b,-0.27884665827930855,0.8341989484670895,1.113045606746398,5,True
5s,vol_velocity_1b,vol_mean_w,vol_velocity_w,-0.29432115766641065,0.8180416563367741,1.1123628140031847,5,True
5m,body,SE_high_w,z_se_w,-0.49752083255584917,0.6148117275183952,1.1123325600742444,5,True
15m,body,reversion_prob_w,z_high_w,-0.4744110375704221,0.6338434438586297,1.1082544814290518,5,True
