**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

shape,parent_shape,n,k_up,p_up_mean,ci95_lo,ci95_hi,mean_fwd_return
GENTLE_CONVEX_DOWN,GENTLE_CONVEX_DOWN,198,108,0.545,0.4758,0.6133,0.013
STEEP_CONVEX_DOWN,GENTLE_LINEAR_DOWN,190,97,0.5104,0.4399,0.5808,0.693
STEEP_CONVEX_DOWN,STEEP_CONCAVE_UP,189,101,0.534,0.4632,0.6042,-0.581
GENTLE_CONVEX_DOWN,NOISE,187,103,0.5503,0.4791,0.6204,2.241
NOISE,FLATLINE,186,100,0.5372,0.4659,0.6079,3.055
GENTLE_CONCAVE_UP,NOISE,186,85,0.4574,0.3869,0.5288,-0.95
STEEP_LINEAR_UP,STEEP_CONVEX_DOWN,186,86,0.4628,0.3921,0.5341,-0.024
STEEP_LINEAR_UP,GENTLE_CONCAVE_UP,180,84,0.467,0.3952,0.5396,-1.967
STEEP_LINEAR_DOWN,GENTLE_CONVEX_DOWN,173,97,0.56,0.4861,0.6326,1.617
GENTLE_CONCAVE_UP,GENTLE_CONVEX_DOWN,168,99,0.5882,0.5136,0.6609,2.315
GENTLE_CONCAVE_UP,GENTLE_LINEAR_UP,167,108,0.645,0.5715,0.7152,2.391
NOISE,GENTLE_CONCAVE_UP,161,80,0.4969,0.4205,0.5734,-1.262
STEEP_CONVEX_DOWN,GENTLE_CONCAVE_UP,160,71,0.4444,0.3689,0.5213,-1.944
STEEP_CONCAVE_UP,GENTLE_CONVEX_DOWN,158,89,0.5625,0.4852,0.6383,3.128
STEEP_LINEAR_UP,STEEP_LINEAR_DOWN,153,86,0.5613,0.4828,0.6383,0.84
GENTLE_CONVEX_DOWN,FLATLINE,147,87,0.5906,0.5109,0.668,2.345
STEEP_LINEAR_DOWN,STEEP_LINEAR_UP,143,83,0.5793,0.4983,0.6582,6.89
GENTLE_CONVEX_DOWN,GENTLE_LINEAR_UP,139,87,0.6241,0.5429,0.702,2.853
STEEP_LINEAR_DOWN,GENTLE_LINEAR_UP,136,73,0.5362,0.453,0.6185,1.537
NOISE,GENTLE_LINEAR_UP,135,73,0.5401,0.4566,0.6226,1.748
GENTLE_CONCAVE_UP,GENTLE_LINEAR_DOWN,134,60,0.4485,0.3661,0.5324,-0.815
STEEP_CONVEX_DOWN,STEEP_LINEAR_UP,134,76,0.5662,0.4824,0.6481,9.782
GENTLE_LINEAR_UP,GENTLE_CONCAVE_UP,133,71,0.5333,0.4492,0.6166,-0.412
GENTLE_LINEAR_UP,GENTLE_LINEAR_UP,127,62,0.4884,0.4028,0.5743,0.539
STEEP_LINEAR_UP,GENTLE_LINEAR_DOWN,124,54,0.4365,0.3514,0.5236,-2.284
GENTLE_CONVEX_DOWN,GENTLE_LINEAR_DOWN,121,42,0.3496,0.2682,0.4357,-4.566
NOISE,GENTLE_CONVEX_DOWN,119,51,0.4298,0.3432,0.5185,-0.569
GENTLE_CONCAVE_UP,FLATLINE,118,59,0.5,0.4111,0.5889,0.549
NOISE,STEEP_LINEAR_UP,114,71,0.6207,0.531,0.7065,6.079
GENTLE_LINEAR_DOWN,NOISE,114,52,0.4569,0.3675,0.5477,-1.103
GENTLE_LINEAR_DOWN,GENTLE_CONVEX_DOWN,112,60,0.5351,0.4435,0.6255,1.759
STEEP_LINEAR_UP,GENTLE_CONVEX_UP,110,45,0.4107,0.3217,0.5027,-1.161
STEEP_CONVEX_DOWN,GENTLE_LINEAR_UP,106,51,0.4815,0.3882,0.5754,1.271
STEEP_CONVEX_UP,STEEP_LINEAR_UP,103,64,0.619,0.5247,0.7091,8.291
STEEP_CONCAVE_DOWN,STEEP_LINEAR_DOWN,102,37,0.3654,0.2759,0.4597,-10.868
GENTLE_LINEAR_DOWN,GENTLE_CONCAVE_UP,98,52,0.53,0.4323,0.6266,-0.791
NOISE,STEEP_LINEAR_DOWN,95,34,0.3608,0.2687,0.4584,-6.311
NOISE,STEEP_CONCAVE_UP,93,42,0.4526,0.3542,0.5529,-0.489
STEEP_CONCAVE_UP,GENTLE_LINEAR_DOWN,91,49,0.5376,0.4363,0.6374,2.695
NOISE,GENTLE_LINEAR_DOWN,90,43,0.4783,0.3774,0.58,-1.367
GENTLE_LINEAR_DOWN,GENTLE_LINEAR_DOWN,88,41,0.4667,0.3651,0.5696,-2.335
GENTLE_LINEAR_UP,NOISE,84,34,0.407,0.3061,0.512,-1.467
STEEP_CONCAVE_DOWN,NOISE,82,48,0.5833,0.4769,0.686,3.598
GENTLE_CONVEX_DOWN,STEEP_CONCAVE_UP,81,31,0.3855,0.2844,0.4919,-2.645
STEEP_CONCAVE_DOWN,FLATLINE,80,40,0.5,0.3927,0.6073,0.084
STEEP_LINEAR_DOWN,STEEP_CONCAVE_DOWN,80,41,0.5122,0.4047,0.6192,-1.628
STEEP_CONVEX_UP,NOISE,79,41,0.5185,0.4102,0.6259,-0.873
STEEP_LINEAR_UP,STEEP_CONVEX_UP,77,47,0.6076,0.4983,0.7117,3.588
STEEP_LINEAR_DOWN,GENTLE_CONCAVE_DOWN,74,39,0.5263,0.4145,0.6369,-2.584
GENTLE_CONCAVE_UP,STEEP_LINEAR_UP,74,47,0.6316,0.5209,0.7357,3.331
GENTLE_LINEAR_DOWN,FLATLINE,74,34,0.4605,0.3505,0.5725,0.115
STEEP_CONVEX_UP,FLATLINE,72,42,0.5811,0.4677,0.6903,1.17
STEEP_CONVEX_UP,STEEP_CONCAVE_UP,72,35,0.4865,0.374,0.5996,-4.576
GENTLE_LINEAR_UP,FLATLINE,69,28,0.4085,0.2977,0.5241,-4.145
GENTLE_CONCAVE_UP,STEEP_LINEAR_DOWN,66,22,0.3382,0.2315,0.454,-9.477
GENTLE_CONVEX_DOWN,STEEP_LINEAR_UP,65,31,0.4776,0.3599,0.5966,4.9
NOISE,STEEP_CONVEX_DOWN,63,33,0.5231,0.4023,0.6425,0.087
STEEP_CONCAVE_DOWN,GENTLE_CONCAVE_UP,62,32,0.5156,0.3941,0.6362,-0.581
GENTLE_LINEAR_DOWN,GENTLE_LINEAR_UP,61,29,0.4762,0.355,0.5988,1.053
STEEP_CONCAVE_DOWN,STEEP_CONCAVE_UP,61,26,0.4286,0.3099,0.5515,-0.283
STEEP_CONVEX_UP,STEEP_CONVEX_DOWN,58,26,0.45,0.3272,0.576,-6.405
GENTLE_LINEAR_UP,GENTLE_CONVEX_DOWN,58,23,0.4,0.2807,0.5256,-1.086
GENTLE_CONCAVE_UP,STEEP_CONCAVE_UP,57,30,0.5254,0.3987,0.6505,1.154
STEEP_CONCAVE_DOWN,STEEP_CONVEX_DOWN,57,30,0.5254,0.3987,0.6505,7.496
FLATLINE,GENTLE_CONVEX_UP,55,40,0.7193,0.597,0.827,6.945
STEEP_CONVEX_UP,GENTLE_CONVEX_DOWN,54,29,0.5357,0.4055,0.6635,-1.815
GENTLE_CONVEX_UP,GENTLE_LINEAR_UP,53,28,0.5273,0.3961,0.6566,0.783
STEEP_CONVEX_UP,GENTLE_CONCAVE_UP,51,12,0.2453,0.1403,0.3684,-8.603
GENTLE_CONVEX_DOWN,STEEP_LINEAR_DOWN,46,12,0.2708,0.1562,0.4035,-8.348
GENTLE_LINEAR_UP,GENTLE_LINEAR_DOWN,45,17,0.383,0.2509,0.5245,-2.756
GENTLE_CONCAVE_DOWN,GENTLE_CONCAVE_UP,45,28,0.617,0.4755,0.7491,3.167
GENTLE_CONCAVE_DOWN,GENTLE_LINEAR_DOWN,44,27,0.6087,0.4654,0.743,1.5
GENTLE_CONVEX_UP,GENTLE_CONCAVE_UP,43,20,0.4667,0.3246,0.6115,-0.547
GENTLE_LINEAR_UP,STEEP_LINEAR_UP,42,29,0.6818,0.5387,0.8092,8.006
STEEP_CONCAVE_DOWN,STEEP_LINEAR_UP,40,24,0.5952,0.445,0.7368,3.812
STEEP_CONVEX_UP,STEEP_LINEAR_DOWN,40,17,0.4286,0.2847,0.5789,-11.9
GENTLE_CONCAVE_DOWN,NOISE,39,16,0.4146,0.2704,0.5667,-1.064
GENTLE_CONVEX_UP,FLATLINE,39,21,0.5366,0.3849,0.6849,0.673
GENTLE_CONVEX_UP,NOISE,37,14,0.3846,0.2404,0.5401,-2.243
STEEP_CONVEX_UP,GENTLE_LINEAR_UP,37,18,0.4872,0.3338,0.6418,1.324
GENTLE_LINEAR_UP,STEEP_LINEAR_DOWN,37,19,0.5128,0.3582,0.6662,-1.824
GENTLE_CONVEX_UP,GENTLE_CONVEX_DOWN,36,20,0.5526,0.3949,0.7051,-1.91
GENTLE_CONVEX_DOWN,STEEP_CONVEX_DOWN,36,18,0.5,0.344,0.656,-7.438
GENTLE_CONCAVE_DOWN,GENTLE_CONVEX_DOWN,35,21,0.5946,0.4346,0.7449,4.65
GENTLE_CONCAVE_DOWN,FLATLINE,35,18,0.5135,0.3549,0.6708,1.493
GENTLE_CONVEX_UP,STEEP_LINEAR_UP,34,21,0.6111,0.4492,0.7613,5.978
STEEP_CONCAVE_DOWN,GENTLE_CONVEX_DOWN,34,19,0.5556,0.3935,0.7117,-0.463
GENTLE_LINEAR_DOWN,STEEP_CONCAVE_UP,34,14,0.4167,0.2632,0.5789,2.206
GENTLE_CONCAVE_UP,STEEP_CONVEX_DOWN,33,21,0.6286,0.4649,0.7783,3.939
FLATLINE,STEEP_CONCAVE_DOWN,32,12,0.3824,0.2291,0.5488,-6.227
FLATLINE,GENTLE_CONCAVE_DOWN,32,14,0.4412,0.2811,0.6078,-1.938
STEEP_CONCAVE_DOWN,GENTLE_LINEAR_UP,31,19,0.6061,0.4369,0.763,-0.274
STEEP_CONCAVE_DOWN,STEEP_CONCAVE_DOWN,30,21,0.6875,0.5196,0.8332,11.475
GENTLE_LINEAR_UP,STEEP_CONCAVE_UP,29,18,0.6129,0.4386,0.7734,2.733
STEEP_CONCAVE_UP,GENTLE_CONVEX_UP,28,16,0.5667,0.3894,0.7355,3.179
STEEP_CONVEX_UP,GENTLE_CONVEX_UP,28,14,0.5,0.3253,0.6747,-1.688
GENTLE_LINEAR_DOWN,STEEP_LINEAR_UP,26,18,0.6786,0.4982,0.8348,-4.173
GENTLE_LINEAR_DOWN,STEEP_LINEAR_DOWN,26,12,0.4643,0.2867,0.6467,-7.625
STEEP_CONVEX_DOWN,STEEP_CONCAVE_DOWN,24,5,0.2308,0.0936,0.407,-14.198
STEEP_CONCAVE_UP,STEEP_CONVEX_UP,24,14,0.5769,0.3867,0.756,16.0
GENTLE_CONVEX_UP,STEEP_CONCAVE_UP,23,8,0.36,0.188,0.5532,-5.967
GENTLE_CONCAVE_DOWN,GENTLE_LINEAR_UP,23,10,0.44,0.2555,0.6336,-0.739
STEEP_CONCAVE_DOWN,GENTLE_LINEAR_DOWN,23,12,0.52,0.3282,0.7088,2.957
NOISE,GENTLE_CONVEX_UP,23,18,0.76,0.5785,0.9023,7.489
GENTLE_CONCAVE_DOWN,STEEP_LINEAR_UP,22,13,0.5833,0.3854,0.7681,6.989
STEEP_CONVEX_UP,GENTLE_LINEAR_DOWN,22,11,0.5,0.3059,0.6941,-2.08
STEEP_CONVEX_UP,STEEP_CONVEX_UP,22,9,0.4167,0.2319,0.6146,6.75
FLATLINE,STEEP_CONVEX_UP,21,17,0.7826,0.5972,0.9218,26.202
GENTLE_CONCAVE_UP,GENTLE_CONVEX_UP,21,14,0.6522,0.4513,0.828,6.179
GENTLE_CONCAVE_DOWN,STEEP_LINEAR_DOWN,18,6,0.35,0.1629,0.5655,-8.028
STEEP_CONVEX_DOWN,GENTLE_CONCAVE_DOWN,18,6,0.35,0.1629,0.5655,-6.542
GENTLE_LINEAR_DOWN,STEEP_CONVEX_DOWN,17,6,0.3684,0.173,0.5901,-8.882
GENTLE_LINEAR_DOWN,GENTLE_CONCAVE_DOWN,16,5,0.3333,0.1421,0.5596,-0.859
NOISE,GENTLE_CONCAVE_DOWN,16,9,0.5556,0.3292,0.7702,-3.188
GENTLE_CONVEX_DOWN,GENTLE_CONCAVE_DOWN,16,5,0.3333,0.1421,0.5596,-1.453
GENTLE_CONVEX_DOWN,GENTLE_CONVEX_UP,16,12,0.7222,0.501,0.8969,6.578
GENTLE_CONVEX_UP,GENTLE_LINEAR_DOWN,16,8,0.5,0.2781,0.7219,-3.609
NOISE,STEEP_CONVEX_UP,14,10,0.6875,0.449,0.8818,17.036
GENTLE_LINEAR_UP,STEEP_CONVEX_DOWN,14,5,0.375,0.1634,0.6162,-2.661
GENTLE_CONCAVE_DOWN,STEEP_CONCAVE_UP,14,7,0.5,0.2659,0.7341,-1.625
GENTLE_CONCAVE_UP,GENTLE_CONCAVE_DOWN,13,4,0.3333,0.1276,0.581,-3.596
STEEP_CONCAVE_UP,STEEP_CONCAVE_DOWN,13,2,0.2,0.0466,0.4281,-21.808
NOISE,STEEP_CONCAVE_DOWN,12,4,0.3571,0.1386,0.6143,-24.917
GENTLE_LINEAR_UP,GENTLE_CONVEX_UP,12,6,0.5,0.2513,0.7487,-2.042
GENTLE_CONVEX_UP,GENTLE_CONVEX_UP,12,11,0.8571,0.6397,0.9808,6.729
STEEP_CONVEX_DOWN,GENTLE_CONVEX_UP,11,9,0.7692,0.5159,0.9451,17.227
GENTLE_CONVEX_UP,STEEP_CONVEX_DOWN,11,5,0.4615,0.2109,0.7233,-1.682
GENTLE_CONCAVE_DOWN,STEEP_CONVEX_DOWN,10,4,0.4167,0.1675,0.6921,-4.95
GENTLE_LINEAR_UP,GENTLE_CONCAVE_DOWN,10,5,0.5,0.2338,0.7662,-1.225
GENTLE_CONVEX_DOWN,STEEP_CONVEX_UP,10,8,0.75,0.4822,0.9398,12.025
