shape,parent_shape,n,k_up,p_up_mean,ci95_lo,ci95_hi,mean_fwd_return
STEEP_LINEAR_DOWN,GENTLE_CONCAVE_UP,706,364,0.5155,0.4787,0.5523,-0.11
STEEP_CONCAVE_UP,GENTLE_CONCAVE_UP,694,295,0.4253,0.3888,0.4622,-1.057
STEEP_CONVEX_DOWN,GENTLE_CONVEX_DOWN,688,419,0.6087,0.572,0.6448,1.674
FLATLINE,FLATLINE,684,353,0.516,0.4786,0.5533,1.126
STEEP_CONVEX_DOWN,GENTLE_CONCAVE_UP,638,287,0.45,0.4116,0.4886,-0.849
STEEP_CONCAVE_UP,GENTLE_CONVEX_DOWN,610,310,0.5082,0.4686,0.5477,0.543
STEEP_LINEAR_UP,NOISE,607,293,0.4828,0.4432,0.5225,0.159
FLATLINE,GENTLE_CONCAVE_UP,587,253,0.4312,0.3915,0.4714,-1.01
FLATLINE,GENTLE_CONVEX_DOWN,577,345,0.5976,0.5574,0.6372,1.327
STEEP_LINEAR_DOWN,NOISE,570,292,0.5122,0.4713,0.5531,0.892
STEEP_CONCAVE_UP,NOISE,553,232,0.4198,0.3791,0.4611,-1.853
STEEP_CONVEX_DOWN,NOISE,525,274,0.5218,0.4792,0.5643,0.007
STEEP_CONVEX_UP,STEEP_CONCAVE_UP,522,200,0.3836,0.3424,0.4256,-1.898
STEEP_CONCAVE_DOWN,STEEP_CONCAVE_UP,499,260,0.521,0.4772,0.5646,1.012
FLATLINE,NOISE,495,248,0.501,0.4571,0.5449,0.326
NOISE,GENTLE_LINEAR_UP,473,245,0.5179,0.473,0.5627,0.316
STEEP_CONCAVE_UP,GENTLE_LINEAR_UP,462,210,0.4547,0.4097,0.5002,-0.339
NOISE,GENTLE_LINEAR_DOWN,456,204,0.4476,0.4023,0.4933,-0.482
STEEP_CONVEX_DOWN,GENTLE_LINEAR_DOWN,445,218,0.4899,0.4437,0.5362,0.279
STEEP_LINEAR_UP,STEEP_CONVEX_UP,434,224,0.5161,0.4692,0.5628,1.051
STEEP_LINEAR_DOWN,STEEP_CONCAVE_DOWN,421,202,0.4799,0.4325,0.5275,-0.038
STEEP_CONVEX_UP,STEEP_CONVEX_DOWN,414,199,0.4808,0.4329,0.5288,-0.638
STEEP_LINEAR_UP,GENTLE_CONCAVE_UP,374,170,0.4548,0.4048,0.5053,-0.62
STEEP_LINEAR_UP,GENTLE_LINEAR_UP,365,184,0.5041,0.453,0.5551,-0.232
STEEP_CONCAVE_DOWN,STEEP_CONVEX_DOWN,353,196,0.5549,0.503,0.6062,2.149
STEEP_LINEAR_DOWN,GENTLE_LINEAR_DOWN,347,172,0.4957,0.4434,0.5481,0.421
FLATLINE,GENTLE_LINEAR_UP,335,197,0.5875,0.5346,0.6395,0.575
STEEP_LINEAR_DOWN,GENTLE_CONVEX_DOWN,334,183,0.5476,0.4942,0.6005,1.502
STEEP_CONCAVE_DOWN,FLATLINE,328,171,0.5212,0.4673,0.5749,0.919
FLATLINE,GENTLE_LINEAR_DOWN,324,162,0.5,0.4458,0.5542,0.168
STEEP_CONCAVE_DOWN,STEEP_LINEAR_UP,320,175,0.5466,0.4921,0.6006,2.062
STEEP_CONVEX_UP,STEEP_LINEAR_DOWN,299,135,0.4518,0.396,0.5082,-0.865
STEEP_LINEAR_UP,GENTLE_LINEAR_DOWN,287,146,0.5087,0.4511,0.5661,0.318
STEEP_CONVEX_UP,FLATLINE,287,150,0.5225,0.4649,0.5798,1.28
STEEP_CONVEX_DOWN,GENTLE_LINEAR_UP,286,157,0.5486,0.491,0.6056,0.732
STEEP_CONCAVE_UP,GENTLE_LINEAR_DOWN,267,126,0.4721,0.4128,0.5318,-0.385
STEEP_CONCAVE_DOWN,GENTLE_CONCAVE_UP,263,134,0.5094,0.4493,0.5694,0.182
STEEP_LINEAR_DOWN,GENTLE_LINEAR_UP,259,129,0.4981,0.4376,0.5586,-0.029
STEEP_CONVEX_UP,GENTLE_CONVEX_DOWN,252,127,0.5039,0.4426,0.5652,0.13
STEEP_CONVEX_UP,NOISE,205,104,0.5072,0.4393,0.5751,0.577
STEEP_CONCAVE_DOWN,NOISE,191,93,0.487,0.4169,0.5574,-1.154
STEEP_LINEAR_UP,GENTLE_CONVEX_UP,174,93,0.5341,0.4603,0.6071,0.361
STEEP_LINEAR_DOWN,GENTLE_CONCAVE_DOWN,170,71,0.4186,0.3461,0.4929,-0.628
GENTLE_CONCAVE_UP,GENTLE_CONCAVE_UP,165,87,0.5269,0.4512,0.602,0.217
STEEP_CONCAVE_DOWN,STEEP_CONCAVE_DOWN,149,73,0.4901,0.4108,0.5695,-1.621
GENTLE_CONVEX_DOWN,GENTLE_CONVEX_DOWN,145,70,0.483,0.4028,0.5636,0.288
STEEP_CONVEX_UP,STEEP_CONVEX_UP,140,86,0.6127,0.5315,0.6909,1.859
STEEP_CONVEX_DOWN,STEEP_CONCAVE_DOWN,139,55,0.3972,0.3182,0.4789,-2.266
STEEP_CONCAVE_UP,STEEP_CONVEX_UP,139,78,0.5603,0.478,0.641,1.099
NOISE,STEEP_CONVEX_UP,134,98,0.7279,0.6504,0.7991,7.239
STEEP_CONVEX_UP,GENTLE_CONCAVE_UP,129,40,0.313,0.2367,0.3946,-2.452
STEEP_CONVEX_UP,GENTLE_LINEAR_UP,129,57,0.4427,0.359,0.5282,-0.591
STEEP_CONCAVE_DOWN,GENTLE_CONVEX_DOWN,123,80,0.648,0.5625,0.729,1.795
GENTLE_LINEAR_UP,GENTLE_CONCAVE_UP,119,51,0.4298,0.3432,0.5185,-0.082
FLATLINE,STEEP_CONVEX_UP,117,69,0.5882,0.4989,0.6747,5.085
GENTLE_CONVEX_DOWN,GENTLE_CONCAVE_UP,116,53,0.4576,0.369,0.5477,-0.412
NOISE,STEEP_CONCAVE_DOWN,111,39,0.354,0.2688,0.444,-4.809
FLATLINE,STEEP_CONCAVE_DOWN,106,46,0.4352,0.3434,0.5292,-5.033
STEEP_CONCAVE_DOWN,GENTLE_LINEAR_UP,103,56,0.5429,0.4474,0.6367,0.311
STEEP_CONVEX_UP,GENTLE_LINEAR_DOWN,100,44,0.4412,0.3466,0.538,-0.9
GENTLE_CONVEX_DOWN,STEEP_CONCAVE_UP,100,48,0.4804,0.3845,0.577,-1.387
STEEP_CONCAVE_DOWN,GENTLE_LINEAR_DOWN,99,48,0.4851,0.3886,0.5822,-0.02
GENTLE_CONCAVE_UP,STEEP_LINEAR_UP,97,51,0.5253,0.4271,0.6224,0.966
GENTLE_CONCAVE_UP,STEEP_CONCAVE_UP,92,47,0.5106,0.4101,0.6107,0.497
GENTLE_LINEAR_DOWN,GENTLE_CONVEX_DOWN,92,51,0.5532,0.4524,0.6519,0.399
GENTLE_CONVEX_DOWN,STEEP_LINEAR_UP,88,58,0.6556,0.5549,0.7496,1.903
GENTLE_CONVEX_UP,STEEP_LINEAR_UP,87,46,0.5281,0.4246,0.6304,0.29
GENTLE_CONCAVE_UP,GENTLE_CONVEX_DOWN,84,49,0.5814,0.4762,0.683,0.863
GENTLE_CONCAVE_UP,GENTLE_LINEAR_UP,81,47,0.5783,0.4712,0.6818,1.056
GENTLE_CONVEX_DOWN,STEEP_LINEAR_DOWN,77,33,0.4304,0.3239,0.5402,-1.211
GENTLE_LINEAR_DOWN,GENTLE_CONCAVE_UP,75,43,0.5714,0.4602,0.6792,0.387
GENTLE_CONCAVE_UP,STEEP_LINEAR_DOWN,74,26,0.3553,0.2523,0.4654,-3.162
GENTLE_CONVEX_DOWN,GENTLE_LINEAR_DOWN,70,23,0.3333,0.23,0.4455,-0.964
GENTLE_CONCAVE_UP,GENTLE_LINEAR_DOWN,65,25,0.3881,0.2758,0.5066,-0.773
GENTLE_LINEAR_UP,STEEP_CONCAVE_UP,64,24,0.3788,0.2665,0.498,-1.395
GENTLE_CONCAVE_UP,FLATLINE,64,31,0.4848,0.366,0.6046,-0.09
GENTLE_LINEAR_DOWN,STEEP_CONVEX_DOWN,63,28,0.4462,0.3282,0.5672,-0.889
GENTLE_LINEAR_UP,GENTLE_CONVEX_DOWN,62,36,0.5781,0.4562,0.6954,0.609
GENTLE_CONVEX_DOWN,FLATLINE,62,38,0.6094,0.488,0.7243,0.899
STEEP_CONVEX_UP,GENTLE_CONVEX_UP,62,30,0.4844,0.3638,0.6059,0.782
STEEP_LINEAR_DOWN,STEEP_CONVEX_UP,61,32,0.5238,0.4012,0.645,0.795
GENTLE_CONVEX_DOWN,GENTLE_LINEAR_UP,60,29,0.4839,0.3614,0.6073,-0.321
GENTLE_CONVEX_DOWN,NOISE,59,36,0.6066,0.4821,0.7244,0.712
GENTLE_CONCAVE_UP,STEEP_CONVEX_DOWN,58,33,0.5667,0.4407,0.6884,0.517
GENTLE_CONCAVE_UP,NOISE,58,21,0.3667,0.2504,0.4913,-0.388
STEEP_CONVEX_DOWN,STEEP_CONVEX_UP,57,36,0.6271,0.5012,0.7449,5.154
GENTLE_CONCAVE_DOWN,STEEP_LINEAR_DOWN,57,27,0.4746,0.3495,0.6013,-1.066
GENTLE_LINEAR_UP,STEEP_LINEAR_UP,56,31,0.5517,0.4236,0.6764,0.259
NOISE,GENTLE_CONVEX_UP,56,36,0.6379,0.5113,0.7555,1.527
GENTLE_CONVEX_UP,STEEP_CONCAVE_UP,55,23,0.4211,0.2971,0.5502,-0.568
GENTLE_CONVEX_UP,GENTLE_LINEAR_UP,55,26,0.4737,0.3466,0.6026,0.736
FLATLINE,GENTLE_CONCAVE_DOWN,55,19,0.3509,0.2336,0.4781,-0.85
GENTLE_LINEAR_DOWN,FLATLINE,54,32,0.5893,0.4591,0.7135,1.958
GENTLE_CONVEX_UP,GENTLE_CONCAVE_UP,54,21,0.3929,0.2702,0.5227,-0.329
GENTLE_LINEAR_UP,FLATLINE,54,22,0.4107,0.2865,0.5409,-0.37
GENTLE_LINEAR_DOWN,STEEP_LINEAR_UP,54,30,0.5536,0.4232,0.6803,1.431
STEEP_CONCAVE_UP,GENTLE_CONVEX_UP,54,28,0.5179,0.388,0.6465,-0.412
NOISE,GENTLE_CONCAVE_DOWN,53,19,0.3636,0.2429,0.4938,-1.542
GENTLE_CONVEX_DOWN,STEEP_CONVEX_DOWN,52,25,0.4815,0.3506,0.6136,0.572
STEEP_CONCAVE_DOWN,GENTLE_CONCAVE_DOWN,51,25,0.4906,0.3581,0.6237,0.265
GENTLE_CONVEX_UP,GENTLE_CONVEX_DOWN,50,26,0.5192,0.3846,0.6525,-0.48
GENTLE_LINEAR_DOWN,STEEP_CONCAVE_UP,50,20,0.4038,0.2758,0.5389,-0.645
GENTLE_LINEAR_UP,GENTLE_LINEAR_UP,50,26,0.5192,0.3846,0.6525,0.22
GENTLE_LINEAR_DOWN,GENTLE_LINEAR_DOWN,49,20,0.4118,0.2819,0.5482,-1.092
STEEP_LINEAR_UP,STEEP_CONCAVE_DOWN,48,23,0.48,0.3442,0.6173,-2.115
STEEP_CONVEX_DOWN,GENTLE_CONCAVE_DOWN,48,19,0.4,0.27,0.5376,-0.656
GENTLE_CONCAVE_DOWN,GENTLE_CONVEX_DOWN,47,28,0.5918,0.4527,0.7239,1.489
STEEP_CONCAVE_UP,STEEP_CONCAVE_DOWN,46,14,0.3125,0.1909,0.4489,-6.065
GENTLE_LINEAR_DOWN,STEEP_LINEAR_DOWN,46,10,0.2292,0.123,0.3566,-2.755
GENTLE_CONCAVE_DOWN,GENTLE_CONCAVE_UP,46,25,0.5417,0.4012,0.6789,-0.266
GENTLE_LINEAR_UP,GENTLE_LINEAR_DOWN,45,18,0.4043,0.27,0.5463,-0.856
GENTLE_LINEAR_DOWN,NOISE,44,21,0.4783,0.337,0.6213,0.335
GENTLE_CONVEX_UP,FLATLINE,43,16,0.3778,0.2436,0.5223,-1.052
GENTLE_LINEAR_UP,STEEP_LINEAR_DOWN,42,19,0.4545,0.3118,0.6012,-1.518
GENTLE_CONCAVE_DOWN,STEEP_CONCAVE_UP,42,16,0.3864,0.2498,0.5327,-0.78
GENTLE_CONCAVE_DOWN,GENTLE_LINEAR_DOWN,39,19,0.4878,0.338,0.6387,0.737
GENTLE_LINEAR_UP,NOISE,37,19,0.5128,0.3582,0.6662,0.453
GENTLE_LINEAR_DOWN,GENTLE_LINEAR_UP,37,23,0.6154,0.4599,0.7596,1.912
GENTLE_LINEAR_UP,STEEP_CONVEX_DOWN,34,16,0.4722,0.3138,0.6335,-0.728
GENTLE_CONCAVE_DOWN,STEEP_CONVEX_DOWN,34,15,0.4444,0.2883,0.6065,0.14
FLATLINE,GENTLE_CONVEX_UP,34,24,0.6944,0.537,0.8315,1.971
GENTLE_CONCAVE_DOWN,NOISE,33,15,0.4571,0.2978,0.6211,-0.879
GENTLE_CONVEX_UP,GENTLE_LINEAR_DOWN,32,11,0.3529,0.204,0.5183,-1.094
GENTLE_CONCAVE_DOWN,STEEP_LINEAR_UP,31,18,0.5758,0.4064,0.7364,-0.097
GENTLE_CONVEX_UP,NOISE,29,16,0.5484,0.3743,0.7166,-0.293
GENTLE_CONVEX_UP,STEEP_LINEAR_DOWN,29,10,0.3548,0.1993,0.5281,-1.198
STEEP_LINEAR_DOWN,GENTLE_CONVEX_UP,28,15,0.5333,0.3569,0.7055,1.241
GENTLE_CONVEX_UP,STEEP_CONVEX_DOWN,25,13,0.5185,0.3337,0.7007,0.32
GENTLE_CONCAVE_DOWN,GENTLE_LINEAR_UP,25,15,0.5926,0.4057,0.7665,0.4
GENTLE_CONCAVE_DOWN,FLATLINE,24,14,0.5769,0.3867,0.756,1.344
STEEP_CONVEX_DOWN,GENTLE_CONVEX_UP,23,12,0.52,0.3282,0.7088,0.239
STEEP_LINEAR_UP,GENTLE_CONCAVE_DOWN,20,8,0.4091,0.2182,0.6156,0.4
STEEP_CONCAVE_UP,GENTLE_CONCAVE_DOWN,18,8,0.45,0.2445,0.665,0.097
STEEP_CONVEX_UP,STEEP_CONCAVE_DOWN,16,5,0.3333,0.1421,0.5596,-11.031
STEEP_CONCAVE_DOWN,STEEP_CONVEX_UP,14,9,0.625,0.3838,0.8366,-1.982
