shape,parent_shape,n,k_up,p_up_mean,ci95_lo,ci95_hi,mean_fwd_return
GENTLE_LINEAR_DOWN,GENTLE_CONCAVE_UP,56,24,0.431,0.3074,0.5592,-12.179
STEEP_LINEAR_DOWN,FLATLINE,55,22,0.4035,0.281,0.5325,-7.005
STEEP_CONCAVE_UP,GENTLE_CONCAVE_UP,54,21,0.3929,0.2702,0.5227,-10.292
GENTLE_LINEAR_DOWN,GENTLE_LINEAR_UP,54,28,0.5179,0.388,0.6465,2.736
GENTLE_LINEAR_DOWN,NOISE,53,32,0.6,0.4688,0.7243,6.203
GENTLE_CONCAVE_UP,GENTLE_CONVEX_DOWN,51,29,0.566,0.432,0.6953,5.838
STEEP_LINEAR_UP,FLATLINE,51,30,0.5849,0.451,0.7127,6.922
STEEP_LINEAR_UP,STEEP_LINEAR_UP,50,31,0.6154,0.4808,0.7416,24.89
GENTLE_LINEAR_UP,GENTLE_CONCAVE_UP,47,20,0.4286,0.2948,0.5679,-3.005
GENTLE_LINEAR_UP,FLATLINE,45,19,0.4255,0.2893,0.5677,-7.922
STEEP_LINEAR_UP,GENTLE_CONVEX_DOWN,45,22,0.4894,0.349,0.6305,5.5
GENTLE_CONVEX_UP,GENTLE_LINEAR_UP,44,22,0.5,0.3577,0.6423,0.352
STEEP_CONVEX_DOWN,GENTLE_CONVEX_DOWN,43,24,0.5556,0.4103,0.6961,7.134
NOISE,STEEP_LINEAR_DOWN,43,15,0.3556,0.2241,0.4992,-45.843
GENTLE_LINEAR_UP,GENTLE_CONVEX_DOWN,42,22,0.5227,0.3765,0.6669,4.827
GENTLE_LINEAR_UP,GENTLE_LINEAR_DOWN,40,16,0.4048,0.2632,0.555,-6.206
STEEP_LINEAR_UP,STEEP_LINEAR_DOWN,39,16,0.4146,0.2704,0.5667,-7.494
GENTLE_LINEAR_DOWN,GENTLE_CONVEX_DOWN,37,23,0.6154,0.4599,0.7596,14.149
GENTLE_CONCAVE_UP,FLATLINE,32,14,0.4412,0.2811,0.6078,-10.789
NOISE,STEEP_LINEAR_UP,31,23,0.7273,0.566,0.8625,44.879
GENTLE_LINEAR_DOWN,FLATLINE,31,17,0.5455,0.3766,0.7091,1.637
GENTLE_CONVEX_UP,FLATLINE,31,14,0.4545,0.2909,0.6234,4.976
STEEP_CONCAVE_UP,GENTLE_LINEAR_DOWN,29,12,0.4194,0.2546,0.594,-16.862
GENTLE_CONVEX_DOWN,FLATLINE,27,16,0.5862,0.4058,0.7554,4.593
GENTLE_CONVEX_DOWN,NOISE,27,9,0.3448,0.1864,0.5235,2.537
GENTLE_CONCAVE_DOWN,GENTLE_LINEAR_DOWN,27,6,0.2414,0.1069,0.4095,-12.111
STEEP_CONCAVE_UP,GENTLE_CONVEX_DOWN,27,15,0.5517,0.3718,0.7249,7.833
STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,25,12,0.4815,0.2993,0.6663,-5.12
GENTLE_CONCAVE_UP,NOISE,25,13,0.5185,0.3337,0.7007,-26.02
STEEP_LINEAR_UP,GENTLE_CONCAVE_UP,25,12,0.4815,0.2993,0.6663,-3.46
GENTLE_CONVEX_UP,NOISE,24,12,0.5,0.3131,0.6869,-1.177
STEEP_CONCAVE_DOWN,NOISE,23,12,0.52,0.3282,0.7088,-13.859
STEEP_CONVEX_DOWN,STEEP_LINEAR_UP,23,15,0.64,0.4468,0.812,2.576
STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,23,7,0.32,0.1563,0.5109,-21.391
STEEP_CONCAVE_UP,STEEP_LINEAR_DOWN,23,12,0.52,0.3282,0.7088,-4.0
STEEP_LINEAR_DOWN,STEEP_LINEAR_UP,23,13,0.56,0.3664,0.7445,59.891
GENTLE_CONCAVE_DOWN,NOISE,22,14,0.625,0.4273,0.8029,8.148
STEEP_CONVEX_UP,NOISE,21,7,0.3478,0.172,0.5487,-39.31
GENTLE_CONVEX_UP,GENTLE_CONVEX_DOWN,19,13,0.6667,0.4572,0.8461,10.132
GENTLE_CONCAVE_DOWN,GENTLE_LINEAR_UP,18,14,0.75,0.5443,0.9085,9.958
STEEP_CONVEX_DOWN,GENTLE_CONCAVE_UP,18,10,0.55,0.335,0.7555,-11.792
GENTLE_CONCAVE_DOWN,GENTLE_CONCAVE_UP,18,5,0.3,0.1258,0.512,-13.75
STEEP_CONCAVE_DOWN,GENTLE_LINEAR_UP,18,11,0.6,0.3836,0.7975,15.306
GENTLE_CONVEX_UP,GENTLE_CONCAVE_UP,18,8,0.45,0.2445,0.665,-2.042
GENTLE_CONVEX_UP,GENTLE_LINEAR_DOWN,18,10,0.55,0.335,0.7555,5.264
FLATLINE,STEEP_CONVEX_DOWN,17,12,0.6842,0.4652,0.8666,11.015
STEEP_CONVEX_DOWN,NOISE,17,11,0.6316,0.4099,0.827,26.176
GENTLE_CONCAVE_UP,STEEP_LINEAR_UP,17,8,0.4737,0.2602,0.6924,21.603
GENTLE_CONCAVE_UP,STEEP_LINEAR_DOWN,15,6,0.4118,0.1975,0.6457,-24.333
GENTLE_CONVEX_DOWN,STEEP_LINEAR_UP,15,9,0.5882,0.3543,0.8025,18.6
GENTLE_LINEAR_DOWN,GENTLE_CONCAVE_DOWN,14,9,0.625,0.3838,0.8366,2.196
STEEP_LINEAR_DOWN,GENTLE_CONVEX_DOWN,14,10,0.6875,0.449,0.8818,17.054
STEEP_CONCAVE_DOWN,FLATLINE,14,6,0.4375,0.2127,0.6771,-15.679
STEEP_CONVEX_UP,GENTLE_LINEAR_DOWN,14,4,0.3125,0.1182,0.551,-5.357
FLATLINE,STEEP_CONCAVE_UP,14,10,0.6875,0.449,0.8818,13.607
STEEP_CONCAVE_DOWN,GENTLE_CONCAVE_UP,14,8,0.5625,0.3229,0.7873,18.339
STEEP_LINEAR_UP,STEEP_CONCAVE_UP,13,8,0.6,0.3514,0.8234,-18.731
STEEP_CONVEX_DOWN,GENTLE_LINEAR_UP,13,4,0.3333,0.1276,0.581,-13.827
STEEP_LINEAR_DOWN,GENTLE_CONCAVE_DOWN,12,8,0.6429,0.3857,0.8614,9.854
STEEP_CONVEX_DOWN,FLATLINE,12,7,0.5714,0.3158,0.8078,-11.229
STEEP_LINEAR_DOWN,STEEP_CONVEX_DOWN,12,5,0.4286,0.1922,0.6842,-2.396
STEEP_CONVEX_UP,FLATLINE,12,8,0.6429,0.3857,0.8614,14.229
STEEP_LINEAR_UP,GENTLE_CONVEX_UP,12,4,0.3571,0.1386,0.6143,-15.583
FLATLINE,GENTLE_CONCAVE_DOWN,11,1,0.1538,0.0209,0.3848,-30.818
GENTLE_LINEAR_UP,STEEP_LINEAR_UP,11,5,0.4615,0.2109,0.7233,6.75
GENTLE_CONCAVE_DOWN,FLATLINE,11,5,0.4615,0.2109,0.7233,-6.068
STEEP_CONVEX_DOWN,STEEP_CONCAVE_UP,10,5,0.5,0.2338,0.7662,-7.975
GENTLE_CONCAVE_DOWN,GENTLE_CONVEX_DOWN,10,7,0.6667,0.3903,0.8907,10.475
STEEP_CONVEX_UP,STEEP_LINEAR_UP,10,8,0.75,0.4822,0.9398,30.725
STEEP_CONCAVE_UP,NOISE,10,6,0.5833,0.3079,0.8325,42.1
STEEP_CONVEX_UP,GENTLE_CONVEX_DOWN,10,7,0.6667,0.3903,0.8907,13.7
GENTLE_LINEAR_UP,GENTLE_CONVEX_UP,10,5,0.5,0.2338,0.7662,-1.325
GENTLE_CONVEX_UP,STEEP_LINEAR_UP,10,5,0.5,0.2338,0.7662,14.0
