**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

shape,parent_shape,n,k_up,p_up_mean,ci95_lo,ci95_hi,mean_fwd_return
STEEP_CONCAVE_UP,STEEP_LINEAR_DOWN,1841,811,0.4406,0.418,0.4633,-0.585
STEEP_CONVEX_UP,NOISE,1831,898,0.4905,0.4676,0.5133,0.221
STEEP_CONCAVE_DOWN,NOISE,1824,866,0.4748,0.4519,0.4977,-0.111
FLATLINE,NOISE,1765,848,0.4805,0.4572,0.5038,-0.077
STEEP_CONCAVE_UP,FLATLINE,1759,849,0.4827,0.4594,0.506,-0.335
STEEP_CONVEX_DOWN,STEEP_LINEAR_UP,1737,902,0.5193,0.4958,0.5427,0.583
STEEP_LINEAR_DOWN,STEEP_CONCAVE_DOWN,1724,821,0.4762,0.4527,0.4998,-0.124
STEEP_CONVEX_DOWN,FLATLINE,1694,859,0.5071,0.4833,0.5309,0.091
STEEP_LINEAR_UP,STEEP_CONVEX_UP,1679,828,0.4932,0.4693,0.5171,-0.062
STEEP_CONCAVE_DOWN,STEEP_LINEAR_UP,1470,784,0.5333,0.5078,0.5587,0.64
STEEP_CONVEX_UP,STEEP_LINEAR_DOWN,1414,633,0.4477,0.4219,0.4737,-0.555
FLATLINE,FLATLINE,1185,578,0.4878,0.4594,0.5162,-0.192
STEEP_CONVEX_UP,FLATLINE,1119,521,0.4657,0.4365,0.4949,-0.201
STEEP_CONCAVE_DOWN,FLATLINE,1093,552,0.505,0.4754,0.5346,-0.121
NOISE,STEEP_CONCAVE_DOWN,1076,363,0.3377,0.3097,0.3662,-1.821
NOISE,STEEP_CONVEX_UP,1008,648,0.6426,0.6128,0.6718,2.039
NOISE,GENTLE_CONCAVE_UP,997,414,0.4154,0.385,0.4461,-0.365
NOISE,GENTLE_CONVEX_DOWN,956,488,0.5104,0.4788,0.542,0.259
STEEP_CONCAVE_UP,STEEP_CONVEX_UP,872,461,0.5286,0.4955,0.5616,0.607
STEEP_CONVEX_DOWN,STEEP_CONCAVE_DOWN,856,375,0.4382,0.4052,0.4715,-0.412
STEEP_CONCAVE_DOWN,STEEP_CONCAVE_DOWN,740,334,0.4515,0.4158,0.4874,-0.785
STEEP_CONVEX_UP,STEEP_CONVEX_UP,673,339,0.5037,0.466,0.5414,0.664
NOISE,GENTLE_LINEAR_UP,635,314,0.4945,0.4557,0.5333,0.015
NOISE,GENTLE_LINEAR_DOWN,618,263,0.4258,0.3872,0.4649,-0.041
STEEP_LINEAR_DOWN,GENTLE_CONCAVE_UP,309,153,0.4952,0.4398,0.5506,-0.076
STEEP_LINEAR_UP,GENTLE_CONVEX_DOWN,298,146,0.49,0.4336,0.5465,0.008
FLATLINE,STEEP_CONCAVE_DOWN,273,118,0.4327,0.3748,0.4916,-0.791
FLATLINE,STEEP_CONVEX_UP,268,148,0.5519,0.4923,0.6106,0.489
STEEP_CONCAVE_UP,GENTLE_LINEAR_UP,237,112,0.4728,0.4099,0.5361,0.015
STEEP_CONCAVE_DOWN,GENTLE_CONCAVE_UP,230,110,0.4784,0.4145,0.5427,-0.013
STEEP_CONVEX_DOWN,GENTLE_LINEAR_DOWN,212,104,0.4907,0.424,0.5575,0.291
STEEP_CONCAVE_UP,GENTLE_CONCAVE_UP,209,98,0.4692,0.4024,0.5366,-0.053
STEEP_LINEAR_UP,GENTLE_LINEAR_UP,206,90,0.4375,0.3709,0.5053,-0.148
STEEP_CONVEX_UP,GENTLE_CONVEX_DOWN,200,81,0.4059,0.3393,0.4743,-0.42
STEEP_CONCAVE_UP,GENTLE_CONVEX_DOWN,197,91,0.4623,0.3936,0.5317,0.26
FLATLINE,GENTLE_CONCAVE_UP,189,90,0.4764,0.4061,0.5472,-0.233
STEEP_LINEAR_DOWN,GENTLE_LINEAR_DOWN,188,101,0.5368,0.4658,0.6071,0.203
STEEP_CONVEX_DOWN,GENTLE_CONCAVE_UP,185,84,0.4545,0.3839,0.5261,-0.242
STEEP_LINEAR_DOWN,GENTLE_LINEAR_UP,185,87,0.4706,0.3996,0.5422,-0.084
NOISE,GENTLE_CONVEX_UP,184,96,0.5215,0.4498,0.5928,0.167
STEEP_CONVEX_DOWN,GENTLE_CONVEX_DOWN,183,96,0.5243,0.4524,0.5958,0.366
STEEP_LINEAR_DOWN,GENTLE_CONVEX_DOWN,177,97,0.5475,0.4744,0.6196,0.162
STEEP_LINEAR_UP,GENTLE_CONCAVE_UP,176,72,0.4101,0.3391,0.483,-0.55
STEEP_LINEAR_UP,GENTLE_CONVEX_UP,174,83,0.4773,0.404,0.551,-0.037
STEEP_LINEAR_UP,GENTLE_LINEAR_DOWN,167,74,0.4438,0.3698,0.519,0.021
FLATLINE,GENTLE_CONVEX_DOWN,166,92,0.5536,0.4781,0.6278,0.316
STEEP_CONCAVE_DOWN,GENTLE_CONVEX_DOWN,156,92,0.5886,0.5112,0.6639,0.784
STEEP_CONVEX_UP,GENTLE_LINEAR_UP,150,59,0.3947,0.3187,0.4734,-0.533
NOISE,GENTLE_CONCAVE_DOWN,149,57,0.3841,0.3084,0.4628,-0.341
STEEP_LINEAR_UP,STEEP_CONCAVE_DOWN,145,59,0.4082,0.3303,0.4884,-1.36
STEEP_CONCAVE_UP,STEEP_CONCAVE_DOWN,143,58,0.4069,0.3286,0.4877,-0.902
FLATLINE,GENTLE_LINEAR_DOWN,140,62,0.4437,0.3631,0.5257,0.036
STEEP_CONCAVE_DOWN,GENTLE_LINEAR_DOWN,139,73,0.5248,0.4425,0.6065,0.16
STEEP_CONVEX_UP,GENTLE_CONCAVE_UP,137,46,0.3381,0.2621,0.4186,-0.682
STEEP_CONCAVE_UP,GENTLE_CONVEX_UP,130,60,0.4621,0.3781,0.5473,-0.019
STEEP_LINEAR_DOWN,STEEP_CONVEX_UP,130,67,0.5152,0.4301,0.5997,0.715
STEEP_LINEAR_DOWN,GENTLE_CONCAVE_DOWN,130,59,0.4545,0.3707,0.5397,-0.152
STEEP_CONVEX_DOWN,GENTLE_LINEAR_UP,128,63,0.4923,0.4069,0.5779,0.188
STEEP_CONCAVE_UP,GENTLE_LINEAR_DOWN,125,55,0.4409,0.356,0.5277,-0.412
STEEP_CONCAVE_DOWN,GENTLE_LINEAR_UP,125,66,0.5276,0.4408,0.6135,0.212
FLATLINE,GENTLE_LINEAR_UP,124,58,0.4683,0.3821,0.5554,-0.177
STEEP_CONVEX_DOWN,STEEP_CONVEX_UP,119,59,0.4959,0.4074,0.5845,0.521
STEEP_CONVEX_UP,GENTLE_LINEAR_DOWN,107,48,0.4495,0.3576,0.5432,0.047
STEEP_CONVEX_DOWN,GENTLE_CONCAVE_DOWN,84,38,0.4535,0.3502,0.5589,0.065
STEEP_CONVEX_UP,STEEP_CONCAVE_DOWN,74,21,0.2895,0.1938,0.3956,-2.534
STEEP_CONCAVE_DOWN,GENTLE_CONCAVE_DOWN,70,31,0.4444,0.3323,0.5595,-0.432
STEEP_CONVEX_UP,GENTLE_CONVEX_UP,63,25,0.4,0.2851,0.5207,-0.099
FLATLINE,GENTLE_CONVEX_UP,52,26,0.5,0.3684,0.6316,0.226
STEEP_CONCAVE_DOWN,STEEP_CONVEX_UP,49,30,0.6078,0.4717,0.7359,2.209
GENTLE_CONVEX_DOWN,NOISE,37,14,0.3846,0.2404,0.5401,0.0
FLATLINE,GENTLE_CONCAVE_DOWN,37,19,0.5128,0.3582,0.6662,-0.169
STEEP_LINEAR_DOWN,GENTLE_CONVEX_UP,32,10,0.3235,0.1796,0.4871,-0.844
STEEP_CONCAVE_UP,GENTLE_CONCAVE_DOWN,32,17,0.5294,0.3635,0.692,0.477
GENTLE_LINEAR_UP,NOISE,31,13,0.4242,0.2636,0.5936,-0.194
STEEP_CONVEX_DOWN,GENTLE_CONVEX_UP,28,13,0.4667,0.2945,0.6431,-0.321
GENTLE_LINEAR_UP,STEEP_CONCAVE_UP,27,8,0.3103,0.1588,0.4867,-0.852
STEEP_LINEAR_UP,GENTLE_CONCAVE_DOWN,26,10,0.3929,0.2239,0.5763,-0.596
GENTLE_CONCAVE_UP,NOISE,26,16,0.6071,0.4237,0.7761,0.692
GENTLE_LINEAR_DOWN,NOISE,26,14,0.5357,0.3533,0.7133,-0.096
GENTLE_CONCAVE_UP,STEEP_CONCAVE_UP,25,16,0.6296,0.4433,0.7977,0.39
GENTLE_LINEAR_UP,STEEP_LINEAR_UP,22,14,0.625,0.4273,0.8029,0.807
GENTLE_LINEAR_DOWN,STEEP_LINEAR_UP,22,11,0.5,0.3059,0.6941,-0.807
GENTLE_LINEAR_DOWN,STEEP_CONVEX_DOWN,21,12,0.5652,0.3635,0.7561,0.155
GENTLE_CONVEX_UP,STEEP_LINEAR_UP,21,9,0.4348,0.2439,0.6365,-0.512
GENTLE_CONVEX_UP,STEEP_CONCAVE_UP,20,9,0.4545,0.2571,0.6598,0.075
GENTLE_CONCAVE_DOWN,STEEP_LINEAR_DOWN,20,9,0.4545,0.2571,0.6598,-0.588
GENTLE_CONCAVE_DOWN,NOISE,20,13,0.6364,0.4303,0.8189,1.212
GENTLE_CONCAVE_UP,STEEP_LINEAR_UP,19,12,0.619,0.4078,0.8088,0.75
GENTLE_CONVEX_DOWN,STEEP_CONVEX_DOWN,19,8,0.4286,0.2306,0.6395,0.053
GENTLE_LINEAR_DOWN,STEEP_CONCAVE_UP,18,6,0.35,0.1629,0.5655,-0.819
GENTLE_CONCAVE_UP,GENTLE_CONCAVE_UP,17,5,0.3158,0.1334,0.5348,-0.632
GENTLE_LINEAR_UP,STEEP_CONVEX_DOWN,17,7,0.4211,0.2153,0.6425,-0.412
GENTLE_CONCAVE_DOWN,STEEP_CONCAVE_UP,17,9,0.5263,0.3076,0.7398,0.162
GENTLE_CONVEX_DOWN,STEEP_CONCAVE_UP,16,4,0.2778,0.1031,0.499,-0.578
GENTLE_CONCAVE_UP,STEEP_LINEAR_DOWN,15,6,0.4118,0.1975,0.6457,-0.467
GENTLE_LINEAR_UP,GENTLE_CONCAVE_UP,13,8,0.6,0.3514,0.8234,0.038
GENTLE_CONVEX_UP,NOISE,13,5,0.4,0.1766,0.6486,-0.596
GENTLE_CONVEX_DOWN,STEEP_LINEAR_DOWN,13,6,0.4667,0.2304,0.7114,0.635
GENTLE_CONCAVE_UP,STEEP_CONVEX_DOWN,12,4,0.3571,0.1386,0.6143,-0.542
GENTLE_CONCAVE_DOWN,STEEP_CONVEX_DOWN,12,5,0.4286,0.1922,0.6842,0.271
GENTLE_LINEAR_DOWN,GENTLE_CONVEX_DOWN,11,5,0.4615,0.2109,0.7233,0.523
GENTLE_CONVEX_DOWN,GENTLE_CONVEX_DOWN,11,7,0.6154,0.3489,0.8483,0.295
GENTLE_LINEAR_UP,GENTLE_CONVEX_DOWN,11,4,0.3846,0.1517,0.6511,0.0
STEEP_CONVEX_UP,GENTLE_CONCAVE_DOWN,11,5,0.4615,0.2109,0.7233,-0.659
GENTLE_CONVEX_UP,STEEP_LINEAR_DOWN,10,5,0.5,0.2338,0.7662,0.45
GENTLE_CONVEX_DOWN,STEEP_LINEAR_UP,10,5,0.5,0.2338,0.7662,-0.025
GENTLE_CONCAVE_UP,FLATLINE,10,6,0.5833,0.3079,0.8325,1.05
GENTLE_LINEAR_UP,FLATLINE,10,1,0.1667,0.0228,0.4128,-1.4
GENTLE_LINEAR_UP,GENTLE_LINEAR_UP,10,6,0.5833,0.3079,0.8325,0.325
