day,entry_tier,dir,entry_price,pnl,peak,held,exit_reason,timestamp
2025_03_06,FADE_MOMENTUM,long,20110.5,-6.5,46.5,24,giveback,1741290900.0
2025_03_06,FADE_MOMENTUM,short,20186.75,-49.0,0.0,36,z_reversal,1741295700.0
2025_03_07,FADE_MOMENTUM,long,19932.25,142.5,142.5,48,mean_reached,1741370280.0
2025_03_10,FADE_MOMENTUM,long,19434.0,116.0,116.0,36,mean_reached,1741634940.0
2025_03_11,FADE_MOMENTUM,long,19458.5,44.5,44.5,72,z_reversal,1741701720.0
2025_03_11,FADE_MOMENTUM,short,19445.75,-44.0,30.5,24,giveback,1741705620.0
2025_03_13,FADE_MOMENTUM,short,19565.5,39.0,65.0,24,z_reversal,1741869000.0
2025_03_14,FADE_MOMENTUM,long,19491.25,49.0,49.0,36,mean_reached,1741960800.0
2025_04_01,FADE_MOMENTUM,long,19350.5,11.5,11.5,60,mean_reached,1743465600.0
2025_04_02,FADE_MOMENTUM,long,19767.0,-322.0,0.0,12,hard_stop,1743625560.0
2025_04_02,FADE_MOMENTUM,short,19211.5,5.5,71.5,48,giveback,1743626940.0
2025_04_02,FADE_MOMENTUM,long,18958.0,-3.5,82.5,24,giveback,1743631320.0
2025_04_03,FADE_MOMENTUM,long,18998.25,3.0,30.5,24,giveback,1743687600.0
2025_04_04,FADE_MOMENTUM,long,18234.75,-179.5,0.0,24,hard_stop,1743762060.0
2025_04_04,FADE_MOMENTUM,long,18145.0,81.5,211.5,60,giveback,1743762180.0
2025_04_04,FADE_MOMENTUM,long,18077.25,-14.0,14.0,60,mean_reached,1743763860.0
2025_04_04,FADE_MOMENTUM,short,18135.25,1.5,46.0,24,giveback,1743764400.0
2025_04_04,FADE_MOMENTUM,long,17967.75,-153.0,12.0,48,hard_stop,1743765960.0
2025_04_04,FADE_MOMENTUM,long,17911.75,1.0,1.0,36,mean_reached,1743766080.0
2025_04_04,FADE_MOMENTUM,short,18226.25,81.0,81.0,24,mean_reached,1743769980.0
2025_04_04,FADE_MOMENTUM,short,18192.5,80.0,80.0,12,mean_reached,1743773280.0
2025_04_04,FADE_MOMENTUM,long,17715.75,149.0,149.0,36,z_reversal,1743778140.0
2025_04_04,FADE_MOMENTUM,short,17841.75,1.0,91.5,36,giveback,1743778380.0
2025_04_04,FADE_MOMENTUM,long,18018.0,-155.5,0.0,48,hard_stop,1743780300.0
2025_04_04,FADE_MOMENTUM,long,17957.75,-35.0,72.5,36,giveback,1743780360.0
2025_04_07,FADE_MOMENTUM,long,16516.0,262.5,262.5,24,mean_reached,1743984240.0
2025_04_07,FADE_MOMENTUM,short,16819.0,131.0,131.0,36,z_reversal,1743987600.0
2025_04_07,FADE_MOMENTUM,short,16899.0,-172.0,0.0,84,hard_stop,1743990360.0
2025_04_07,FADE_MOMENTUM,short,16875.25,19.0,19.0,36,mean_reached,1744003140.0
2025_04_07,FADE_MOMENTUM,long,16729.25,16.5,16.5,72,mean_reached,1744006140.0
2025_04_07,FADE_MOMENTUM,long,16541.75,-1.0,0.0,48,mean_reached,1744008360.0
2025_04_07,FADE_MOMENTUM,short,16628.25,9.5,9.5,48,mean_reached,1744011540.0
2025_04_07,FADE_MOMENTUM,short,16755.25,-170.5,0.0,12,hard_stop,1744012860.0
2025_04_07,FADE_MOMENTUM,long,16754.5,148.0,152.0,60,mean_reached,1744013460.0
2025_04_07,FADE_MOMENTUM,short,16999.75,-57.0,50.5,36,giveback,1744020120.0
2025_04_07,FADE_MOMENTUM,short,17127.75,108.5,108.5,24,mean_reached,1744027200.0
2025_04_07,FADE_MOMENTUM,long,16759.0,32.0,169.5,24,giveback,1744033080.0
2025_04_07,FADE_MOMENTUM,short,16823.75,-197.0,0.0,24,hard_stop,1744033560.0
2025_04_07,FADE_MOMENTUM,short,16897.0,-162.5,0.0,36,hard_stop,1744033620.0
2025_04_07,FADE_MOMENTUM,long,17196.25,71.5,199.5,60,giveback,1744034520.0
2025_04_07,FADE_MOMENTUM,short,17553.5,-333.5,0.0,12,hard_stop,1744035000.0
2025_04_07,FADE_MOMENTUM,short,17720.25,-237.0,0.0,12,hard_stop,1744035060.0
2025_04_07,FADE_MOMENTUM,short,17838.75,-497.5,0.0,12,hard_stop,1744035120.0
2025_04_07,FADE_MOMENTUM,long,17625.5,-173.0,0.0,36,hard_stop,1744038300.0
2025_04_07,FADE_MOMENTUM,long,17291.5,43.5,75.5,36,mean_reached,1744038840.0
2025_04_07,FADE_MOMENTUM,short,17427.5,68.0,125.0,24,z_reversal,1744043160.0
2025_04_07,FADE_MOMENTUM,short,17463.25,250.5,250.5,24,mean_reached,1744045200.0
2025_04_07,FADE_MOMENTUM,short,17794.5,1.0,63.5,48,giveback,1744049880.0
2025_04_07,FADE_MOMENTUM,short,17604.0,129.5,129.5,24,mean_reached,1744052400.0
2025_04_07,FADE_MOMENTUM,short,17570.25,103.5,112.0,60,mean_reached,1744053480.0
2025_04_08,FADE_MOMENTUM,long,17749.0,-94.5,0.0,72,mean_reached,1744073820.0
2025_04_08,FADE_MOMENTUM,short,18053.25,-67.5,0.0,84,mean_reached,1744117680.0
2025_04_08,FADE_MOMENTUM,long,18115.0,93.0,93.0,24,mean_reached,1744119060.0
2025_04_08,FADE_MOMENTUM,short,17582.75,-45.5,76.5,36,giveback,1744133700.0
2025_04_08,FADE_MOMENTUM,short,17105.25,-244.5,0.0,48,hard_stop,1744141800.0
2025_04_08,FADE_MOMENTUM,short,17227.5,45.0,98.5,48,giveback,1744142040.0
2025_04_09,FADE_MOMENTUM,long,16915.25,22.5,46.5,60,giveback,1744156920.0
2025_04_09,FADE_MOMENTUM,short,17117.75,107.5,107.5,12,mean_reached,1744163340.0
2025_04_09,FADE_MOMENTUM,short,17185.75,105.5,105.5,12,mean_reached,1744164000.0
2025_04_09,FADE_MOMENTUM,short,16865.5,1.0,60.5,48,giveback,1744175460.0
2025_04_09,FADE_MOMENTUM,long,16745.0,84.5,84.5,23,mean_reached,1744177080.0
2025_04_09,FADE_MOMENTUM,short,17098.25,91.0,91.0,24,mean_reached,1744179240.0
2025_04_09,FADE_MOMENTUM,long,17248.25,-458.5,0.0,12,hard_stop,1744196340.0
2025_04_09,FADE_MOMENTUM,short,16980.5,17.0,17.0,59,mean_reached,1744199280.0
2025_04_09,FADE_MOMENTUM,short,17309.25,63.0,63.0,36,mean_reached,1744205460.0
