day,entry_tier,dir,entry_price,pnl,peak,held,exit_reason,timestamp
2025_04_21,EXHAUSTION_BAR,short,17978.75,-14.0,5.0,59,exhaust_mean,1745279400.0
2025_04_22,EXHAUSTION_BAR,long,18332.0,41.0,41.0,24,exhaust_mean,1745342160.0
2025_04_22,EXHAUSTION_BAR,short,18707.75,-111.0,0.0,12,exhaust_no_conviction,1745359260.0
2025_04_23,EXHAUSTION_BAR,short,18985.25,-33.0,0.0,12,exhaust_no_conviction,1745415120.0
2025_04_23,EXHAUSTION_BAR,long,18909.0,-40.0,0.0,12,exhaust_no_conviction,1745422020.0
2025_04_25,EXHAUSTION_BAR,long,19391.0,39.0,44.0,36,exhaust_mean,1745565240.0
2025_04_25,EXHAUSTION_BAR,long,19452.5,13.5,49.0,36,giveback,1745602740.0
2025_04_27,EXHAUSTION_BAR,long,19481.25,9.0,9.0,47,exhaust_mean,1745791260.0
2025_04_30,EXHAUSTION_BAR,short,19647.25,-31.5,0.0,12,exhaust_no_conviction,1746042660.0
2025_05_01,EXHAUSTION_BAR,long,19959.5,-24.5,0.0,12,exhaust_no_conviction,1746114960.0
2025_05_01,EXHAUSTION_BAR,long,19794.0,-15.5,5.5,36,exhaust_mean,1746129720.0
2025_05_04,EXHAUSTION_BAR,long,20151.0,20.0,20.0,47,exhaust_mean,1746396060.0
2025_05_06,EXHAUSTION_BAR,short,20006.0,65.5,75.5,36,exhaust_mean,1746548040.0
2025_05_06,EXHAUSTION_BAR,long,19862.25,29.0,72.5,276,giveback,1746561600.0
2025_05_06,EXHAUSTION_BAR,long,20039.25,128.5,168.5,60,exhaust_mean,1746568980.0
2025_05_07,EXHAUSTION_BAR,long,19732.0,-58.5,0.0,12,exhaust_no_conviction,1746641220.0
2025_05_07,EXHAUSTION_BAR,short,20023.5,29.0,78.0,24,giveback,1746646980.0
2025_05_08,EXHAUSTION_BAR,long,20024.75,-73.0,0.0,12,exhaust_no_conviction,1746716040.0
2025_05_11,EXHAUSTION_BAR,short,20447.25,73.5,73.5,60,exhaust_mean,1747000860.0
2025_05_12,EXHAUSTION_BAR,short,20773.0,-169.0,23.0,96,hard_stop,1747033260.0
2025_05_18,EXHAUSTION_BAR,long,21323.0,-43.5,0.0,12,exhaust_no_conviction,1747605660.0
2025_05_22,EXHAUSTION_BAR,long,21180.75,6.0,6.0,36,exhaust_mean,1747943760.0
2025_05_23,EXHAUSTION_BAR,long,21082.25,1.0,1.0,72,exhaust_mean,1747999200.0
2025_05_23,EXHAUSTION_BAR,long,21072.75,20.0,20.0,60,exhaust_mean,1747999260.0
2025_05_23,EXHAUSTION_BAR,long,20902.5,-91.5,65.0,36,giveback,1748000700.0
2025_05_23,EXHAUSTION_BAR,long,20892.75,-72.0,84.5,24,giveback,1748000760.0
2025_05_23,EXHAUSTION_BAR,short,20908.75,-52.0,0.0,12,exhaust_no_conviction,1748007240.0
2025_05_25,EXHAUSTION_BAR,short,21054.5,-55.5,0.0,12,exhaust_no_conviction,1748210820.0
2025_05_25,EXHAUSTION_BAR,short,21085.5,-30.0,37.0,36,giveback,1748210940.0
2025_05_28,EXHAUSTION_BAR,long,21445.75,-29.0,0.0,12,exhaust_no_conviction,1748458320.0
2025_05_29,EXHAUSTION_BAR,long,21341.25,9.0,15.5,60,exhaust_mean,1748534280.0
2025_05_30,EXHAUSTION_BAR,long,21305.75,47.0,47.0,24,exhaust_mean,1748567100.0
2025_05_30,EXHAUSTION_BAR,long,21258.5,11.5,30.0,24,giveback,1748607060.0
2025_06_02,EXHAUSTION_BAR,short,21345.0,-84.5,0.0,12,exhaust_no_conviction,1748871060.0
2025_06_02,EXHAUSTION_BAR,short,21404.75,137.5,172.0,264,exhaust_mean,1748871180.0
2025_06_05,EXHAUSTION_BAR,long,21725.75,-41.5,0.0,12,exhaust_no_conviction,1749131160.0
2025_06_05,EXHAUSTION_BAR,long,21550.5,-34.0,0.0,12,exhaust_no_conviction,1749151020.0
2025_06_06,EXHAUSTION_BAR,short,21753.0,-9.0,34.5,36,giveback,1749213060.0
2025_06_06,EXHAUSTION_BAR,long,21770.75,-26.5,0.0,12,exhaust_no_conviction,1749223140.0
2025_06_11,EXHAUSTION_BAR,long,21858.25,18.5,60.0,84,giveback,1749665040.0
2025_06_12,EXHAUSTION_BAR,short,21861.25,12.0,35.0,24,giveback,1749735060.0
2025_06_13,EXHAUSTION_BAR,long,21755.25,-190.0,0.0,47,hard_stop,1749772800.0
2025_06_13,EXHAUSTION_BAR,long,21759.25,-28.5,4.5,84,exhaust_mean,1749837840.0
2025_06_15,EXHAUSTION_BAR,long,21554.75,87.0,111.0,36,exhaust_mean,1750024860.0
2025_06_17,EXHAUSTION_BAR,short,21873.25,26.0,28.5,36,exhaust_mean,1750167060.0
2025_06_19,EXHAUSTION_BAR,short,21599.75,-13.0,0.5,25,exhaust_mean,1750370460.0
2025_07_03,EXHAUSTION_BAR,short,22912.5,-9.0,3.5,72,exhaust_mean,1751545860.0
2025_07_06,EXHAUSTION_BAR,short,23003.5,10.0,28.0,60,exhaust_mean,1751839260.0
