day,ts,i,is_flush,open_px,v_low,v_peak,flush_pt,rec_frac,mod,low_break,peak_reclaim,first,close_frac
2025_07_31,1753970040,834,True,23747.75,23608.25,23693.0,139.5,0.6075268817204301,594.0,True,True,PEAK_RECLAIM,-3.0
2025_08_07,1754576400,860,False,23601.0,23569.5,23671.25,31.5,3.2301587301587302,620.0,True,False,LOW_BREAK,-0.6633906633906634
2025_08_14,1755181200,860,False,23858.25,23841.25,23960.25,17.0,7.0,620.0,False,True,PEAK_RECLAIM,0.6743697478991597
2025_08_21,1755784200,830,True,23260.25,23175.0,23268.5,85.25,1.096774193548387,590.0,True,True,LOW_BREAK,0.45989304812834225
2025_08_28,1756390800,860,False,23640.5,23629.25,23743.25,11.25,10.133333333333333,620.0,True,True,LOW_BREAK,1.2017543859649122
2025_09_04,1756995600,860,False,23480.25,23457.25,23548.25,23.0,3.9565217391304346,620.0,True,True,LOW_BREAK,2.2967032967032965
2025_09_12,1757686800,860,False,24040.5,24002.0,24061.0,38.5,1.5324675324675325,620.0,False,True,PEAK_RECLAIM,1.8220338983050848
2025_10_01,1759328400,860,False,24763.5,24734.75,24864.25,28.75,4.504347826086956,620.0,False,True,PEAK_RECLAIM,2.137065637065637
2025_10_09,1760017800,830,True,25329.0,25253.75,25309.5,75.25,0.7408637873754153,590.0,True,True,PEAK_RECLAIM,0.7354260089686099
2025_10_17,1760709000,830,True,24735.5,24672.25,24790.0,63.25,1.8616600790513833,590.0,False,True,PEAK_RECLAIM,2.685774946921444
2025_10_24,1761315600,860,False,25466.5,25430.0,25550.5,36.5,3.3013698630136985,620.0,False,True,PEAK_RECLAIM,0.6556016597510373
2025_10_31,1761920400,860,False,26199.25,26088.0,26131.75,111.25,0.39325842696629215,620.0,True,True,LOW_BREAK,-2.177142857142857
2025_11_10,1762788000,920,False,25539.0,25524.0,25662.5,15.0,9.233333333333333,620.0,True,True,PEAK_RECLAIM,1.364620938628159
2025_11_17,1763392800,920,False,24997.75,24955.25,25254.75,42.5,7.047058823529412,620.0,True,False,LOW_BREAK,-0.22454090150250416
2025_11_24,1763997600,920,False,24522.25,24513.5,24769.5,8.75,29.257142857142856,620.0,False,True,PEAK_RECLAIM,1.6484375
2025_12_01,1764602400,920,False,25254.75,25209.0,25389.75,45.75,3.9508196721311477,620.0,False,True,PEAK_RECLAIM,1.066390041493776
2025_12_09,1765293600,920,False,25618.75,25560.0,25670.0,58.75,1.872340425531915,620.0,False,True,PEAK_RECLAIM,1.3
2025_12_16,1765898400,920,False,24989.25,24960.5,25164.5,28.75,7.095652173913043,620.0,True,True,LOW_BREAK,0.8382352941176471
2026_01_06,1767712800,920,False,25636.0,25608.75,25773.0,27.25,6.027522935779817,620.0,False,True,PEAK_RECLAIM,1.2450532724505328
2026_01_13,1768317600,920,False,25950.25,25930.75,26043.0,19.5,5.756410256410256,620.0,True,False,LOW_BREAK,-0.2383073496659243
2026_01_20,1768922400,920,False,25242.5,25232.5,25369.0,10.0,13.65,620.0,True,True,PEAK_RECLAIM,-0.6575091575091575
2026_01_27,1769525400,890,True,25982.75,25917.25,25997.75,65.5,1.2290076335877862,590.0,False,True,PEAK_RECLAIM,1.9720496894409938
2026_02_03,1770132000,920,False,25934.5,25721.75,25811.5,212.75,0.4218566392479436,620.0,True,False,LOW_BREAK,-3.0807799442896937
2026_02_10,1770735120,892,True,25376.25,25251.25,25333.0,125.0,0.654,592.0,True,True,PEAK_RECLAIM,-0.3944954128440367
2026_02_17,1771341600,920,False,24658.75,24605.75,24815.5,53.0,3.957547169811321,620.0,True,True,LOW_BREAK,0.8152562574493445
2026_02_24,1771944600,890,True,24804.75,24694.0,24964.25,110.75,2.440180586907449,590.0,False,True,PEAK_RECLAIM,1.242368177613321
2026_03_03,1772551200,920,False,24534.75,24491.5,24567.0,43.25,1.745664739884393,620.0,True,True,LOW_BREAK,3.513245033112583
2026_03_11,1773238800,860,False,25035.0,25035.0,25180.0,0.0,,620.0,True,False,LOW_BREAK,-0.35172413793103446
2026_03_18,1773843600,860,False,24712.25,24686.0,24779.5,26.25,3.5619047619047617,620.0,True,False,LOW_BREAK,-2.692513368983957
