day,ts,i,box_lo,box_hi,esc_buf,box_pt,flips,ambient_pt,box_ambient_ratio,mid_px,mod,escaped,escape_lag_s,escape_dir,escape_px,mag_5m,mag_15m,mag_30m
2025_01_21,1737474257,26956,21634.25,21646.5,6.125,12.25,30.0,21.0,0.5833333333333334,21643.0,644.2833333333333,True,77,-1,21626.25,12.25,7.0,-26.5
2025_01_27,1738009341,60900,21163.25,21172.5,4.625,9.25,30.0,17.375,0.5323741007194245,21170.75,922.35,True,24,1,21177.75,26.0,29.75,24.5
2025_01_30,1738256024,30971,21586.0,21594.75,4.375,8.75,31.0,16.625,0.5263157894736842,21593.25,713.7333333333333,True,7,1,21603.25,18.0,-18.0,-58.5
2025_02_03,1738610519,49150,21503.25,21510.0,3.375,6.75,30.0,12.5,0.54,21507.25,861.9833333333333,True,13,-1,21499.25,-1.75,7.25,-7.0
2025_02_06,1738863394,31962,21787.5,21791.75,2.125,4.25,30.0,8.5,0.5,21788.25,756.5666666666667,True,9,-1,21784.25,-7.75,-31.75,-43.75
2025_02_07,1738959593,38857,21578.25,21584.25,3.0,6.0,34.0,10.375,0.5783132530120482,21581.5,919.8833333333333,True,26,1,21587.5,-9.75,6.5,19.25
2025_02_13,1739466871,31570,21973.0,21978.0,2.5,5.0,31.0,9.375,0.5333333333333333,21977.25,734.5166666666667,True,142,-1,21969.25,-6.0,2.0,-26.0
2025_02_19,1739992360,35839,22238.0,22241.25,1.625,3.25,30.0,7.0,0.4642857142857143,22240.25,852.6666666666666,True,20,1,22243.25,29.0,28.5,36.75
2025_02_26,1740589909,30656,21368.25,21376.5,4.125,8.25,35.0,13.75,0.6,21375.25,731.8166666666667,True,19,1,21381.0,25.75,-20.0,-69.0
2025_03_04,1741108019,39801,20287.0,20303.0,8.0,16.0,35.0,26.75,0.5981308411214953,20295.25,726.9833333333333,True,16,-1,20278.0,-42.25,-99.5,-118.75
2025_03_11,1741703755,33855,19317.5,19341.25,11.875,23.75,30.0,39.875,0.5956112852664577,19334.5,635.9166666666666,True,18,1,19367.0,-88.75,-37.25,-2.75
2025_03_13,1741886251,41304,19206.75,19218.75,6.0,12.0,34.0,20.75,0.5783132530120482,19209.25,797.5166666666667,True,41,-1,19200.5,-10.25,1.75,12.75
2025_03_19,1742411120,25898,19845.5,19859.25,6.875,13.75,30.0,23.125,0.5945945945945946,19852.25,905.3333333333334,True,15,1,19871.75,48.25,-28.5,-120.5
2025_04_04,1743787036,47175,17633.0,17651.25,9.125,18.25,31.0,30.75,0.5934959349593496,17636.5,797.2666666666667,True,55,-1,17623.0,-66.0,-91.0,-170.75
2025_04_09,1744224559,55242,18889.25,18932.0,21.375,42.75,36.0,75.25,0.5681063122923588,18923.5,889.3166666666667,True,55,-1,18865.25,-8.25,-41.75,-228.5
2025_04_15,1744738951,38153,18965.25,18976.5,5.625,11.25,30.0,19.125,0.5882352941176471,18976.5,822.5166666666667,True,179,-1,18959.0,-17.75,-5.0,57.75
2025_04_23,1745428248,39351,18931.5,18943.25,5.875,11.75,32.0,20.875,0.562874251497006,18938.25,790.8,True,38,-1,18924.75,-12.75,-34.75,70.0
2025_04_28,1745862330,34669,19318.75,19326.25,3.75,7.5,30.0,13.875,0.5405405405405406,19324.0,825.5,True,29,1,19330.5,13.5,45.0,56.25
2025_05_01,1746127279,41698,20015.75,20022.0,3.125,6.25,30.0,12.0,0.5208333333333334,20021.0,921.3166666666667,True,8,-1,20011.5,1.25,18.0,49.75
2025_05_08,1746720687,33813,20297.75,20305.75,4.0,8.0,30.0,16.5,0.48484848484848486,20299.5,731.45,True,12,-1,20293.25,-32.0,-0.5,-8.25
2025_05_13,1747146248,25782,21209.5,21218.5,4.5,9.0,31.0,15.0,0.6,21212.25,624.1333333333333,True,90,1,21224.75,-23.25,0.5,20.5
2025_05_22,1747934074,34897,21205.0,21211.5,3.25,6.5,30.0,11.75,0.5531914893617021,21208.25,794.5666666666667,True,17,-1,21199.25,-31.5,-66.0,-86.5
2025_05_28,1748446019,25505,21454.5,21460.0,2.75,5.5,34.0,9.875,0.5569620253164557,21459.0,686.9833333333333,True,41,1,21463.25,-6.75,-7.5,-19.5
2025_06_03,1748963831,25254,21655.75,21660.5,2.375,4.75,30.0,9.25,0.5135135135135135,21659.0,677.1833333333333,True,47,1,21663.75,12.25,4.0,12.25
2025_06_13,1749827308,31545,21755.75,21763.75,4.0,8.0,30.0,16.375,0.48854961832061067,21760.75,668.4666666666667,True,125,-1,21749.5,-20.5,-28.5,-40.75
2025_07_03,1751557505,24263,23093.5,23097.25,1.875,3.75,30.0,7.0,0.5357142857142857,23094.25,705.0833333333334,True,21,-1,23091.5,-3.25,3.25,8.25
2025_07_23,1753280264,21879,23180.5,23187.75,3.625,7.25,30.0,13.25,0.5471698113207547,23183.25,617.7333333333333,True,20,-1,23174.75,-7.5,-0.75,-8.0
2025_07_29,1753800695,20846,23544.25,23550.25,3.0,6.0,30.0,10.5,0.5714285714285714,23545.75,651.5833333333334,True,23,-1,23539.5,13.75,22.75,45.25
2025_08_08,1754663804,20454,23692.75,23698.0,2.625,5.25,30.0,12.625,0.4158415841584158,23694.0,636.7333333333333,True,93,-1,23689.75,12.75,23.75,20.75
2025_08_18,1755531804,25171,23741.0,23746.0,2.5,5.0,30.0,8.875,0.5633802816901409,23742.5,703.4,True,107,1,23748.75,6.25,-0.25,6.25
2025_08_21,1755796052,33363,23184.75,23191.5,3.375,6.75,30.0,11.875,0.5684210526315789,23188.5,787.5333333333333,True,20,-1,23179.75,15.75,49.75,-14.5
2025_08_29,1756484133,27744,23469.0,23474.0,2.5,5.0,30.0,11.375,0.43956043956043955,23471.75,735.55,True,45,1,23477.75,-4.25,-10.0,10.5
2025_09_04,1756997316,23525,23507.5,23512.5,2.5,5.0,30.0,16.375,0.3053435114503817,23510.5,648.6,True,7,1,23515.5,0.0,15.25,17.25
2025_09_11,1757603092,21976,24005.5,24012.0,3.25,6.5,30.0,11.25,0.5777777777777777,24006.75,664.8666666666667,True,20,-1,24001.25,-7.5,-38.75,-34.0
2025_10_09,1760019089,20133,25267.25,25274.75,3.75,7.5,31.0,12.75,0.5882352941176471,25271.75,611.4833333333333,True,259,-1,25262.75,-1.0,20.5,63.0
2025_10_14,1760460009,42884,24885.5,24893.75,4.125,8.25,30.0,13.875,0.5945945945945946,24892.0,760.15,True,26,1,24898.25,18.0,22.5,22.25
2025_10_21,1761069019,33520,25295.5,25302.75,3.625,7.25,30.0,12.75,0.5686274509803921,25301.5,830.3166666666667,True,203,1,25306.75,1.5,7.75,7.25
2025_10_28,1761664981,24112,26036.5,26040.0,1.75,3.5,30.0,8.75,0.4,26037.75,683.0166666666667,True,17,1,26042.0,5.25,4.0,4.5
2025_11_04,1762280956,44812,25619.75,25627.25,3.75,7.5,34.0,12.875,0.5825242718446602,25623.25,809.2666666666667,True,73,1,25634.25,-13.25,10.75,36.75
2025_11_10,1762800361,41330,25669.0,25673.5,2.25,4.5,30.0,8.5,0.5294117647058824,25671.5,826.0166666666667,True,24,-1,25666.0,-12.5,9.0,-4.0
2025_11_18,1763485209,43394,24645.5,24662.0,8.25,16.5,32.0,30.875,0.5344129554655871,24657.25,720.15,True,20,1,24672.25,-24.0,-66.25,-145.75
2025_11_20,1763665252,44604,24270.75,24292.0,10.625,21.25,30.0,35.5,0.5985915492957746,24289.75,840.8666666666667,True,118,-1,24257.5,29.25,-28.0,-18.25
2025_12_05,1764953095,26495,25687.0,25696.0,4.5,9.0,32.0,18.75,0.48,25690.25,704.9166666666666,True,30,1,25700.75,-1.5,32.25,-1.0
2025_12_10,1765384929,25563,25627.25,25634.0,3.375,6.75,30.0,12.0,0.5625,25631.25,702.15,True,40,-1,25623.5,4.25,-33.75,-7.0
2026_01_06,1767717912,25500,25661.0,25667.5,3.25,6.5,31.0,12.0,0.5416666666666666,25663.5,705.2,True,21,1,25673.0,21.75,14.5,42.75
2026_01_09,1767978725,28563,25904.0,25908.75,2.375,4.75,30.0,9.875,0.4810126582278481,25907.25,732.0833333333334,True,89,1,25911.5,-17.25,6.25,-0.75
2026_01_16,1768593763,37775,25719.0,25724.5,2.75,5.5,30.0,9.25,0.5945945945945946,25721.25,902.7166666666667,True,13,-1,25715.75,8.25,1.0,14.0
2026_01_30,1769787698,34043,25881.5,25898.0,8.25,16.5,32.0,27.75,0.5945945945945946,25891.0,641.6333333333333,True,63,1,25907.5,16.25,-76.0,-73.25
2026_02_05,1770310433,37909,24815.25,24833.0,8.875,17.75,30.0,30.0,0.5916666666666667,24818.0,713.8833333333333,True,98,1,24843.5,-42.25,-82.5,-6.5
2026_02_11,1770839015,59307,25332.75,25339.5,3.375,6.75,30.0,11.625,0.5806451612903226,25334.0,883.5833333333334,True,83,1,25343.0,-23.5,-33.0,-36.25
2026_02_17,1771342383,49025,24480.25,24502.0,10.875,21.75,33.0,37.0,0.5878378378378378,24490.0,633.05,True,23,-1,24468.75,-5.75,-102.75,-188.0
2026_02_20,1771607215,49905,25058.5,25070.0,5.75,11.5,35.0,20.75,0.5542168674698795,25064.0,726.9166666666666,True,62,-1,25052.25,58.0,146.75,102.25
2026_02_27,1772212821,52748,24938.25,24946.25,4.0,8.0,30.0,16.375,0.48854961832061067,24943.5,740.35,True,7,-1,24933.75,-14.75,-47.75,3.75
2026_03_04,1772652020,67809,25205.5,25210.25,2.375,4.75,30.0,9.5,0.5,25207.0,860.3333333333334,True,101,-1,25202.25,9.25,12.5,6.25
2026_03_09,1773069363,53800,24609.75,24621.5,5.875,11.75,35.0,25.75,0.4563106796116505,24617.5,676.05,True,129,-1,24603.75,-8.5,-16.0,-17.75
2026_03_18,1773843172,20715,24709.5,24720.0,5.25,10.5,30.0,19.875,0.5283018867924528,24714.0,612.8666666666667,True,29,-1,24704.0,13.25,105.75,93.75
