day,ts,i,chain_n,step_high,step_low,step_depth,chain_head_high,chain_descent,defense_pt,defense_lag_s,mod,race,resolve_s,defense_hold,sym_race,sym_resolve_s,net_30m
2025_05_06,1746542950,9487,2,19935.0,19921.0,14.0,19935.0,14.0,2.5,0,649.1666666666666,NEW_LOW,5,False,CONT,50,1.5
2025_05_21,1747836310,8955,4,21400.5,21390.25,10.25,21437.0,46.75,4.25,5,605.1666666666666,STAIR_BREAK,10,False,AGAINST,35,-12.5
2025_05_29,1748525890,9207,7,21589.0,21567.75,21.25,21681.25,113.5,3.0,0,578.1666666666666,NEW_LOW,5,False,CONT,140,-153.5
2025_06_09,1749492985,11228,4,21869.25,21858.25,11.0,21876.0,17.75,3.5,5,856.4166666666666,STAIR_BREAK,240,True,AGAINST,710,1.5
2025_06_16,1750082055,6432,1,21923.75,21906.0,17.75,21923.75,17.75,7.0,0,594.25,NEW_LOW,5,False,CONT,20,42.75
2025_07_10,1752165835,10054,2,23011.5,23003.25,8.25,23011.5,8.25,2.5,10,763.9166666666666,NEW_LOW,105,False,CONT,270,-9.75
2025_07_23,1753286085,9863,1,23281.0,23260.25,20.75,23281.0,20.75,2.0,0,714.75,NEW_LOW,5,False,CONT,35,-48.25
2025_08_01,1754073395,12481,2,22914.0,22904.0,10.0,22918.25,14.25,2.0,5,876.5833333333334,STAIR_BREAK,20,False,AGAINST,35,-34.5
2025_08_07,1754576470,9070,2,23613.25,23597.0,16.25,23624.0,27.0,2.0,0,621.1666666666666,NEW_LOW,10,False,CONT,50,-40.0
2025_08_28,1756390475,8740,2,23670.75,23659.75,11.0,23670.5,10.75,3.0,5,614.5833333333334,NEW_LOW,5,False,AGAINST,30,31.5
2025_09_03,1756906675,8436,2,23390.25,23377.75,12.5,23406.0,28.25,3.0,0,577.9166666666666,NEW_LOW,15,False,AGAINST,65,77.25
2025_09_10,1757511480,7616,3,23951.5,23941.5,10.0,23975.5,34.0,3.5,5,578.0,NEW_LOW,10,False,CONT,60,27.0
2025_10_02,1759426610,11045,2,25097.0,25084.5,12.5,25096.5,12.0,2.5,5,816.8333333333334,NEW_LOW,20,False,AGAINST,255,2.5
2025_10_10,1760110205,9392,4,24828.5,24788.0,40.5,24892.75,104.75,6.0,5,690.0833333333334,NEW_LOW,5,False,CONT,10,14.25
2025_10_14,1760450155,9685,1,24568.75,24555.25,13.5,24568.75,13.5,9.5,5,595.9166666666666,STAIR_BREAK,5,False,AGAINST,45,134.0
2025_10_20,1760967090,8717,1,25185.75,25172.75,13.0,25185.75,13.0,3.25,0,571.5,NEW_LOW,10,False,AGAINST,45,55.0
2025_10_28,1761678035,11868,2,26195.0,26185.25,9.75,26194.75,9.5,3.0,10,900.5833333333334,NEW_LOW,25,False,AGAINST,340,33.25
2025_11_03,1762180355,9038,2,26256.0,26245.25,10.75,26261.25,16.0,8.5,0,572.5833333333334,STAIR_BREAK,5,False,AGAINST,45,-140.25
2025_11_13,1763058065,12238,4,25117.5,25105.75,11.75,25160.25,54.5,2.25,0,801.0833333333334,NEW_LOW,10,False,AGAINST,120,-53.75
2025_11_17,1763407330,13264,2,24871.25,24852.25,19.0,24870.25,18.0,4.25,5,862.1666666666666,NEW_LOW,215,False,AGAINST,80,-57.25
2025_11_19,1763566595,10648,4,24929.25,24918.25,11.0,24956.0,37.75,9.0,5,636.5833333333334,NEW_LOW,5,False,CONT,20,-208.0
2025_11_24,1763996280,10041,1,24662.5,24645.75,16.75,24662.5,16.75,6.0,0,598.0,NEW_LOW,5,False,AGAINST,15,83.0
2025_12_02,1764703440,12316,4,25584.0,25568.75,15.25,25608.25,39.5,2.5,0,864.0,NEW_LOW,10,False,AGAINST,330,54.25
2025_12_05,1764960030,11338,2,25755.5,25744.25,11.25,25757.75,13.5,2.0,0,820.5,NEW_LOW,5,False,CONT,80,-19.25
2025_12_17,1765984470,4345,1,25078.5,25070.0,8.5,25078.5,8.5,6.25,2,614.5,STAIR_BREAK,5,False,AGAINST,20,-180.0
2026_01_02,1767369725,9640,4,25354.5,25333.0,21.5,25375.0,42.0,9.0,0,662.0833333333334,STAIR_BREAK,20,False,AGAINST,20,36.5
2026_01_09,1767973555,9249,3,25783.5,25771.75,11.75,25814.0,42.25,6.75,5,645.9166666666666,NEW_LOW,5,False,AGAINST,20,106.25
2026_01_14,1768412045,10764,2,25464.5,25452.25,12.25,25499.75,47.5,3.5,5,754.0833333333334,NEW_LOW,30,False,AGAINST,60,18.0
2026_01_21,1769016605,11694,1,25213.25,25184.25,29.0,25213.25,29.0,3.5,0,750.0833333333334,NEW_LOW,10,False,AGAINST,95,62.75
2026_01_28,1769626980,12557,2,26142.0,26123.25,18.75,26190.0,66.75,10.5,0,843.0,STAIR_BREAK,30,True,AGAINST,65,30.75
2026_01_30,1769787895,10765,2,25908.0,25890.75,17.25,25908.75,18.0,3.0,0,644.9166666666666,NEW_LOW,35,False,AGAINST,80,-61.25
2026_02_04,1770218570,9853,2,25214.75,25202.75,12.0,25246.5,43.75,6.75,5,622.8333333333334,NEW_LOW,5,False,CONT,10,-32.0
2026_02_05,1770308420,11090,1,24705.25,24686.25,19.0,24705.25,19.0,4.0,5,680.3333333333334,NEW_LOW,5,False,CONT,25,115.5
2026_02_11,1770822925,10921,1,25192.5,25174.5,18.0,25192.5,18.0,4.5,0,615.4166666666666,NEW_LOW,5,False,CONT,25,12.75
2026_02_17,1771340870,10874,3,24530.75,24508.5,22.25,24562.5,54.0,8.25,0,607.8333333333334,STAIR_BREAK,15,False,AGAINST,15,-41.75
2026_02_19,1771522260,12539,3,24863.75,24854.75,9.0,24901.75,47.0,5.5,5,751.0,NEW_LOW,5,False,CONT,215,-67.0
2026_02_23,1771857785,10559,4,24907.25,24892.0,15.25,25023.75,131.75,7.75,0,583.0833333333334,NEW_LOW,15,False,CONT,15,-34.0
2026_03_02,1772474585,12992,1,25072.75,25058.0,14.75,25072.75,14.75,2.25,0,783.0833333333334,NEW_LOW,10,False,AGAINST,120,-25.25
2026_03_05,1772737020,13644,8,24803.25,24792.75,10.5,24868.75,76.0,8.25,5,837.0,NEW_LOW,10,False,AGAINST,40,25.25
2026_03_09,1773072415,11603,1,24662.5,24650.0,12.5,24662.5,12.5,3.25,0,726.9166666666666,STAIR_BREAK,20,False,AGAINST,20,58.25
2026_03_16,1773671615,10361,2,24696.5,24686.25,10.25,24709.0,22.75,3.5,5,633.5833333333334,NEW_LOW,10,False,CONT,10,-13.75
