day,ts,i,trigger_i,trigger_ts,shelf_px,poke_px,dwell_frac,bounce_pt,day_class,mod,outcome,resolve_min
2024_11_06,1730903460,931,930,1730903400,20671.0,20668.25,0.08333333333333333,28.75,other,571.0,HOLD,1
2024_11_11,1731335460,931,930,1731335400,21293.0,21271.5,0.1,14.5,other,571.0,HOLD,1
2024_11_14,1731604980,1103,1102,1731604920,21111.0,21060.75,0.08333333333333333,13.5,flushV,743.0,CRACK,3
2024_11_22,1732289880,998,997,1732289820,20789.0,20760.5,0.09166666666666666,39.25,other,638.0,HOLD,1
2024_11_27,1732717860,931,930,1732717800,20945.0,20876.75,0.08333333333333333,18.25,other,571.0,CRACK,1
2024_12_06,1733505000,1090,1089,1733504940,21615.0,21611.5,0.08333333333333333,14.25,other,730.0,HOLD,2
2024_12_11,1733943300,1195,1194,1733943240,21785.0,21789.5,0.1,5.5,other,835.0,CRACK,10
2024_12_16,1734375660,1201,1200,1734375600,22413.0,22400.5,0.08333333333333333,9.75,other,841.0,HOLD,6
2024_12_30,1735588320,1252,1251,1735588260,21517.0,21513.25,0.08333333333333333,15.75,flushV,892.0,HOLD,1
2025_01_13,1736799900,1225,1224,1736799840,20877.0,20875.0,0.08333333333333333,13.0,flushV,925.0,HOLD,3
2025_01_22,1737567060,1051,1050,1737567000,22067.0,22065.75,0.08333333333333333,5.25,other,751.0,CRACK,7
2025_01_24,1737733020,937,936,1737732960,22007.0,21999.25,0.08333333333333333,18.25,other,637.0,CRACK,1
2025_02_11,1739302620,1177,1176,1739302560,21801.0,21797.0,0.08333333333333333,7.5,other,877.0,HOLD,2
2025_02_14,1739563320,1202,1201,1739563260,22167.0,22162.5,0.08333333333333333,7.0,other,902.0,HOLD,11
2025_02_18,1739902980,1103,1102,1739902920,22173.0,22160.5,0.1,6.0,flushV,803.0,CRACK,7
2025_02_25,1740493860,871,870,1740493800,21401.0,21332.25,0.09166666666666666,41.75,other,571.0,HOLD,1
2025_03_18,1742325960,1166,1165,1742325900,19521.0,19483.75,0.08333333333333333,16.75,other,926.0,HOLD,1
2025_04_24,1745516880,1068,1067,1745516820,19237.0,19228.5,0.08333333333333333,20.75,other,828.0,HOLD,1
2025_05_06,1746550080,1008,1007,1746550020,19901.0,19887.75,0.08333333333333333,19.25,other,768.0,HOLD,1
2025_05_19,1747669020,937,936,1747668960,21421.0,21420.25,0.08333333333333333,14.5,other,697.0,HOLD,1
2025_05_28,1748457960,1126,1125,1748457900,21481.0,21481.75,0.1,5.75,other,886.0,CRACK,4
2025_06_09,1749486540,989,987,1749486420,21833.0,21827.5,0.08333333333333333,7.25,other,749.0,HOLD,4
2025_06_16,1750087980,933,932,1750087920,21959.0,21959.0,0.08333333333333333,8.5,other,693.0,HOLD,4
2025_06_18,1750263540,979,978,1750263480,21831.0,21816.25,0.10833333333333334,9.25,flushV,739.0,CRACK,9
2025_07_07,1751911620,1087,1086,1751911560,22871.0,22864.0,0.08333333333333333,15.5,other,847.0,HOLD,2
2025_07_11,1752240660,811,810,1752240600,22909.0,22909.5,0.10833333333333334,44.25,other,571.0,HOLD,1
2025_07_17,1752772800,1040,1039,1752772740,23255.0,23257.5,0.16666666666666666,5.75,other,800.0,CRACK,7
2025_07_22,1753199280,948,947,1753199220,23223.0,23220.5,0.08333333333333333,14.25,other,708.0,CRACK,5
2025_07_25,1753465440,1064,1063,1753465380,23445.0,23442.0,0.08333333333333333,5.25,other,824.0,CRACK,9
2025_07_30,1753888320,912,911,1753888260,23487.0,23476.75,0.1,14.0,other,672.0,HOLD,4
2025_08_07,1754575800,850,849,1754575740,23599.0,23580.0,0.09166666666666666,33.0,other,610.0,HOLD,1
2025_08_15,1755285600,1160,1159,1755285540,23811.0,23793.25,0.15,14.75,flushV,920.0,HOLD,2
2025_08_22,1755887100,1105,1104,1755887040,23611.0,23588.0,0.10833333333333334,8.0,other,865.0,HOLD,1
2025_08_28,1756391760,876,875,1756391700,23641.0,23643.5,0.11666666666666667,11.5,other,636.0,HOLD,1
2025_09_01,1756733460,811,810,1756733400,23469.0,23443.25,0.18333333333333332,22.5,other,571.0,HOLD,3
2025_09_09,1757426100,835,834,1757426040,23843.0,23801.25,0.11666666666666667,11.5,other,595.0,HOLD,1
2025_09_11,1757615820,1117,1116,1757615760,24021.0,24017.0,0.125,8.5,flushV,877.0,HOLD,6
2025_09_16,1758042000,1020,1019,1758041940,24279.0,24281.0,0.15833333333333333,9.25,other,780.0,HOLD,7
2025_10_02,1759418340,919,918,1759418280,25033.0,25025.25,0.08333333333333333,10.25,other,679.0,HOLD,3
2025_10_07,1759861800,1110,1109,1759861740,25037.0,25026.25,0.08333333333333333,11.0,other,870.0,HOLD,3
2025_10_16,1760621460,811,810,1760621400,25069.0,25041.0,0.09166666666666666,65.0,other,571.0,HOLD,1
2025_10_22,1761143700,875,874,1761143640,25259.0,25087.0,0.1,32.5,flushV,635.0,HOLD,1
2025_10_27,1761574620,857,856,1761574560,25839.0,25837.0,0.15,13.5,other,617.0,CRACK,2
2025_10_29,1761758460,1041,1039,1761758340,26247.0,26243.5,0.09166666666666666,7.25,other,801.0,CRACK,2
2025_11_26,1764182340,1119,1118,1764182280,25347.0,25297.0,0.1,25.5,other,819.0,HOLD,1
2025_12_02,1764685860,871,870,1764685800,25493.0,25471.25,0.10833333333333334,25.25,other,571.0,HOLD,1
2025_12_05,1764945660,881,880,1764945600,25705.0,25660.5,0.1,61.25,other,581.0,HOLD,1
2026_01_02,1767364380,873,872,1767364320,25699.0,25654.25,0.15833333333333333,22.0,other,573.0,HOLD,1
2026_01_16,1768587720,1102,1101,1768587660,25709.0,25710.0,0.08333333333333333,6.75,other,802.0,HOLD,2
2026_01_27,1769544480,1208,1207,1769544420,26087.0,26083.5,0.15,7.75,flushV,908.0,HOLD,3
2026_02_19,1771518480,988,987,1771518420,24925.0,24872.75,0.08333333333333333,31.75,flushV,688.0,HOLD,2
2026_03_17,1773771900,1105,1104,1773771840,24799.0,24785.5,0.09166666666666666,14.0,other,865.0,CRACK,5
