day,ts,i,trigger_i,trigger_ts,shelf_px,poke_px,dwell_frac,bounce_pt,day_class,mod,outcome,resolve_min
2025_04_25,1745587980,813,812,1745587920,19261.0,19256.25,0.1,53.25,other,573.0,HOLD,1
2025_05_12,1747056660,811,810,1747056600,20919.0,20820.75,0.11666666666666667,45.75,other,571.0,HOLD,1
2025_05_26,1748276580,983,981,1748276460,21271.0,21272.5,0.10833333333333334,5.5,other,743.0,CRACK,8
2025_06_02,1748878800,940,939,1748878740,21373.0,21369.0,0.08333333333333333,16.75,other,700.0,HOLD,1
2025_06_09,1749496740,1159,1158,1749496680,21867.0,21853.0,0.14166666666666666,5.5,other,919.0,CRACK,1
2025_06_16,1750098480,1108,1107,1750098420,21943.0,21944.0,0.09166666666666666,7.5,other,868.0,CRACK,2
2025_06_18,1750271400,1110,1109,1750271340,21805.0,21770.0,0.08333333333333333,17.5,flushV,870.0,HOLD,1
2025_07_07,1751915040,1144,1143,1751914980,22863.0,22865.75,0.09166666666666666,7.25,other,904.0,CRACK,1
2025_07_14,1752500580,823,822,1752500520,22893.0,22854.0,0.10833333333333334,24.25,other,583.0,HOLD,1
2025_07_18,1752865500,1145,1143,1752865380,23211.0,23198.75,0.10833333333333334,6.25,other,905.0,HOLD,10
2025_07_22,1753206060,1061,1060,1753206000,23223.0,23215.75,0.08333333333333333,10.5,other,821.0,CRACK,10
2025_07_28,1753714860,901,900,1753714800,23503.0,23485.75,0.09166666666666666,8.5,other,661.0,CRACK,17
2025_08_04,1754331360,1096,1095,1754331300,23267.0,23260.0,0.14166666666666666,6.75,other,856.0,HOLD,17
2025_08_08,1754680920,1162,1161,1754680860,23711.0,23709.25,0.15,7.0,other,922.0,CRACK,8
2025_08_18,1755525780,843,842,1755525720,23763.0,23758.0,0.11666666666666667,24.0,other,603.0,HOLD,1
2025_08_27,1756308000,920,919,1756307940,23599.0,23593.5,0.08333333333333333,9.75,other,680.0,HOLD,2
2025_08_28,1756398720,992,991,1756398660,23727.0,23730.5,0.08333333333333333,6.75,other,752.0,HOLD,13
2025_09_03,1756908540,849,848,1756908480,23443.0,23430.25,0.09166666666666666,20.25,other,609.0,HOLD,1
2025_09_09,1757436120,1002,1001,1757436060,23819.0,23814.5,0.08333333333333333,7.75,other,762.0,CRACK,2
2025_09_11,1757617800,1150,1148,1757617680,24027.0,24022.5,0.14166666666666666,6.75,flushV,910.0,HOLD,15
2025_09_18,1758215340,1029,1028,1758215280,24541.0,24541.25,0.09166666666666666,5.25,flushV,789.0,CRACK,5
2025_10_02,1759428600,1090,1089,1759428540,25091.0,25088.5,0.08333333333333333,8.25,other,850.0,HOLD,2
2025_10_07,1759863840,1144,1143,1759863780,25041.0,25040.75,0.125,7.75,other,904.0,CRACK,6
2025_10_20,1760974920,942,941,1760974860,25317.0,25308.0,0.08333333333333333,11.75,other,702.0,HOLD,1
2025_10_23,1761246660,1151,1150,1761246600,25263.0,25267.75,0.1,13.0,other,911.0,HOLD,10
2025_10_28,1761664320,912,911,1761664260,26041.0,26034.0,0.09166666666666666,8.75,other,672.0,HOLD,7
2025_10_29,1761762960,1116,1115,1761762900,26259.0,26117.25,0.1,61.0,other,876.0,HOLD,1
2025_11_26,1764186480,1188,1187,1764186420,25329.0,25317.0,0.08333333333333333,7.25,other,888.0,CRACK,2
2025_12_03,1764788280,1138,1137,1764788220,25623.0,25622.75,0.10833333333333334,8.5,other,838.0,HOLD,3
2025_12_08,1765206180,903,902,1765206120,25805.0,25749.25,0.1,22.25,flushV,603.0,HOLD,1
2026_01_05,1767623820,877,876,1767623760,25557.0,25550.5,0.09166666666666666,56.5,other,577.0,HOLD,1
2026_01_26,1769449920,1072,1071,1769449860,25891.0,25889.5,0.08333333333333333,8.25,other,772.0,CRACK,3
2026_01_28,1769623680,1088,1087,1769623620,26151.0,26146.0,0.08333333333333333,7.5,other,788.0,CRACK,3
2026_02_23,1771857660,881,880,1771857600,24923.0,24902.25,0.08333333333333333,47.0,other,581.0,CRACK,1
2026_03_17,1773775740,1169,1168,1773775680,24785.0,24785.0,0.10833333333333334,5.75,other,929.0,CRACK,7
