day,ts,i,dir,peak_i,peak_ts,peak_px,mfe_pt,give_frac,stalled,mod,race,resolve_s,sym_race,sym_resolve_s,net_60m
2025_09_09,1757428680,8381,1,8261,1757428080,23815.5,13.75,5.745454545454545,False,638.0,GIVEBACK_50,5,CONT,30.0,28.5
2025_09_16,1758031600,5968,-1,5848,1758031000,24285.0,16.0,1.140625,False,606.6666666666666,GIVEBACK_50,5,CONT,280.0,19.5
2025_10_07,1759855590,10204,-1,10084,1759854990,25065.0,11.5,2.260869565217391,False,766.5,NEW_EXTREME,5,CONT,105.0,18.0
2025_10_13,1760377310,12177,1,12057,1760376710,24909.25,11.0,1.7272727272727273,False,821.8333333333334,GIVEBACK_50,5,CONT,55.0,36.75
2025_10_17,1760726905,12955,1,12835,1760726305,25019.0,8.75,4.514285714285714,False,888.4166666666666,GIVEBACK_50,5,CONT,20.0,24.25
2025_10_27,1761588845,11794,1,11674,1761588245,25929.75,9.25,0.7567567567567568,False,854.0833333333334,NEW_EXTREME,45,CONT,2480.0,7.25
2025_11_03,1762182415,9450,1,9330,1762181815,26144.0,19.5,2.5256410256410255,False,606.9166666666666,GIVEBACK_50,5,CONT,80.0,-23.0
2025_11_06,1762446770,10967,-1,10847,1762446170,25290.25,51.25,0.8975609756097561,False,692.8333333333334,GIVEBACK_50,40,AGAINST,40.0,44.25
2025_11_18,1763479655,10880,-1,10760,1763479055,24441.75,20.0,8.3625,False,627.5833333333334,GIVEBACK_50,5,CONT,20.0,-43.5
2025_11_21,1763738380,10687,1,10567,1763737780,24174.0,35.25,3.595744680851064,False,619.6666666666666,GIVEBACK_50,5,AGAINST,25.0,-134.5
2025_11_25,1764086500,10448,-1,10328,1764085900,24766.0,12.75,5.7254901960784315,False,661.6666666666666,GIVEBACK_50,5,AGAINST,5.0,-109.5
2025_12_02,1764693855,10399,-1,10279,1764693255,25438.75,17.75,4.859154929577465,False,704.25,GIVEBACK_50,5,CONT,100.0,-102.0
2025_12_10,1765380095,8784,-1,8664,1765379495,25623.75,22.75,1.2087912087912087,False,621.5833333333334,GIVEBACK_50,5,CONT,275.0,15.75
2025_12_15,1765811140,7853,1,7733,1765810540,25254.5,11.5,7.586956521739131,False,605.6666666666666,GIVEBACK_50,5,AGAINST,55.0,-63.5
2025_12_18,1766081106,5542,-1,5427,1766080505,25082.75,21.5,1.686046511627907,False,785.1,GIVEBACK_50,4,AGAINST,14.0,51.75
2026_01_07,1767812130,11677,-1,11557,1767811530,25961.5,10.25,1.5609756097560976,False,835.5,NEW_EXTREME,5,CONT,180.0,48.25
2026_01_13,1768317205,9008,-1,8888,1768316605,25899.0,17.75,3.2535211267605635,False,613.4166666666666,GIVEBACK_50,5,CONT,120.0,3.25
2026_01_21,1769012550,10883,1,10763,1769011950,25490.25,39.25,1.0828025477707006,False,682.5,GIVEBACK_50,5,CONT,130.0,-263.0
2026_01_29,1769708910,11615,1,11495,1769708310,25877.0,12.0,7.208333333333333,False,768.5,GIVEBACK_50,5,CONT,30.0,64.5
2026_02_02,1770049610,11591,-1,11471,1770049010,25851.5,12.75,3.588235294117647,False,686.8333333333334,GIVEBACK_50,5,AGAINST,150.0,-30.25
2026_02_05,1770316045,12615,1,12494,1770315441,24770.75,14.0,4.107142857142857,False,807.4166666666666,GIVEBACK_50,5,AGAINST,20.0,24.25
2026_02_10,1770751775,13952,-1,13832,1770751175,25280.25,10.25,2.268292682926829,False,869.5833333333334,GIVEBACK_50,5,AGAINST,145.0,41.5
2026_02_17,1771348655,12431,1,12311,1771348055,24759.75,27.5,2.6363636363636362,False,737.5833333333334,GIVEBACK_50,5,CONT,75.0,-32.0
2026_02_20,1771607800,12325,1,12205,1771607200,25069.0,10.5,12.69047619047619,False,736.6666666666666,GIVEBACK_50,5,CONT,15.0,43.75
2026_03_02,1772466615,11398,-1,11278,1772466015,24899.25,18.75,3.0533333333333332,False,650.25,GIVEBACK_50,5,AGAINST,30.0,-78.5
2026_03_03,1772567130,14225,-1,14105,1772566530,24712.0,14.5,8.827586206896552,False,885.5,GIVEBACK_50,5,AGAINST,55.0,56.5
2026_03_06,1772812910,11525,-1,11405,1772812310,24759.5,44.5,2.769662921348315,False,661.8333333333334,GIVEBACK_50,5,CONT,10.0,-5.0
2026_03_12,1773327545,10780,-1,10660,1773326945,24611.75,48.0,0.7135416666666666,False,659.0833333333334,NEW_EXTREME,95,AGAINST,40.0,-49.5
2026_03_18,1773841461,8037,-1,7917,1773840860,24716.75,12.25,4.244897959183674,False,584.35,NEW_EXTREME,9,AGAINST,29.0,95.75
