**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

signal,z_bucket,horizon_min,n,hit_rate,mean_ticks,median_ticks,mean_dollars,pf_wr,q25_ticks,q75_ticks
cusp,"[2.8,3.5)",30,401,0.5286783042394015,-12.835411471321695,6.0,-6.417705735660848,-0.1614188044909992,-80.0,71.0
cusp,oob,30,13294,0.49496013239055214,0.37919362118248834,0.0,0.18959681059124417,0.007741259793668798,-56.0,55.0
cusp,"[0.8,1.2)",60,16560,0.5007246376811594,-1.2628623188405796,1.0,-0.6314311594202898,-0.01751868475414531,-83.0,83.0
cusp,"[1.2,1.5)",60,13723,0.4938424542738468,1.4533994024630184,-1.0,0.7266997012315092,0.019664234066005593,-86.0,86.0
cusp,"[1.5,1.8)",60,12463,0.4968306186311482,0.7697986038674477,0.0,0.38489930193372385,0.010484592763073675,-85.0,85.0
cusp,"[1.8,2.2)",60,11225,0.501380846325167,-3.048285077951002,1.0,-1.524142538975501,-0.0392131920067752,-88.0,87.0
cusp,"[2.2,2.8)",60,5663,0.5011478015186297,-5.455588910471482,1.0,-2.727794455235741,-0.07356968343247405,-80.0,81.5
cusp,"[2.8,3.5)",60,374,0.5080213903743316,-24.11764705882353,5.5,-12.058823529411764,-0.22878883956880147,-122.0,96.5
cusp,oob,60,12884,0.5014746972989754,-0.6937286556969885,1.0,-0.34686432784849425,-0.009575908736382921,-81.0,81.0
thr,"[1.5,1.8)",5,23874,0.4903660886319846,0.37191086537656026,0.0,0.18595543268828013,0.017730942581620557,-24.0,24.0
thr,"[1.8,2.2)",5,16693,0.49469837656502724,-0.08883963337926076,0.0,-0.04441981668963038,-0.004137823276162744,-24.0,25.0
thr,"[2.2,2.8)",5,6674,0.5095894516032364,0.42178603536110276,1.0,0.21089301768055138,0.019146403672844814,-24.0,26.0
thr,"[2.8,3.5)",5,420,0.5404761904761904,-2.2452380952380953,5.5,-1.1226190476190476,-0.06458461749195266,-31.25,36.25
thr,"[1.5,1.8)",15,23621,0.49210448329875955,-0.10668472968968291,-1.0,-0.05334236484484146,-0.002874884348650464,-42.0,43.0
thr,"[1.8,2.2)",15,16537,0.4994860010884683,-0.27768035314748746,0.0,-0.13884017657374373,-0.0073226427851557085,-42.0,43.0
thr,"[2.2,2.8)",15,6613,0.5145924693784969,1.862845909572055,3.0,0.9314229547860275,0.05105961445203855,-40.0,44.0
thr,"[2.8,3.5)",15,413,0.5230024213075061,-12.78450363196126,6.0,-6.39225181598063,-0.21348859776807372,-46.0,58.0
thr,"[1.5,1.8)",30,23317,0.4957327271947506,-0.3953767637346142,0.0,-0.1976883818673071,-0.007504688904229173,-60.0,60.0
thr,"[1.8,2.2)",30,16321,0.502052570308192,-0.22075853195269898,1.0,-0.11037926597634949,-0.00412123264089459,-60.0,62.0
thr,"[2.2,2.8)",30,6530,0.4998468606431853,-3.7632465543644718,0.0,-1.8816232771822359,-0.0695603437538922,-56.0,60.0
thr,"[2.8,3.5)",30,408,0.5098039215686274,-12.245098039215685,2.5,-6.122549019607843,-0.15880483153210423,-74.0,69.0
thr,"[1.5,1.8)",60,22733,0.498086482206484,-1.4101526415343333,0.0,-0.7050763207671666,-0.018507613310563276,-88.0,86.0
thr,"[1.8,2.2)",60,15921,0.4986495823126688,-3.03887946737014,0.0,-1.51943973368507,-0.03866708758076953,-89.0,87.0
thr,"[2.2,2.8)",60,6354,0.5073969153289266,-4.489455461126849,2.0,-2.2447277305634246,-0.059898244796227074,-82.0,84.0
thr,"[2.8,3.5)",60,380,0.5184210526315789,-26.88684210526316,5.0,-13.44342105263158,-0.24848602767711647,-126.25,98.0
