**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

signal,z_bucket,horizon_min,n,hit_rate,mean_ticks,median_ticks,mean_dollars,pf_wr,q25_ticks,q75_ticks
cusp,oob,15,3789,0.5030351016099235,2.1678543151227236,1.0,1.0839271575613618,0.055070598173699636,-51.0,55.0
cusp,"[0.8,1.2)",30,4922,0.49309223892726534,-2.5780170662332385,-2.0,-1.2890085331166192,-0.0422302244468703,-80.0,76.0
cusp,"[1.2,1.5)",30,3964,0.5047931382441978,5.568113017154389,2.0,2.7840565085771947,0.09836226297377393,-78.0,80.0
cusp,"[1.5,1.8)",30,3667,0.5118625579492774,0.7769293700572675,4.0,0.38846468502863374,0.013180844517851176,-75.0,82.0
cusp,"[1.8,2.2)",30,3432,0.486013986013986,-4.155011655011655,-3.0,-2.0775058275058274,-0.06482879016566345,-80.0,76.0
cusp,"[2.2,2.8)",30,1543,0.5139338950097213,3.8690861957226184,5.0,1.9345430978613092,0.06530156855023961,-70.5,80.0
cusp,"[2.8,3.5)",30,99,0.5050505050505051,-6.686868686868687,2.0,-3.3434343434343434,-0.07112925754808208,-94.5,115.5
cusp,oob,30,3737,0.5135135135135135,5.8158951030238155,5.0,2.9079475515119078,0.10874884291111053,-72.0,79.0
cusp,"[0.8,1.2)",60,4810,0.4993762993762994,-1.1827442827442827,0.0,-0.5913721413721413,-0.014032811470941597,-112.0,109.0
cusp,"[1.2,1.5)",60,3853,0.5009083830781209,4.923695821437841,1.0,2.4618479107189204,0.05739048886737663,-112.0,112.0
cusp,"[1.5,1.8)",60,3576,0.5111856823266219,1.6493288590604027,5.0,0.8246644295302014,0.019409424331875424,-110.25,117.0
cusp,"[1.8,2.2)",60,3364,0.5,-3.9289536266349585,0.5,-1.9644768133174793,-0.04281946946233495,-123.0,109.0
cusp,"[2.2,2.8)",60,1502,0.48468708388814913,-1.663115845539281,-7.0,-0.8315579227696405,-0.01798403179242769,-118.0,113.0
cusp,"[2.8,3.5)",60,80,0.4875,-29.2875,-3.0,-14.64375,-0.19381255686988175,-245.5,175.0
cusp,oob,60,3621,0.5241645954156311,12.442971554819112,12.0,6.221485777409556,0.1611139519332887,-97.0,121.0
thr,"[1.5,1.8)",5,6882,0.506102877070619,2.05521650682941,1.0,1.027608253414705,0.08615354628072991,-31.0,34.75
thr,"[1.8,2.2)",5,4955,0.5023208879919273,0.7067608476286579,1.0,0.35338042381432894,0.02832279248823255,-32.0,32.0
thr,"[2.2,2.8)",5,1756,0.505125284738041,0.9857630979498861,1.0,0.4928815489749431,0.03895928518376812,-29.0,34.0
thr,"[2.8,3.5)",5,102,0.5196078431372549,0.4215686274509804,4.5,0.2107843137254902,0.009808394160583989,-61.75,59.0
thr,"[1.5,1.8)",15,6814,0.49897270325799825,-0.7804520105664807,0.0,-0.39022600528324036,-0.018222750682753475,-55.0,57.0
thr,"[1.8,2.2)",15,4912,0.4883957654723127,-1.434242671009772,-2.0,-0.717121335504886,-0.03130763248527946,-58.0,58.0
thr,"[2.2,2.8)",15,1742,0.5091848450057406,0.9575200918484501,2.0,0.47876004592422505,0.02140437326763167,-56.0,58.75
thr,"[2.8,3.5)",15,101,0.49504950495049505,6.881188118811881,-2.0,3.4405940594059405,0.11493302464031752,-76.0,77.0
thr,"[1.5,1.8)",30,6701,0.5052977167586927,-0.084017310849127,2.0,-0.0420086554245635,-0.0013934884733999287,-76.0,79.0
thr,"[1.8,2.2)",30,4843,0.49101796407185627,-3.6995663844724342,-2.0,-1.8497831922362171,-0.05750147628950675,-79.0,77.5
thr,"[2.2,2.8)",30,1722,0.5063879210220673,2.675377468060395,3.0,1.3376887340301975,0.04433559165447676,-73.0,79.75
thr,"[2.8,3.5)",30,99,0.47474747474747475,-20.585858585858585,-8.0,-10.292929292929292,-0.20206226452508425,-113.0,135.5
thr,"[1.5,1.8)",60,6521,0.5097377702806318,0.3936512804784542,4.0,0.1968256402392271,0.004514478161849356,-111.0,114.0
thr,"[1.8,2.2)",60,4732,0.49556213017751477,-4.8076923076923075,-1.0,-2.4038461538461537,-0.0514243993517135,-122.0,111.0
thr,"[2.2,2.8)",60,1675,0.4853731343283582,-2.1229850746268655,-5.0,-1.0614925373134327,-0.023022886924994324,-113.5,118.0
thr,"[2.8,3.5)",60,80,0.5,-43.475,-1.5,-21.7375,-0.28724810042946813,-241.25,168.25
