regime,side,n,wr,pnl_total,pnl_mean,mode_tag
QUIET,Short,110,31.818181818181817,-2424.5000000000005,-22.040909090909096,skip_T1.0
TRANSITIONAL,Long,475,40.21052631578947,5063.999999999999,10.661052631578945,skip_T1.0
TRANSITIONAL,Short,565,35.575221238938056,-3602.500000000001,-6.3761061946902675,skip_T1.0
UNKNOWN,Long,17,47.05882352941176,380.19999999999993,22.364705882352936,skip_T1.0
UNKNOWN,Short,16,25.0,-482.90000000000003,-30.181250000000002,skip_T1.0
UP,Long,270,60.370370370370374,18097.5,67.02777777777777,skip_T1.0
UP,Short,216,27.314814814814813,-10263.9,-47.518055555555556,skip_T1.0
CHOP,Long,1081,45.69842738205365,-8239.900000000003,-7.622479185938948,adaptive_T0.5
CHOP,Short,1357,45.68901989683125,-7089.300000000003,-5.224244657332353,adaptive_T0.5
DOWN,Long,329,36.17021276595745,-12485.6,-37.950151975683895,adaptive_T0.5
DOWN,Short,555,58.91891891891892,17806.5,32.08378378378379,adaptive_T0.5
QUIET,Long,135,37.77777777777778,-575.0000000000003,-4.259259259259262,adaptive_T0.5
QUIET,Short,134,36.56716417910448,-2812.6000000000004,-20.989552238805974,adaptive_T0.5
TRANSITIONAL,Long,650,46.0,1672.4999999999986,2.573076923076921,adaptive_T0.5
TRANSITIONAL,Short,801,43.1960049937578,-7571.9000000000015,-9.453058676654184,adaptive_T0.5
UNKNOWN,Long,22,59.09090909090909,527.1999999999999,23.96363636363636,adaptive_T0.5
UNKNOWN,Short,23,39.130434782608695,-341.7,-14.856521739130434,adaptive_T0.5
UP,Long,404,56.43564356435643,14055.9,34.79183168316832,adaptive_T0.5
UP,Short,326,34.96932515337423,-14049.9,-43.097852760736195,adaptive_T0.5
CHOP,Long,1122,44.29590017825312,-7786.300000000003,-6.939661319073086,adaptive_T1.0
CHOP,Short,1316,44.148936170212764,-6397.900000000002,-4.861626139817631,adaptive_T1.0
DOWN,Long,327,34.25076452599388,-10755.300000000001,-32.8908256880734,adaptive_T1.0
DOWN,Short,557,57.63016157989228,19525.199999999997,35.05421903052064,adaptive_T1.0
QUIET,Long,132,37.121212121212125,7.199999999999861,0.05454545454545349,adaptive_T1.0
QUIET,Short,137,37.95620437956204,-2247.8,-16.407299270072993,adaptive_T1.0
TRANSITIONAL,Long,642,44.39252336448598,3158.199999999999,4.919314641744546,adaptive_T1.0
TRANSITIONAL,Short,809,41.90358467243511,-6132.600000000001,-7.580469715698395,adaptive_T1.0
UNKNOWN,Long,23,52.17391304347826,239.79999999999993,10.426086956521736,adaptive_T1.0
UNKNOWN,Short,22,31.818181818181817,-623.3,-28.33181818181818,adaptive_T1.0
UP,Long,414,56.28019323671497,15439.9,37.294444444444444,adaptive_T1.0
UP,Short,316,34.810126582278485,-12607.900000000001,-39.89841772151899,adaptive_T1.0
CHOP,Long,683,37.48169838945827,-7416.700000000002,-10.859004392386533,stay_T0.5
CHOP,Short,786,36.00508905852418,-5461.900000000001,-6.948982188295166,stay_T0.5
DOWN,Long,202,20.2970297029703,-12784.300000000001,-63.288613861386146,stay_T0.5
DOWN,Short,256,50.390625,17808.6,69.56484375,stay_T0.5
QUIET,Long,111,36.03603603603604,-116.40000000000029,-1.0486486486486513,stay_T0.5
QUIET,Short,105,31.428571428571427,-2352.0000000000005,-22.400000000000006,stay_T0.5
TRANSITIONAL,Long,454,39.86784140969163,4826.9,10.63193832599119,stay_T0.5
TRANSITIONAL,Short,506,33.99209486166008,-4439.900000000001,-8.774505928853756,stay_T0.5
UNKNOWN,Long,14,50.0,673.4,48.1,stay_T0.5
UNKNOWN,Short,17,29.411764705882355,-201.3,-11.841176470588236,stay_T0.5
UP,Long,208,53.36538461538461,15282.800000000001,73.47500000000001,stay_T0.5
UP,Short,193,21.243523316062177,-12788.2,-66.260103626943,stay_T0.5
CHOP,Long,789,37.38910012674271,-7686.600000000001,-9.742205323193918,stay_T1.0
CHOP,Short,875,36.114285714285714,-5811.500000000002,-6.641714285714288,stay_T1.0
DOWN,Long,231,23.376623376623375,-12113.9,-52.44112554112554,stay_T1.0
DOWN,Short,301,51.49501661129568,18460.6,61.330897009966776,stay_T1.0
QUIET,Long,116,34.48275862068966,-276.90000000000026,-2.3870689655172437,stay_T1.0
QUIET,Short,110,30.909090909090907,-2453.5,-22.304545454545455,stay_T1.0
TRANSITIONAL,Long,483,39.958592132505174,5531.799999999999,11.453002070393373,stay_T1.0
TRANSITIONAL,Short,570,33.85964912280702,-3594.500000000001,-6.306140350877195,stay_T1.0
UNKNOWN,Long,16,43.75,383.0999999999999,23.943749999999994,stay_T1.0
UNKNOWN,Short,19,26.31578947368421,-491.59999999999997,-25.873684210526314,stay_T1.0
UP,Long,224,56.25,18051.4,80.58660714285715,stay_T1.0
UP,Short,203,24.63054187192118,-10202.2,-50.25714285714286,stay_T1.0
