eid,frame_idx,p_exit,prompt_tokens,tainted
2025_03_13_1741885140_S,2,NaN,12200,Y
2025_03_13_1741886280_S,0,0.242043,5704,N
2025_03_13_1741886280_S,1,0.000994,7876,N
2025_03_13_1741886280_S,2,NaN,10053,Y
2025_03_13_1741889295_L,0,0.012972,5761,N
2025_03_13_1741889295_L,1,0.000512,7928,N
2025_03_13_1741889295_L,2,NaN,10803,Y
2025_03_13_1741893120_S,0,0.003307,5734,N
2025_03_13_1741893120_S,1,0.074965,7881,N
2025_03_13_1741893120_S,2,NaN,10025,Y
2025_03_13_1741893600_S,0,0.034679,5721,N
2025_03_13_1741893600_S,1,NaN,8577,Y
2025_04_08_1744119065_S,0,0.023790,5778,N
2025_04_08_1744119065_S,1,0.529467,7958,N
2025_04_08_1744119065_S,2,NaN,10133,Y
2025_04_08_1744119475_L,0,0.011656,5779,N
2025_04_08_1744119475_L,1,0.045469,7961,N
2025_04_08_1744119475_L,2,NaN,10132,Y
2025_04_08_1744120420_L,0,0.023864,5783,N
2025_04_08_1744120420_L,1,0.000096,7963,N
2025_04_08_1744120420_L,2,NaN,10855,Y
2025_04_08_1744124595_S,0,0.059063,5769,N
2025_04_08_1744124595_S,1,0.000661,7951,N
2025_04_08_1744124595_S,2,NaN,10809,Y
2025_04_08_1744127945_S,0,0.064881,5768,N
2025_04_08_1744127945_S,1,NaN,10764,Y
2025_04_08_1744128995_S,0,0.066372,5757,N
2025_04_08_1744128995_S,1,0.000383,7929,N
2025_04_08_1744128995_S,2,NaN,10110,Y
2025_04_08_1744129080_S,0,0.015944,5747,N
2025_04_08_1744129080_S,1,0.000213,7933,N
2025_04_08_1744129080_S,2,NaN,10099,Y
2025_04_08_1744129320_S,0,0.035816,5746,N
2025_04_08_1744129320_S,1,0.000334,7922,N
2025_04_08_1744129320_S,2,NaN,10094,Y
2025_04_08_1744133495_L,0,0.026595,5745,N
2025_04_08_1744133495_L,1,0.551748,7935,N
2025_04_08_1744133495_L,2,NaN,10116,Y
2025_04_08_1744133580_L,0,0.011511,5777,N
2025_04_08_1744133580_L,1,0.000133,7963,N
2025_04_08_1744133580_L,2,NaN,10122,Y
2025_04_08_1744135740_S,0,0.049331,5747,N
2025_04_08_1744135740_S,1,0.058997,7902,N
2025_04_08_1744135740_S,2,NaN,10765,Y
2025_04_08_1744136695_S,0,0.046664,5770,N
2025_04_08_1744136695_S,1,NaN,8630,Y
2025_04_08_1744139100_S,0,0.252572,5750,N
2025_04_08_1744139100_S,1,NaN,8601,Y
2025_04_08_1744139270_S,0,0.050992,5780,N
2025_04_08_1744139270_S,1,0.000152,7957,N
2025_04_08_1744139270_S,2,NaN,10137,Y
2025_04_08_1744139340_S,0,0.601538,5768,N
2025_04_08_1744139340_S,1,0.210295,7952,N
2025_04_08_1744139340_S,2,NaN,10846,Y
2025_04_08_1744139980_L,0,0.028800,5774,N
2025_04_08_1744139980_L,1,NaN,8661,Y
2025_04_08_1744140940_S,0,0.009273,5735,N
2025_04_08_1744140940_S,1,0.000057,7883,N
2025_04_08_1744140940_S,2,NaN,10039,Y
2025_04_08_1744141320_S,0,0.020126,5789,N
2025_04_08_1744141320_S,1,0.018450,7966,N
2025_04_08_1744141320_S,2,NaN,10142,Y
2025_04_08_1744142065_L,0,0.082256,5774,N
2025_04_08_1744142065_L,1,NaN,8697,Y
2025_04_09_1744206595_L,0,0.043066,5807,N
2025_04_09_1744206595_L,1,NaN,8700,Y
2025_04_09_1744207060_L,0,0.001325,5785,N
2025_04_09_1744207060_L,1,0.000039,7962,N
2025_04_09_1744207060_L,2,NaN,10143,Y
2025_04_09_1744207385_S,0,0.007641,5796,N
2025_04_09_1744207385_S,1,0.805688,7960,N
2025_04_09_1744207385_S,2,NaN,10862,Y
2025_04_09_1744209600_S,0,0.008822,5767,N
2025_04_09_1744209600_S,1,NaN,8626,Y
2025_04_09_1744210140_S,0,0.064326,5765,N
2025_04_09_1744210140_S,1,0.008602,7945,N
2025_04_09_1744210140_S,2,NaN,10819,Y
2025_04_09_1744216200_L,0,0.023899,5768,N
2025_04_09_1744216200_L,1,NaN,9350,Y
2025_04_09_1744217460_L,0,0.073252,5780,N
2025_04_09_1744217460_L,1,0.119292,7959,N
2025_04_09_1744217460_L,2,NaN,10139,Y
2025_04_09_1744217605_L,0,0.043301,5772,N
2025_04_09_1744217605_L,1,0.000038,7959,N
2025_04_09_1744217605_L,2,NaN,10830,Y
2025_04_09_1744219940_L,0,0.004801,5873,N
2025_04_09_1744219940_L,1,0.016679,8082,N
2025_04_09_1744219940_L,2,NaN,10289,Y
2025_04_09_1744222665_L,0,0.002666,5806,N
2025_04_09_1744222665_L,1,0.330589,7993,N
2025_04_09_1744222665_L,2,NaN,10185,Y
2025_04_09_1744222730_L,0,0.036531,5825,N
2025_04_09_1744222730_L,1,0.001027,8022,N
2025_04_09_1744222730_L,2,NaN,10906,Y
2025_04_09_1744223970_S,0,0.045053,5804,N
2025_04_09_1744223970_S,1,NaN,8688,Y
2025_04_09_1744224460_S,0,0.028086,5814,N
2025_04_09_1744224460_S,1,0.009294,8011,N
2025_04_09_1744224460_S,2,NaN,10200,Y
2025_04_09_1744224990_S,0,0.025701,5779,N
2025_04_09_1744224990_S,1,0.054022,7951,N
2025_04_09_1744224990_S,2,NaN,10129,Y
2025_04_09_1744225500_L,0,0.010406,5808,N
2025_04_09_1744225500_L,1,NaN,8697,Y
2025_04_09_1744226810_L,0,0.006438,5802,N
2025_04_09_1744226810_L,1,0.000129,7965,N
2025_04_09_1744226810_L,2,NaN,10139,Y
2025_04_09_1744226880_L,0,0.007808,5812,N
2025_04_09_1744226880_L,1,0.025633,7986,N
2025_04_09_1744226880_L,2,NaN,10160,Y
2025_04_14_1744637600_S,0,0.066434,5719,N
2025_04_14_1744637600_S,1,0.000307,7874,N
2025_04_14_1744637600_S,2,NaN,10738,Y
2025_04_14_1744642560_S,0,0.009222,5718,N
2025_04_14_1744642560_S,1,0.001619,7876,N
2025_04_14_1744642560_S,2,NaN,10037,Y
2025_04_14_1744643700_S,0,0.025096,5735,N
2025_04_14_1744643700_S,1,NaN,9296,Y
2025_04_14_1744645025_S,0,0.048626,5704,N
2025_04_14_1744645025_S,1,0.042102,7878,N
2025_04_14_1744645025_S,2,NaN,10050,Y
2025_04_14_1744645095_S,0,0.040287,5723,N
2025_04_14_1744645095_S,1,0.024153,7897,N
2025_04_14_1744645095_S,2,NaN,10755,Y
2025_04_14_1744658580_S,0,0.004722,5727,N
2025_04_14_1744658580_S,1,0.000284,7882,N
2025_04_14_1744658580_S,2,NaN,10043,Y
2025_04_14_1744660140_S,0,0.020467,5712,N
2025_04_14_1744660140_S,1,0.070130,7865,N
2025_04_14_1744660140_S,2,NaN,10722,Y
2025_04_14_1744660320_S,0,0.017021,5761,N
2025_04_14_1744660320_S,1,0.000307,7945,N
2025_04_14_1744660320_S,2,NaN,10120,Y
2025_04_16_1744811165_S,0,0.039335,5731,N
2025_04_16_1744811165_S,1,0.040428,7887,N
2025_04_16_1744811165_S,2,NaN,10046,Y
2025_04_16_1744811520_S,0,0.034536,5741,N
2025_04_16_1744811520_S,1,0.000617,7910,N
2025_04_16_1744811520_S,2,NaN,10083,Y
2025_04_16_1744828930_S,0,0.051965,5727,N
2025_04_16_1744828930_S,1,0.000940,7885,N
2025_04_16_1744828930_S,2,NaN,10035,Y
2025_04_16_1744831290_S,0,0.053459,5726,N
2025_04_16_1744831290_S,1,0.294534,7904,N
2025_04_16_1744831290_S,2,NaN,10073,Y
2025_04_16_1744832400_L,0,0.180499,5751,N
2025_04_16_1744832400_L,1,NaN,8642,Y
2025_04_25_1745588100_L,0,0.021103,5748,N
2025_04_25_1745588100_L,1,NaN,8652,Y
2025_04_25_1745603015_S,0,0.017830,5758,N
2025_04_25_1745603015_S,1,0.344622,7921,N
2025_04_25_1745603015_S,2,NaN,11493,Y
2025_04_30_1746022860_L,0,0.014374,5743,N
2025_04_30_1746022860_L,1,0.003329,7896,N
2025_04_30_1746022860_L,2,NaN,10047,Y
2025_04_30_1746025695_L,0,0.007577,5726,N
2025_04_30_1746025695_L,1,0.000361,7874,N
2025_04_30_1746025695_L,2,NaN,10762,Y
2025_04_30_1746028740_L,0,0.020422,5722,N
2025_04_30_1746028740_L,1,0.087373,7887,N
2025_04_30_1746028740_L,2,NaN,12867,Y
2025_04_30_1746029400_S,0,0.002105,5703,N
2025_04_30_1746029400_S,1,NaN,8544,Y
2025_04_30_1746036300_L,0,0.011542,5696,N
2025_04_30_1746036300_L,1,NaN,8541,Y
2025_04_30_1746042975_L,0,0.013296,5779,N
2025_04_30_1746042975_L,1,0.077731,7971,N
2025_04_30_1746042975_L,2,NaN,10138,Y
2025_05_05_1746454020_S,0,0.013551,5732,N
2025_05_05_1746454020_S,1,0.387966,7907,N
2025_05_05_1746454020_S,2,NaN,10093,Y
2025_05_05_1746456145_L,0,0.010800,5715,N
2025_05_05_1746456145_L,1,0.190708,7889,N
2025_05_05_1746456145_L,2,NaN,10062,Y
2025_05_05_1746456895_L,0,0.091805,5720,N
2025_05_05_1746456895_L,1,NaN,8596,Y
2025_05_05_1746457020_L,0,0.014321,5719,N
2025_05_05_1746457020_L,1,0.018708,7875,N
2025_05_05_1746457020_L,2,NaN,10032,Y
2025_05_05_1746457140_L,0,0.007153,5722,N
2025_05_05_1746457140_L,1,0.001579,7862,N
2025_05_05_1746457140_L,2,NaN,12118,Y
2025_05_05_1746467440_L,0,0.037690,5672,N
2025_05_05_1746467440_L,1,0.377435,7810,N
2025_05_05_1746467440_L,2,NaN,9947,Y
2025_05_05_1746467845_L,0,0.005646,5657,N
2025_05_05_1746467845_L,1,0.000844,7782,N
2025_05_05_1746467845_L,2,NaN,9906,Y
2025_05_05_1746471300_S,0,0.023182,5684,N
2025_05_05_1746471300_S,1,NaN,8517,Y
2025_05_05_1746471540_S,0,0.061262,5684,N
2025_05_05_1746471540_S,1,0.000585,7835,N
2025_05_05_1746471540_S,2,NaN,12068,Y
2025_05_05_1746471660_S,0,0.019753,5679,N
2025_05_05_1746471660_S,1,0.280926,7876,N
2025_05_05_1746471660_S,2,NaN,10057,Y
2025_05_05_1746474150_S,0,0.004970,5675,N
2025_05_05_1746474150_S,1,0.000525,7814,N
2025_05_05_1746474150_S,2,NaN,9971,Y
2025_05_16_1747402560_S,0,0.080017,5702,N
2025_05_16_1747402560_S,1,0.024366,7876,N
2025_05_16_1747402560_S,2,NaN,10032,Y
2025_05_16_1747405945_S,0,0.012363,5694,N
2025_05_16_1747405945_S,1,0.000401,7846,N
2025_05_16_1747405945_S,2,NaN,10001,Y
2025_05_16_1747409400_L,0,0.037706,5661,N
2025_05_16_1747409400_L,1,NaN,9237,Y
2025_06_13_1749838675_S,0,0.062123,5718,N
2025_06_13_1749838675_S,1,0.079460,7882,N
2025_06_13_1749838675_S,2,NaN,10045,Y
2025_06_13_1749840910_L,0,0.011382,5737,N
2025_06_13_1749840910_L,1,0.836778,7899,N
2025_06_13_1749840910_L,2,NaN,10052,Y
2025_06_13_1749841560_L,0,0.003218,5701,N
2025_06_13_1749841560_L,1,0.000023,7842,N
2025_06_13_1749841560_L,2,NaN,9999,Y
2025_06_17_1750178490_S,0,0.007179,5621,N
2025_06_17_1750178490_S,1,0.028735,7752,N
2025_06_17_1750178490_S,2,NaN,9898,Y
2025_06_17_1750179420_S,0,0.067772,5672,N
2025_06_17_1750179420_S,1,0.000507,7813,N
2025_06_17_1750179420_S,2,NaN,9959,Y
2025_06_17_1750182720_S,0,0.014361,5695,N
2025_06_17_1750182720_S,1,0.166507,7867,N
2025_06_17_1750182720_S,2,NaN,10041,Y
2025_07_29_1753816380_S,0,0.014104,5655,N
2025_07_29_1753816380_S,1,0.014319,7799,N
2025_07_29_1753816380_S,2,NaN,9944,Y
2025_07_29_1753818660_S,0,0.032659,5668,N
2025_07_29_1753818660_S,1,0.005153,7822,N
2025_07_29_1753818660_S,2,NaN,9975,Y
2025_08_06_1754493240_L,0,0.014662,5710,N
2025_08_06_1754493240_L,1,0.293238,7873,N
2025_08_06_1754493240_L,2,NaN,11464,Y
2025_08_14_1755181695_L,0,0.089736,5674,N
2025_08_14_1755181695_L,1,0.001567,7846,N
2025_08_14_1755181695_L,2,NaN,11399,Y
2025_08_14_1755183465_S,0,0.024614,5665,N
2025_08_14_1755183465_S,1,0.038251,7842,N
2025_08_14_1755183465_S,2,NaN,10017,Y
2025_08_14_1755183840_S,0,0.030442,5680,N
2025_08_14_1755183840_S,1,0.871663,7827,N
2025_08_14_1755183840_S,2,NaN,10673,Y
2025_08_14_1755187770_S,0,0.038596,5668,N
2025_08_14_1755187770_S,1,NaN,8483,Y
2025_08_14_1755193645_S,0,0.034804,5674,N
2025_08_14_1755193645_S,1,0.110419,7808,N
2025_08_14_1755193645_S,2,NaN,9962,Y
2025_10_07_1759850880_S,0,0.033916,5728,N
2025_10_07_1759850880_S,1,0.000200,7890,N
2025_10_07_1759850880_S,2,NaN,10059,Y
2025_10_07_1759859420_S,0,0.012739,5684,N
2025_10_07_1759859420_S,1,0.007440,7864,N
2025_10_07_1759859420_S,2,NaN,10038,Y
2025_10_07_1759860725_L,0,0.006676,5693,N
2025_10_07_1759860725_L,1,0.000406,7867,N
2025_10_07_1759860725_L,2,NaN,10025,Y
2025_11_14_1763130975_L,0,0.019479,5770,N
2025_11_14_1763130975_L,1,0.002098,7974,N
2025_11_14_1763130975_L,2,NaN,10170,Y
2025_11_14_1763131440_L,0,0.125706,5748,N
2025_11_14_1763131440_L,1,0.000413,7933,N
2025_11_14_1763131440_L,2,NaN,11530,Y
2025_11_14_1763131515_L,0,0.008574,5760,N
2025_11_14_1763131515_L,1,0.001127,7949,N
2025_11_14_1763131515_L,2,NaN,10127,Y
2025_11_14_1763131700_L,0,0.006912,5761,N
2025_11_14_1763131700_L,1,0.001657,7955,N
2025_11_14_1763131700_L,2,NaN,10846,Y
2025_11_14_1763131920_L,0,0.002916,5782,N
2025_11_14_1763131920_L,1,0.023133,7975,N
2025_11_14_1763131920_L,2,NaN,10166,Y
2025_11_14_1763132385_S,0,0.182581,5731,N
2025_11_14_1763132385_S,1,NaN,10041,Y
2025_11_14_1763134070_L,0,0.033355,5760,N
2025_11_14_1763134070_L,1,0.003835,7957,N
2025_11_14_1763134070_L,2,NaN,10138,Y
2025_11_14_1763139985_L,0,0.002425,5734,N
2025_11_14_1763139985_L,1,0.660610,7889,N
2025_11_14_1763139985_L,2,NaN,10051,Y
2025_11_14_1763142660_S,0,0.046037,5742,N
2025_11_14_1763142660_S,1,0.002053,7912,N
2025_11_14_1763142660_S,2,NaN,10083,Y
2025_11_14_1763142960_S,0,0.023246,5748,N
2025_11_14_1763142960_S,1,0.338034,7902,N
2025_11_14_1763142960_S,2,NaN,10053,Y
2025_11_14_1763144190_S,0,0.036154,5740,N
2025_11_14_1763144190_S,1,0.005302,7917,N
2025_11_14_1763144190_S,2,NaN,10101,Y
2025_11_14_1763152080_S,0,0.031738,5711,N
2025_11_14_1763152080_S,1,0.000224,7861,N
2025_11_14_1763152080_S,2,NaN,10023,Y
2025_11_19_1763564700_L,0,0.022466,5769,N
2025_11_19_1763564700_L,1,NaN,8644,Y
2025_11_19_1763567715_S,0,0.033756,5767,N
2025_11_19_1763567715_S,1,0.002276,7929,N
2025_11_19_1763567715_S,2,NaN,10100,Y
2025_11_19_1763568420_S,0,0.108929,5765,N
2025_11_19_1763568420_S,1,0.456432,7954,N
2025_11_19_1763568420_S,2,NaN,10142,Y
2025_11_19_1763568540_S,0,0.032056,5763,N
2025_11_19_1763568540_S,1,0.000376,7935,N
2025_11_19_1763568540_S,2,NaN,10823,Y
2025_11_19_1763569330_S,0,0.062808,5752,N
2025_11_19_1763569330_S,1,0.000810,7923,N
2025_11_19_1763569330_S,2,NaN,10112,Y
2025_11_19_1763570685_S,0,0.052886,5732,N
2025_11_19_1763570685_S,1,NaN,9285,Y
2025_11_19_1763572440_S,0,0.012603,5709,N
2025_11_19_1763572440_S,1,0.000221,7866,N
2025_11_19_1763572440_S,2,NaN,11433,Y
2025_11_19_1763575740_L,0,0.090384,5735,N
2025_11_19_1763575740_L,1,0.001284,7893,N
2025_11_19_1763575740_L,2,NaN,10759,Y
2025_11_19_1763579700_S,0,0.014876,5714,N
2025_11_19_1763579700_S,1,NaN,9272,Y
2025_11_19_1763580330_S,0,0.015008,5691,N
2025_11_19_1763580330_S,1,0.000245,7850,N
2025_11_19_1763580330_S,2,NaN,10032,Y
2025_11_19_1763581940_L,0,0.008795,5730,N
2025_11_19_1763581940_L,1,0.000567,7901,N
2025_11_19_1763581940_L,2,NaN,10089,Y
2025_11_19_1763582640_L,0,0.095647,5724,N
2025_11_19_1763582640_L,1,0.000158,7873,N
2025_11_19_1763582640_L,2,NaN,10718,Y
2025_11_27_1764254400_S,0,0.005692,5638,N
2025_11_27_1764254400_S,1,NaN,8450,Y
2025_11_28_1764342910_L,0,0.008002,5694,N
2025_11_28_1764342910_L,1,0.000698,7856,N
2025_11_28_1764342910_L,2,NaN,10002,Y
2025_11_28_1764345985_L,0,0.016690,5701,N
2025_11_28_1764345985_L,1,0.000513,7868,N
2025_11_28_1764345985_L,2,NaN,10025,Y
2025_12_18_1766073900_L,0,0.002090,5705,N
2025_12_18_1766073900_L,1,NaN,8554,Y
2025_12_18_1766079275_L,0,0.027233,5715,N
2025_12_18_1766079275_L,1,NaN,8569,Y
2025_12_18_1766079490_L,0,0.013516,5688,N
2025_12_18_1766079490_L,1,0.000273,7828,N
2025_12_18_1766079490_L,2,NaN,10699,Y
2025_12_18_1766080620_L,0,0.035783,5695,N
2025_12_18_1766080620_L,1,0.276594,7834,N
2025_12_18_1766080620_L,2,NaN,9984,Y
2025_12_18_1766087628_S,0,0.012591,5707,N
2025_12_18_1766087628_S,1,0.000142,7840,N
2025_12_18_1766087628_S,2,NaN,10674,Y
2025_12_18_1766088788_L,0,0.126018,5668,N
2025_12_18_1766088788_L,1,0.000197,7843,N
2025_12_18_1766088788_L,2,NaN,11391,Y
2026_01_19_1768833600_S,0,0.141041,5655,N
2026_01_19_1768833600_S,1,NaN,8523,Y
2026_03_05_1772725200_L,0,0.010604,5768,N
2026_03_05_1772725200_L,1,NaN,8645,Y
2026_03_05_1772727140_S,0,0.012802,5770,N
2026_03_05_1772727140_S,1,0.008785,7946,N
2026_03_05_1772727140_S,2,NaN,10140,Y
2026_03_05_1772729195_L,0,0.032912,5759,N
2026_03_05_1772729195_L,1,0.000566,7927,N
2026_03_05_1772729195_L,2,NaN,10070,Y
2026_03_05_1772730000_L,0,0.059549,5718,N
2026_03_05_1772730000_L,1,NaN,9973,Y
2026_03_05_1772731140_S,0,0.023809,5741,N
2026_03_05_1772731140_S,1,0.002491,7911,N
2026_03_05_1772731140_S,2,NaN,10785,Y
2026_03_05_1772731780_S,0,0.005921,5764,N
2026_03_05_1772731780_S,1,NaN,9342,Y
2026_03_05_1772732780_S,0,0.097189,5738,N
2026_03_05_1772732780_S,1,0.010479,7903,N
2026_03_05_1772732780_S,2,NaN,10071,Y
2026_03_05_1772738035_L,0,0.044378,5737,N
2026_03_05_1772738035_L,1,0.002277,7904,N
2026_03_05_1772738035_L,2,NaN,11456,Y
2026_03_05_1772740140_L,0,0.002894,5754,N
2026_03_05_1772740140_L,1,0.036384,7925,N
2026_03_05_1772740140_L,2,NaN,10794,Y
2026_03_05_1772742840_L,0,0.002102,5741,N
2026_03_05_1772742840_L,1,0.011379,7895,N
2026_03_05_1772742840_L,2,NaN,10741,Y
