timestamp,direction,entry_price,target_price,stop_price,z_score,band_touched,regime_bars,osc_coherence,term_pid,pid_class,tension_reason,oracle_label,oracle_label_name,oracle_mfe,oracle_mae,would_have_hit_target,would_have_hit_stop,theoretical_pnl
1770248940.0,SHORT,25085.0,25079.166457754836,25087.761993155753,1.0560385048405774,1sig,5,0.7437057685709353,-0.4821767042811296,STABLE,,0,NOISE,0.0,0.0,False,True,-5.52
1770248955.0,SHORT,25086.75,25080.450246335105,25089.511993155753,1.140436146949038,1sig,6,0.792636521459099,-0.4129023981037888,STABLE,,0,NOISE,0.0,0.0,False,True,-5.52
1770249150.0,LONG,25087.0,25092.951168615728,25084.238006844247,-1.0773322524950737,1sig,3,0.5293797067064151,-1.6349535451360209,TENSION,maxed_force,0,NOISE,0.0,0.0,False,True,-5.52
1770249315.0,LONG,25077.5,25085.040677667286,25074.738006844247,-1.3650789922449102,1sig,14,0.6290853085937836,-1.8111208592591082,TENSION,maxed_force,0,NOISE,0.0,0.0,False,True,-5.52
1770249345.0,LONG,25074.75,25082.780063553808,25071.988006844247,-1.453671877694617,1sig,16,0.6837598709266323,-1.8442899018141123,TENSION,maxed_force,0,NOISE,0.0,0.0,False,True,-5.52
1770249360.0,LONG,25074.25,25080.80416847284,25071.488006844247,-1.1864925260931791,1sig,17,0.7601141019332861,-1.539810392726302,TENSION,maxed_force,0,NOISE,0.0,0.0,False,True,-5.52
1770250050.0,LONG,25056.25,25064.87180674195,25053.488006844247,-1.5607943712664782,1sig,6,0.5043559982343375,-1.957155253879132,TENSION,outer_roche,0,NOISE,0.0,0.0,True,False,17.24
1770250065.0,LONG,25058.25,25064.590022423556,25055.488006844247,-1.1477259475369221,1sig,7,0.5009476065300237,-1.49124928902255,TENSION,maxed_force,0,NOISE,0.0,0.0,True,False,12.68
1770250110.0,LONG,25060.25,25066.443790428744,25057.488006844247,-1.1212537612271796,1sig,10,0.6453413745935607,-1.7320573274697373,TENSION,maxed_force,0,NOISE,0.0,0.0,False,True,-5.52
1770250125.0,LONG,25058.5,25065.738370183175,25055.738006844247,-1.310352664723065,1sig,11,0.6751531106317652,-1.6929961130607096,TENSION,maxed_force,0,NOISE,0.0,0.0,True,False,14.48
1770250185.0,LONG,25058.0,25064.95962191729,25055.238006844247,-1.259891231590229,1sig,15,0.7211764553782424,-1.7372771115166201,TENSION,maxed_force,0,NOISE,0.0,0.0,True,False,13.92
1770250365.0,LONG,25063.5,25070.39481992001,25060.738006844247,-1.2481602109781798,1sig,8,0.6494235780348916,-1.7203783853485195,TENSION,maxed_force,0,NOISE,0.0,0.0,False,True,-5.52
1770250695.0,LONG,25079.0,25085.5695404164,25076.238006844247,-1.1892752888828844,1sig,3,0.8151386640202295,-1.5357995055830966,TENSION,maxed_force,0,NOISE,0.0,0.0,True,False,13.14
1770250860.0,LONG,25081.75,25088.467931371735,25078.988006844247,-1.2161383089860232,1sig,14,0.6169955517288224,-1.7878160969758403,TENSION,maxed_force,0,NOISE,0.0,0.0,False,True,-5.52
1770250875.0,LONG,25079.75,25088.253487142854,25076.988006844247,-1.5393751293596838,1sig,15,0.5403386345612833,-1.8343349287545738,TENSION,outer_roche,0,NOISE,0.0,0.0,True,False,17.01
1770251430.0,LONG,25112.25,25119.77420870242,25109.488006844247,-1.3620976371261078,1sig,3,0.6309633494910052,-1.9610010535348632,TENSION,maxed_force,0,NOISE,0.0,0.0,False,True,-5.52
1770251445.0,LONG,25110.25,25119.137569164188,25107.488006844247,-1.6089049941478368,1sig,4,0.6033047172656876,-1.8538139684782642,TENSION,outer_roche,0,NOISE,0.0,0.0,False,True,-5.52
1770251460.0,LONG,25109.0,25117.531174437037,25106.238006844247,-1.5443873239269927,1sig,5,0.5820385234303223,-1.7592901279193276,TENSION,outer_roche,0,NOISE,0.0,0.0,False,True,-5.52
1770251805.0,LONG,25109.5,25117.44646990445,25106.738006844247,-1.4385390289435538,1sig,7,0.5980927931999552,-1.841286544233403,TENSION,maxed_force,0,NOISE,0.0,0.0,True,False,15.89
1770251835.0,LONG,25108.25,25117.347407804617,25105.488006844247,-1.6468918081255832,1sig,9,0.5845504990438662,-1.9957688298969503,TENSION,outer_roche,0,NOISE,0.0,0.0,True,False,18.19
1770251850.0,LONG,25108.0,25115.879424895593,25105.238006844247,-1.4264019588860732,1sig,10,0.7183738083655355,-1.6691030095951345,TENSION,maxed_force,0,NOISE,0.0,0.0,True,False,15.76
1770252450.0,LONG,25120.0,25126.858102026108,25117.238006844247,-1.241513218782631,1sig,3,0.5657355067474502,-1.630625930384181,TENSION,maxed_force,0,NOISE,0.0,0.0,True,False,13.72
1770252675.0,LONG,25126.5,25136.012234093236,25123.738006844247,-1.7219872673149044,1sig,6,0.5392436281919829,-2.020893021848042,TENSION,outer_roche,0,NOISE,0.0,0.0,False,True,-5.52
1770252780.0,LONG,25113.75,25120.525521417432,25110.988006844247,-1.226563759457782,1sig,4,0.6000852055494591,-1.6906742763599794,TENSION,maxed_force,0,NOISE,0.0,0.0,False,True,-5.52
1770252855.0,SHORT,25114.25,25108.449706948435,25117.011993155753,1.0500194469134843,1sig,9,0.6102139654826467,-0.3681460931833628,STABLE,,0,NOISE,0.0,0.0,False,True,-5.52
1770253080.0,LONG,25115.25,25121.672571503048,25112.488006844247,-1.1626696991751937,1sig,6,0.549215574523777,-1.6408859703967016,TENSION,maxed_force,0,NOISE,0.0,0.0,False,True,-5.52
1770253095.0,LONG,25112.75,25121.127904170633,25109.988006844247,-1.5166410085383668,1sig,7,0.5863430200164821,-1.8291147661418181,TENSION,outer_roche,0,NOISE,0.0,0.0,False,True,-5.52
1770253110.0,LONG,25114.0,25120.298523808033,25111.238006844247,-1.1402135075737139,1sig,8,0.6994006973697275,-1.4948212535939263,TENSION,maxed_force,0,NOISE,0.0,0.0,False,True,-5.52
