feature,regime_2d,n,mean,std,median,p10,p90
L1_4h_price_accel_1b,DOWN_CHOPPY,2988,-6.571619812583668,178.11954188031098,-20.0,-218.75,185.25
L1_4h_price_accel_1b,DOWN_SMOOTH,4662,-23.295795795795797,181.9605154361036,-16.0,-221.0,166.25
L1_4h_price_accel_1b,FLAT_CHOPPY,18315,0.24312039312039313,187.06948042463583,1.25,-167.0,183.75
L1_4h_price_accel_1b,FLAT_SMOOTH,9738,-0.40824604641610185,125.36141753937294,-6.0,-131.25,127.25
L1_4h_price_accel_1b,UP_CHOPPY,3924,12.658320591233435,150.26255015999303,4.5,-154.0,151.25
L1_4h_price_accel_1b,UP_SMOOTH,7146,13.186223061852784,258.11329690128576,8.5,-168.0,248.25
L1_4h_vol_velocity_1b,DOWN_CHOPPY,2988,31772.371485943775,332106.36631740886,5392.0,-370080.0,552800.0
L1_4h_vol_velocity_1b,DOWN_SMOOTH,4662,17418.52724152724,336587.7022659114,5704.0,-403701.0,633478.0
L1_4h_vol_velocity_1b,FLAT_CHOPPY,18315,18645.08364728365,328440.2549580133,430.0,-317366.0,531237.0
L1_4h_vol_velocity_1b,FLAT_SMOOTH,9786,-8032.960862456571,269700.92595057975,829.0,-292099.0,419202.0
L1_4h_vol_velocity_1b,UP_CHOPPY,3924,17363.217125382263,321136.9688790797,-3229.0,-332284.0,507234.0
L1_4h_vol_velocity_1b,UP_SMOOTH,7146,13972.764903442485,287244.2162350761,-1127.0,-328239.0,534424.0
L1_4h_vol_accel_1b,DOWN_CHOPPY,2988,46178.92135207497,433382.6920882923,37592.0,-575608.0,547408.0
L1_4h_vol_accel_1b,DOWN_SMOOTH,4662,68856.16537966538,426348.07059658784,57763.0,-586938.0,632577.0
L1_4h_vol_accel_1b,FLAT_CHOPPY,18315,35597.601583401585,435047.4044781919,30125.0,-587732.0,559862.0
L1_4h_vol_accel_1b,FLAT_SMOOTH,9738,39005.50472376258,363079.41123682336,26616.0,-523303.0,495933.0
L1_4h_vol_accel_1b,UP_CHOPPY,3924,34623.64322120285,436899.6839947494,30652.0,-624498.0,519929.0
L1_4h_vol_accel_1b,UP_SMOOTH,7146,53716.033445284076,389909.2398877968,26264.0,-466841.0,545475.0
L1_4h_bar_range,DOWN_CHOPPY,2988,153.30614123159305,100.42060944551625,121.75,56.75,290.75
L1_4h_bar_range,DOWN_SMOOTH,4662,179.61974474474474,147.49284650233716,120.75,59.5,368.0
L1_4h_bar_range,FLAT_CHOPPY,18315,158.6984438984439,134.40380937935726,115.25,48.25,338.5
L1_4h_bar_range,FLAT_SMOOTH,9834,113.26011795810453,75.67835624545066,91.75,46.82500000000002,216.20000000000073
L1_4h_bar_range,UP_CHOPPY,3924,162.5709734964322,203.72607458969017,117.25,45.75,292.5
L1_4h_bar_range,UP_SMOOTH,7146,147.8329834872656,186.59000122499526,94.0,41.5,303.0
L1_4h_body,DOWN_CHOPPY,2988,-32.59789156626506,108.71755986410126,-11.75,-139.75,96.5
L1_4h_body,DOWN_SMOOTH,4662,-70.38990776490776,114.49292554813492,-43.0,-216.0,44.5
L1_4h_body,FLAT_CHOPPY,18315,-3.642983892983893,118.07324858155293,2.5,-117.0,108.25
L1_4h_body,FLAT_SMOOTH,9834,-2.6536760219646127,69.74271880607405,2.5,-84.0,77.25
L1_4h_body,UP_CHOPPY,3924,45.037143221202854,93.81581268708946,27.0,-39.25,178.0
L1_4h_body,UP_SMOOTH,7146,64.15414217744193,175.16832830669557,27.0,-31.75,210.25
L1_1h_price_velocity_1b,DOWN_CHOPPY,2988,-11.063420348058902,58.71298342883663,-5.0,-81.5,46.75
L1_1h_price_velocity_1b,DOWN_SMOOTH,4662,-22.156370656370655,77.53110764049019,-8.0,-96.25,38.0
L1_1h_price_velocity_1b,FLAT_CHOPPY,18315,-0.5005869505869506,64.46763727800045,1.0,-62.0,62.0
L1_1h_price_velocity_1b,FLAT_SMOOTH,9870,0.02441742654508612,57.82030477855853,0.625,-42.0,37.75
L1_1h_price_velocity_1b,UP_CHOPPY,3924,12.02019622833843,65.05434983780094,5.0,-35.25,65.5
L1_1h_price_velocity_1b,UP_SMOOTH,7146,19.13150713685978,81.79511291858658,8.5,-27.0,71.0
L1_1h_price_accel_1b,DOWN_CHOPPY,2988,-0.9643574297188755,86.73037218112438,4.0,-99.75,91.75
L1_1h_price_accel_1b,DOWN_SMOOTH,4662,-0.698037323037323,110.89186420076902,-3.5,-96.5,83.5
