**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

feature,regime_a,regime_b,pair,cohen_d,abs_d
L1_1D_bar_range,DOWN_CHOPPY,DOWN_SMOOTH,DOWN_CHOPPY__vs__DOWN_SMOOTH,0.3030887149044245,0.3030887149044245
L1_1D_bar_range,DOWN_CHOPPY,FLAT_CHOPPY,DOWN_CHOPPY__vs__FLAT_CHOPPY,0.0879527918978675,0.0879527918978675
L1_1D_bar_range,DOWN_CHOPPY,FLAT_SMOOTH,DOWN_CHOPPY__vs__FLAT_SMOOTH,0.6785007653580919,0.6785007653580919
L1_1D_bar_range,DOWN_CHOPPY,UP_CHOPPY,DOWN_CHOPPY__vs__UP_CHOPPY,0.20738420436611074,0.20738420436611074
L1_1D_bar_range,DOWN_CHOPPY,UP_SMOOTH,DOWN_CHOPPY__vs__UP_SMOOTH,0.04506237188783086,0.04506237188783086
L1_1D_bar_range,DOWN_SMOOTH,FLAT_CHOPPY,DOWN_SMOOTH__vs__FLAT_CHOPPY,-0.11867337654471856,0.11867337654471856
L1_1D_bar_range,DOWN_SMOOTH,FLAT_SMOOTH,DOWN_SMOOTH__vs__FLAT_SMOOTH,0.36436643319506995,0.36436643319506995
L1_1D_bar_range,DOWN_SMOOTH,UP_CHOPPY,DOWN_SMOOTH__vs__UP_CHOPPY,-0.05485448036844617,0.05485448036844617
L1_1D_bar_range,DOWN_SMOOTH,UP_SMOOTH,DOWN_SMOOTH__vs__UP_SMOOTH,-0.17739682843599122,0.17739682843599122
L1_1D_bar_range,FLAT_CHOPPY,FLAT_SMOOTH,FLAT_CHOPPY__vs__FLAT_SMOOTH,0.36636909811766843,0.36636909811766843
L1_1D_bar_range,FLAT_CHOPPY,UP_CHOPPY,FLAT_CHOPPY__vs__UP_CHOPPY,0.07497064205454256,0.07497064205454256
L1_1D_bar_range,FLAT_CHOPPY,UP_SMOOTH,FLAT_CHOPPY__vs__UP_SMOOTH,-0.043061274206183046,0.043061274206183046
L1_1D_bar_range,FLAT_SMOOTH,UP_CHOPPY,FLAT_SMOOTH__vs__UP_CHOPPY,-0.38896871645014747,0.38896871645014747
L1_1D_bar_range,FLAT_SMOOTH,UP_SMOOTH,FLAT_SMOOTH__vs__UP_SMOOTH,-0.4666484828603433,0.4666484828603433
L1_1D_bar_range,UP_CHOPPY,UP_SMOOTH,UP_CHOPPY__vs__UP_SMOOTH,-0.12367108065153072,0.12367108065153072
L1_1D_body,DOWN_CHOPPY,DOWN_SMOOTH,DOWN_CHOPPY__vs__DOWN_SMOOTH,0.10431112846459471,0.10431112846459471
L1_1D_body,DOWN_CHOPPY,FLAT_CHOPPY,DOWN_CHOPPY__vs__FLAT_CHOPPY,-0.13152326447374355,0.13152326447374355
L1_1D_body,DOWN_CHOPPY,FLAT_SMOOTH,DOWN_CHOPPY__vs__FLAT_SMOOTH,-0.4862587857914446,0.4862587857914446
L1_1D_body,DOWN_CHOPPY,UP_CHOPPY,DOWN_CHOPPY__vs__UP_CHOPPY,-0.27488644446558497,0.27488644446558497
L1_1D_body,DOWN_CHOPPY,UP_SMOOTH,DOWN_CHOPPY__vs__UP_SMOOTH,-0.2665913760198972,0.2665913760198972
L1_1D_body,DOWN_SMOOTH,FLAT_CHOPPY,DOWN_SMOOTH__vs__FLAT_CHOPPY,-0.22005016816617873,0.22005016816617873
L1_1D_body,DOWN_SMOOTH,FLAT_SMOOTH,DOWN_SMOOTH__vs__FLAT_SMOOTH,-0.6254024270240677,0.6254024270240677
L1_1D_body,DOWN_SMOOTH,UP_CHOPPY,DOWN_SMOOTH__vs__UP_CHOPPY,-0.3993625990406038,0.3993625990406038
L1_1D_body,DOWN_SMOOTH,UP_SMOOTH,DOWN_SMOOTH__vs__UP_SMOOTH,-0.3679820249585841,0.3679820249585841
L1_1D_body,FLAT_CHOPPY,FLAT_SMOOTH,FLAT_CHOPPY__vs__FLAT_SMOOTH,-0.19895520983370363,0.19895520983370363
L1_1D_body,FLAT_CHOPPY,UP_CHOPPY,FLAT_CHOPPY__vs__UP_CHOPPY,-0.08929279063091324,0.08929279063091324
L1_1D_body,FLAT_CHOPPY,UP_SMOOTH,FLAT_CHOPPY__vs__UP_SMOOTH,-0.13082339380590707,0.13082339380590707
L1_1D_body,FLAT_SMOOTH,UP_CHOPPY,FLAT_SMOOTH__vs__UP_CHOPPY,0.14419309885737874,0.14419309885737874
L1_1D_body,FLAT_SMOOTH,UP_SMOOTH,FLAT_SMOOTH__vs__UP_SMOOTH,0.051462016949044,0.051462016949044
L1_1D_body,UP_CHOPPY,UP_SMOOTH,UP_CHOPPY__vs__UP_SMOOTH,-0.04943632089092186,0.04943632089092186
L1_4h_price_velocity_1b,DOWN_CHOPPY,DOWN_SMOOTH,DOWN_CHOPPY__vs__DOWN_SMOOTH,0.3674052313814172,0.3674052313814172
L1_4h_price_velocity_1b,DOWN_CHOPPY,FLAT_CHOPPY,DOWN_CHOPPY__vs__FLAT_CHOPPY,-0.24808056269853995,0.24808056269853995
L1_4h_price_velocity_1b,DOWN_CHOPPY,FLAT_SMOOTH,DOWN_CHOPPY__vs__FLAT_SMOOTH,-0.3105882782500607,0.3105882782500607
L1_4h_price_velocity_1b,DOWN_CHOPPY,UP_CHOPPY,DOWN_CHOPPY__vs__UP_CHOPPY,-0.773281584161717,0.773281584161717
L1_4h_price_velocity_1b,DOWN_CHOPPY,UP_SMOOTH,DOWN_CHOPPY__vs__UP_SMOOTH,-0.61861790035803,0.61861790035803
L1_4h_price_velocity_1b,DOWN_SMOOTH,FLAT_CHOPPY,DOWN_SMOOTH__vs__FLAT_CHOPPY,-0.6084401156953075,0.6084401156953075
L1_4h_price_velocity_1b,DOWN_SMOOTH,FLAT_SMOOTH,DOWN_SMOOTH__vs__FLAT_SMOOTH,-0.6878415767286684,0.6878415767286684
L1_4h_price_velocity_1b,DOWN_SMOOTH,UP_CHOPPY,DOWN_SMOOTH__vs__UP_CHOPPY,-1.0570800310359882,1.0570800310359882
