
STRATEGY PERFORMANCE REPORT
ID         | Tier | Trades | Win%  | Sharpe | PnL        | MaxDD      | Risk 
964        | 3    | 1      |   0.0 |   0.00 | $-7.00     | $0.00      | 1.12
541        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
542        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
543        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
100        | 3    | 1      | 100.0 |   0.00 | $21.50     | $0.00      | 0.00
920        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
904        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
31         | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
841        | 3    | 1      |   0.0 |   0.00 | $-10.50    | $0.00      | 1.12
842        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
180        | 3    | 1      |   0.0 |   0.00 | $-19.50    | $0.00      | 1.12
182        | 3    | 1      | 100.0 |   0.00 | $70.50     | $0.00      | 0.00
244        | 3    | 1      |   0.0 |   0.00 | $-3.00     | $0.00      | 1.12
971        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
972        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
890        | 3    | 1      |   0.0 |   0.00 | $-57.00    | $0.00      | 1.12
891        | 3    | 1      |   0.0 |   0.00 | $-2.00     | $0.00      | 1.12
892        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
893        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
894        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
931        | 3    | 1      | 100.0 |   0.00 | $3.50      | $0.00      | 0.00
933        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
934        | 3    | 1      |   0.0 |   0.00 | $-2.00     | $0.00      | 1.12
942        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
943        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
944        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
952        | 3    | 1      | 100.0 |   0.00 | $34.50     | $0.00      | 0.00
810        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
812        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
813        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
814        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
1010       | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
1011       | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
1012       | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
290        | 3    | 1      |   0.0 |   0.00 | $-1.00     | $0.00      | 1.12
830        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
832        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
833        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
981        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
851        | 3    | 1      | 100.0 |   0.00 | $38.00     | $0.00      | 0.00
80         | 3    | 1      | 100.0 |   0.00 | $102.50    | $0.00      | 0.00
60         | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
61         | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
170        | 3    | 1      |   0.0 |   0.00 | $-10.00    | $0.00      | 1.12
270        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
271        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
1000       | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
1001       | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
1002       | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
821        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
70         | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
71         | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
8010       | 3    | 1      | 100.0 |   0.00 | $4.00      | $0.00      | 0.00
8011       | 3    | 1      | 100.0 |   0.00 | $3.50      | $0.00      | 0.00
8110       | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
8111       | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
8310       | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
8311       | 3    | 1      | 100.0 |   0.00 | $7.00      | $0.00      | 0.00
8200       | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
8201       | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
771        | 3    | 8      |  12.5 |  -0.02 | $-1.50     | $15.50     | 0.55
472        | 3    | 3      |  33.3 |  -0.04 | $-1.50     | $17.00     | 0.60
440        | 3    | 7      |  42.9 |  -0.06 | $-15.50    | $85.00     | 0.66
871        | 3    | 7      |  28.6 |  -0.06 | $-25.00    | $44.00     | 0.48
403        | 3    | 5      |  40.0 |  -0.08 | $-4.50     | $15.00     | 0.59
651        | 3    | 4      |  75.0 |  -0.08 | $-9.50     | $49.50     | 0.90
262        | 3    | 8      |  25.0 |  -0.17 | $-15.50    | $28.00     | 0.62
371        | 3    | 7      |  28.6 |  -0.19 | $-10.50    | $14.50     | 0.61
941        | 3    | 3      |  33.3 |  -0.23 | $-13.50    | $28.00     | 0.69
243        | 3    | 4      |  25.0 |  -0.24 | $-7.50     | $18.00     | 0.66
642        | 3    | 5      |  20.0 |  -0.25 | $-25.50    | $22.00     | 0.54
970        | 3    | 2      |  50.0 |  -0.25 | $-12.50    | $31.00     | 0.87
452        | 3    | 8      |  37.5 |  -0.27 | $-38.00    | $47.50     | 0.82
3211       | 3    | 6      |  33.3 |  -0.28 | $-31.50    | $39.50     | 0.75
463        | 3    | 2      |  50.0 |  -0.28 | $-25.00    | $56.50     | 0.91
602        | 3    | 6      |  33.3 |  -0.30 | $-18.50    | $30.00     | 0.76
843        | 3    | 8      |  25.0 |  -0.31 | $-51.00    | $64.00     | 0.72
980        | 3    | 3      |  33.3 |  -0.38 | $-27.50    | $4.50      | 0.68
672        | 3    | 6      |  33.3 |  -0.44 | $-39.00    | $46.00     | 0.87
671        | 3    | 7      |  42.9 |  -0.51 | $-117.00   | $118.50    | 1.03
1020       | 3    | 2      |  50.0 |  -0.52 | $-68.50    | $100.00    | 0.97
4111       | 3    | 2      |  50.0 |  -0.52 | $-5.50     | $0.00      | 0.77
910        | 3    | 3      |  33.3 |  -0.56 | $-20.50    | $19.50     | 0.89
422        | 3    | 8      |  12.5 |  -0.60 | $-40.50    | $38.50     | 0.73
650        | 3    | 8      |  25.0 |  -0.61 | $-88.50    | $95.00     | 1.08
8401       | 3    | 8      |  12.5 |  -0.66 | $-137.00   | $137.00    | 0.77
913        | 3    | 2      |  50.0 |  -0.67 | $-6.00     | $0.00      | 0.77
473        | 3    | 3      |  33.3 |  -0.69 | $-30.00    | $40.50     | 1.02
731        | 3    | 3      |   0.0 |  -0.81 | $-85.50    | $7.50      | 1.16
172        | 3    | 5      |  20.0 |  -0.87 | $-49.00    | $43.50     | 1.10
521        | 3    | 6      |  33.3 |  -0.87 | $-106.00   | $97.00     | 1.04
903        | 3    | 2      |  50.0 |  -0.94 | $-46.00    | $47.50     | 0.97
28         | 3    | 5      |  20.0 |  -0.97 | $-90.00    | $68.50     | 1.05
121        | 3    | 3      |  33.3 |  -0.97 | $-18.50    | $12.50     | 1.04
330        | 3    | 2      |   0.0 |  -1.00 | $-8.00     | $0.00      | 1.14
9010       | 3    | 2      |   0.0 |  -1.03 | $-35.00    | $34.50     | 1.14
171        | 3    | 2      |   0.0 |  -1.05 | $-42.50    | $1.00      | 1.14
250        | 3    | 3      |  33.3 |  -1.06 | $-17.50    | $18.50     | 1.04
633        | 3    | 8      |  25.0 |  -1.13 | $-65.00    | $63.50     | 1.12
332        | 3    | 5      |   0.0 |  -1.13 | $-148.50   | $69.00     | 1.20
670        | 3    | 9      |  11.1 |  -1.14 | $-105.00   | $97.00     | 1.10
540        | 3    | 2      |   0.0 |  -1.18 | $-6.50     | $6.00      | 1.14
263        | 3    | 8      |   0.0 |  -1.30 | $-65.00    | $49.00     | 1.26
663        | 3    | 5      |   0.0 |  -1.40 | $-52.00    | $32.00     | 1.20
522        | 3    | 4      |   0.0 |  -1.42 | $-30.50    | $19.50     | 1.18
601        | 3    | 2      |   0.0 |  -1.57 | $-5.50     | $1.00      | 1.14
45001      | 3    | 2      |   0.0 |  -1.61 | $-18.50    | $3.50      | 1.14
260        | 3    | 4      |   0.0 |  -1.61 | $-158.50   | $107.50    | 1.18
921        | 3    | 3      |   0.0 |  -1.66 | $-91.50    | $61.00     | 1.16
442        | 3    | 2      |   0.0 |  -1.80 | $-4.50     | $1.00      | 1.14
973        | 3    | 2      |   0.0 |  -1.82 | $-15.50    | $3.50      | 1.14
740        | 3    | 2      |   0.0 |  -2.11 | $-19.00    | $5.00      | 1.14
701        | 3    | 3      |   0.0 |  -2.27 | $-7.00     | $6.00      | 1.16
313        | 4    | 10     |  30.0 |   0.16 | $34.00     | $18.00     | 0.41
710        | 4    | 17     |  29.4 |   0.15 | $240.00    | $196.00    | 0.43
2410       | 4    | 39     |  33.3 |   0.15 | $287.50    | $141.50    | 0.43
872        | 4    | 26     |  34.6 |   0.14 | $144.00    | $157.50    | 0.57
482        | 4    | 21     |  28.6 |   0.13 | $129.50    | $137.00    | 0.47
691        | 4    | 21     |  23.8 |   0.10 | $148.00    | $179.00    | 0.50
471        | 4    | 41     |  29.3 |   0.09 | $88.00     | $59.50     | 0.46
342        | 4    | 52     |  34.6 |   0.09 | $163.50    | $314.00    | 0.61
32         | 4    | 133    |  32.3 |   0.08 | $252.50    | $347.00    | 0.58
880        | 4    | 157    |  32.5 |   0.07 | $752.50    | $433.50    | 0.54
974        | 4    | 23     |  34.8 |   0.04 | $18.00     | $71.00     | 0.50
702        | 4    | 20     |  25.0 |   0.04 | $12.50     | $58.00     | 0.56
131        | 4    | 137    |  33.6 |   0.03 | $313.00    | $1110.00   | 0.60
590        | 4    | 68     |  22.1 |   0.01 | $64.00     | $421.50    | 0.58
153        | 4    | 98     |  29.6 |   0.01 | $27.00     | $244.50    | 0.61
690        | 4    | 45     |  31.1 |   0.01 | $16.00     | $327.00    | 0.52
493        | 4    | 16     |  12.5 |  -0.00 | $-0.50     | $65.00     | 0.66
163        | 4    | 124    |  37.1 |  -0.01 | $-13.00    | $137.50    | 0.57
400        | 4    | 100    |  42.0 |  -0.01 | $-48.00    | $696.00    | 0.67
520        | 4    | 16     |  31.2 |  -0.01 | $-7.00     | $165.00    | 0.60
1621       | 4    | 24     |  41.7 |  -0.01 | $-8.00     | $116.00    | 0.56
582        | 4    | 13     |  30.8 |  -0.01 | $-3.50     | $113.00    | 0.73
92         | 4    | 155    |  27.7 |  -0.01 | $-43.00    | $426.00    | 0.61
852        | 4    | 18     |  33.3 |  -0.02 | $-18.50    | $199.00    | 0.51
451        | 4    | 68     |  35.3 |  -0.02 | $-10.00    | $77.00     | 0.58
530        | 4    | 11     |  54.5 |  -0.02 | $-4.00     | $46.00     | 0.64
661        | 4    | 10     |  20.0 |  -0.02 | $-4.50     | $46.00     | 0.52
90         | 4    | 201    |  39.3 |  -0.02 | $-164.00   | $668.00    | 0.64
