pair,r,t1act,mean_pnl_usd_day,median_pnl_usd_day,n_days,n_trades,winning_days,losing_days,t1dist,t2pct,sl
r_x_t2pct,25.0,,-155.78333333333333,-18.5,30,1121,7,23,,0.1,
r_x_t2pct,30.0,,-128.58333333333334,-58.0,30,872,5,25,,0.1,
r_x_t2pct,35.0,,-64.41666666666667,-6.25,30,666,7,23,,0.1,
r_x_t2pct,40.0,,-60.3,0.0,30,545,8,22,,0.1,
r_x_t2pct,50.0,,-59.916666666666664,-1.75,30,372,7,23,,0.1,
r_x_t2pct,15.0,,-264.8833333333333,-52.0,30,2159,7,23,,0.15,
r_x_t2pct,20.0,,-249.1,0.0,30,1535,8,22,,0.15,
r_x_t2pct,25.0,,-153.73333333333332,-18.5,30,1121,7,23,,0.15,
r_x_t2pct,30.0,,-126.11666666666666,-58.0,30,872,4,26,,0.15,
r_x_t2pct,35.0,,-52.78333333333333,0.0,30,666,8,22,,0.15,
r_x_t2pct,40.0,,-51.016666666666666,0.0,30,545,8,22,,0.15,
r_x_t2pct,50.0,,-48.333333333333336,0.0,30,372,8,22,,0.15,
r_x_t2pct,15.0,,-271.53333333333336,-68.0,30,2159,6,24,,0.2,
r_x_t2pct,20.0,,-262.06666666666666,0.0,30,1535,8,22,,0.2,
r_x_t2pct,25.0,,-151.6,-23.75,30,1121,6,24,,0.2,
r_x_t2pct,30.0,,-127.93333333333334,-63.25,30,872,4,26,,0.2,
r_x_t2pct,35.0,,-60.733333333333334,-0.75,30,666,7,23,,0.2,
r_x_t2pct,40.0,,-50.083333333333336,-5.0,30,545,7,23,,0.2,
r_x_t2pct,50.0,,-44.016666666666666,-1.75,30,372,7,23,,0.2,
r_x_t2pct,15.0,,-274.8833333333333,-88.5,30,2159,6,24,,0.3,
r_x_t2pct,20.0,,-277.6333333333333,-52.75,30,1535,6,24,,0.3,
r_x_t2pct,25.0,,-163.18333333333334,-25.0,30,1121,5,25,,0.3,
r_x_t2pct,30.0,,-115.56666666666666,-41.25,30,872,5,25,,0.3,
r_x_t2pct,35.0,,-66.46666666666667,-9.0,30,666,7,23,,0.3,
r_x_t2pct,40.0,,-48.68333333333333,-2.5,30,545,7,23,,0.3,
r_x_t2pct,50.0,,-46.6,-1.75,30,372,7,23,,0.3,
r_x_sl,15.0,,-242.21666666666667,0.0,30,2159,8,22,,,0.0
r_x_sl,20.0,,-281.93333333333334,0.0,30,1535,8,22,,,0.0
r_x_sl,25.0,,-216.08333333333334,-75.5,30,1121,5,25,,,0.0
r_x_sl,30.0,,-213.03333333333333,-73.5,30,872,5,25,,,0.0
r_x_sl,35.0,,-86.15,0.0,30,666,9,21,,,0.0
r_x_sl,40.0,,-85.7,0.0,30,545,10,20,,,0.0
r_x_sl,50.0,,-61.95,0.0,30,372,9,21,,,0.0
r_x_sl,15.0,,-330.03333333333336,-190.0,30,2159,2,28,,,10.0
r_x_sl,20.0,,-244.91666666666666,-78.75,30,1535,5,25,,,10.0
r_x_sl,25.0,,-195.63333333333333,-59.0,30,1121,4,26,,,10.0
r_x_sl,30.0,,-131.96666666666667,-56.25,30,872,6,24,,,10.0
r_x_sl,35.0,,-82.15,-10.75,30,666,6,24,,,10.0
r_x_sl,40.0,,-88.11666666666666,-50.0,30,545,4,26,,,10.0
r_x_sl,50.0,,-62.083333333333336,-24.75,30,372,7,23,,,10.0
r_x_sl,15.0,,-297.5833333333333,-90.5,30,2159,6,24,,,15.0
r_x_sl,20.0,,-263.93333333333334,-89.25,30,1535,5,25,,,15.0
r_x_sl,25.0,,-186.01666666666668,-65.0,30,1121,5,25,,,15.0
r_x_sl,30.0,,-119.18333333333334,-26.25,30,872,3,27,,,15.0
r_x_sl,35.0,,-79.93333333333334,0.0,30,666,9,21,,,15.0
r_x_sl,40.0,,-94.48333333333333,-7.25,30,545,7,23,,,15.0
r_x_sl,50.0,,-69.53333333333333,-7.5,30,372,6,24,,,15.0
r_x_sl,15.0,,-264.53333333333336,-81.75,30,2159,6,24,,,20.0
r_x_sl,20.0,,-274.5833333333333,-49.25,30,1535,7,23,,,20.0
r_x_sl,25.0,,-210.9,-104.25,30,1121,4,26,,,20.0
r_x_sl,30.0,,-145.41666666666666,-52.5,30,872,4,26,,,20.0
r_x_sl,35.0,,-98.73333333333333,-19.0,30,666,6,24,,,20.0
r_x_sl,40.0,,-79.9,-16.25,30,545,7,23,,,20.0
r_x_sl,50.0,,-58.483333333333334,-5.0,30,372,6,24,,,20.0
r_x_sl,15.0,,-266.56666666666666,-45.0,30,2159,7,23,,,25.0
r_x_sl,20.0,,-262.93333333333334,0.0,30,1535,8,22,,,25.0
r_x_sl,25.0,,-155.78333333333333,-18.5,30,1121,7,23,,,25.0
r_x_sl,30.0,,-128.58333333333334,-58.0,30,872,5,25,,,25.0
r_x_sl,35.0,,-64.41666666666667,-6.25,30,666,7,23,,,25.0
r_x_sl,40.0,,-60.3,0.0,30,545,8,22,,,25.0
r_x_sl,50.0,,-59.916666666666664,-1.75,30,372,7,23,,,25.0
r_x_sl,15.0,,-268.53333333333336,-0.5,30,2159,6,24,,,35.0
r_x_sl,20.0,,-291.4166666666667,-11.5,30,1535,6,24,,,35.0
r_x_sl,25.0,,-191.08333333333334,-56.75,30,1121,4,26,,,35.0
r_x_sl,30.0,,-176.11666666666667,-74.25,30,872,5,25,,,35.0
r_x_sl,35.0,,-64.7,0.0,30,666,10,20,,,35.0
r_x_sl,40.0,,-66.78333333333333,0.0,30,545,9,21,,,35.0
r_x_sl,50.0,,-81.56666666666666,-27.0,30,372,5,25,,,35.0
r_x_sl,15.0,,-256.76666666666665,-0.5,30,2159,7,23,,,50.0
r_x_sl,20.0,,-293.9166666666667,-55.0,30,1535,5,25,,,50.0
r_x_sl,25.0,,-216.15,-87.75,30,1121,4,26,,,50.0
r_x_sl,30.0,,-203.71666666666667,-73.5,30,872,5,25,,,50.0
r_x_sl,35.0,,-105.65,0.0,30,666,9,21,,,50.0
r_x_sl,40.0,,-79.76666666666667,0.0,30,545,9,21,,,50.0
r_x_sl,50.0,,-67.0,0.0,30,372,10,20,,,50.0
t1act_x_t1dist,,4.0,-100.21666666666667,-32.5,30,872,6,24,2.0,,
t1act_x_t1dist,,6.0,-108.66666666666667,-33.75,30,872,4,26,2.0,,
t1act_x_t1dist,,8.0,-122.91666666666667,-46.0,30,872,5,25,2.0,,
t1act_x_t1dist,,10.0,-135.55,-47.75,30,872,5,25,2.0,,
t1act_x_t1dist,,14.0,-140.35,-66.0,30,872,5,25,2.0,,
t1act_x_t1dist,,20.0,-141.78333333333333,-77.25,30,872,6,24,2.0,,
t1act_x_t1dist,,30.0,-134.58333333333334,0.0,30,872,8,22,2.0,,
t1act_x_t1dist,,4.0,-106.0,-45.25,30,872,6,24,3.0,,
t1act_x_t1dist,,6.0,-111.15,-38.0,30,872,4,26,3.0,,
t1act_x_t1dist,,8.0,-124.85,-57.25,30,872,5,25,3.0,,
t1act_x_t1dist,,10.0,-137.75,-59.0,30,872,5,25,3.0,,
t1act_x_t1dist,,14.0,-138.31666666666666,-46.0,30,872,5,25,3.0,,
t1act_x_t1dist,,20.0,-145.78333333333333,-81.25,30,872,6,24,3.0,,
t1act_x_t1dist,,30.0,-134.58333333333334,0.0,30,872,8,22,3.0,,
t1act_x_t1dist,,4.0,-106.6,-43.25,30,872,6,24,5.0,,
t1act_x_t1dist,,6.0,-109.51666666666667,-58.0,30,872,5,25,5.0,,
t1act_x_t1dist,,8.0,-121.51666666666667,-58.0,30,872,4,26,5.0,,
t1act_x_t1dist,,10.0,-128.58333333333334,-58.0,30,872,5,25,5.0,,
t1act_x_t1dist,,14.0,-126.83333333333333,-6.25,30,872,7,23,5.0,,
t1act_x_t1dist,,20.0,-134.26666666666668,-47.5,30,872,6,24,5.0,,
t1act_x_t1dist,,30.0,-125.08333333333333,-0.75,30,872,7,23,5.0,,
t1act_x_t1dist,,4.0,-114.03333333333333,-61.25,30,872,6,24,7.0,,
t1act_x_t1dist,,6.0,-115.35,-51.5,30,872,5,25,7.0,,
t1act_x_t1dist,,8.0,-127.23333333333333,-75.25,30,872,5,25,7.0,,
t1act_x_t1dist,,10.0,-141.15,-68.0,30,872,5,25,7.0,,
t1act_x_t1dist,,14.0,-140.75,-63.25,30,872,5,25,7.0,,
t1act_x_t1dist,,20.0,-142.45,-72.5,30,872,5,25,7.0,,
t1act_x_t1dist,,30.0,-134.15,-22.0,30,872,7,23,7.0,,
t1act_x_t1dist,,4.0,-128.21666666666667,-66.5,30,872,5,25,10.0,,
t1act_x_t1dist,,6.0,-130.26666666666668,-49.0,30,872,5,25,10.0,,
t1act_x_t1dist,,8.0,-145.81666666666666,-88.25,30,872,4,26,10.0,,
t1act_x_t1dist,,10.0,-156.85,-63.0,30,872,4,26,10.0,,
t1act_x_t1dist,,14.0,-145.8,-90.75,30,872,3,27,10.0,,
t1act_x_t1dist,,20.0,-155.16666666666666,-106.25,30,872,4,26,10.0,,
t1act_x_t1dist,,30.0,-145.85,-24.25,30,872,6,24,10.0,,
t1act_x_t1dist,,4.0,-114.5,0.0,30,872,8,22,15.0,,
t1act_x_t1dist,,6.0,-118.28333333333333,-21.5,30,872,7,23,15.0,,
t1act_x_t1dist,,8.0,-127.9,-49.75,30,872,7,23,15.0,,
t1act_x_t1dist,,10.0,-126.73333333333333,-35.5,30,872,7,23,15.0,,
t1act_x_t1dist,,14.0,-121.91666666666667,-31.25,30,872,6,24,15.0,,
t1act_x_t1dist,,20.0,-133.7,-77.0,30,872,6,24,15.0,,
t1act_x_t1dist,,30.0,-131.81666666666666,-40.75,30,872,7,23,15.0,,
t1act_x_t2pct,,4.0,-109.05,-43.25,30,872,6,24,,0.05,
t1act_x_t2pct,,6.0,-111.96666666666667,-58.0,30,872,5,25,,0.05,
t1act_x_t2pct,,8.0,-123.96666666666667,-58.0,30,872,4,26,,0.05,
t1act_x_t2pct,,10.0,-131.03333333333333,-58.0,30,872,5,25,,0.05,
t1act_x_t2pct,,14.0,-129.01666666666668,-28.0,30,872,7,23,,0.05,
t1act_x_t2pct,,20.0,-136.16666666666666,-44.75,30,872,5,25,,0.05,
t1act_x_t2pct,,30.0,-129.58333333333334,-0.75,30,872,7,23,,0.05,
t1act_x_t2pct,,4.0,-110.81666666666666,-43.25,30,872,6,24,,0.08,
t1act_x_t2pct,,6.0,-113.73333333333333,-58.0,30,872,5,25,,0.08,
t1act_x_t2pct,,8.0,-125.73333333333333,-58.0,30,872,4,26,,0.08,
t1act_x_t2pct,,10.0,-132.8,-58.0,30,872,5,25,,0.08,
t1act_x_t2pct,,14.0,-131.05,-28.0,30,872,7,23,,0.08,
t1act_x_t2pct,,20.0,-138.48333333333332,-44.75,30,872,5,25,,0.08,
t1act_x_t2pct,,30.0,-131.9,-0.75,30,872,7,23,,0.08,
t1act_x_t2pct,,4.0,-106.6,-43.25,30,872,6,24,,0.1,
t1act_x_t2pct,,6.0,-109.51666666666667,-58.0,30,872,5,25,,0.1,
t1act_x_t2pct,,8.0,-121.51666666666667,-58.0,30,872,4,26,,0.1,
t1act_x_t2pct,,10.0,-128.58333333333334,-58.0,30,872,5,25,,0.1,
t1act_x_t2pct,,14.0,-126.83333333333333,-6.25,30,872,7,23,,0.1,
t1act_x_t2pct,,20.0,-134.26666666666668,-47.5,30,872,6,24,,0.1,
t1act_x_t2pct,,30.0,-125.08333333333333,-0.75,30,872,7,23,,0.1,
t1act_x_t2pct,,4.0,-103.18333333333334,-46.75,30,872,6,24,,0.15,
t1act_x_t2pct,,6.0,-106.16666666666667,-58.0,30,872,5,25,,0.15,
t1act_x_t2pct,,8.0,-119.05,-59.75,30,872,3,27,,0.15,
t1act_x_t2pct,,10.0,-126.11666666666666,-58.0,30,872,4,26,,0.15,
t1act_x_t2pct,,14.0,-124.31666666666666,-7.25,30,872,6,24,,0.15,
t1act_x_t2pct,,20.0,-130.35,-40.75,30,872,5,25,,0.15,
t1act_x_t2pct,,30.0,-119.51666666666667,0.0,30,872,8,22,,0.15,
t1act_x_t2pct,,4.0,-104.28333333333333,-68.5,30,872,5,25,,0.2,
t1act_x_t2pct,,6.0,-107.7,-58.0,30,872,5,25,,0.2,
t1act_x_t2pct,,8.0,-120.78333333333333,-83.75,30,872,3,27,,0.2,
t1act_x_t2pct,,10.0,-127.93333333333334,-63.25,30,872,4,26,,0.2,
t1act_x_t2pct,,14.0,-125.3,-37.5,30,872,6,24,,0.2,
t1act_x_t2pct,,20.0,-135.13333333333333,-90.75,30,872,5,25,,0.2,
t1act_x_t2pct,,30.0,-124.83333333333333,-29.0,30,872,6,24,,0.2,
t1act_x_t2pct,,4.0,-87.05,-22.25,30,872,7,23,,0.3,
t1act_x_t2pct,,6.0,-92.55,-30.5,30,872,5,25,,0.3,
t1act_x_t2pct,,8.0,-106.55,-42.25,30,872,5,25,,0.3,
t1act_x_t2pct,,10.0,-115.56666666666666,-41.25,30,872,5,25,,0.3,
t1act_x_t2pct,,14.0,-122.08333333333333,-23.25,30,872,7,23,,0.3,
t1act_x_t2pct,,20.0,-124.41666666666667,-22.0,30,872,7,23,,0.3,
t1act_x_t2pct,,30.0,-118.1,0.0,30,872,8,22,,0.3,
t1act_x_sl,,4.0,-191.91666666666666,-10.75,30,872,6,24,,,0.0
t1act_x_sl,,6.0,-195.81666666666666,-42.0,30,872,4,26,,,0.0
t1act_x_sl,,8.0,-207.68333333333334,-93.0,30,872,3,27,,,0.0
t1act_x_sl,,10.0,-213.03333333333333,-73.5,30,872,5,25,,,0.0
t1act_x_sl,,14.0,-219.16666666666666,-63.75,30,872,6,24,,,0.0
t1act_x_sl,,20.0,-226.01666666666668,-55.0,30,872,6,24,,,0.0
t1act_x_sl,,30.0,-213.15,0.0,30,872,8,22,,,0.0
t1act_x_sl,,4.0,-126.41666666666667,-41.0,30,872,5,25,,,10.0
t1act_x_sl,,6.0,-129.48333333333332,-34.5,30,872,6,24,,,10.0
t1act_x_sl,,8.0,-130.01666666666668,-56.25,30,872,6,24,,,10.0
t1act_x_sl,,10.0,-131.96666666666667,-56.25,30,872,6,24,,,10.0
t1act_x_sl,,14.0,-137.01666666666668,-49.75,30,872,6,24,,,10.0
t1act_x_sl,,20.0,-131.63333333333333,-12.0,30,872,7,23,,,10.0
t1act_x_sl,,30.0,-110.46666666666667,0.0,30,872,8,22,,,10.0
t1act_x_sl,,4.0,-102.08333333333333,-19.25,30,872,5,25,,,15.0
t1act_x_sl,,6.0,-107.93333333333334,-9.0,30,872,6,24,,,15.0
t1act_x_sl,,8.0,-115.46666666666667,-24.5,30,872,5,25,,,15.0
t1act_x_sl,,10.0,-119.18333333333334,-26.25,30,872,3,27,,,15.0
t1act_x_sl,,14.0,-108.45,-9.0,30,872,6,24,,,15.0
t1act_x_sl,,20.0,-104.41666666666667,-9.0,30,872,6,24,,,15.0
t1act_x_sl,,30.0,-89.8,0.0,30,872,8,22,,,15.0
t1act_x_sl,,4.0,-118.65,-28.5,30,872,5,25,,,20.0
t1act_x_sl,,6.0,-126.63333333333334,-23.75,30,872,6,24,,,20.0
t1act_x_sl,,8.0,-136.81666666666666,-45.75,30,872,4,26,,,20.0
t1act_x_sl,,10.0,-145.41666666666666,-52.5,30,872,4,26,,,20.0
t1act_x_sl,,14.0,-132.0,-3.75,30,872,7,23,,,20.0
t1act_x_sl,,20.0,-140.28333333333333,-0.25,30,872,7,23,,,20.0
t1act_x_sl,,30.0,-140.35,0.0,30,872,9,21,,,20.0
t1act_x_sl,,4.0,-106.6,-43.25,30,872,6,24,,,25.0
t1act_x_sl,,6.0,-109.51666666666667,-58.0,30,872,5,25,,,25.0
t1act_x_sl,,8.0,-121.51666666666667,-58.0,30,872,4,26,,,25.0
t1act_x_sl,,10.0,-128.58333333333334,-58.0,30,872,5,25,,,25.0
t1act_x_sl,,14.0,-126.83333333333333,-6.25,30,872,7,23,,,25.0
t1act_x_sl,,20.0,-134.26666666666668,-47.5,30,872,6,24,,,25.0
t1act_x_sl,,30.0,-125.08333333333333,-0.75,30,872,7,23,,,25.0
t1act_x_sl,,4.0,-156.71666666666667,-1.0,30,872,7,23,,,35.0
t1act_x_sl,,6.0,-158.7,-31.0,30,872,5,25,,,35.0
t1act_x_sl,,8.0,-171.28333333333333,-74.5,30,872,3,27,,,35.0
t1act_x_sl,,10.0,-176.11666666666667,-74.25,30,872,5,25,,,35.0
t1act_x_sl,,14.0,-173.73333333333332,-42.75,30,872,6,24,,,35.0
t1act_x_sl,,20.0,-185.83333333333334,-34.75,30,872,6,24,,,35.0
t1act_x_sl,,30.0,-172.81666666666666,0.0,30,872,8,22,,,35.0
t1act_x_sl,,4.0,-180.41666666666666,-39.25,30,872,6,24,,,50.0
t1act_x_sl,,6.0,-182.93333333333334,-70.5,30,872,4,26,,,50.0
t1act_x_sl,,8.0,-195.18333333333334,-89.0,30,872,3,27,,,50.0
t1act_x_sl,,10.0,-203.71666666666667,-73.5,30,872,5,25,,,50.0
t1act_x_sl,,14.0,-204.3,-63.75,30,872,6,24,,,50.0
t1act_x_sl,,20.0,-211.15,-79.5,30,872,6,24,,,50.0
t1act_x_sl,,30.0,-194.2,0.0,30,872,8,22,,,50.0
t1dist_x_t2pct,,,-129.85,-19.0,30,872,6,24,2.0,0.05,
t1dist_x_t2pct,,,-137.63333333333333,-17.75,30,872,5,25,3.0,0.05,
t1dist_x_t2pct,,,-131.03333333333333,-58.0,30,872,5,25,5.0,0.05,
t1dist_x_t2pct,,,-147.95,-68.0,30,872,5,25,7.0,0.05,
t1dist_x_t2pct,,,-158.4,-63.0,30,872,4,26,10.0,0.05,
t1dist_x_t2pct,,,-127.4,-35.5,30,872,7,23,15.0,0.05,
t1dist_x_t2pct,,,-137.01666666666668,-47.0,30,872,5,25,2.0,0.08,
t1dist_x_t2pct,,,-142.11666666666667,-57.75,30,872,5,25,3.0,0.08,
t1dist_x_t2pct,,,-132.8,-58.0,30,872,5,25,5.0,0.08,
t1dist_x_t2pct,,,-147.75,-68.0,30,872,5,25,7.0,0.08,
t1dist_x_t2pct,,,-158.26666666666668,-63.0,30,872,4,26,10.0,0.08,
t1dist_x_t2pct,,,-127.4,-35.5,30,872,7,23,15.0,0.08,
t1dist_x_t2pct,,,-135.55,-47.75,30,872,5,25,2.0,0.1,
t1dist_x_t2pct,,,-137.75,-59.0,30,872,5,25,3.0,0.1,
t1dist_x_t2pct,,,-128.58333333333334,-58.0,30,872,5,25,5.0,0.1,
t1dist_x_t2pct,,,-141.15,-68.0,30,872,5,25,7.0,0.1,
t1dist_x_t2pct,,,-156.85,-63.0,30,872,4,26,10.0,0.1,
t1dist_x_t2pct,,,-126.73333333333333,-35.5,30,872,7,23,15.0,0.1,
t1dist_x_t2pct,,,-125.26666666666667,-19.0,30,872,5,25,2.0,0.15,
t1dist_x_t2pct,,,-128.65,-32.75,30,872,5,25,3.0,0.15,
t1dist_x_t2pct,,,-126.11666666666666,-58.0,30,872,4,26,5.0,0.15,
t1dist_x_t2pct,,,-135.2,-68.0,30,872,5,25,7.0,0.15,
