p10,p25,p50,p75,p90,predicted_dir,actual_dir,actual_signed_mfe,consensus,ci_width,mean_dist
-105.575,-53.625,9.0,47.4375,83.57500000000002,LONG,SHORT,-34.75,0.52,101.0625,14.407387574239804
-67.27499999999999,-32.0,18.0,54.875,132.57500000000002,LONG,SHORT,-36.75,0.6,86.875,14.582508972706147
-110.3,-51.0,10.625,46.8125,92.75000000000006,LONG,SHORT,-10.0,0.58,97.8125,13.976955916811596
-105.95,-55.1875,16.875,46.6875,96.05000000000001,LONG,SHORT,-19.5,0.58,101.875,18.226286959592038
-153.175,-54.0,-15.625,51.0,111.85000000000004,SHORT,LONG,28.0,0.56,105.0,18.77786560648363
-130.225,-50.4375,-14.875,37.6875,92.97500000000005,SHORT,LONG,35.0,0.56,88.125,19.54798000375832
-91.425,-55.25,-9.625,33.6875,95.20000000000002,SHORT,SHORT,-4.75,0.6,88.9375,16.042785505686926
-138.325,-83.5,-10.875,25.375,69.00000000000003,SHORT,LONG,1.25,0.5800000000000001,108.875,18.224293256511697
-159.125,-70.6875,-5.25,24.875,88.0,SHORT,SHORT,-60.0,0.5800000000000001,95.5625,17.08899408735009
-134.825,-74.25,-16.75,60.8125,111.525,SHORT,SHORT,-49.75,0.62,135.0625,17.58444333780968
-144.14999999999998,-62.125,1.25,30.5625,72.10000000000001,LONG,SHORT,-65.25,0.5,92.6875,14.54466693218772
-114.05,-91.5,-0.75,38.0,77.87500000000003,SHORT,SHORT,-32.5,0.5,129.5,15.444726725874979
-94.05,-41.9375,-18.375,33.375,108.15000000000003,SHORT,SHORT,-76.75,0.62,75.3125,14.463239032377757
-82.4,-43.625,3.625,31.75,81.92500000000001,LONG,SHORT,-101.75,0.52,75.375,15.841509181582566
-128.8,-73.8125,-27.625,23.5,56.325,SHORT,SHORT,-111.25,0.62,97.3125,14.791748587368795
-99.125,-52.25,-8.625,38.25,76.57500000000002,SHORT,SHORT,-134.75,0.54,90.5,15.909368611964894
-127.275,-48.5625,-13.25,41.5,106.00000000000003,SHORT,SHORT,-114.75,0.56,90.0625,14.589651951382692
-142.275,-59.4375,-15.75,31.125,74.25,SHORT,SHORT,-96.25,0.6,90.5625,15.221926435530897
-174.675,-75.9375,-35.125,28.875,81.275,SHORT,SHORT,-97.25,0.6599999999999999,104.8125,14.434937861267594
-220.875,-66.75,-9.875,15.875,105.27500000000008,SHORT,SHORT,-121.75,0.6,82.625,16.05383468717745
-209.17499999999998,-79.4375,-24.375,34.5,58.425000000000004,SHORT,SHORT,-123.75,0.54,113.9375,15.183882755012725
-170.725,-73.9375,-19.5,22.6875,77.775,SHORT,SHORT,-133.75,0.54,96.625,16.388916043868157
-124.85,-39.625,16.25,55.0,131.27500000000006,LONG,SHORT,-103.0,0.62,94.625,13.92202289737642
-121.35,-60.5,-18.0,36.625,114.57500000000003,SHORT,SHORT,-152.5,0.54,97.125,15.148021604274055
-171.825,-85.0,-7.125,28.9375,104.70000000000003,SHORT,SHORT,-74.0,0.56,113.9375,13.897562316106296
-128.29999999999998,-83.5625,-4.25,30.1875,162.475,SHORT,SHORT,-108.0,0.5,113.75,16.974646032045865
-154.4,-65.875,-6.75,45.3125,115.10000000000002,SHORT,SHORT,-105.5,0.6,111.1875,17.225092760056473
-143.375,-54.625,-4.0,55.8125,134.525,SHORT,SHORT,-68.25,0.56,110.4375,20.531791996237292
-168.025,-55.5625,-7.25,40.3125,119.075,SHORT,LONG,30.25,0.54,95.875,18.72880956093013
-128.5,-66.3125,-24.375,59.4375,103.02500000000002,SHORT,SHORT,-65.75,0.6,125.75,18.780147900814807
-83.575,-40.25,21.125,73.0,114.67500000000001,LONG,SHORT,-79.25,0.6,113.25,14.750975584722468
-161.375,-72.25,-21.625,52.0,118.025,SHORT,SHORT,-19.75,0.56,124.25,17.079512628680995
-134.2,-69.625,-5.625,61.8125,124.50000000000003,SHORT,LONG,11.5,0.52,131.4375,15.969622617728595
-69.22499999999998,-15.4375,16.25,71.25,98.125,LONG,SHORT,-69.5,0.68,86.6875,16.744386958351313
-146.27499999999998,-66.6875,-17.5,47.875,90.87500000000003,SHORT,SHORT,-71.5,0.56,114.5625,14.803325012640121
-160.95,-55.75,-4.0,39.375,67.1,SHORT,SHORT,-49.5,0.52,95.125,18.84771342975439
-176.12499999999997,-83.125,0.125,35.6875,71.97500000000001,LONG,SHORT,-19.5,0.5,118.8125,17.38835080422747
-179.62499999999997,-120.75,-43.625,34.0625,74.875,SHORT,LONG,53.0,0.64,154.8125,17.4739983750446
-130.87499999999997,-44.4375,-8.0,31.6875,101.95000000000006,SHORT,LONG,67.25,0.5800000000000001,76.125,13.101332867400082
-125.94999999999999,-51.25,-16.375,37.6875,77.375,SHORT,LONG,116.75,0.6,88.9375,17.351171189869056
-127.3,-27.75,24.5,54.375,166.75000000000009,LONG,LONG,104.5,0.62,82.125,17.319738500973802
-130.65,-56.25,-3.25,35.0625,87.07500000000005,SHORT,LONG,73.0,0.54,91.3125,17.299573270425686
-90.475,-47.4375,-4.125,47.1875,93.77500000000002,SHORT,LONG,111.75,0.52,94.625,13.853374608879887
-118.39999999999999,-39.4375,-2.125,41.9375,103.6,SHORT,LONG,102.75,0.5,81.375,16.74298614623408
-122.44999999999999,-34.375,24.125,52.1875,137.77500000000003,LONG,LONG,96.25,0.58,86.5625,16.301106858851007
-106.44999999999999,-60.8125,6.5,53.25,158.725,LONG,LONG,99.25,0.52,114.0625,16.7081089834691
-76.0,-35.875,9.75,45.4375,95.12500000000001,LONG,LONG,90.75,0.58,81.3125,13.205110464453705
-93.19999999999999,-34.25,6.625,36.9375,136.00000000000003,LONG,LONG,78.75,0.52,71.1875,15.044148029960486
-79.44999999999999,-41.3125,19.625,56.8125,106.92500000000004,LONG,LONG,65.25,0.54,98.125,14.420549447155096
-63.14999999999999,-23.25,15.125,67.3125,168.55,LONG,LONG,28.0,0.6,90.5625,15.443210878041628
-158.7,-73.4375,-1.375,27.5,100.775,SHORT,LONG,47.0,0.52,100.9375,13.739714000440669
-110.825,-32.9375,10.625,49.125,88.47500000000002,LONG,LONG,65.5,0.58,82.0625,17.75063819107879
-95.225,-47.8125,2.375,62.9375,100.0500000000001,LONG,LONG,59.5,0.52,110.75,18.274741041718812
-81.5,-21.625,20.75,56.1875,111.625,LONG,LONG,65.0,0.62,77.8125,19.042822017215453
-98.575,-51.3125,2.125,63.6875,125.65,LONG,LONG,55.5,0.52,115.0,15.035603695792286
-40.125,-22.0,33.75,54.4375,121.55000000000001,LONG,LONG,54.5,0.68,76.4375,16.148469355779422
-68.89999999999999,-35.25,8.25,38.6875,68.525,LONG,LONG,23.5,0.54,73.9375,15.071772371348112
-93.475,-45.625,6.125,39.9375,76.20000000000003,LONG,LONG,25.5,0.52,85.5625,15.557907993093862
-115.75,-87.0625,-12.75,22.5,45.375,SHORT,LONG,39.5,0.56,109.5625,14.49486410317308
-176.54999999999998,-41.25,7.0,38.125,62.85000000000003,LONG,LONG,32.0,0.56,79.375,15.833262164846309
-90.14999999999999,-39.8125,15.125,40.3125,139.275,LONG,LONG,38.0,0.58,80.125,15.419700234049163
-98.625,-25.8125,-1.125,31.875,60.75000000000002,SHORT,SHORT,-4.5,0.52,57.6875,15.9984531847371
-92.25,-36.625,3.25,38.625,71.17500000000001,LONG,LONG,11.5,0.56,75.25,15.433392050258973
-95.35,-33.8125,1.5,48.1875,64.55000000000001,LONG,LONG,15.5,0.5,82.0,32.94276575560175
-90.99999999999999,-30.875,0.875,43.9375,93.8,LONG,LONG,15.5,0.5,74.8125,32.6951091640469
-83.45,-42.25,-4.125,40.25,76.52500000000002,SHORT,SHORT,-17.75,0.54,82.5,32.31046908096951
-84.32499999999999,-43.125,4.125,36.875,54.575,LONG,SHORT,-18.25,0.54,80.0,13.987328759758698
-99.4,-42.375,2.125,40.375,52.625,LONG,SHORT,-43.75,0.5,82.75,15.6715954170983
-125.475,-70.3125,-10.625,43.75,83.75000000000003,SHORT,SHORT,-37.75,0.54,114.0625,16.408320189189556
-113.175,-58.625,6.75,31.6875,65.85000000000004,LONG,SHORT,-51.75,0.56,90.3125,16.7338292288318
-83.225,-5.4375,20.0,46.375,64.0,LONG,SHORT,-39.75,0.72,51.8125,14.35865999043865
-87.225,-28.375,20.0,48.875,92.20000000000002,LONG,SHORT,-46.25,0.58,77.25,15.402889898897044
-117.44999999999999,-26.5625,21.75,53.125,85.72500000000001,LONG,SHORT,-51.25,0.56,79.6875,15.246488134726638
-101.625,-30.4375,7.5,34.6875,75.50000000000001,LONG,SHORT,-27.25,0.56,65.125,16.3096008026362
-78.0,-23.1875,14.875,44.0625,68.275,LONG,SHORT,-15.25,0.58,67.25,15.07459984602751
-126.175,-79.8125,1.5,27.375,92.75000000000007,LONG,SHORT,-3.25,0.54,107.1875,15.214913555759187
-134.05,-76.0,10.375,49.6875,97.87500000000001,LONG,SHORT,-0.75,0.56,125.6875,14.844633187625822
-59.449999999999996,-23.0,6.5,49.875,103.22500000000005,LONG,LONG,15.25,0.5,72.875,14.582988169246516
-106.79999999999998,-51.3125,8.25,37.125,130.05,LONG,LONG,4.25,0.54,88.4375,13.831997210137674
-54.025,-26.9375,2.875,34.3125,68.45000000000002,LONG,LONG,0.75,0.54,61.25,16.23112452997781
-98.59999999999998,-40.75,12.125,44.9375,182.60000000000002,LONG,LONG,9.75,0.56,85.6875,16.135318353702267
-80.425,-39.5625,2.375,56.9375,133.27500000000003,LONG,LONG,35.25,0.52,96.5,16.042842640194284
-100.35,-53.6875,-0.25,42.375,102.90000000000005,SHORT,LONG,19.25,0.52,96.0625,13.634991248627182
-104.57499999999999,-37.5,3.75,35.4375,80.775,LONG,LONG,10.25,0.56,72.9375,15.411243857008122
-150.575,-39.25,1.125,42.875,62.95000000000001,LONG,SHORT,-22.0,0.5,82.125,15.943611013178527
-146.54999999999998,-49.125,10.0,75.4375,117.57500000000002,LONG,SHORT,-61.75,0.62,124.5625,15.792665458531419
-111.875,-77.5625,-23.75,46.0,121.15,SHORT,SHORT,-97.25,0.54,123.5625,14.240188836394884
-174.64999999999998,-85.5625,5.875,52.125,99.45000000000002,LONG,SHORT,-81.75,0.54,137.6875,14.878195914823769
-115.75,-59.9375,-8.125,32.5,94.22500000000001,SHORT,SHORT,-51.5,0.54,92.4375,15.032614131895532
-102.55,-64.875,3.5,36.75,76.25000000000003,LONG,SHORT,-14.0,0.52,101.625,16.21940894644191
-137.325,-69.375,-0.125,54.8125,90.875,SHORT,SHORT,-28.0,0.5,124.1875,15.726000203348883
-115.95,-74.6875,-8.5,25.75,92.2,SHORT,SHORT,-41.5,0.56,100.4375,16.851478637171084
-126.79999999999998,-30.3125,13.75,54.3125,74.82500000000002,LONG,SHORT,-40.0,0.54,84.625,15.57862632994662
-71.64999999999999,-44.375,15.625,51.1875,96.075,LONG,SHORT,-43.5,0.56,95.5625,15.193250425897956
-90.9,-49.125,18.5,54.25,90.32500000000012,LONG,SHORT,-73.5,0.54,103.375,12.44672213151822
-95.6,-37.4375,11.875,33.9375,83.97500000000002,LONG,SHORT,-63.0,0.58,71.375,15.20858761505201
-87.0,-44.4375,20.5,71.125,178.9,LONG,SHORT,-78.0,0.54,115.5625,15.090276628299655
-117.82499999999999,-57.8125,3.625,30.75,78.87500000000003,LONG,SHORT,-82.25,0.52,88.5625,16.087407677827525
-147.22499999999997,-90.875,-7.125,44.375,135.5,SHORT,SHORT,-37.5,0.6,135.25,13.481016430501608
-234.075,-46.3125,15.125,44.0,81.375,LONG,SHORT,-19.0,0.54,90.3125,16.735542802691928
-164.42499999999998,-68.0625,-3.375,62.6875,92.875,SHORT,LONG,51.75,0.52,130.75,16.901198865127405
-121.85,-54.8125,10.5,47.75,115.32500000000002,LONG,LONG,130.25,0.52,102.5625,18.07994018879329
-64.775,-22.0625,28.75,84.0,147.10000000000002,LONG,LONG,96.25,0.56,106.0625,16.664834264526892
-114.875,-42.625,-6.625,58.9375,139.65,SHORT,LONG,90.25,0.54,101.5625,20.63297411493696
-169.67499999999998,-69.625,2.25,44.4375,121.85,LONG,LONG,80.5,0.52,114.0625,20.012030672756463
-139.975,-90.25,3.75,73.4375,132.50000000000003,LONG,SHORT,-84.75,0.52,163.6875,20.159434886632685
-166.25,-44.0,3.5,61.8125,186.75,LONG,SHORT,-252.25,0.52,105.8125,15.424183023414463
-171.275,-49.625,7.875,59.125,188.85,LONG,SHORT,-432.0,0.54,108.75,15.944884555506167
-123.24999999999999,-36.0625,2.375,42.75,110.50000000000003,LONG,SHORT,-569.75,0.52,78.8125,14.068340972985832
-218.17499999999998,-63.125,-25.5,23.25,56.25,SHORT,SHORT,-587.75,0.5800000000000001,86.375,14.491950550791666
-139.375,-82.1875,13.125,46.625,99.27500000000005,LONG,SHORT,-603.25,0.52,128.8125,13.133227314815104
-129.04999999999995,-41.0,-6.0,30.875,84.25000000000003,SHORT,SHORT,-594.25,0.54,71.875,14.971974379756928
-99.7,-56.8125,-3.125,33.75,68.80000000000001,SHORT,SHORT,-534.25,0.52,90.5625,14.685187041835741
-90.89999999999999,-43.3125,-1.5,31.0625,86.325,SHORT,SHORT,-560.5,0.52,74.375,15.983291516320287
-86.0,-27.5625,11.5,68.75,95.42500000000001,LONG,SHORT,-631.5,0.56,96.3125,14.64262844139533
-70.925,-25.0,13.375,74.375,107.60000000000002,LONG,SHORT,-634.5,0.62,99.375,15.812182941648127
-71.02499999999999,-22.8125,25.875,57.6875,94.82500000000003,LONG,SHORT,-744.5,0.64,80.5,14.828544817394684
-94.44999999999999,-49.9375,-12.875,45.0,74.45,SHORT,SHORT,-736.25,0.54,94.9375,17.045644664073443
-129.325,-66.625,-6.875,60.0625,125.525,SHORT,SHORT,-696.25,0.54,126.6875,16.519082941798565
-103.225,-63.8125,0.5,38.125,125.95000000000002,LONG,SHORT,-709.25,0.5,101.9375,18.719529962495443
-227.29999999999998,-95.6875,-33.375,39.1875,74.8,SHORT,SHORT,-719.75,0.64,134.875,17.131070538270873
-74.14999999999999,-38.75,20.75,49.875,82.275,LONG,SHORT,-621.0,0.58,88.625,16.591507032165495
-106.02499999999998,-57.375,-9.125,44.625,125.67500000000007,SHORT,SHORT,-493.0,0.54,102.0,15.573439544417226
