trade_id,side,qty,entry_dt,exit_dt,entry_px,exit_px,entry_name,exit_name,pnl_usd,commission
802,Short,1,2026-04-13 07:25:59+00:00,2026-04-13 08:03:59+00:00,25091.75,25127.25,ShortAtHighPivot,PivotExitShort,-72.9,1.9
803,Long,1,2026-04-13 08:03:59+00:00,2026-04-13 08:40:59+00:00,25127.25,25095.75,LongAtLowPivot,PivotExitLong,-64.9,1.9
804,Short,1,2026-04-13 08:40:59+00:00,2026-04-13 09:28:59+00:00,25095.75,25126.25,ShortAtHighPivot,PivotExitShort,-62.9,1.9
805,Long,1,2026-04-13 09:28:59+00:00,2026-04-13 11:25:59+00:00,25126.25,25145.0,LongAtLowPivot,PivotExitLong,35.6,1.9
806,Short,1,2026-04-13 11:25:59+00:00,2026-04-13 12:11:59+00:00,25145.0,25112.0,ShortAtHighPivot,PivotExitShort,64.1,1.9
807,Long,1,2026-04-13 12:11:59+00:00,2026-04-13 13:37:59+00:00,25112.0,25182.5,LongAtLowPivot,PivotExitLong,139.1,1.9
808,Short,1,2026-04-13 13:37:59+00:00,2026-04-13 13:49:59+00:00,25182.5,25214.75,ShortAtHighPivot,PivotExitShort,-66.4,1.9
809,Long,1,2026-04-13 13:49:59+00:00,2026-04-13 13:52:59+00:00,25214.75,25252.25,LongAtLowPivot,PivotExitLong,73.1,1.9
810,Short,1,2026-04-13 13:52:59+00:00,2026-04-13 13:57:59+00:00,25252.25,25275.5,ShortAtHighPivot,PivotExitShort,-48.4,1.9
811,Long,1,2026-04-13 13:57:59+00:00,2026-04-13 14:13:59+00:00,25275.5,25286.0,LongAtLowPivot,PivotExitLong,19.1,1.9
812,Short,1,2026-04-13 14:13:59+00:00,2026-04-13 14:22:59+00:00,25286.0,25290.0,ShortAtHighPivot,PivotExitShort,-9.9,1.9
813,Long,1,2026-04-13 14:22:59+00:00,2026-04-13 15:01:59+00:00,25290.0,25318.75,LongAtLowPivot,PivotExitLong,55.6,1.9
814,Short,1,2026-04-13 15:01:59+00:00,2026-04-13 15:12:59+00:00,25318.75,25347.75,ShortAtHighPivot,PivotExitShort,-59.9,1.9
815,Long,1,2026-04-13 15:12:59+00:00,2026-04-13 15:20:59+00:00,25347.75,25317.25,LongAtLowPivot,PivotExitLong,-62.9,1.9
816,Short,1,2026-04-13 15:20:59+00:00,2026-04-13 15:40:59+00:00,25317.25,25340.0,ShortAtHighPivot,PivotExitShort,-47.4,1.9
817,Long,1,2026-04-13 15:40:59+00:00,2026-04-13 15:52:59+00:00,25340.0,25310.75,LongAtLowPivot,PivotExitLong,-60.4,1.9
818,Short,1,2026-04-13 15:52:59+00:00,2026-04-13 16:07:59+00:00,25310.75,25327.0,ShortAtHighPivot,PivotExitShort,-34.4,1.9
819,Long,1,2026-04-13 16:07:59+00:00,2026-04-13 16:42:59+00:00,25327.0,25363.75,LongAtLowPivot,PivotExitLong,71.6,1.9
820,Short,1,2026-04-13 16:42:59+00:00,2026-04-13 16:48:59+00:00,25363.75,25405.0,ShortAtHighPivot,PivotExitShort,-84.4,1.9
821,Long,1,2026-04-13 16:48:59+00:00,2026-04-13 16:56:59+00:00,25405.0,25393.0,LongAtLowPivot,PivotExitLong,-25.9,1.9
