file,date,from,to,instrument,guid,action,strategy,p_RPoints,p_Contracts,p_EodHourUtc,p_EodMinuteUtc,p_EntryCutoffHourUtc,p_EntryCutoffMinuteUtc,p_PivotTfSeconds,p_HardSlTfSeconds,p_TrailTpTfSeconds,p_HardStopLossPoints,p_Tier1ActivatePoints,p_Tier1TrailDistancePoints,p_Tier2ActivatePoints,p_Tier2TrailPercent,p_MaxNegativeBars,p_EnableRegimeFilter,p_BleedThresholdZ,p_RangeMeanLookbackDays,p_RideWithTrend,m_AverageBarsInTrade,m_AverageEtd,m_AverageMae,m_AverageMfe,m_AverageLosingTrade,m_AverageNumTradesPerDay,m_AverageTimeInMarket,m_AverageTrade,m_AverageWinningTrade,m_Commission,m_GrossLoss,m_GrossLossValue,m_GrossProfitValue,m_GrossProfit,m_NumWinningTrades,m_NumLosingTrades,m_NumEvenTrades,m_MaxTime2Recover,m_MaxDrawdown,m_MaxConsecWinners,m_MaxConsecLosers,m_LargestWinningTrade,m_LargestLosingTrade,m_LongestFlatPeriod,m_PercentProfitable,m_Probability,m_ProfitFactor,m_ProfitPerMonth,m_Performance,m_RatioAvgWinAvgLoss,m_RSquared,m_SharpeRatio,m_SortinoRatio,m_TotalSlippage,m_TotalNumTrades,m_TotalNetProfit,m_TotalNetProfitValue,m_UlcerIndex
@@@ZigzagRunner_v15_2026_04_27_21.xml,2026-04-27T08:14:06.1016604,2026-01-01T00:00:00,2026-04-26T00:00:00,MNQ JUN26,a854e96c35a14c2fa9ce66cbe93309f8,Backtest,ZigzagRunner_v15,30,1,20,55,20,30,60,5,1,25,10,5,50,0.1,5,true,-0.34,20,true,2.7179,19.8778,16.9525,17.6506,-25.52,18.933,4.4673,-2.2272,30.7518,2781.6,-21896.2,,,18635.6,606.0,858.0,0.0,110.44,-3941.8,7.0,12.0,177.6,-152.4,11.5,0.4139,0.9893,0.8511,-887.9313,0.8511,1.205,0.875,-0.6585,-0.8241,0.0,1464.0,-3260.6,,0.0435
@@@ZigzagRunner_v15_2026_04_27_23.xml,2026-04-27T08:14:29.3679273,2026-01-01T00:00:00,2026-04-26T00:00:00,MNQ JUN26,7bd2633cf337432bba9340bf2d80b278,Backtest,ZigzagRunner_v15,30,1,20,55,20,30,60,5,1,25,10,5,50,0.1,5,true,-0.34,20,false,2.3764,17.8129,15.1168,16.4047,-23.5671,18.933,3.9939,-1.4082,29.7891,2781.6,-20173.4,,,18111.8,608.0,856.0,0.0,92.9,-3325.3,9.0,17.0,360.1,-147.4,11.51,0.4153,0.9162,0.8978,-561.4179,0.8978,1.264,0.7202,-0.5424,-0.6686,0.0,1464.0,-2061.6,,0.0358
@@@ZigzagRunner_v15_2026_04_27_25.xml,2026-04-27T08:56:25.6392972,2026-01-01T00:00:00,2026-04-26T00:00:00,MNQ JUN26,69caba49c41343fbbbc2871dfe8086d0,Backtest,ZigzagRunner_v15,30,1,20,55,20,30,60,5,1,25,10,5,50,0.1,5,true,0.75,20,false,2.3138,17.4246,14.9357,15.2538,-22.9635,29.756,3.7288,-2.1707,27.9745,4449.8,-31827.4,,,26743.6,956.0,1386.0,0.0,94.57,-6293.9,9.0,17.0,360.1,-147.4,7.23,0.4082,0.9978,0.8403,-1360.1395,0.8403,1.2182,0.8461,-0.7258,-0.9865,0.0,2342.0,-5083.8,,0.0696
@@@ZigzagRunner_v15_2026_04_27_27.xml,2026-04-27T08:56:37.6458269,2026-01-01T00:00:00,2026-04-26T00:00:00,MNQ JUN26,a0c622e09aac42d8818537c0c7e4bc1b,Backtest,ZigzagRunner_v15,30,1,20,55,20,30,60,5,1,25,10,5,50,0.1,5,true,0.75,20,true,2.6379,19.0509,16.3305,17.3896,-24.4553,29.756,4.0739,-1.6613,29.6862,4449.8,-33161.4,,,29270.6,986.0,1356.0,0.0,112.11,-4579.6,8.0,12.0,177.6,-199.4,7.23,0.421,0.9875,0.8827,-1040.9596,0.8827,1.2139,0.8448,-0.6238,-0.7752,0.0,2342.0,-3890.8,,0.0499
@@@ZigzagRunner_v15_2026_04_27_29.xml,2026-04-27T08:56:48.109946,2026-01-01T00:00:00,2026-04-26T00:00:00,MNQ JUN26,c578ae0a33754a34a7b275a2f0229bb3,Backtest,ZigzagRunner_v15,30,1,20,55,20,30,60,5,1,25,10,5,50,0.1,5,true,0.75,20,false,2.3138,17.4246,14.9357,15.2538,-22.9635,29.756,3.7288,-2.1707,27.9745,4449.8,-31827.4,,,26743.6,956.0,1386.0,0.0,94.57,-6293.9,9.0,17.0,360.1,-147.4,7.23,0.4082,0.9978,0.8403,-1360.1395,0.8403,1.2182,0.8461,-0.7258,-0.9865,0.0,2342.0,-5083.8,,0.0696
@@@ZigzagRunner_v15_2026_04_27_31.xml,2026-04-27T08:56:56.9078935,2026-01-01T00:00:00,2026-04-26T00:00:00,MNQ JUN26,b8b2d1d7e92d4a429823cbae4ac15c13,Backtest,ZigzagRunner_v15,30,1,20,55,20,30,60,5,1,25,10,5,50,0.1,5,true,0.7,20,false,2.3138,17.4246,14.9357,15.2538,-22.9635,29.756,3.7288,-2.1707,27.9745,4449.8,-31827.4,,,26743.6,956.0,1386.0,0.0,94.57,-6293.9,9.0,17.0,360.1,-147.4,7.23,0.4082,0.9978,0.8403,-1360.1395,0.8403,1.2182,0.8461,-0.7258,-0.9865,0.0,2342.0,-5083.8,,0.0696
@@@ZigzagRunner_v15_2026_04_27_33.xml,2026-04-27T08:57:04.9559592,2026-01-01T00:00:00,2026-04-26T00:00:00,MNQ JUN26,42c6b8bfb48e409b81a2f5460908ee4b,Backtest,ZigzagRunner_v15,30,1,20,55,20,30,60,5,1,25,10,5,50,0.1,5,true,-0.7,20,false,2.4865,18.4365,15.4963,17.3991,-24.3824,15.764,4.3769,-1.0374,31.4167,2316.1,-17287.1,,,16022.5,510.0,709.0,0.0,92.9,-2807.6,8.0,17.0,360.1,-147.4,13.03,0.4184,0.8047,0.9268,-344.3777,0.9268,1.2885,0.5464,-0.3727,-0.434,0.0,1219.0,-1264.6,,0.0307
@@@ZigzagRunner_v15_2026_04_27_35.xml,2026-04-27T08:57:13.5498434,2026-01-01T00:00:00,2026-04-26T00:00:00,MNQ JUN26,f8be963fc5974802a8a700667b6a4dc4,Backtest,ZigzagRunner_v15,30,1,20,55,20,30,60,5,1,25,10,5,50,0.1,5,true,-0.75,20,false,2.5038,18.4768,15.519,17.6291,-24.4661,15.463,4.4506,-0.8477,31.8475,2251.5,-16832.7,,,15828.2,497.0,688.0,0.0,92.01,-2807.6,8.0,17.0,360.1,-147.4,13.03,0.4194,0.7545,0.9403,-276.0113,0.9403,1.3017,0.5286,-0.3198,-0.3695,0.0,1185.0,-1004.5,,0.0302
@@@ZigzagRunner_v15_2026_04_27_37.xml,2026-04-27T08:57:28.5235946,2026-01-01T00:00:00,2026-04-26T00:00:00,MNQ JUN26,fc9048e9805a4478bdc5f6372e38b557,Backtest,ZigzagRunner_v15,30,1,20,55,20,30,60,5,1,25,10,5,50,0.1,5,true,-2.0,20,false,2.6799,19.5129,16.2483,17.7802,-25.992,10.589,5.4056,-1.7327,31.4522,1430.7,-11306.5,,,10001.8,318.0,435.0,0.0,84.0,-2807.6,8.0,17.0,316.1,-110.9,65.21,0.4223,0.8774,0.8846,-386.3432,0.8846,1.2101,0.7528,-0.4917,-0.5417,0.0,753.0,-1304.7,,0.0271
@@@ZigzagRunner_v15_2026_04_27_39.xml,2026-04-27T08:58:16.8473988,2026-01-01T00:00:00,2026-04-26T00:00:00,MNQ JUN26,549c54ea53144b32ba9ac7b5bf86f627,Backtest,ZigzagRunner_v15,30,1,20,55,20,30,60,5,1,25,10,5,50,0.1,5,true,0.75,20,false,2.3138,17.4246,14.9357,15.2538,-22.9635,29.756,3.7288,-2.1707,27.9745,4449.8,-31827.4,,,26743.6,956.0,1386.0,0.0,94.57,-6293.9,9.0,17.0,360.1,-147.4,7.23,0.4082,0.9978,0.8403,-1360.1395,0.8403,1.2182,0.8461,-0.7258,-0.9865,0.0,2342.0,-5083.8,,0.0696
@@@ZigzagRunner_v15_2026_04_27_41.xml,2026-04-27T08:58:29.796322,2026-01-01T00:00:00,2026-04-26T00:00:00,MNQ JUN26,aa2a199db1074239906bb1807555d15f,Backtest,ZigzagRunner_v15,30,1,20,55,20,30,60,5,1,25,10,5,50,0.1,5,false,0.75,20,false,2.1053,17.638,15.2875,15.3167,-24.1575,46.552,3.1617,-2.3213,28.067,6961.6,-51503.8,,,42998.7,1532.0,2132.0,0.0,94.57,-9715.2,9.0,17.0,360.1,-217.4,2.46,0.4181,0.9999,0.8349,-2275.4873,0.8349,1.1618,0.949,-0.6903,-0.8983,0.0,3664.0,-8505.1,,0.0975
@@@ZigzagRunner_v15_2026_04_27_43.xml,2026-04-27T08:58:40.1755286,2026-04-06T00:00:00,2026-04-26T00:00:00,MNQ JUN26,4bcd342c98f34151b5ea97d8dafcec26,Backtest,ZigzagRunner_v15,30,1,20,55,20,30,60,5,1,25,10,5,50,0.1,5,false,0.75,20,false,1.882,13.0087,11.1801,10.118,-16.6568,34.979,1.8256,-2.8907,18.5233,917.7,-4897.1,,,3500.9,189.0,294.0,0.0,17.01,-1719.8,7.0,12.0,169.1,-65.4,2.18,0.3913,0.9924,0.7149,-2129.205,0.7149,1.1121,0.9104,-0.4567,-1.5146,0.0,483.0,-1396.2,,0.0149
@@@ZigzagRunner_v15_2026_04_27_45.xml,2026-04-27T08:58:49.7180405,2026-04-06T00:00:00,2026-04-26T00:00:00,MNQ JUN26,b5ba4275dd2440569f23fe10b4ebad85,Backtest,ZigzagRunner_v15,30,1,20,55,20,30,60,5,1,25,10,5,50,0.1,5,true,0.75,20,false,1.882,13.0087,11.1801,10.118,-16.6568,34.979,1.8256,-2.8907,18.5233,917.7,-4897.1,,,3500.9,189.0,294.0,0.0,17.01,-1719.8,7.0,12.0,169.1,-65.4,2.18,0.3913,0.9924,0.7149,-2129.205,0.7149,1.1121,0.9104,-0.4567,-1.5146,0.0,483.0,-1396.2,,0.0149
