day,split,n_phrases,n_motifs,phrase_NOISE,phrase_FLATLINE,phrase_LOGARITHMIC_UP,phrase_LINEAR_DOWN,phrase_LINEAR_UP,phrase_LOGARITHMIC_DOWN,phrase_EXPONENTIAL_UP,phrase_EXPONENTIAL_DOWN,phrase_BACK_SKEWED_UP,phrase_BACK_SKEWED_DOWN
2025_03_03,IS,5,21,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2025_03_04,IS,7,21,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2025_03_05,IS,5,17,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_03_06,IS,7,16,1.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2025_03_07,IS,7,23,0.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2025_03_09,IS,2,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_03_10,IS,6,22,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2025_03_11,IS,9,22,1.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_03_12,IS,11,19,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2025_03_13,IS,7,13,0.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2025_03_14,IS,6,19,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2025_03_16,IS,2,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_03_17,IS,7,13,0.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2025_03_18,IS,7,12,0.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2025_03_19,IS,9,16,0.0,5.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
2025_03_20,IS,6,14,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2025_03_21,IS,2,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2025_04_01,IS,9,18,1.0,3.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
2025_04_02,IS,6,13,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
2025_04_03,IS,9,21,0.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_04_04,IS,4,13,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2025_04_06,IS,2,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_04_07,IS,9,23,0.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2025_04_08,IS,11,23,1.0,6.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2025_04_09,IS,6,14,0.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
2025_04_10,IS,9,13,0.0,5.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
2025_04_11,IS,7,17,0.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2025_04_13,IS,3,3,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_04_14,IS,8,16,0.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_04_15,IS,8,26,0.0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
2025_04_16,IS,7,16,1.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
2025_04_17,IS,5,10,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2025_04_20,IS,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_04_21,IS,7,18,0.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
2025_04_22,IS,10,17,0.0,6.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
2025_04_23,IS,5,21,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025_04_24,IS,5,15,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2025_04_25,IS,7,18,0.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2025_04_27,IS,2,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_04_28,IS,10,18,1.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2025_04_29,IS,7,15,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
2025_04_30,IS,5,16,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
2025_05_01,IS,11,18,1.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_05_02,IS,5,14,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025_05_04,IS,2,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_05_05,IS,6,17,0.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
2025_05_06,IS,11,18,0.0,8.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2025_05_07,IS,11,23,0.0,8.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
2025_05_08,IS,6,14,0.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2025_05_09,IS,8,22,0.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_05_11,IS,3,3,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_05_12,IS,4,17,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025_05_13,IS,6,11,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
2025_05_14,IS,9,19,0.0,4.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025_05_15,IS,8,16,0.0,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
2025_05_16,IS,8,15,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2025_05_18,IS,2,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_05_19,IS,8,16,0.0,4.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0
2025_05_20,IS,15,26,1.0,10.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
2025_05_21,IS,4,12,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
2025_05_22,IS,9,23,0.0,5.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2025_05_23,IS,10,14,0.0,7.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2025_05_25,IS,2,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_05_26,IS,7,13,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_05_27,IS,7,17,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2025_05_28,IS,12,22,1.0,5.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0
2025_05_29,IS,9,20,1.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2025_05_30,IS,10,21,0.0,5.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
2025_06_01,IS,2,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_06_02,IS,7,12,0.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025_06_03,IS,8,17,0.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025_06_04,IS,11,22,0.0,7.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2025_06_05,IS,9,14,1.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_06_06,IS,6,11,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2025_06_08,IS,2,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_06_09,IS,6,18,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
2025_06_10,IS,6,21,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2025_06_11,IS,6,16,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2025_06_12,IS,10,17,0.0,6.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2025_06_13,IS,6,21,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2025_06_15,IS,2,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_06_16,IS,8,13,0.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
2025_06_17,IS,7,22,0.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2025_06_18,IS,5,13,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
2025_06_19,IS,3,7,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2025_06_20,IS,2,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_07_01,IS,6,16,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2025_07_02,IS,7,20,0.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025_07_03,IS,8,13,1.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2025_07_04,IS,4,13,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_07_06,IS,2,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_07_07,IS,9,19,0.0,6.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2025_07_08,IS,10,21,1.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2025_07_09,IS,8,17,1.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2025_07_10,IS,10,17,0.0,6.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2025_07_11,IS,6,20,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
2025_07_13,IS,2,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_07_14,IS,9,17,1.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
2025_07_15,IS,8,16,1.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2025_07_16,IS,7,18,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2025_07_17,IS,8,16,0.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2025_07_18,IS,7,20,0.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2025_07_20,IS,2,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_07_21,IS,7,17,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2025_07_22,IS,10,17,1.0,4.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0
2025_07_23,IS,5,22,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2025_07_24,IS,13,24,0.0,9.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2025_07_25,IS,11,22,0.0,8.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2025_07_27,IS,2,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_07_28,IS,10,17,1.0,5.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
2025_07_29,IS,9,17,0.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
2025_07_30,IS,8,15,0.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2025_07_31,IS,5,14,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2025_08_01,IS,6,17,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2025_08_03,IS,2,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_08_04,IS,5,19,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2025_08_05,IS,12,17,1.0,6.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
2025_08_06,IS,4,11,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2025_08_07,IS,8,13,0.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
2025_08_08,IS,8,19,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_08_10,IS,2,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_08_11,IS,7,18,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
2025_08_12,IS,9,19,0.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2025_08_13,IS,12,22,1.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025_08_14,IS,10,15,1.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
2025_08_15,IS,7,14,0.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2025_08_17,IS,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_08_18,IS,8,16,0.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025_08_19,IS,4,11,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2025_08_20,IS,5,18,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_08_21,IS,13,21,0.0,9.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2025_08_22,IS,9,19,1.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2025_08_24,IS,2,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_08_25,IS,6,14,1.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
2025_08_26,IS,11,16,1.0,6.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2025_08_27,IS,7,18,0.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
2025_08_28,IS,7,15,0.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2025_08_29,IS,7,16,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2025_08_31,IS,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_09_01,IS,5,11,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2025_09_02,IS,5,15,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
2025_09_03,IS,12,17,0.0,9.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025_09_04,IS,6,14,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
2025_09_05,IS,6,14,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2025_09_07,IS,2,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_09_08,IS,7,17,1.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
2025_09_09,IS,8,17,0.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2025_09_10,IS,7,17,1.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2025_09_11,IS,7,17,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2025_09_12,IS,5,13,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
2025_09_14,IS,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_09_15,IS,6,13,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2025_09_16,IS,4,10,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2025_09_17,IS,6,9,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
2025_09_18,IS,7,14,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2025_09_19,IS,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_10_01,IS,6,14,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2025_10_02,IS,7,14,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025_10_03,IS,10,22,0.0,7.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2025_10_05,IS,2,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_10_06,IS,7,13,1.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2025_10_07,IS,7,16,0.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0
2025_10_08,IS,6,14,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2025_10_09,IS,8,16,1.0,2.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0
2025_10_10,IS,9,14,1.0,4.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
2025_10_12,IS,2,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_10_13,IS,9,21,1.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025_10_14,IS,5,14,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
2025_10_15,IS,4,23,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025_10_16,IS,10,26,0.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2025_10_17,IS,4,15,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_10_19,IS,2,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_10_20,IS,6,14,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2025_10_21,IS,7,16,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
2025_10_22,IS,5,18,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2025_10_23,IS,6,11,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_10_24,IS,3,12,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2025_10_26,IS,2,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_10_27,IS,5,9,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2025_10_28,IS,7,14,0.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025_10_29,IS,8,16,0.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_10_30,IS,11,19,0.0,7.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
2025_10_31,IS,15,22,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2025_11_02,IS,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_11_03,IS,7,15,0.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
2025_11_04,IS,10,20,0.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2025_11_05,IS,6,13,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_11_06,IS,8,15,0.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2025_11_07,IS,5,18,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2025_11_09,IS,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_11_10,IS,6,19,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_11_11,IS,6,19,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2025_11_12,IS,9,20,0.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2025_11_13,IS,8,18,0.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2025_11_14,IS,6,18,0.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2025_11_16,IS,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_11_17,IS,7,13,1.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
2025_11_18,IS,8,23,0.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2025_11_19,IS,8,17,0.0,3.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
2025_11_20,IS,9,21,0.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
