**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

day,split,seg_idx,shape,skew,r,mean_sigma,start_ts,end_ts,length_min,parent_phrase_idx,shape_class
2025_01_08,IS,1,GENTLE_CONCAVE_UP,BACK_SKEWED,0.9114042330443312,20.477847074610697,1736343300,1736348400,85.0,7,GENTLE_CONCAVE_UP
2025_01_08,IS,2,NOISE,NONE,0.5170590478852118,25.86310168952036,1736348400,1736349300,15.0,7,NOISE
2025_01_08,IS,3,GENTLE_CONVEX_DOWN,BACK_SKEWED,0.929179350378226,40.02923085758804,1736349300,1736352000,45.0,7,GENTLE_CONVEX_DOWN
2025_01_08,IS,0,NOISE,NONE,0.7119546956290467,27.429012402001224,1736352000,1736357400,90.0,8,NOISE
2025_01_08,IS,0,NOISE,NONE,0.7802501334333327,40.74398785424076,1736357400,1736367000,160.0,9,NOISE
2025_01_08,IS,1,FLATLINE,NONE,0.0,16.573245152018217,1736367000,1736370900,65.0,9,FLATLINE
2025_01_08,IS,2,NOISE,NONE,0.768086270814755,13.470052224377524,1736370900,1736377365,107.8,9,NOISE
2025_01_08,IS,0,NOISE,NONE,0.4261017523340781,8.192394400555235,1736377365,1736380790,57.1,10,NOISE
2025_01_09,IS,0,NOISE,NONE,-2.0,9.31385170756204,1736380800,1736384940,69.0,0,NOISE
2025_01_09,IS,0,NOISE,NONE,0.8287092084783579,5.742139784017932,1736386985,1736395500,141.9,1,NOISE
2025_01_09,IS,1,STEEP_LINEAR_DOWN,NONE,0.979978194418926,9.770666346979016,1736395500,1736398250,45.8,1,STEEP_LINEAR_DOWN
2025_01_09,IS,0,GENTLE_CONCAVE_UP,BACK_SKEWED,0.9111595470838116,5.056160621164947,1736398250,1736406515,137.8,2,GENTLE_CONCAVE_UP
2025_01_09,IS,1,GENTLE_CONVEX_DOWN,BACK_SKEWED,0.8707510561968869,15.551779977432634,1736406515,1736413075,109.3,2,GENTLE_CONVEX_DOWN
2025_01_09,IS,2,GENTLE_CONVEX_UP,BACK_SKEWED,0.9589910253419202,9.338568568413232,1736413075,1736418600,92.1,2,GENTLE_CONVEX_UP
2025_01_09,IS,0,GENTLE_LINEAR_DOWN,NONE,0.8651793125072177,8.711799793064976,1736418600,1736427300,145.0,3,GENTLE_LINEAR_DOWN
2025_01_09,IS,1,GENTLE_LINEAR_UP,NONE,0.9330443489901606,9.641151874473724,1736427300,1736428990,28.2,3,GENTLE_LINEAR_UP
2025_01_09,IS,0,GENTLE_CONCAVE_UP,FRONT_SKEWED,0.9419334771908572,7.850587475276009,1736428990,1736431200,36.8,4,GENTLE_CONCAVE_UP
2025_01_09,IS,0,STEEP_LINEAR_DOWN,NONE,0.986815240536656,16.441099494902605,1736431200,1736467195,599.9,5,STEEP_LINEAR_DOWN
