r,S,A_min,dir_recall_2m,recall_2m,precision_2m,lead_median,fires_per_day,n_fires,feasible
0.08,2,10.0,0.23880467734950195,0.2754439151147683,0.17666119415881792,0.5833333333333334,89.71317829457364,23146,False
0.08,2,15.0,0.22148116067561716,0.2513642269380684,0.19255722219338767,0.525,74.67829457364341,19267,False
0.08,3,5.0,0.04053702901689043,0.13269813772195757,0.09505087881591119,-0.4,67.03875968992249,17296,False
0.08,3,10.0,0.03906453009961022,0.1267215244694673,0.09401552662143163,-0.48333333333333334,63.406976744186046,16359,False
0.08,3,15.0,0.03603291468168038,0.116240796881767,0.09539858312126005,-0.5333333333333333,56.35271317829457,14539,True
0.08,5,5.0,0.019229103508012126,0.09181463837158943,0.10059960026648901,-0.48333333333333334,40.724806201550386,10507,True
0.08,5,10.0,0.01931572109138155,0.0899090515374621,0.10066134993191986,-0.5333333333333333,39.85271317829457,10282,True
0.08,5,15.0,0.018362927674317887,0.08471199653529667,0.10134081696289367,-0.5333333333333333,37.2906976744186,9621,True
0.1,0,5.0,0.3231702035513209,0.3241229969683846,0.15944163574835896,0.0,760.5271317829457,196216,False
0.1,0,10.0,0.2915547856214812,0.29770463404071024,0.16907109128134726,-0.016666666666666666,327.5077519379845,84497,False
0.1,0,15.0,0.24885231702035512,0.2537895192724123,0.1768961593782873,-0.03333333333333333,180.54651162790697,46581,False
0.1,1,5.0,0.3198787353832828,0.3229969683845821,0.15112480739599385,0.7166666666666667,188.6627906976744,48675,False
0.1,1,10.0,0.3009961022087484,0.30524036379385017,0.16364205256570713,0.45,148.65116279069767,38352,False
0.1,1,15.0,0.26660892161108707,0.2693806842789086,0.1805422307500977,0.2,109.0813953488372,28143,False
0.1,2,5.0,0.24062364660025987,0.2822867042009528,0.16881382560879812,0.7166666666666667,98.68217054263566,25460,False
0.1,2,10.0,0.23533997401472498,0.2715461238631442,0.17561911405650507,0.6666666666666666,88.89922480620154,22936,False
0.1,2,15.0,0.21792983975747077,0.24789952360329146,0.1912479740680713,0.5916666666666667,74.13565891472868,19127,False
0.1,3,5.0,0.0386314421827631,0.12966652230402773,0.09360757274745822,-0.38333333333333336,66.33333333333333,17114,False
0.1,3,10.0,0.03724556084885232,0.12386314421827631,0.09281788427098128,-0.4666666666666667,62.763565891472865,16193,False
0.1,3,15.0,0.0346470333477696,0.1140753572975314,0.09444174588855735,-0.5333333333333333,55.85658914728682,14411,True
0.1,5,5.0,0.017669987007362494,0.08912949328713729,0.09874050572060379,-0.5166666666666667,40.31395348837209,10401,True
0.1,5,10.0,0.017756604590731917,0.08757037678648766,0.09901864573110893,-0.5333333333333333,39.49612403100775,10190,True
0.1,5,15.0,0.016890428757037678,0.08263317453443049,0.0997485331098072,-0.55,36.992248062015506,9544,True
0.15,0,5.0,0.32221741013425725,0.32325682113469034,0.15776777011168774,0.016666666666666666,711.7713178294574,183637,False
0.15,0,10.0,0.29441316587267213,0.3000433087916847,0.16847217033993275,0.0,311.27906976744185,80310,False
0.15,0,15.0,0.25500216543958426,0.2591598094413166,0.17817431850789095,0.0,172.89922480620154,44608,False
0.15,1,5.0,0.31433521004763965,0.3179731485491555,0.1497543259987182,0.8666666666666667,181.43410852713177,46810,False
0.15,1,10.0,0.29683845820701604,0.3015158077089649,0.1632245888379617,0.8,143.75968992248062,37090,False
0.15,1,15.0,0.26478995236032915,0.2683412732784755,0.18085651537335284,0.7166666666666667,105.89147286821705,27320,False
0.15,2,5.0,0.22650498051104373,0.2667821567778259,0.1642909505579539,0.8333333333333334,95.17054263565892,24554,False
0.15,2,10.0,0.22122130792550887,0.2573408401905587,0.17058029689608636,0.8666666666666667,86.16279069767442,22230,False
0.15,2,15.0,0.2054569077522737,0.23663923776526635,0.18641152440335412,0.8,72.10852713178295,18604,False
0.15,3,5.0,0.03265482893027285,0.11953226504980512,0.09017094017094017,-0.35,63.48837209302326,16380,False
0.15,3,10.0,0.03135556517973149,0.1140753572975314,0.08895034731155133,-0.45,60.263565891472865,15548,False
0.15,3,15.0,0.028670420095279342,0.10446080554352534,0.08983672588649931,-0.5,53.8875968992248,13903,True
0.15,5,5.0,0.015331312256388046,0.0844521437851884,0.09723193764364944,-0.4666666666666667,38.786821705426355,10007,True
0.15,5,10.0,0.01541792983975747,0.08306626245127761,0.0974541751527495,-0.5166666666666667,38.06201550387597,9820,True
0.15,5,15.0,0.014465136422693807,0.07856214811606756,0.09812425458093896,-0.5333333333333333,35.748062015503876,9223,True
0.2,0,5.0,0.32005197055002166,0.32065829363360765,0.15560348463123397,0.05,643.3565891472869,165986,False
0.2,0,10.0,0.29406669553919446,0.2986574274577739,0.16799016827377575,0.05,287.0,74046,False
0.2,0,15.0,0.2576873105240364,0.26141186660892163,0.1797760924521488,0.05,160.98837209302326,41535,False
0.2,1,5.0,0.3014291901255955,0.30567345171069726,0.14889169633628116,0.8833333333333333,168.74031007751938,43535,False
0.2,1,10.0,0.286011260285838,0.29120831528800345,0.16279872314726943,0.8833333333333333,134.77906976744185,34773,False
0.2,1,15.0,0.2574274577739281,0.26193157210913814,0.18149424842170495,0.8833333333333333,100.07364341085271,25819,False
0.2,2,5.0,0.20597661325249025,0.24365526201818968,0.15984286337843737,0.9,88.7984496124031,22910,False
0.2,2,10.0,0.20173235166738848,0.2360329146816804,0.16565531081274787,1.0,81.12015503875969,20929,False
0.2,2,15.0,0.18657427457773929,0.21628410567345172,0.17972926857012855,0.9833333333333333,68.14728682170542,17582,False
0.2,3,5.0,0.02728453876136856,0.10749242096145517,0.08609228362877998,-0.35,59.47286821705426,15344,True
0.2,3,10.0,0.026331745344304894,0.1032481593763534,0.08514702872347683,-0.45,56.810077519379846,14657,True
0.2,3,15.0,0.024252923343438718,0.09579904720658293,0.08681745487777016,-0.5,50.895348837209305,13131,True
0.2,5,5.0,0.01238631442182763,0.07769597228237332,0.09589628201007179,-0.5166666666666667,36.174418604651166,9333,True
0.2,5,10.0,0.012472932005197055,0.07674317886530965,0.09627532128076671,-0.5333333333333333,35.58914728682171,9182,True
0.2,5,15.0,0.01169337375487224,0.0725855348635773,0.0966585732454619,-0.5333333333333333,33.52325581395349,8649,True
0.25,0,5.0,0.3042009527934171,0.3047206582936336,0.1491241822613058,0.11666666666666667,543.8992248062016,140326,False
0.25,0,10.0,0.28081420528367257,0.28462537895192724,0.16251565326283568,0.11666666666666667,250.7093023255814,64683,False
0.25,0,15.0,0.24919878735383283,0.2529233434387181,0.17708924757347175,0.13333333333333333,143.36046511627907,36987,False
0.25,1,5.0,0.2731918579471633,0.27804244261585104,0.1472273351826407,0.9,149.5077519379845,38573,False
0.25,1,10.0,0.2601126028583802,0.2661758336942399,0.16026133743274404,0.9,121.02325581395348,31224,False
0.25,1,15.0,0.23473365093113902,0.2407968817669987,0.17915974971268037,0.9,91.05813953488372,23493,False
0.25,2,5.0,0.1736682546556951,0.20840190558683414,0.152253707238291,1.0083333333333333,79.19767441860465,20433,False
0.25,2,10.0,0.17029016890428758,0.20259852750108273,0.15753643229443676,1.1833333333333333,72.87596899224806,18802,False
0.25,2,15.0,0.1571242962321351,0.18579471632741446,0.1694256333082518,1.1,61.81395348837209,15948,False
0.25,3,5.0,0.02338674750974448,0.0934603724556085,0.08443829229200059,-0.36666666666666664,53.201550387596896,13726,True
0.25,3,10.0,0.022433954092680813,0.09103508012126461,0.08385282043484872,-0.4666666666666667,50.98449612403101,13154,True
0.25,3,15.0,0.020268514508445214,0.08453876136855781,0.08472012102874432,-0.5,46.116279069767444,11898,True
0.25,5,5.0,0.007882200086617584,0.0686011260285838,0.09486687455025186,-0.5166666666666667,32.31782945736434,8338,True
0.25,5,10.0,0.007882200086617584,0.06782156777825898,0.09509911224613887,-0.55,31.872093023255815,8223,True
0.25,5,15.0,0.0073624945864010395,0.06478995236032915,0.09565885516711486,-0.5333333333333333,30.267441860465116,7809,True
