date,n_bigpos,n_bigneg,n_total,regime_2d,tf,actual,pred
2025-01-14,36,48,276,FLAT_CHOPPY,1h,FLAT,DOWN
2025-01-15,24,12,276,UP_SMOOTH,1h,UP,UP
2025-01-16,12,48,276,DOWN_CHOPPY,1h,DOWN,DOWN
2025-01-17,24,12,168,UP_SMOOTH,1h,UP,UP
2025-01-19,0,0,108,FLAT_SMOOTH,1h,FLAT,ABSTAIN
2025-01-20,36,12,228,FLAT_CHOPPY,1h,FLAT,UP
2025-01-21,12,12,276,UP_CHOPPY,1h,UP,ABSTAIN
2025-01-22,12,0,276,FLAT_CHOPPY,1h,FLAT,UP
2025-01-23,0,0,276,FLAT_SMOOTH,1h,FLAT,ABSTAIN
2025-01-24,0,0,168,FLAT_CHOPPY,1h,FLAT,ABSTAIN
2025-01-26,0,24,108,DOWN_SMOOTH,1h,DOWN,DOWN
2025-01-27,48,96,276,FLAT_CHOPPY,1h,FLAT,DOWN
2025-01-28,24,12,276,UP_SMOOTH,1h,UP,UP
2025-01-29,24,36,276,FLAT_CHOPPY,1h,FLAT,DOWN
2025-01-30,24,24,276,FLAT_CHOPPY,1h,FLAT,ABSTAIN
2025-01-31,12,36,168,DOWN_CHOPPY,1h,DOWN,DOWN
2025-02-02,12,12,108,FLAT_SMOOTH,1h,FLAT,ABSTAIN
2025-02-03,72,24,276,UP_CHOPPY,1h,UP,UP
2025-02-04,24,12,276,FLAT_CHOPPY,1h,FLAT,UP
2025-02-05,12,0,276,UP_SMOOTH,1h,UP,UP
2025-02-06,12,24,276,FLAT_SMOOTH,1h,FLAT,DOWN
2025-02-07,12,24,168,DOWN_SMOOTH,1h,DOWN,DOWN
2025-02-09,12,0,108,UP_SMOOTH,1h,UP,UP
2025-02-10,12,0,276,FLAT_SMOOTH,1h,FLAT,UP
2025-02-11,12,0,276,FLAT_SMOOTH,1h,FLAT,UP
2025-02-12,36,12,276,FLAT_CHOPPY,1h,FLAT,UP
2025-02-13,36,0,276,UP_SMOOTH,1h,UP,UP
2025-02-14,0,0,168,FLAT_SMOOTH,1h,FLAT,ABSTAIN
2025-02-16,0,0,108,FLAT_SMOOTH,1h,FLAT,ABSTAIN
2025-02-17,0,0,228,UP_SMOOTH,1h,UP,ABSTAIN
2025-02-18,0,12,276,FLAT_SMOOTH,1h,FLAT,DOWN
2025-02-19,0,0,276,DOWN_SMOOTH,1h,DOWN,ABSTAIN
2025-02-20,0,24,276,FLAT_CHOPPY,1h,FLAT,DOWN
2025-02-21,0,48,168,DOWN_SMOOTH,1h,DOWN,DOWN
2025-02-23,0,0,108,FLAT_SMOOTH,1h,FLAT,ABSTAIN
2025-02-24,12,36,276,DOWN_SMOOTH,1h,DOWN,DOWN
2025-02-25,24,60,276,FLAT_CHOPPY,1h,FLAT,DOWN
2025-02-26,48,24,276,FLAT_CHOPPY,1h,FLAT,UP
2025-02-27,36,48,276,DOWN_SMOOTH,1h,DOWN,DOWN
2025-02-28,48,36,168,UP_CHOPPY,1h,UP,UP
2025-03-02,0,12,108,FLAT_SMOOTH,1h,FLAT,DOWN
2025-03-03,36,60,276,DOWN_SMOOTH,1h,DOWN,DOWN
2025-03-04,60,48,276,FLAT_CHOPPY,1h,FLAT,UP
2025-03-05,60,48,276,FLAT_CHOPPY,1h,FLAT,UP
2025-03-06,36,72,276,DOWN_CHOPPY,1h,DOWN,DOWN
2025-03-07,60,36,168,FLAT_CHOPPY,1h,FLAT,UP
2025-03-09,12,12,108,FLAT_SMOOTH,1h,FLAT,ABSTAIN
2025-03-10,48,96,276,DOWN_SMOOTH,1h,DOWN,DOWN
2025-03-11,48,48,276,FLAT_CHOPPY,1h,FLAT,ABSTAIN
2025-03-12,48,60,276,FLAT_CHOPPY,1h,FLAT,DOWN
2025-03-13,48,60,276,FLAT_CHOPPY,1h,FLAT,DOWN
2025-03-14,36,0,168,UP_SMOOTH,1h,UP,UP
2025-03-16,0,12,108,DOWN_SMOOTH,1h,DOWN,DOWN
2025-03-17,48,24,276,FLAT_CHOPPY,1h,FLAT,UP
