date,pick_time_utc,direction,price,snap,mfe_dollars,mae_dollars,rr,is_winner,z_15s,z_1m,z_15m,z_1h_high,z_1h_low,z_1h_close,slope_15s_3m,slope_15s_10m,slope_1m_10m,slope_15m_5m,slope_15m_15m,slope_15m_decel,curv_15m,band_width,band_rank_60,sigma_15m_rank_60,slope_15s_flipped_dn,slope_15s_flipped_up,v6_fires_short,v6_fires_long,compression_short,compression_long,structural_short,structural_long,any_classification,cluster
2025-01-06,2025-01-07 12:06:00,LONG,21737.25,L,52.5,26.0,2.019230769230769,1,2.238,2.039,-1.045,-0.819,0.99,0.093,-0.363,-0.215,-0.312,0.0,-0.118,0.118,0.0118,44.79,0.883,0.5,0,0,0,0,0,0,0,0,False,1
2025-01-06,2025-01-08 15:02:00,SHORT,21398.0,H,274.5,67.5,4.066666666666666,1,2.758,2.085,1.744,-1.018,0.651,0.092,6.562,-0.65,0.357,-0.333,-0.111,-0.222,-0.0222,69.54,0.95,0.0,0,1,0,0,0,0,0,0,False,0
2025-01-06,2025-01-08 15:03:00,SHORT,21386.25,L,325.5,16.5,19.727272727272727,1,2.01,1.94,1.887,-0.789,0.736,0.207,8.158,0.314,0.733,-0.333,-0.111,-0.222,-0.0222,69.54,0.933,0.0,0,0,0,0,0,0,0,0,False,0
2025-01-06,2025-01-08 16:45:00,SHORT,21411.0,H,486.5,6.5,74.84615384615384,1,0.19,1.022,1.54,-0.505,0.925,0.396,2.812,4.376,2.852,1.396,0.465,0.931,0.0931,81.08,0.233,0.983,0,0,0,0,0,0,0,0,False,3
2025-01-06,2025-01-08 16:51:00,SHORT,21395.25,H,443.5,11.5,38.56521739130435,1,-1.25,-0.751,1.264,-0.971,0.766,0.161,-1.65,1.128,3.355,0.0,0.465,-0.465,-0.0465,81.08,0.133,0.883,1,0,0,0,0,0,0,0,False,0
2025-01-06,2025-01-08 18:37:00,SHORT,21380.5,H,189.5,21.5,8.813953488372093,1,0.208,-0.224,0.758,-1.67,0.736,-0.005,-1.704,0.465,1.905,0.0,0.531,-0.531,-0.0531,104.56,0.367,0.867,1,0,0,0,0,0,0,0,False,0
2025-01-06,2025-01-08 18:43:00,SHORT,21366.75,H,151.5,38.5,3.935064935064935,1,-1.631,-1.159,0.644,-1.95,0.649,-0.131,0.088,-0.429,0.515,0.0,0.531,-0.531,-0.0531,104.56,0.267,0.767,0,1,0,0,0,0,0,0,False,0
2025-01-06,2025-01-08 19:04:00,LONG,21302.75,L,247.5,8.5,29.11764705882353,1,0.374,-0.001,-0.152,-3.858,0.215,-0.851,-0.987,-2.019,-3.852,-0.554,-0.185,-0.369,-0.0369,113.17,0.917,0.667,0,0,0,0,0,0,0,0,False,2
2025-01-06,2025-01-08 19:03:00,LONG,21311.75,H,265.0,12.5,21.2,1,-0.572,-0.533,-0.256,-4.129,0.13,-0.968,0.925,-2.8,-4.13,-0.554,-0.185,-0.369,-0.0369,113.17,0.933,0.683,0,1,0,0,0,0,0,0,False,2
2025-01-06,2025-01-08 19:30:00,SHORT,21418.25,H,214.0,2.5,85.6,1,-1.016,0.127,0.808,-0.928,1.137,0.409,6.208,4.292,2.48,1.367,0.456,0.911,0.0911,113.17,0.483,0.983,0,0,0,0,0,0,0,0,False,3
2025-01-06,2025-01-08 21:38:00,LONG,21333.0,H,4.0,53.0,0.0754716981132075,0,-1.411,-2.679,-1.205,-3.472,0.421,-0.725,-7.346,-1.442,-0.21,0.0,-0.11,0.11,0.011,124.73,0.35,0.0,0,0,0,0,0,0,0,0,False,2
2025-01-06,2025-01-08 23:33:00,SHORT,21338.0,H,105.5,14.5,7.275862068965517,1,-0.952,-0.961,-0.125,-2.546,1.008,-0.162,-1.238,0.099,0.423,-1.283,-0.428,-0.856,-0.0856,129.38,0.433,0.0,0,0,0,0,0,0,0,0,False,0
2025-01-06,2025-01-09 00:36:00,LONG,21285.25,L,78.0,29.0,2.689655172413793,1,-0.439,-1.133,-2.094,-4.009,0.483,-1.203,-1.796,-2.435,-0.698,0.0,-0.312,0.312,0.0312,130.33,0.383,0.883,0,0,0,0,0,0,0,0,False,2
2025-01-06,2025-01-09 00:43:00,LONG,21279.0,L,92.0,5.5,16.727272727272727,1,1.266,-0.366,-2.276,-4.155,0.389,-1.303,-1.508,-1.61,-1.94,0.0,-0.312,0.312,0.0312,130.33,0.267,0.767,0,0,0,0,0,0,0,0,False,2
2025-01-06,2025-01-09 02:56:00,SHORT,21345.75,H,59.0,9.0,6.555555555555555,1,2.872,1.001,1.702,-1.164,1.768,0.28,0.042,-0.052,0.31,0.0,0.042,-0.042,-0.0042,111.31,0.0,0.5,0,0,0,0,0,0,0,0,False,0
2025-06-06,2025-06-06 17:07:00,LONG,21736.5,L,211.0,17.5,12.057142857142855,1,-3.782,-1.244,-2.206,-0.094,1.291,0.288,-0.433,1.058,-0.63,0.0,-0.472,0.472,0.0472,70.69,0.867,0.867,1,0,0,0,0,0,0,0,False,1
2025-09-08,2025-09-08 03:33:00,SHORT,23758.75,H,46.0,7.5,6.133333333333334,1,0.381,-0.198,0.002,-1.03,0.63,-0.003,-0.575,-0.045,0.037,-0.446,-0.149,-0.297,-0.0297,45.75,0.0,0.0,0,0,0,0,0,0,0,0,False,0
2025-09-08,2025-09-08 04:58:00,LONG,23733.25,L,30.5,9.5,3.210526315789474,1,0.719,-0.473,-1.622,-2.532,0.058,-1.587,-0.846,-0.439,-0.392,0.0,-0.218,0.218,0.0218,41.83,0.0,0.0,0,0,0,0,0,0,0,0,False,2
