**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

date,pick_time_utc,direction,price,snap,mfe_dollars,mae_dollars,rr,is_winner,z_15s,z_1m,z_15m,z_1h_high,z_1h_low,z_1h_close,slope_15s_3m,slope_15s_10m,slope_1m_10m,slope_15m_5m,slope_15m_15m,slope_15m_decel,curv_15m,band_width,band_rank_60,sigma_15m_rank_60,slope_15s_flipped_dn,slope_15s_flipped_up,align_up_count,align_down_count,align_state,crm_stack,dist_15s_1m,dist_1m_15m,dist_15s_15m,fan_width,fan_change_10m,bars_since_15s_x_1m_up,bars_since_15s_x_1m_dn,bars_since_1m_x_15m_up,bars_since_1m_x_15m_dn,bars_since_px_x_15m_up,bars_since_px_x_15m_dn,dist_15s_to_Mh_sigma,near_1h_Mh,above_1h_Mh,dist_15s_to_Ml_sigma,near_1h_Ml,below_1h_Ml,bars_since_15s_x_Mh_up,bars_since_15s_x_Mh_dn,bars_since_15s_x_Ml_up,bars_since_15s_x_Ml_dn,dist_15m_to_Mh_sigma,15m_near_1h_Mh,15m_above_1h_Mh,dist_15m_to_Ml_sigma,15m_near_1h_Ml,15m_below_1h_Ml,bars_since_15m_x_Mh_up,bars_since_15m_x_Mh_dn,bars_since_15m_x_Ml_up,bars_since_15m_x_Ml_dn,bars_since_any_cross_up,bars_since_any_cross_dn,align_matches_dir,align_against_dir,v6_fires_short,v6_fires_long,compression_short,compression_long,structural_short,structural_long
2025-01-06,2025-01-06 17:26:00,SHORT,21833.25,H,174.5,13.5,12.925925925925926,1,0.568,-0.666,-0.31,0.949,1.827,1.155,-0.663,-1.721,-1.47,0.0,0.557,-0.557,-0.0557,68.21,0.55,0.0,0,0,1,2,DIVERGENT,15m>1m>15s,-0.869,-0.171,-0.352,1.392,-0.091,17,11,168,3,177,11,0.934,0,1,1.808,0,0,735,,930,934,1.062,0,1,1.963,0,0,641,,,,17,3,0,0,0,0,0,0,1,0
2025-01-06,2025-01-06 20:13:00,LONG,21689.75,L,179.5,24.5,7.326530612244898,1,2.681,1.532,-1.005,-0.835,0.1,-0.515,-0.25,2.545,-0.73,0.0,-1.097,1.097,0.1097,82.1,0.767,0.267,1,0,1,2,DIVERGENT,15m>15s>1m,0.663,-1.354,-1.203,3.22,0.219,5,18,335,170,344,178,-0.959,0,0,-0.042,1,1,902,84,1097,13,-0.201,1,0,0.82,0,0,808,13,,,5,18,0,1,0,0,0,0,0,0
2025-01-06,2025-01-07 00:24:00,SHORT,21770.75,H,45.5,22.5,2.022222222222222,1,2.473,1.461,0.188,-0.53,0.796,0.021,-0.008,-0.009,-0.022,0.0,0.424,-0.424,-0.0424,83.81,0.0,0.0,0,0,1,0,FLAT,1m>15s>15m,-0.279,0.072,0.049,0.4,-0.047,9,2,143,158,5,7,-0.58,0,0,0.749,0,0,1093,275,188,204,-0.598,0,0,0.732,0,0,999,204,,,5,2,0,0,0,0,0,0,0,0
2025-01-06,2025-01-07 05:35:00,LONG,21694.5,L,39.5,24.0,1.6458333333333333,0,1.117,1.224,-2.028,-1.863,-0.699,-1.188,1.771,0.315,-2.078,0.0,-0.506,0.506,0.0506,55.42,0.0,0.9,0,0,1,2,DIVERGENT,15m>15s>1m,0.54,-2.55,-2.32,5.41,0.197,1,14,209,168,215,177,-1.967,0,0,-0.797,0,1,1404,586,65,59,-1.143,0,0,-0.02,1,1,1310,515,,5,1,14,0,1,0,0,0,1,0,1
2025-01-06,2025-01-07 07:09:00,LONG,21715.25,L,38.0,28.5,1.3333333333333333,0,1.969,1.596,0.391,-1.512,0.183,-0.4,2.996,2.124,0.545,0.0,-0.318,0.318,0.0318,51.04,0.0,0.0,0,0,2,1,DIVERGENT,15s>15m>1m,1.101,-0.585,0.088,1.774,0.354,5,18,303,262,4,271,-1.706,0,0,0.049,1,0,1498,680,1,153,-1.762,0,0,0.01,1,0,1404,609,9,24,4,18,0,0,0,0,0,0,0,0
2025-01-06,2025-01-07 09:15:00,SHORT,21764.5,H,90.0,11.5,7.826086956521739,1,-2.892,-1.893,1.409,-0.135,1.119,0.484,0.325,0.551,1.013,0.962,0.321,0.642,0.0642,46.42,0.0,0.983,0,0,3,0,FULL_UP,15s>1m>15m,0.594,1.778,1.894,4.266,-0.055,13,20,120,388,92,95,0.306,1,1,1.416,0,0,11,21,88,93,-1.416,0,0,0.257,1,0,1530,735,30,120,13,20,0,1,0,0,0,0,0,0
2025-01-06,2025-01-07 09:59:00,LONG,21735.0,H,72.0,34.5,2.0869565217391304,1,-2.559,-1.337,-0.162,-1.248,0.37,-0.554,0.4,-0.733,-1.84,0.0,0.271,-0.271,-0.0271,46.42,0.0,0.5,0,1,1,2,DIVERGENT,1m>15s>15m,-0.309,0.163,0.088,0.559,-0.021,21,14,164,432,7,0,-1.012,0,0,0.529,0,0,20,14,132,137,-1.095,0,0,0.473,1,0,1574,779,74,164,7,0,0,1,0,0,0,0,0,0
2025-01-06,2025-01-07 10:58:00,SHORT,21768.25,H,94.0,7.5,12.533333333333333,1,0.544,0.945,1.146,0.248,1.498,0.957,0.942,0.486,-0.108,0.0,0.288,-0.288,-0.0288,41.46,0.0,0.0,0,0,2,1,DIVERGENT,15s>1m>15m,0.756,0.926,1.102,2.784,0.187,3,12,42,58,50,59,0.216,1,1,1.472,0,0,4,9,191,196,-0.601,0,0,0.805,0,0,1633,838,133,223,3,12,0,1,0,0,1,0,0,0
2025-01-06,2025-01-07 12:06:00,LONG,21737.25,L,52.5,26.0,2.019230769230769,1,2.238,2.039,-1.045,-0.819,0.99,0.093,-0.363,-0.215,-0.312,0.0,-0.118,0.118,0.0118,44.79,0.883,0.5,0,0,0,3,FULL_DOWN,15m>1m>15s,-0.28,-1.844,-1.954,4.077,0.049,4,3,35,33,44,36,-1.333,0,0,0.546,0,0,39,34,259,264,-0.228,1,0,1.501,0,0,1701,906,201,291,4,3,0,1,0,0,0,0,0,0
2025-01-06,2025-01-07 14:17:00,SHORT,21795.5,H,474.0,31.0,15.290322580645162,1,1.007,1.218,2.362,1.653,3.83,2.279,-0.129,0.095,1.255,0.662,0.221,0.442,0.0442,47.75,0.7,0.95,0,0,3,0,FULL_UP,15s>1m>15m,0.151,2.17,2.193,4.514,-0.187,29,31,32,72,33,35,1.515,0,1,3.692,0,0,26,80,390,395,-0.271,1,0,1.896,0,0,1832,1037,332,422,29,31,0,1,0,0,0,0,1,0
