,price_velocity_1b,price_accel_1b,vol_velocity_1b,vol_accel_1b,bar_range,body,price_velocity_w,price_accel_w,vol_velocity_w,vol_accel_w,price_mean_w,price_sigma_w,vol_mean_w,vol_sigma_w,vwap_w,z_se_w,z_high_w,z_low_w,SE_high_w,SE_low_w,hurst_w,reversion_prob_w,swing_noise_w
price_mean_w,-0.0025725822692410005,-0.0010751463050033495,-8.194507363486198e-05,-0.00045644324813568746,-0.39769959337616373,-0.003494211747458202,0.009179922386331398,-0.008407997447585793,0.0008483473849852624,-0.0001380127763789233,1.0,-0.3573892038724948,-0.19474658458398691,-0.08975544864689128,0.9999827794136689,-0.005814008891498377,-0.003218995488478687,-0.008782203575104055,-0.360955728494889,-0.3480182206474011,-0.02245199240393245,0.0014018850870395273,-0.4432365179959903
price_sigma_w,0.012565430527102543,-0.007435898778976965,-0.04568004638563579,-0.020261101754533693,0.6766084136117639,0.00010885375446441555,0.048827458804317936,0.017547147476053272,0.14881671540996086,-0.0556162451137846,-0.3573892038724948,1.0,0.5808597209438371,0.5064966934626398,-0.3569985585200427,0.002014175317838543,-0.02134980850029901,0.0249701547463422,0.8719543081130879,0.8774870830954774,0.019534653103932403,-0.018723274469538694,0.7252782731330365
vol_mean_w,0.0003684778705284941,0.002887329682199198,-0.06365696421951264,-0.015172891868188145,0.6065732797238381,0.0019655664434903267,-0.03861863987296176,0.01656529376184385,0.05222197638293128,-0.09550401513977712,-0.19474658458398691,0.5808597209438371,1.0,0.7614255390712141,-0.195038428131479,0.008957776424982708,-0.005904306908877905,0.022444334302268203,0.5513107569541548,0.5610631031655811,0.05538815578712023,0.012477361552182736,0.5769107348317576
vol_sigma_w,-0.010492338654454427,0.0024538179738274536,0.013520035278821507,-0.029473397588342158,0.5314652409803817,-0.00947495842436679,-0.041402210352545925,0.004047614637167915,0.36498731606259255,-0.032962089108931864,-0.08975544864689128,0.5064966934626398,0.7614255390712141,1.0,-0.09018567300078478,0.0014849693652798086,-0.008586557438985985,0.007834559563811459,0.4838937821491145,0.5023692905215508,0.0100641386277642,-0.030756555315556062,0.39893006917951646
vwap_w,-0.0011264967451325373,-0.0012673205895904864,-0.00011060535999496266,-0.00044511545146933923,-0.3979046316104256,-0.0025322109918587492,0.012328732220851919,-0.0074632522422237325,0.0006694341842312225,-0.00015283249324770184,0.9999827794136689,-0.3569985585200427,-0.195038428131479,-0.09018567300078478,1.0,-0.005444369483881866,-0.002718918609483892,-0.00830769946553622,-0.3599175675759025,-0.3481023716773754,-0.02241623373389757,0.0014405832471141718,-0.4431501898151905
z_se_w,0.5143176653256774,0.2145828002319231,-0.0450208656862048,-0.016695191487207488,-0.006472227494831225,0.5370143891084999,0.0072524155792398105,0.3640241237492221,-0.0008964562310016055,-0.02759464084676215,-0.005814008891498377,0.002014175317838543,0.008957776424982708,0.0014849693652798086,-0.005444369483881866,1.0,0.773666061823732,0.7794786541255956,0.025023788371722967,0.002612019276979692,0.005485010541847829,0.032765963811250964,0.0029905307877270285
z_high_w,0.28138494698937744,-0.06560983304082087,0.10450343767202518,0.09093036168393388,0.05543165082495744,0.2887379513507078,0.005733915352459506,0.19662844547123703,0.021784611274909278,0.0742711207386488,-0.003218995488478687,-0.02134980850029901,-0.005904306908877905,-0.008586557438985985,-0.002718918609483892,0.773666061823732,1.0,0.7684127729455699,0.0032746615061452263,-0.01267898588456089,0.004817834318102359,-0.09009665875847771,-0.003583639925762695
z_low_w,0.2898258140726297,-0.0559525613100159,-0.18630764627248694,-0.10078949886792808,-0.08550550982316675,0.2975852200188444,0.004299780210953427,0.20320057290110005,-0.04014122436172625,-0.13108133517347506,-0.008782203575104055,0.0249701547463422,0.022444334302268203,0.007834559563811459,-0.00830769946553622,0.7794786541255956,0.7684127729455699,1.0,0.03961411130984109,0.025351251828877316,0.0017440125381680276,0.13547675363766568,0.0033607039053549495
SE_high_w,0.07724551994531827,0.021099732012299435,-0.05044537164072978,-0.02746917673716092,0.6610380474940644,0.05390911335343844,0.11290538477888898,0.05456600464672861,0.09338580083568193,-0.05464498031250924,-0.360955728494889,0.8719543081130879,0.5513107569541548,0.4838937821491145,-0.3599175675759025,0.025023788371722967,0.0032746615061452263,0.03961411130984109,1.0,0.9097349442831311,-0.04641987008497629,0.007751506853251244,0.7167543327641411
SE_low_w,-0.022090741238758812,-0.024692251286315005,-0.044217869052276856,-0.023848975496160357,0.6480556403186177,-0.03749004943482628,0.006520457130453262,-0.006870947702583642,0.10153957129834698,-0.051743161592350526,-0.3480182206474011,0.8774870830954774,0.5610631031655811,0.5023692905215508,-0.3481023716773754,0.002612019276979692,-0.01267898588456089,0.025351251828877316,0.9097349442831311,1.0,-0.054473898471091096,0.006171248363375977,0.712323726905734
