,price_velocity_1b,price_accel_1b,vol_velocity_1b,vol_accel_1b,bar_range,body,price_velocity_w,price_accel_w,vol_velocity_w,vol_accel_w,price_mean_w,price_sigma_w,vol_mean_w,vol_sigma_w,vwap_w,z_se_w,z_high_w,z_low_w,SE_high_w,SE_low_w,hurst_w,reversion_prob_w,swing_noise_w
price_mean_w,-0.006893835661503261,0.01653087485800725,0.005431033332679437,0.005161870469318055,-0.5757970968606126,-0.01984792510146049,0.14738840615686186,-0.06852388389470213,0.03272708125521661,0.03319830245183172,1.0,-0.5674996328063796,-0.6676561688297636,-0.6997493263634138,0.9987066942373385,-0.01858074730118642,-0.038437974971074776,-0.08103103650123872,-0.49403414677817475,-0.6434066680555093,-0.11042825214146076,0.02181890875320554,-0.8414355539211332
price_sigma_w,0.07996575726131426,0.010244258450886801,-0.06490896753353337,-0.035872495179767136,0.6622843866372925,0.06729118539011439,-0.16186343749104204,0.2011118730681011,0.1594525456189791,-0.12079702157658961,-0.5674996328063796,1.0,0.6377019139423572,0.6257290135624523,-0.5500345710904546,0.008996839880985283,-0.019812747960929022,0.14892772605697085,0.806556838941756,0.6326238304894988,0.1377478031210307,-0.026509776123319527,0.566462678208071
vol_mean_w,-0.03825340200176768,-0.02686545392211152,-0.08234200126843708,-0.03810279868925852,0.5815550506525711,-0.0016624619962559912,-0.3058918888195659,0.11562903141354113,-0.0038443035817066645,-0.18077838677219957,-0.6676561688297636,0.6377019139423572,1.0,0.8485032609680434,-0.6739567892580243,0.027201576140769793,0.02642086548391452,0.1473267441994716,0.5394924019618227,0.6591843361949928,-0.024999911954071613,0.08267741012343913,0.5546010275158767
vol_sigma_w,-0.07874057563493676,-0.04932126477774976,-0.009134996607932397,-0.013359254984132688,0.6026928197103886,-0.06535962607071864,-0.3456717108753558,0.07422392269286071,-0.016537308595082855,-0.15083184750163678,-0.6997493263634138,0.6257290135624523,0.8485032609680434,1.0,-0.7064431619264905,0.0065716130074183225,0.07745680219893145,0.08037191557246032,0.5510186675268199,0.6572969589810072,0.09427873848860002,0.069962874369737,0.5330737404707455
vwap_w,0.007209074393659553,0.01897188131200489,0.005631086181017596,0.00470091228774481,-0.5669148167079132,-0.009049391505831571,0.15682351285128937,-0.05252551868615937,0.038670053348164826,0.035306042027534214,0.9987066942373385,-0.5500345710904546,-0.6739567892580243,-0.7064431619264905,1.0,-0.010305705989710888,-0.036043527154795925,-0.07067299690593898,-0.4733939841169753,-0.62976018202939,-0.10618032745284169,0.018194335737890584,-0.837313621268307
z_se_w,0.583893123197323,0.43068247908864493,0.006116225867451034,0.017497570793566484,0.10376371158965418,0.5589584717495364,0.00985564565070789,0.45871868108371006,0.0454258626207443,0.033638824942293824,-0.01858074730118642,0.008996839880985283,0.027201576140769793,0.0065716130074183225,-0.010305705989710888,1.0,0.527525407458792,0.46223448557343755,0.17752196539504897,0.059111509419807605,0.03600739230670223,-0.08076435208209087,-0.003315660884509859
z_high_w,0.24635097747968956,0.0738681918589908,0.39861899151843366,0.3078258610938229,0.28160668941333844,0.19198293059614369,-0.0510698045436413,0.1843039484681762,0.19799340293016618,0.3490276870663109,-0.038437974971074776,-0.019812747960929022,0.02642086548391452,0.07745680219893145,-0.036043527154795925,0.527525407458792,1.0,0.2782454393435798,0.09201732476351494,0.11041595999525125,0.016036893429394378,-0.20311180546504556,0.040719141424705986
z_low_w,0.22134761338230366,-0.048687325391270915,-0.3211567919433179,-0.21106047825997612,-0.026090599379125154,0.16680258340364826,-0.015779286563273157,0.2706422964099826,-0.1383053670327457,-0.3012631585809903,-0.08103103650123872,0.14892772605697085,0.1473267441994716,0.08037191557246032,-0.07067299690593898,0.46223448557343755,0.2782454393435798,1.0,0.234570191627745,0.200197580788218,0.04785655026612888,0.030928930563423385,0.032015133119191366
SE_high_w,0.2551462398730741,0.16665866753255687,-0.014208200764480027,-0.03418353355947367,0.6964439591369682,0.2280952867232488,-0.25498178053213133,0.2916435162080321,0.1638245434014998,-0.08380260634212697,-0.49403414677817475,0.806556838941756,0.5394924019618227,0.5510186675268199,-0.4733939841169753,0.17752196539504897,0.09201732476351494,0.234570191627745,1.0,0.7091522180077436,0.03945715025412257,0.02357053335401831,0.4537418083079284
SE_low_w,0.01132508061569905,-0.09963000808013087,0.011477187017539378,-0.03967447949361247,0.5644669472301331,-0.040413424347545725,-0.16799577380602332,0.14813933050293376,0.0577605470005379,-0.04325517570399339,-0.6434066680555093,0.6326238304894988,0.6591843361949928,0.6572969589810072,-0.62976018202939,0.059111509419807605,0.11041595999525125,0.200197580788218,0.7091522180077436,1.0,0.003343221528322407,0.07131818149871556,0.516804014850003
hurst_w,-0.045146394886408994,-0.013132237953773045,-0.07039168542384212,-0.027301945690036248,0.060409063508391425,-0.06938354423992667,-0.09575435183932876,0.053950514170723426,-0.04203291179521351,-0.05588009496484609,-0.11042825214146076,0.1377478031210307,-0.024999911954071613,0.09427873848860002,-0.10618032745284169,0.03600739230670223,0.016036893429394378,0.04785655026612888,0.03945715025412257,0.003343221528322407,1.0,0.13100908503991254,0.13100000745340631
reversion_prob_w,-0.192409491195588,-0.16419407746999118,-0.15717115398969975,-0.1760604459463698,-0.20149095727065944,-0.15731631315268774,-0.0759164758422686,-0.05388376837652399,-0.0997729216857602,-0.16057479476846745,0.02181890875320554,-0.026509776123319527,0.08267741012343913,0.069962874369737,0.018194335737890584,-0.08076435208209087,-0.20311180546504556,0.030928930563423385,0.02357053335401831,0.07131818149871556,0.13100908503991254,1.0,-0.09866225283010323
swing_noise_w,0.028690634947885655,-0.006175489791736636,-0.007614319025001636,-0.00905999403513504,0.5080407554274677,0.04421596247144876,-0.0376675429678807,0.015873885959839705,0.01024568678800949,-0.02832306120255087,-0.8414355539211332,0.566462678208071,0.5546010275158767,0.5330737404707455,-0.837313621268307,-0.003315660884509859,0.040719141424705986,0.032015133119191366,0.4537418083079284,0.516804014850003,0.13100000745340631,-0.09866225283010323,1.0
