day,idx5s,ts,price,kind,leg_in_pt,leg_out_pt
2025_11_20,11518,1763657775,24595.5,B,132.5,35.75
2025_11_20,13969,1763670030,24293.25,B,36.5,54.75
2025_11_21,5318,1763711450,24121.5,T,41.75,61.25
2025_11_21,9024,1763730065,24225.75,T,37.5,81.25
2025_11_24,6704,1763979260,24387.75,B,54.0,42.5
2025_11_24,9889,1763995520,24663.75,T,54.25,43.25
2025_11_26,11839,1764180575,25281.0,B,88.25,58.5
2025_12_01,10359,1764602340,25374.25,T,37.5,66.0
2025_12_02,9019,1764686955,25566.75,B,33.25,43.0
2025_12_02,9051,1764687115,25609.75,T,43.0,47.75
2025_12_02,10708,1764695400,25514.75,B,39.5,107.5
2025_12_02,11584,1764699780,25586.0,T,46.75,41.5
2025_12_04,1306,1764814830,25619.25,B,43.5,38.25
2025_12_10,11051,1765391430,25595.0,B,87.25,37.25
2025_12_10,11414,1765393245,25725.0,T,57.5,69.0
2025_12_11,4211,1765434580,25470.75,B,52.75,44.0
2025_12_11,4595,1765436785,25475.0,B,39.75,68.0
2025_12_11,14573,1765488535,25825.0,T,35.0,39.0
2025_12_15,7427,1765809010,25367.5,B,42.5,33.75
2025_12_15,9857,1765821170,25084.25,B,103.5,49.75
2025_12_19,410,1766126782,25032.25,B,43.5,101.5
2026_01_08,8963,1767883280,25701.0,T,35.0,74.5
2026_01_12,510,1768178631,25815.75,T,43.25,92.5
2026_01_12,2575,1768189680,25710.25,B,54.0,32.25
2026_01_14,8849,1768402470,25656.25,T,45.25,53.25
2026_01_14,8997,1768403210,25591.5,T,61.0,38.5
2026_01_16,10072,1768581935,25752.75,T,91.75,66.25
2026_01_19,5580,1768814370,25320.75,B,90.0,31.25
2026_01_20,6958,1768905675,25166.25,B,41.25,44.25
2026_01_20,9664,1768919415,25316.5,T,74.5,82.75
2026_01_20,9838,1768920285,25341.25,T,96.5,74.0
2026_01_21,12601,1769021140,25204.0,B,35.5,90.75
2026_01_21,12673,1769021500,25294.75,T,90.75,39.0
2026_01_23,11357,1769191145,25683.0,B,33.0,76.0
2026_01_25,506,1769384595,25492.5,B,52.25,60.0
2026_01_26,9222,1769437800,25760.5,T,102.5,56.25
2026_01_28,12490,1769626645,26180.0,T,58.0,30.0
2026_01_28,13380,1769631095,26212.25,T,58.75,81.0
2026_01_30,8134,1769774590,25905.25,T,117.25,50.75
2026_01_30,11803,1769793085,25724.0,T,38.0,35.75
2026_02_01,306,1769988345,25445.0,T,37.25,71.25
2026_02_02,1832,1769999700,25397.5,B,51.25,48.5
2026_02_02,10196,1770042635,25633.5,T,93.75,48.0
2026_02_03,11418,1770141100,25427.75,T,82.75,53.25
2026_02_04,13861,1770238610,24979.0,B,113.75,64.0
2026_02_04,14422,1770241421,25136.0,B,39.25,36.75
2026_02_04,14617,1770246000,25055.0,B,103.25,59.0
2026_02_04,15061,1770248510,25064.5,B,60.5,37.5
2026_02_05,8577,1770295855,24735.5,B,37.5,58.25
2026_02_05,9844,1770302190,24812.75,T,36.75,56.0
2026_02_05,11255,1770309245,24825.0,T,53.75,36.25
2026_02_05,14511,1770325525,24552.5,B,113.75,41.75
2026_02_06,7067,1770373252,24753.0,T,39.25,41.0
2026_02_10,5935,1770711640,25334.0,B,32.75,33.5
2026_02_11,10702,1770821830,25300.0,B,45.25,36.5
2026_02_12,1673,1770862800,25269.0,B,45.75,75.5
2026_02_12,11791,1770913865,24805.5,B,62.25,63.75
2026_02_13,8818,1770984975,24670.75,B,74.75,60.0
2026_02_13,9381,1770987790,24719.5,T,53.0,99.5
2026_02_13,10716,1770994465,24773.5,T,48.0,45.0
2026_02_13,11541,1770998590,24811.25,B,34.25,77.25
2026_02_13,13873,1771010250,24928.5,B,37.25,40.25
2026_02_17,2271,1771297760,24635.5,T,34.5,40.5
2026_02_17,12406,1771348530,24719.75,T,34.25,31.5
2026_02_18,10574,1771426100,24837.0,T,44.5,43.25
2026_02_20,6015,1771576210,24932.0,T,35.75,34.25
2026_02_20,9810,1771595225,24721.75,B,37.0,62.25
2026_02_20,10712,1771599735,25061.5,T,38.5,98.5
2026_02_20,11055,1771601450,24949.0,B,44.0,46.5
2026_02_26,6232,1772095675,25343.0,B,49.25,59.0
2026_02_26,9041,1772109770,25390.75,T,52.75,30.0
2026_02_26,13459,1772131865,24977.0,B,53.75,109.5
2026_02_27,10717,1772204415,24904.5,T,43.5,38.25
2026_03_02,4861,1772433930,24590.0,B,89.0,31.5
2026_03_02,11498,1772467115,24932.75,T,55.5,40.0
2026_03_02,15086,1772485055,25062.75,T,88.5,87.0
2026_03_03,9863,1772545320,24521.25,T,43.75,73.5
2026_03_03,9992,1772545966,24447.75,B,73.5,53.25
2026_03_03,14969,1772570850,24744.5,B,63.5,31.0
2026_03_04,6491,1772614855,24626.25,B,51.75,46.0
2026_03_04,10584,1772635320,24841.5,B,68.5,38.25
2026_03_04,11977,1772642285,25098.0,B,41.75,72.0
2026_03_05,5986,1772698730,25044.5,T,54.5,71.5
2026_03_05,7195,1772704775,25123.75,T,41.75,38.0
2026_03_05,11285,1772725225,25071.75,T,141.25,53.75
2026_03_05,12315,1772730375,25123.0,T,113.5,116.25
2026_03_06,6113,1772785850,25033.0,B,107.25,76.0
2026_03_06,12331,1772816940,24827.75,B,93.25,31.0
2026_03_08,606,1773010235,24284.0,B,36.0,34.5
2026_03_09,849,1773018645,24063.0,B,58.0,39.25
2026_03_09,6942,1773049110,24442.5,B,52.5,41.25
2026_03_09,7349,1773051145,24402.0,T,32.0,33.25
2026_03_09,10047,1773064635,24397.0,T,40.5,46.0
2026_03_10,8478,1773143220,24958.5,B,70.75,33.75
2026_03_10,10048,1773151070,24983.75,T,32.25,64.25
2026_03_10,11743,1773159545,25148.75,T,52.75,42.5
2026_03_11,7894,1773227025,25043.5,T,148.25,115.0
2026_03_11,9649,1773235800,25035.0,B,37.25,56.25
2026_03_11,12001,1773247560,24966.0,B,36.75,69.0
2026_03_13,11480,1773417450,24391.75,B,38.0,56.25
2026_03_16,7594,1773657755,24598.75,T,120.75,42.0
2026_03_16,10533,1773672475,24630.0,B,45.25,31.25
2026_03_17,4535,1773730865,24525.0,B,38.0,79.75
2026_03_17,7485,1773746740,24646.0,T,41.0,48.5
2026_03_17,11499,1773767040,24820.5,T,43.0,34.75
2026_03_19,2848,1773899715,24404.5,T,41.5,30.25
2026_03_19,3035,1773901090,24424.5,T,50.25,66.25
2026_03_19,7592,1773929420,24257.5,B,42.0,75.5
2026_03_19,9317,1773938155,24227.25,B,40.0,62.25
