split,side,anchor,n,P_continue_60m_mean,cilo,cihi,fwd_ret_60m_mean,duration_min_mean,max_abs_z_mean,slope_q,z_close_q,sigma_rank_q
IS,above,low,79,0.0864,0.0359,0.1561,-2.544,19.34,3.54,3,3,4
IS,above,low,30,0.1562,0.0545,0.2983,16.7,22.05,3.04,3,4,0
IS,above,low,45,0.1489,0.0634,0.2626,3.172,19.1,3.04,3,4,1
IS,above,low,45,0.0851,0.0242,0.179,-23.389,13.19,3.02,3,4,2
IS,above,low,66,0.0441,0.0093,0.1037,-0.412,12.85,3.02,3,4,3
IS,above,low,78,0.125,0.0624,0.2053,-8.506,20.03,3.31,3,4,4
IS,above,low,60,0.0645,0.0182,0.1371,-7.787,12.14,3.02,4,2,0
IS,above,low,44,0.087,0.0248,0.1827,14.716,20.29,3.02,4,2,1
IS,above,low,34,0.1667,0.0656,0.3026,38.831,26.45,3.06,4,2,2
IS,above,low,15,0.0588,0.0016,0.2059,44.0,9.57,3.02,4,2,3
IS,above,low,114,0.0603,0.0248,0.1101,7.632,14.81,3.02,4,3,0
IS,above,low,88,0.0667,0.0251,0.1263,13.875,12.2,3.02,4,3,1
IS,above,low,75,0.026,0.0032,0.0711,-2.267,10.56,3.02,4,3,2
IS,above,low,66,0.0588,0.0165,0.1253,-1.973,12.94,3.01,4,3,3
IS,above,low,79,0.0864,0.0359,0.1561,19.56,15.43,3.1,4,3,4
IS,above,low,32,0.1176,0.034,0.2433,24.669,18.13,3.02,4,4,0
IS,above,low,26,0.25,0.1111,0.4226,73.625,30.99,3.04,4,4,1
IS,above,low,27,0.1379,0.0403,0.2823,24.694,21.73,3.04,4,4,2
IS,above,low,31,0.1515,0.0528,0.2899,-12.798,24.25,3.02,4,4,3
IS,above,low,34,0.2222,0.1042,0.3694,66.633,28.43,5.86,4,4,4
IS,below,high,38,0.025,0.0006,0.0903,18.197,9.35,3.62,0,0,0
IS,below,high,19,0.1429,0.0321,0.317,-41.097,20.25,4.19,0,0,1
IS,below,high,27,0.1034,0.0227,0.235,-58.219,11.82,3.53,0,0,2
IS,below,high,27,0.1724,0.0606,0.3267,-59.546,28.29,4.77,0,0,3
IS,below,high,21,0.3478,0.172,0.5487,-56.202,42.4,5.88,0,0,4
IS,below,high,95,0.0619,0.0233,0.1174,-16.228,14.57,3.61,0,1,0
IS,below,high,93,0.0842,0.0375,0.1474,-21.839,15.14,3.64,0,1,1
IS,below,high,88,0.0667,0.0251,0.1263,-12.588,12.98,3.9,0,1,2
IS,below,high,78,0.0375,0.0079,0.0885,9.556,12.3,3.57,0,1,3
IS,below,high,63,0.0462,0.0098,0.1084,31.282,13.79,3.77,0,1,4
IS,below,high,80,0.0854,0.0355,0.1543,-18.947,14.42,4.04,0,2,0
IS,below,high,81,0.0482,0.0134,0.1032,-19.568,13.86,3.99,0,2,1
IS,below,high,34,0.0833,0.018,0.1916,-13.721,16.31,4.45,0,2,2
IS,below,high,27,0.2759,0.1322,0.4487,-28.704,35.03,5.23,1,0,0
IS,below,high,35,0.2432,0.1212,0.3915,-24.25,29.2,5.01,1,0,1
IS,below,high,58,0.1333,0.0604,0.2293,-16.534,20.33,4.37,1,0,2
IS,below,high,63,0.0308,0.0038,0.084,12.456,9.83,3.73,1,0,3
IS,below,high,61,0.1111,0.0466,0.1988,8.129,20.29,5.94,1,0,4
IS,below,high,53,0.0727,0.0206,0.1539,1.213,12.88,4.03,1,1,0
IS,below,high,60,0.0645,0.0182,0.1371,-4.331,12.49,4.18,1,1,1
IS,below,high,57,0.1017,0.0389,0.1898,-5.461,21.14,4.48,1,1,2
IS,below,high,79,0.037,0.0078,0.0874,-4.263,10.5,3.89,1,1,3
IS,below,high,73,0.1333,0.0668,0.2184,10.548,16.55,6.76,1,1,4
IS,below,high,56,0.1207,0.0508,0.2152,-0.821,21.35,4.47,1,2,0
IS,below,high,57,0.1017,0.0389,0.1898,-7.798,13.3,4.21,1,2,1
IS,below,high,37,0.1026,0.0294,0.2138,5.845,19.61,4.7,1,2,2
IS,below,high,15,0.1176,0.0155,0.3023,-25.117,13.76,4.44,1,2,3
IS,below,high,11,0.3077,0.0992,0.5719,-27.625,40.83,5.12,2,0,0
IS,below,high,26,0.2143,0.0862,0.3808,-37.337,24.25,5.03,2,0,1
IS,below,high,43,0.2,0.098,0.3271,-3.453,30.45,5.24,2,0,2
IS,below,high,37,0.1026,0.0294,0.2138,-6.466,15.8,4.33,2,0,3
IS,below,high,34,0.2222,0.1042,0.3694,-6.076,26.98,5.71,2,0,4
IS,below,high,32,0.1765,0.0698,0.319,-6.793,21.91,4.86,2,1,0
IS,below,high,34,0.1667,0.0656,0.3026,7.258,23.42,6.82,2,1,1
IS,below,high,35,0.2162,0.1012,0.3602,-10.0,23.08,8.42,2,1,2
IS,below,high,26,0.1786,0.063,0.3373,-5.558,23.93,5.1,2,1,3
IS,below,high,28,0.1,0.0219,0.2277,-1.148,13.04,5.96,2,1,4
IS,below,high,67,0.1159,0.0522,0.2007,-1.235,15.42,7.27,2,2,0
IS,below,high,36,0.1316,0.0454,0.2542,-3.153,21.26,6.46,2,2,1
IS,below,high,36,0.1842,0.0796,0.3201,-1.09,26.07,5.81,2,2,2
IS,below,high,12,0.0714,0.0019,0.2471,21.792,7.64,4.84,2,2,3
IS,below,high,19,0.2381,0.0866,0.4366,-2.579,30.76,6.86,2,3,1
IS,below,high,19,0.2381,0.0866,0.4366,0.75,41.48,5.42,3,0,0
IS,below,high,34,0.1111,0.032,0.2306,-10.412,19.36,5.42,3,0,1
IS,below,high,12,0.2857,0.0909,0.5381,0.312,26.95,5.69,3,0,2
IS,below,high,10,0.25,0.0602,0.5178,-50.875,27.68,6.4,3,0,4
IS,below,high,28,0.2,0.0799,0.3577,3.759,23.99,5.98,3,1,0
IS,below,high,13,0.4,0.1766,0.6486,-21.519,53.2,6.28,3,1,1
IS,below,high,17,0.1053,0.0138,0.2729,-31.221,13.47,4.73,3,1,2
IS,below,high,30,0.0625,0.0079,0.167,-6.925,8.47,4.19,3,2,0
IS,below,high,20,0.1818,0.0545,0.3634,-3.4,20.72,6.78,3,2,1
IS,below,high,10,0.0833,0.0023,0.2849,16.925,6.47,4.15,3,2,2
IS,below,high,11,0.1538,0.0209,0.3848,14.886,12.48,5.61,3,2,3
IS,below,low,10,0.0833,0.0023,0.2849,54.125,3.01,3.59,0,0,1
IS,below,low,31,0.0303,0.0008,0.1089,-14.516,6.55,3.93,0,0,2
IS,below,low,61,0.0159,0.0004,0.0578,0.139,9.49,3.93,0,0,3
IS,below,low,73,0.0133,0.0003,0.0486,-11.842,10.67,4.18,0,0,4
IS,below,low,23,0.04,0.0011,0.1425,17.5,6.21,3.55,0,1,3
IS,below,low,24,0.0385,0.001,0.1372,2.677,6.84,3.67,0,1,4
IS,below,low,15,0.1176,0.0155,0.3023,-13.55,11.14,4.76,1,0,1
IS,below,low,26,0.0357,0.0009,0.1277,-13.221,9.55,6.9,1,0,2
IS,below,low,53,0.0182,0.0005,0.066,-8.868,8.04,4.38,1,0,3
IS,below,low,40,0.0238,0.0006,0.086,-18.669,12.01,5.16,1,0,4
IS,below,low,12,0.0714,0.0019,0.2471,14.521,3.44,5.84,2,0,2
IS,below,low,19,0.0476,0.0013,0.1684,-1.224,7.1,5.02,2,0,3
IS,below,low,17,0.0526,0.0014,0.1853,5.956,7.0,5.95,2,0,4
OOS,above,high,10,0.1667,0.0228,0.4128,-23.725,12.64,3.04,3,4,3
OOS,above,high,10,0.0833,0.0023,0.2849,3.7,5.84,3.01,4,3,4
OOS,above,high,23,0.04,0.0011,0.1425,26.152,6.49,3.02,4,4,3
OOS,above,high,21,0.0435,0.0012,0.1544,12.595,6.89,3.02,4,4,4
OOS,above,low,16,0.0556,0.0015,0.1951,-1.828,9.71,3.09,2,2,0
OOS,above,low,10,0.1667,0.0228,0.4128,7.55,20.09,3.06,2,2,1
OOS,above,low,10,0.1667,0.0228,0.4128,0.725,18.9,3.04,2,3,2
OOS,above,low,10,0.25,0.0602,0.5178,14.7,25.74,3.04,2,3,4
OOS,above,low,14,0.0625,0.0017,0.218,-8.893,7.91,3.17,3,2,0
OOS,above,low,11,0.0769,0.0021,0.2646,12.023,6.89,3.02,3,2,1
OOS,above,low,11,0.0769,0.0021,0.2646,0.091,9.38,3.02,3,3,3
OOS,above,low,17,0.2632,0.0969,0.4764,1.176,26.94,3.85,3,3,4
OOS,above,low,10,0.0833,0.0023,0.2849,19.45,7.35,3.02,3,4,3
OOS,above,low,13,0.3333,0.1276,0.581,-7.846,28.56,3.02,3,4,4
OOS,above,low,11,0.0769,0.0021,0.2646,22.818,10.47,3.03,4,2,1
OOS,above,low,27,0.1034,0.0227,0.235,-5.287,15.7,3.01,4,3,0
OOS,above,low,30,0.0938,0.0204,0.2142,28.758,12.28,3.02,4,3,1
OOS,above,low,22,0.0417,0.0011,0.1482,3.784,10.77,3.01,4,3,2
OOS,above,low,21,0.0435,0.0012,0.1544,22.202,16.49,3.02,4,3,3
OOS,above,low,31,0.0606,0.0077,0.1622,8.75,14.06,3.02,4,3,4
OOS,above,low,14,0.25,0.0779,0.4809,26.429,22.6,3.02,4,4,2
OOS,above,low,16,0.1667,0.038,0.3644,27.078,20.6,3.02,4,4,3
OOS,above,low,16,0.1667,0.038,0.3644,57.703,25.23,3.03,4,4,4
OOS,below,high,11,0.0769,0.0021,0.2646,47.205,2.95,3.29,0,0,0
OOS,below,high,16,0.1111,0.0146,0.2869,-47.188,12.08,3.51,0,0,3
OOS,below,high,12,0.3571,0.1386,0.6143,-46.479,44.79,6.68,0,0,4
OOS,below,high,22,0.1667,0.0495,0.3359,21.511,20.27,4.0,0,1,0
OOS,below,high,14,0.1875,0.0433,0.4046,-27.464,23.09,4.19,0,1,1
OOS,below,high,27,0.1724,0.0606,0.3267,-6.269,28.25,4.26,0,1,2
OOS,below,high,13,0.0667,0.0018,0.2316,19.375,6.37,3.41,0,1,3
OOS,below,high,19,0.1905,0.0573,0.3789,4.882,27.02,6.49,0,1,4
OOS,below,high,17,0.1053,0.0138,0.2729,-11.375,12.6,3.74,0,2,0
OOS,below,high,12,0.0714,0.0019,0.2471,-13.354,12.18,3.58,0,2,1
OOS,below,high,11,0.2308,0.0549,0.4841,-29.455,19.41,4.07,1,0,3
OOS,below,high,18,0.25,0.0915,0.4557,-55.722,31.4,20.59,1,0,4
OOS,below,high,11,0.1538,0.0209,0.3848,5.205,12.56,4.02,1,1,2
OOS,below,high,13,0.2,0.0466,0.4281,-19.712,31.67,4.55,1,1,4
OOS,below,high,10,0.25,0.0602,0.5178,-30.125,34.57,4.24,2,0,2
OOS,below,high,11,0.2308,0.0549,0.4841,-17.341,18.19,4.04,2,1,1
OOS,below,high,11,0.1538,0.0209,0.3848,-39.045,16.66,4.08,2,1,2
OOS,below,high,14,0.125,0.0166,0.3195,-10.018,8.6,4.33,2,2,0
OOS,below,high,11,0.0769,0.0021,0.2646,9.932,11.22,4.77,2,2,1
OOS,below,high,12,0.1429,0.0192,0.3603,8.104,13.41,4.83,2,2,2
OOS,below,low,23,0.04,0.0011,0.1425,-58.174,11.65,4.53,0,0,3
OOS,below,low,31,0.0303,0.0008,0.1089,-18.925,10.28,3.85,0,0,4
OOS,below,low,16,0.0556,0.0015,0.1951,-47.359,5.05,3.98,1,0,3
