split,side,anchor,axis,bin,n,excess_q50,excess_q75,excess_q90,excess_q95,P_excess_ge_1,P_excess_ge_2,mean_max_z,stop_z,target_z_median
OOS,above,low,slope_q,1,41,0.06,0.09,0.19,0.24,0.024,0.024,3.62,3.19,3.06
OOS,above,low,slope_q,2,104,0.03,0.07,0.13,0.2,0.0,0.0,3.06,3.13,3.03
OOS,above,low,slope_q,3,123,0.02,0.03,0.07,0.1,0.016,0.008,3.16,3.07,3.02
OOS,above,low,slope_q,4,210,0.01,0.03,0.05,0.06,0.0,0.0,3.02,3.05,3.01
OOS,below,high,slope_q,0,184,0.41,0.99,2.5,4.35,0.25,0.13,4.29,5.5,3.41
OOS,below,high,slope_q,1,107,0.8,2.67,4.98,8.44,0.393,0.262,7.41,7.98,3.8
OOS,below,high,slope_q,2,107,0.87,1.71,3.76,5.85,0.411,0.206,5.12,6.76,3.87
OOS,below,high,slope_q,3,43,0.9,1.39,4.71,7.56,0.442,0.163,7.36,7.71,3.9
OOS,below,low,slope_q,0,68,0.59,1.26,2.08,3.99,0.309,0.118,4.04,5.08,3.59
OOS,below,low,slope_q,1,26,0.78,1.17,1.68,2.4,0.385,0.077,4.14,4.68,3.78
IS,above,high,curvature_q,0,31,0.02,0.05,0.1,0.25,0.0,0.0,3.07,3.1,3.02
IS,above,high,curvature_q,1,138,0.03,0.07,0.16,0.25,0.007,0.0,3.07,3.16,3.03
IS,above,high,curvature_q,2,245,0.02,0.05,0.1,0.16,0.004,0.004,3.05,3.1,3.02
IS,above,low,curvature_q,0,315,0.02,0.04,0.07,0.11,0.0,0.0,3.03,3.07,3.02
IS,above,low,curvature_q,1,710,0.02,0.05,0.1,0.15,0.0,0.0,3.04,3.1,3.02
IS,above,low,curvature_q,2,806,0.02,0.03,0.06,0.09,0.001,0.0,3.03,3.06,3.02
IS,below,high,curvature_q,0,913,0.55,1.13,2.53,3.94,0.285,0.133,4.1,5.53,3.55
IS,below,high,curvature_q,1,693,0.7,1.67,4.12,6.66,0.369,0.221,4.65,7.12,3.7
IS,below,high,curvature_q,2,458,0.58,1.47,3.21,4.94,0.345,0.179,4.45,6.21,3.58
IS,below,low,curvature_q,0,333,0.66,1.26,2.76,4.34,0.312,0.15,4.18,5.76,3.66
IS,below,low,curvature_q,1,89,1.4,3.46,6.38,8.57,0.607,0.371,5.72,9.38,4.4
IS,below,low,curvature_q,2,33,1.93,2.8,7.81,10.04,0.636,0.485,5.81,10.81,4.93
OOS,above,high,curvature_q,1,31,0.03,0.07,0.11,0.16,0.0,0.0,3.05,3.11,3.03
OOS,above,high,curvature_q,2,73,0.02,0.04,0.1,0.12,0.0,0.0,3.04,3.1,3.02
OOS,above,low,curvature_q,0,61,0.02,0.04,0.09,0.18,0.0,0.0,3.04,3.09,3.02
OOS,above,low,curvature_q,1,138,0.02,0.05,0.08,0.1,0.0,0.0,3.03,3.08,3.02
OOS,above,low,curvature_q,2,224,0.01,0.03,0.05,0.07,0.0,0.0,3.02,3.05,3.01
OOS,below,high,curvature_q,0,205,0.56,1.12,2.82,4.3,0.288,0.137,4.12,5.82,3.56
OOS,below,high,curvature_q,1,108,0.75,1.42,3.3,5.29,0.352,0.167,4.53,6.3,3.75
OOS,below,high,curvature_q,2,89,0.6,1.48,3.44,4.45,0.303,0.169,4.39,6.44,3.6
OOS,below,low,curvature_q,0,73,0.62,1.17,2.04,3.99,0.301,0.11,4.05,5.04,3.62
OOS,below,low,curvature_q,1,27,0.76,1.43,2.53,3.64,0.481,0.148,4.41,5.53,3.76
IS,above,high,z_close_q,3,67,0.02,0.05,0.19,0.25,0.015,0.015,3.11,3.19,3.02
IS,above,high,z_close_q,4,408,0.03,0.06,0.15,0.27,0.007,0.002,3.07,3.15,3.03
IS,above,low,z_close_q,1,51,0.1,0.21,0.33,0.49,0.0,0.0,3.15,3.33,3.1
IS,above,low,z_close_q,2,476,0.03,0.07,0.15,0.23,0.008,0.002,3.08,3.15,3.03
IS,above,low,z_close_q,3,913,0.02,0.04,0.07,0.1,0.012,0.009,3.1,3.07,3.02
IS,above,low,z_close_q,4,646,0.02,0.04,0.09,0.15,0.015,0.015,3.33,3.09,3.02
IS,below,high,z_close_q,0,634,0.68,1.69,4.58,7.73,0.379,0.218,4.89,7.58,3.68
IS,below,high,z_close_q,1,974,0.53,1.18,2.85,5.26,0.293,0.155,4.79,5.85,3.53
IS,below,high,z_close_q,2,619,0.77,1.77,3.79,5.91,0.394,0.223,5.09,6.79,3.77
IS,below,high,z_close_q,3,70,2.22,5.57,15.45,21.4,0.814,0.529,8.33,18.45,5.22
IS,below,low,z_close_q,0,408,0.86,2.1,4.4,7.12,0.441,0.255,4.86,7.4,3.86
IS,below,low,z_close_q,1,69,0.41,0.91,2.72,3.72,0.217,0.13,3.87,5.72,3.41
OOS,above,high,z_close_q,3,22,0.02,0.03,0.06,0.1,0.0,0.0,3.03,3.06,3.02
OOS,above,high,z_close_q,4,94,0.03,0.06,0.11,0.17,0.0,0.0,3.05,3.11,3.03
OOS,above,low,z_close_q,2,101,0.03,0.07,0.14,0.22,0.01,0.0,3.08,3.14,3.03
OOS,above,low,z_close_q,3,224,0.01,0.03,0.06,0.09,0.009,0.009,3.19,3.06,3.01
OOS,above,low,z_close_q,4,149,0.02,0.03,0.08,0.1,0.0,0.0,3.03,3.08,3.02
OOS,below,high,z_close_q,0,147,0.64,1.3,4.06,7.43,0.333,0.17,6.5,7.06,3.64
OOS,below,high,z_close_q,1,192,0.55,1.48,3.13,5.27,0.312,0.193,4.47,6.13,3.55
OOS,below,high,z_close_q,2,103,0.87,1.56,3.94,6.23,0.408,0.184,5.71,6.94,3.87
OOS,below,low,z_close_q,0,107,0.68,1.27,2.27,4.03,0.355,0.121,4.17,5.27,3.68
IS,above,high,sigma_rank_q,0,26,0.04,0.08,0.14,0.24,0.038,0.0,3.12,3.14,3.04
IS,above,high,sigma_rank_q,1,60,0.04,0.08,0.28,0.54,0.017,0.0,3.11,3.28,3.04
IS,above,high,sigma_rank_q,2,78,0.04,0.1,0.22,0.32,0.013,0.013,3.12,3.22,3.04
IS,above,high,sigma_rank_q,3,155,0.03,0.05,0.1,0.23,0.0,0.0,3.05,3.1,3.03
IS,above,high,sigma_rank_q,4,156,0.02,0.05,0.12,0.19,0.006,0.006,3.06,3.12,3.02
IS,above,low,sigma_rank_q,0,482,0.02,0.04,0.1,0.16,0.01,0.002,3.06,3.1,3.02
IS,above,low,sigma_rank_q,1,443,0.02,0.05,0.11,0.21,0.009,0.002,3.07,3.11,3.02
IS,above,low,sigma_rank_q,2,418,0.02,0.05,0.11,0.21,0.005,0.005,3.07,3.11,3.02
IS,above,low,sigma_rank_q,3,350,0.01,0.03,0.06,0.09,0.0,0.0,3.03,3.06,3.01
IS,above,low,sigma_rank_q,4,396,0.02,0.05,0.13,0.43,0.04,0.038,3.65,3.13,3.02
IS,below,high,sigma_rank_q,0,569,0.63,1.38,3.1,4.89,0.32,0.183,4.69,6.1,3.63
IS,below,high,sigma_rank_q,1,556,0.64,1.69,4.3,7.76,0.372,0.214,5.46,7.3,3.64
IS,below,high,sigma_rank_q,2,484,0.73,1.75,4.62,7.26,0.384,0.229,5.03,7.62,3.73
IS,below,high,sigma_rank_q,3,370,0.57,1.3,2.57,3.81,0.314,0.149,4.17,5.57,3.57
IS,below,high,sigma_rank_q,4,320,0.77,1.93,5.58,9.91,0.428,0.241,5.95,8.58,3.77
IS,below,low,sigma_rank_q,0,18,1.07,2.26,3.88,4.8,0.5,0.333,4.76,6.88,4.07
IS,below,low,sigma_rank_q,1,40,0.92,2.37,5.91,7.29,0.475,0.3,5.01,8.91,3.92
IS,below,low,sigma_rank_q,2,84,0.77,2.63,5.96,8.68,0.452,0.274,5.33,8.96,3.77
IS,below,low,sigma_rank_q,3,170,0.7,1.42,3.29,4.43,0.365,0.194,4.31,6.29,3.7
IS,below,low,sigma_rank_q,4,165,0.81,1.93,4.27,7.69,0.406,0.236,4.74,7.27,3.81
OOS,above,high,sigma_rank_q,2,15,0.03,0.09,0.15,0.17,0.0,0.0,3.06,3.15,3.03
OOS,above,high,sigma_rank_q,3,46,0.02,0.03,0.08,0.1,0.0,0.0,3.04,3.08,3.02
OOS,above,high,sigma_rank_q,4,44,0.02,0.06,0.08,0.11,0.0,0.0,3.04,3.08,3.02
OOS,above,low,sigma_rank_q,0,96,0.02,0.05,0.11,0.15,0.01,0.0,3.06,3.11,3.02
OOS,above,low,sigma_rank_q,1,103,0.02,0.04,0.08,0.22,0.0,0.0,3.05,3.08,3.02
OOS,above,low,sigma_rank_q,2,96,0.02,0.04,0.09,0.15,0.01,0.01,3.27,3.09,3.02
OOS,above,low,sigma_rank_q,3,88,0.01,0.04,0.07,0.08,0.0,0.0,3.03,3.07,3.01
OOS,above,low,sigma_rank_q,4,101,0.02,0.03,0.09,0.11,0.01,0.01,3.17,3.09,3.02
OOS,below,high,sigma_rank_q,0,103,0.53,1.32,3.4,5.66,0.32,0.184,5.51,6.4,3.53
OOS,below,high,sigma_rank_q,1,82,0.69,1.46,2.93,4.49,0.329,0.183,4.28,5.93,3.69
OOS,below,high,sigma_rank_q,2,106,0.82,1.54,3.2,4.45,0.34,0.179,4.28,6.2,3.82
OOS,below,high,sigma_rank_q,3,74,0.55,1.15,2.91,3.59,0.284,0.122,4.12,5.91,3.55
OOS,below,high,sigma_rank_q,4,80,0.89,2.36,8.07,22.82,0.45,0.263,9.88,11.07,3.89
OOS,below,low,sigma_rank_q,3,48,0.65,1.67,3.53,4.06,0.417,0.188,4.32,6.53,3.65
OOS,below,low,sigma_rank_q,4,45,0.74,1.26,1.8,3.61,0.311,0.089,4.16,4.8,3.74
IS,above,high,r2adj_5m_q,0,72,0.02,0.06,0.1,0.17,0.014,0.0,3.07,3.1,3.02
IS,above,high,r2adj_5m_q,1,86,0.03,0.06,0.34,0.5,0.012,0.012,3.11,3.34,3.03
IS,above,high,r2adj_5m_q,2,89,0.04,0.08,0.16,0.28,0.011,0.0,3.08,3.16,3.04
IS,above,high,r2adj_5m_q,3,101,0.03,0.05,0.11,0.16,0.0,0.0,3.05,3.11,3.03
IS,above,high,r2adj_5m_q,4,127,0.03,0.06,0.13,0.27,0.008,0.008,3.09,3.13,3.03
IS,above,low,r2adj_5m_q,0,453,0.02,0.04,0.11,0.16,0.009,0.007,3.09,3.11,3.02
IS,above,low,r2adj_5m_q,1,428,0.02,0.05,0.11,0.25,0.012,0.007,3.08,3.11,3.02
IS,above,low,r2adj_5m_q,2,437,0.02,0.05,0.12,0.2,0.009,0.005,3.06,3.12,3.02
IS,above,low,r2adj_5m_q,3,405,0.02,0.04,0.09,0.18,0.022,0.015,3.31,3.09,3.02
IS,above,low,r2adj_5m_q,4,366,0.02,0.04,0.08,0.12,0.014,0.014,3.35,3.08,3.02
IS,below,high,r2adj_5m_q,0,471,0.65,1.43,4.27,7.2,0.359,0.195,4.96,7.27,3.65
IS,below,high,r2adj_5m_q,1,473,0.73,1.95,3.91,7.17,0.389,0.241,5.61,6.91,3.73
IS,below,high,r2adj_5m_q,2,441,0.62,1.31,4.06,6.41,0.317,0.195,4.95,7.06,3.62
IS,below,high,r2adj_5m_q,3,450,0.66,1.58,3.43,7.17,0.367,0.202,4.68,6.43,3.66
IS,below,high,r2adj_5m_q,4,464,0.64,1.56,3.48,6.04,0.366,0.179,4.97,6.48,3.64
IS,below,low,r2adj_5m_q,0,78,0.7,1.91,2.83,4.26,0.385,0.244,4.41,5.83,3.7
IS,below,low,r2adj_5m_q,1,74,0.66,1.6,4.06,6.42,0.378,0.176,4.56,7.06,3.66
IS,below,low,r2adj_5m_q,2,102,0.82,2.08,4.55,6.69,0.412,0.255,4.69,7.55,3.82
IS,below,low,r2adj_5m_q,3,100,0.78,1.98,4.07,5.89,0.42,0.25,4.74,7.07,3.78
IS,below,low,r2adj_5m_q,4,123,0.79,1.92,4.31,8.01,0.431,0.244,4.99,7.31,3.79
OOS,above,high,r2adj_5m_q,0,23,0.03,0.03,0.05,0.14,0.0,0.0,3.03,3.05,3.03
OOS,above,high,r2adj_5m_q,1,15,0.06,0.07,0.12,0.2,0.0,0.0,3.07,3.12,3.06
OOS,above,high,r2adj_5m_q,2,19,0.03,0.1,0.13,0.21,0.0,0.0,3.06,3.13,3.03
OOS,above,high,r2adj_5m_q,3,28,0.01,0.04,0.07,0.09,0.0,0.0,3.03,3.07,3.01
OOS,above,high,r2adj_5m_q,4,31,0.02,0.03,0.09,0.11,0.0,0.0,3.04,3.09,3.02
OOS,above,low,r2adj_5m_q,0,94,0.01,0.04,0.09,0.16,0.011,0.0,3.05,3.09,3.01
OOS,above,low,r2adj_5m_q,1,106,0.02,0.04,0.1,0.14,0.0,0.0,3.04,3.1,3.02
OOS,above,low,r2adj_5m_q,2,97,0.02,0.05,0.09,0.15,0.01,0.01,3.19,3.09,3.02
OOS,above,low,r2adj_5m_q,3,106,0.02,0.04,0.08,0.1,0.0,0.0,3.03,3.08,3.02
OOS,above,low,r2adj_5m_q,4,81,0.02,0.04,0.08,0.1,0.012,0.012,3.32,3.08,3.02
OOS,below,high,r2adj_5m_q,0,85,0.73,1.34,4.12,8.4,0.318,0.165,7.86,7.12,3.73
OOS,below,high,r2adj_5m_q,1,95,0.74,1.47,3.36,5.28,0.379,0.232,4.91,6.36,3.74
OOS,below,high,r2adj_5m_q,2,100,0.84,1.56,3.22,7.9,0.38,0.2,5.98,6.22,3.84
OOS,below,high,r2adj_5m_q,3,82,0.51,1.08,3.33,5.4,0.268,0.171,4.67,6.33,3.51
OOS,below,high,r2adj_5m_q,4,83,0.66,1.4,3.65,4.48,0.361,0.157,4.24,6.65,3.66
OOS,below,low,r2adj_5m_q,0,23,0.64,1.36,2.5,3.27,0.304,0.13,4.08,5.5,3.64
OOS,below,low,r2adj_5m_q,1,22,0.6,1.13,1.67,1.96,0.273,0.045,3.82,4.67,3.6
OOS,below,low,r2adj_5m_q,3,27,0.74,1.13,1.81,2.11,0.37,0.111,4.2,4.81,3.74
OOS,below,low,r2adj_5m_q,4,24,0.79,1.52,4.06,5.03,0.417,0.208,4.58,7.06,3.79
