split,side,anchor,axis,bin,n,ride_mean_5m,ride_p_pos_5m,ride_mean_15m,ride_p_pos_15m,ride_mean_30m,ride_p_pos_30m,ride_mean_60m,ride_p_pos_60m,peak_horizon_min,peak_ride_pnl,decay_to_60m,excess_q90,stop_z
IS,above,low,r2adj_5m_q,3,405,4.83,0.625,6.98,0.561,6.77,0.563,7.69,0.545,60,7.69,0.0,0.09,3.09
IS,above,low,z_close_q,1,51,2.47,0.588,5.48,0.627,5.21,0.667,7.14,0.608,60,7.14,0.0,0.33,3.33
IS,above,low,r2adj_5m_q,0,453,6.21,0.64,5.17,0.558,7.12,0.561,4.84,0.54,30,7.12,-2.28,0.11,3.11
IS,below,high,sigma_rank_q,4,320,7.0,0.619,4.92,0.534,1.97,0.512,-3.44,0.461,5,7.0,-10.44,5.58,8.58
IS,below,high,r2adj_5m_q,2,441,5.3,0.583,3.02,0.546,6.88,0.58,3.83,0.537,30,6.88,-3.05,4.06,7.06
IS,below,high,curvature_q,1,693,6.65,0.632,6.87,0.568,6.81,0.571,6.71,0.543,15,6.87,-0.16,4.12,7.12
IS,above,low,z_close_q,2,476,4.07,0.626,6.67,0.595,5.06,0.557,3.49,0.572,15,6.67,-3.18,0.15,3.15
IS,above,low,r2adj_5m_q,2,437,4.61,0.664,6.55,0.597,4.24,0.578,3.72,0.571,15,6.55,-2.83,0.12,3.12
IS,above,low,curvature_q,2,806,5.37,0.655,4.91,0.599,6.25,0.584,6.38,0.599,60,6.38,0.0,0.06,3.06
IS,below,low,slope_q,2,60,6.13,0.617,-0.11,0.45,-1.02,0.517,-3.9,0.433,5,6.13,-10.03,6.93,9.93
IS,below,high,slope_q,3,239,6.08,0.556,6.02,0.519,5.53,0.508,5.55,0.479,5,6.08,-0.53,6.07,9.07
IS,below,high,sigma_rank_q,0,569,5.45,0.583,6.05,0.539,6.07,0.536,5.87,0.525,30,6.07,-0.2,3.1,6.1
IS,below,high,z_close_q,1,974,5.96,0.618,6.05,0.573,5.5,0.568,2.96,0.505,15,6.05,-3.09,2.85,5.85
IS,above,low,sigma_rank_q,3,350,5.74,0.643,2.72,0.563,2.54,0.547,0.21,0.524,5,5.74,-5.53,0.06,3.06
IS,above,low,r2adj_5m_q,4,366,3.72,0.612,3.38,0.563,5.71,0.546,1.66,0.521,30,5.71,-4.05,0.08,3.08
IS,above,high,slope_q,2,64,2.77,0.578,3.71,0.484,5.57,0.5,3.96,0.5,30,5.57,-1.61,0.28,3.28
IS,above,low,z_close_q,3,913,4.45,0.654,5.06,0.564,4.38,0.55,5.55,0.562,60,5.55,0.0,0.07,3.07
IS,above,low,curvature_q,1,710,5.41,0.645,5.32,0.577,4.26,0.566,1.9,0.559,5,5.41,-3.51,0.1,3.1
IS,above,low,sigma_rank_q,0,482,3.91,0.627,3.32,0.583,5.35,0.608,5.37,0.6,60,5.37,0.0,0.1,3.1
IS,below,high,slope_q,2,494,5.12,0.613,4.29,0.543,5.36,0.569,4.48,0.502,30,5.36,-0.89,6.07,9.07
IS,below,high,slope_q,1,747,5.19,0.633,4.21,0.556,5.07,0.545,3.07,0.506,5,5.19,-2.11,3.15,6.15
IS,above,low,slope_q,1,195,4.75,0.692,1.52,0.591,0.13,0.528,-10.85,0.479,5,4.75,-15.6,0.17,3.17
IS,above,high,r2adj_5m_q,4,127,4.66,0.571,2.56,0.54,1.98,0.5,-4.9,0.5,5,4.66,-9.56,0.13,3.13
IS,above,low,slope_q,3,668,4.09,0.653,4.17,0.602,3.16,0.561,0.31,0.564,15,4.17,-3.86,0.09,3.09
IS,above,low,slope_q,2,445,3.96,0.631,3.34,0.539,4.0,0.582,3.9,0.573,30,4.0,-0.11,0.16,3.16
IS,above,high,slope_q,3,162,1.9,0.543,1.96,0.543,-1.99,0.494,-7.0,0.444,15,1.96,-8.96,0.18,3.18
IS,below,high,z_close_q,3,70,1.49,0.586,1.45,0.557,1.95,0.6,-2.46,0.529,30,1.95,-4.41,15.45,18.45
