split,side,anchor,axis,bin,n,threshold_min,p_continue,cilo,cihi,med_duration,mean_duration,p10_duration,p90_duration,mean_max_z
IS,below,low,slope_q,0,241,5,0.4362,0.3745,0.4989,4.1,8.5,1.2,23.1,3.93
IS,below,low,slope_q,0,241,10,0.2798,0.2253,0.3378,4.1,8.5,1.2,23.1,3.93
IS,below,low,slope_q,0,241,20,0.1276,0.0887,0.1722,4.1,8.5,1.2,23.1,3.93
IS,below,low,slope_q,0,241,30,0.0494,0.0259,0.0799,4.1,8.5,1.2,23.1,3.93
IS,below,low,slope_q,1,150,3,0.5658,0.4865,0.6434,3.5,9.4,1.2,23.4,5.07
IS,below,low,slope_q,1,150,5,0.4342,0.3566,0.5135,3.5,9.4,1.2,23.4,5.07
IS,below,low,slope_q,1,150,10,0.3158,0.2446,0.3916,3.5,9.4,1.2,23.4,5.07
IS,below,low,slope_q,1,150,20,0.1513,0.0991,0.2122,3.5,9.4,1.2,23.4,5.07
IS,below,low,slope_q,1,150,30,0.0789,0.0417,0.1266,3.5,9.4,1.2,23.4,5.07
IS,below,low,slope_q,2,60,3,0.6129,0.4896,0.7293,4.1,7.4,1.2,18.3,5.84
IS,below,low,slope_q,2,60,5,0.4355,0.3155,0.5594,4.1,7.4,1.2,18.3,5.84
IS,below,low,slope_q,2,60,10,0.2258,0.1315,0.3368,4.1,7.4,1.2,18.3,5.84
IS,below,low,slope_q,2,60,20,0.1129,0.0474,0.2019,4.1,7.4,1.2,18.3,5.84
IS,below,low,slope_q,2,60,30,0.0645,0.0182,0.1371,4.1,7.4,1.2,18.3,5.84
IS,below,low,slope_q,3,19,3,0.5238,0.3153,0.728,3.1,14.2,1.1,36.1,6.85
IS,below,low,slope_q,3,19,5,0.4286,0.2306,0.6395,3.1,14.2,1.1,36.1,6.85
IS,below,low,slope_q,3,19,10,0.381,0.1912,0.5922,3.1,14.2,1.1,36.1,6.85
IS,below,low,slope_q,3,19,20,0.3333,0.1539,0.5428,3.1,14.2,1.1,36.1,6.85
IS,below,low,slope_q,3,19,30,0.2381,0.0866,0.4366,3.1,14.2,1.1,36.1,6.85
OOS,above,high,slope_q,3,31,3,0.5455,0.3766,0.7091,3.1,8.9,1.2,28.8,3.07
OOS,above,high,slope_q,3,31,5,0.3939,0.237,0.5631,3.1,8.9,1.2,28.8,3.07
OOS,above,high,slope_q,3,31,10,0.2121,0.0928,0.3644,3.1,8.9,1.2,28.8,3.07
OOS,above,high,slope_q,3,31,20,0.1818,0.0721,0.3279,3.1,8.9,1.2,28.8,3.07
OOS,above,high,slope_q,3,31,30,0.0909,0.0198,0.2081,3.1,8.9,1.2,28.8,3.07
OOS,above,high,slope_q,4,72,3,0.5,0.3872,0.6128,3.0,6.5,1.2,15.5,3.03
OOS,above,high,slope_q,4,72,5,0.3649,0.2597,0.4769,3.0,6.5,1.2,15.5,3.03
OOS,above,high,slope_q,4,72,10,0.2027,0.1198,0.3008,3.0,6.5,1.2,15.5,3.03
OOS,above,high,slope_q,4,72,20,0.0676,0.0226,0.1344,3.0,6.5,1.2,15.5,3.03
