timestamp,price,z,vr,vel,in_pos,direction,tier,bars_held,pnl,peak,contracts,event
1775800055,25272.25,-0.0015,0.6326,-0.25,1,short,RIDE_AGAINST,0,-1.5,2.0,1,
1775800060,25272.00,-0.0015,0.6326,-0.25,1,short,RIDE_AGAINST,0,-1.0,2.0,1,
1775800065,25273.00,-0.0015,0.6326,-0.25,1,short,RIDE_AGAINST,0,-3.0,2.0,1,
1775800070,25272.75,-0.0015,0.6326,-0.25,1,short,RIDE_AGAINST,0,-2.5,2.0,1,
1775800075,25271.50,-0.0015,0.6326,-0.25,1,short,RIDE_AGAINST,0,0.0,2.0,1,
1775800080,25271.25,-0.1809,0.6264,-0.50,1,short,RIDE_AGAINST,1,0.5,2.0,1,
1775800085,25272.00,-0.1809,0.6264,-0.50,1,short,RIDE_AGAINST,1,-1.0,2.0,1,
1775800090,25272.25,-0.1809,0.6264,-0.50,1,short,RIDE_AGAINST,1,-1.5,2.0,1,
1775800095,25272.25,-0.1809,0.6264,-0.50,1,short,RIDE_AGAINST,1,-1.5,2.0,1,
1775800100,25272.25,-0.1809,0.6264,-0.50,1,short,RIDE_AGAINST,1,-1.5,2.0,1,
1775800105,25272.50,-0.1809,0.6264,-0.50,1,short,RIDE_AGAINST,1,-2.0,2.0,1,
1775800115,25270.75,-0.1809,0.6264,-0.50,1,short,RIDE_AGAINST,1,1.5,2.0,1,
1775800125,25271.50,-0.1809,0.6264,-0.50,1,short,RIDE_AGAINST,1,0.0,2.0,1,
1775800130,25272.00,-0.1809,0.6264,-0.50,1,short,RIDE_AGAINST,1,-1.0,2.0,1,
1775800135,25270.75,-0.1809,0.6264,-0.50,1,short,RIDE_AGAINST,1,1.5,2.0,1,
1775800140,25270.75,-0.3299,0.5692,-0.25,1,short,RIDE_AGAINST,2,1.5,2.0,1,
1775800150,25271.25,-0.3299,0.5692,-0.25,1,short,RIDE_AGAINST,2,0.5,2.0,1,
1775800155,25270.00,-0.3299,0.5692,-0.25,1,short,RIDE_AGAINST,2,3.0,3.0,1,
1775800160,25270.50,-0.3299,0.5692,-0.25,1,short,RIDE_AGAINST,2,2.0,3.0,1,
