timestamp,type,tier,direction,price,pnl,bars_held,exit_reason,is_chain,contracts,daily_pnl
1775646600,CHAIN_ENTRY,RIDE_AGAINST,long,25200.00,0.0,0,,1,0,-595.0
1775646720,CHAIN_ENTRY,FREIGHT_TRAIN,long,25200.00,0.0,0,,1,0,-595.0
1775646780,CHAIN_EXIT,FREIGHT_TRAIN,?,25203.75,7.5,1,chain_freight_train_decel,1,0,-595.0
1775646840,CHAIN_EXIT,FADE_CALM,?,25209.25,32.5,5,fade_oscillation_center,1,0,-587.5
1775646840,CHAIN_EXIT,RIDE_AGAINST,?,25209.25,18.5,4,chain_fade_oscillation_center,1,0,-587.5
1775647020,CHAIN_EXIT,FADE_CALM,?,25198.75,21.0,3,fade_mean_reached,1,0,-536.5
1775647080,CHAIN_ENTRY,RIDE_AGAINST,short,25189.50,0.0,0,,1,0,-515.5
1775647200,CHAIN_EXIT,FADE_CALM,?,25191.50,14.5,3,fade_oscillation_center,1,0,-515.5
1775647260,CHAIN_EXIT,RIDE_AGAINST,?,25191.25,-3.5,3,chain_fade_p_center,1,0,-501.0
1775647320,CHAIN_ENTRY,RIDE_AGAINST,short,25182.25,0.0,0,,1,0,-504.5
1775647380,CHAIN_EXIT,FADE_CALM,?,25198.50,-14.0,3,fade_oscillation_center,1,0,-504.5
1775647500,CHAIN_EXIT,FADE_CALM,?,25213.75,-30.5,2,fade_mean_reached,1,0,-518.5
1775647500,CHAIN_EXIT,RIDE_AGAINST,?,25213.75,-63.0,3,chain_fade_mean_reached,1,0,-518.5
1775647680,CHAIN_EXIT,FADE_CALM,?,25227.00,-26.5,3,fade_mean_reached,1,0,-612.0
1775647860,CHAIN_ENTRY,RIDE_AGAINST,short,25218.25,0.0,0,,1,0,-638.5
1775647920,CHAIN_ENTRY,RIDE_AGAINST,short,25224.00,0.0,0,,1,0,-638.5
1775647980,CHAIN_EXIT,FADE_CALM,?,25229.25,-4.5,5,fade_oscillation_center,1,0,-638.5
1775648040,CHAIN_EXIT,RIDE_AGAINST,?,25223.75,-11.0,3,chain_fade_oscillation_center,1,0,-643.0
1775648100,CHAIN_EXIT,RIDE_AGAINST,?,25228.25,-8.5,3,chain_fade_oscillation_center,1,0,-654.0
1775648160,CHAIN_EXIT,FADE_CALM,?,25225.25,8.0,3,fade_oscillation_center,1,0,-662.5
1775648340,CHAIN_ENTRY,RIDE_AGAINST,short,25208.75,0.0,0,,1,0,-654.5
1775648400,CHAIN_EXIT,FADE_CALM,?,25214.75,21.0,4,fade_oscillation_center,1,0,-654.5
1775648520,CHAIN_EXIT,FADE_CALM,?,25221.50,-13.5,2,fade_mean_reached,1,0,-633.5
1775648520,CHAIN_EXIT,RIDE_AGAINST,?,25221.50,-25.5,3,chain_fade_mean_reached,1,0,-633.5
1775648700,CHAIN_EXIT,FADE_CALM,?,25213.75,15.5,3,fade_mean_reached,1,0,-672.5
1775649300,CHAIN_EXIT,FADE_CALM,?,25215.50,-3.5,10,fade_oscillation_center,1,0,-657.0
1775649480,CHAIN_EXIT,FADE_CALM,?,25210.25,10.5,3,fade_mean_reached,1,0,-660.5
1775649540,CHAIN_ENTRY,RIDE_AGAINST,short,25210.75,0.0,0,,1,0,-650.0
1775649720,CHAIN_EXIT,FADE_CALM,?,25221.50,-22.5,4,fade_oscillation_center,1,0,-650.0
1775649720,CHAIN_EXIT,RIDE_AGAINST,?,25221.50,-21.5,3,chain_fade_oscillation_center,1,0,-650.0
1775649900,CHAIN_EXIT,FADE_CALM,?,25243.50,-44.0,3,fade_p_center,1,0,-694.0
1775650080,CHAIN_EXIT,FADE_CALM,?,25246.50,-6.0,3,fade_p_center,1,0,-738.0
1775650140,CHAIN_ENTRY,RIDE_AGAINST,short,25239.00,0.0,0,,1,0,-744.0
1775650200,CHAIN_ENTRY,RIDE_AGAINST,short,25233.50,0.0,0,,1,0,-744.0
1775650260,CHAIN_ENTRY,RIDE_AGAINST,short,25231.25,0.0,0,,1,0,-744.0
1775650860,CHAIN_EXIT,FADE_CALM,?,25192.75,107.5,13,fade_oscillation_decay,1,0,-744.0
1775650860,CHAIN_EXIT,RIDE_AGAINST,?,25192.75,92.5,12,chain_fade_oscillation_decay,1,0,-744.0
1775650860,CHAIN_EXIT,RIDE_AGAINST,?,25192.75,81.5,11,chain_fade_oscillation_decay,1,0,-744.0
1775650860,CHAIN_EXIT,RIDE_AGAINST,?,25192.75,77.0,10,chain_fade_oscillation_decay,1,0,-744.0
1775650980,CHAIN_ENTRY,FADE_CALM,short,25179.00,0.0,0,,1,0,-385.5
1775651040,CHAIN_ENTRY,FADE_CALM,short,25178.50,0.0,0,,1,0,-385.5
1775651100,CHAIN_ENTRY,FADE_CALM,short,25173.00,0.0,0,,1,0,-385.5
1775651700,CHAIN_EXIT,RIDE_AGAINST,?,25197.50,-9.5,14,fade_oscillation_center,1,0,-385.5
1775651700,CHAIN_EXIT,FADE_CALM,?,25197.50,-37.0,12,chain_fade_oscillation_center,1,0,-385.5
1775651700,CHAIN_EXIT,FADE_CALM,?,25197.50,-38.0,11,chain_fade_oscillation_center,1,0,-385.5
1775651700,CHAIN_EXIT,FADE_CALM,?,25197.50,-49.0,10,chain_fade_oscillation_center,1,0,-385.5
1775651880,CHAIN_EXIT,FADE_CALM,?,25193.25,8.5,3,fade_mean_reached,1,0,-519.0
