day,regime,total_pnl,n_trades,n_winners,pnl__FADE_AGAINST,pnl__FADE_MOMENTUM,pnl__NMP_FADE_RAW,pnl__NMP_RIDE_RAW,pnl__RIDE_AGAINST,pnl__RIDE_MOMENTUM,pnl__CASCADE,pnl__FADE_CALM,pnl__KILL_SHOT,pnl__RIDE_CALM,pnl__FREIGHT_TRAIN
2025_11_07,FLAT_CHOPPY,-431.5,214,50,-81.5,-109.5,-188.5,,152.5,,-57.0,-9.5,-138.0,,
2025_10_15,FLAT_CHOPPY,-435.0,232,55,-12.5,62.5,-34.0,-93.0,-87.0,,-10.0,-141.0,18.0,-138.0,
2025_08_13,FLAT_SMOOTH,-439.0,633,131,-19.0,-44.0,-248.5,,29.5,,-5.0,-75.5,-76.5,,
2025_11_25,FLAT_CHOPPY,-442.0,299,96,-9.0,-233.5,-191.0,2.0,-82.5,,-20.0,125.0,-35.0,2.0,
2025_03_11,FLAT_CHOPPY,-459.5,336,101,85.5,-40.0,-12.0,,-431.5,,-107.0,148.5,-103.0,,
2025_01_17,UP_SMOOTH,-477.0,324,114,26.5,54.0,213.0,-314.5,-314.5,-286.5,37.0,30.5,105.5,-28.0,
2025_06_05,FLAT_CHOPPY,-486.0,623,183,16.5,69.0,117.0,-322.5,-322.5,-318.5,79.0,45.5,217.5,-67.0,
2025_07_08,FLAT_SMOOTH,-513.0,704,187,,-135.5,-248.0,,,,23.5,-86.0,-67.0,,
2025_08_11,DOWN_CHOPPY,-518.0,682,168,-3.0,-84.0,-300.0,,54.0,,-1.5,-140.5,-43.0,,
2025_05_23,FLAT_CHOPPY,-546.0,378,98,13.0,-82.5,-139.0,,-132.0,,-29.0,-44.0,-132.5,,
2025_06_10,FLAT_CHOPPY,-562.5,705,164,10.5,-90.5,-329.0,-20.0,-20.0,,4.5,-156.5,38.5,,
2025_01_02,FLAT_SMOOTH,-583.0,289,64,14.5,-179.0,-39.5,-174.5,-182.0,-213.5,,19.5,132.5,39.0,
2025_10_24,UP_SMOOTH,-584.5,448,115,-40.5,59.0,-447.0,16.0,344.0,,-27.0,-422.5,-66.5,,
2025_05_30,FLAT_CHOPPY,-586.0,282,80,23.0,-104.5,-264.0,,22.5,,0.0,-105.5,-157.5,,
2025_10_31,FLAT_CHOPPY,-592.0,362,81,-44.0,-55.5,-31.5,-167.0,-119.5,,-8.0,-97.0,-69.5,,
2025_02_13,UP_SMOOTH,-645.5,481,133,5.5,-120.5,-326.0,-13.0,-13.0,,-27.0,-28.0,-123.5,,
2025_09_02,FLAT_CHOPPY,-659.0,398,93,-19.5,-16.5,-53.5,-189.0,-149.5,99.5,0.0,-57.5,-24.0,-249.0,
2025_04_28,FLAT_SMOOTH,-663.5,700,164,-14.5,-0.5,-228.0,-34.0,-13.0,,18.5,-176.0,-182.0,-34.0,
