trade_id,time,timestamp,dir,entry_price,exit_price,pnl,held,peak,entry_tier,exit_reason,chain_idx,entry_residual,day
4,03:10,1771557000,long,24898.75,24904.5,11.5,4,14.0,RM_PIVOT_TPSL,INVERSE,0,-2.0612690448760986,2026_02_20
5,05:38,1771565880,short,24936.75,24936.0,1.5,0,1.5,RM_PIVOT_TPSL,INVERSE,0,1.54993736743927,2026_02_20
6,05:57,1771567020,long,24945.75,24947.5,3.5,13,4.5,RM_PIVOT_TPSL,INVERSE,0,-1.677937626838684,2026_02_20
7,06:18,1771568280,short,24952.0,24952.75,-1.5,0,0.0,RM_PIVOT_TPSL,INVERSE,0,1.6862237453460693,2026_02_20
8,06:40,1771569601,short,24937.25,24939.5,-4.5,23,13.0,RM_PIVOT_TPSL,INVERSE,0,2.0456268787384033,2026_02_20
9,07:07,1771571220,long,24947.0,24950.25,6.5,1,6.5,RM_PIVOT_TPSL,INVERSE,0,-1.5544604063034058,2026_02_20
10,07:37,1771573021,short,24938.5,24931.0,15.0,3,16.5,RM_PIVOT_TPSL,INVERSE,0,1.5109895467758179,2026_02_20
11,07:44,1771573440,long,24935.0,24937.5,5.0,1,10.0,RM_PIVOT_TPSL,INVERSE,0,-1.5232810974121094,2026_02_20
12,08:25,1771575901,long,24913.0,24919.0,12.0,0,12.0,RM_PIVOT_TPSL,INVERSE,0,-2.293394088745117,2026_02_20
13,08:59,1771577941,long,24938.0,24944.25,12.5,4,13.0,RM_PIVOT_TPSL,INVERSE,0,-1.6651591062545776,2026_02_20
14,09:15,1771578900,long,24961.0,24979.0,36.0,3,38.0,RM_PIVOT_TPSL,INVERSE,0,-1.7945587635040283,2026_02_20
15,09:31,1771579860,long,24980.75,24957.5,-46.5,13,1.5,RM_PIVOT_TPSL,INVERSE,0,-1.6077547073364258,2026_02_20
16,10:05,1771581900,long,24932.25,24936.75,9.0,3,12.5,RM_PIVOT_TPSL,INVERSE,0,-1.9715708494186401,2026_02_20
17,10:28,1771583280,long,24929.75,24930.25,1.0,0,1.0,RM_PIVOT_TPSL,INVERSE,0,-2.11771821975708,2026_02_20
18,10:41,1771584060,short,24928.75,24923.0,11.5,1,14.5,RM_PIVOT_TPSL,INVERSE,0,1.5590654611587524,2026_02_20
19,10:46,1771584360,long,24926.5,24931.25,9.5,3,12.5,RM_PIVOT_TPSL,INVERSE,0,-1.5543060302734375,2026_02_20
20,11:07,1771585620,long,24864.5,24866.0,3.0,0,3.0,RM_PIVOT_TPSL,INVERSE,0,-1.5924391746520996,2026_02_20
21,11:28,1771586880,short,24877.75,24869.5,16.5,10,22.5,RM_PIVOT_TPSL,INVERSE,0,2.0718278884887695,2026_02_20
22,12:00,1771588800,long,24832.75,24831.0,-3.5,0,0.0,RM_PIVOT_TPSL,INVERSE,0,-1.9093270301818848,2026_02_20
23,12:02,1771588920,short,24812.5,24833.25,-41.5,17,14.0,RM_PIVOT_TPSL,INVERSE,0,1.5603859424591064,2026_02_20
24,13:32,1771594320,short,24784.25,24783.25,2.0,0,2.0,RM_PIVOT_TPSL,INVERSE,0,1.6576201915740967,2026_02_20
25,13:36,1771594560,long,24786.5,24783.5,-6.0,3,0.0,RM_PIVOT_TPSL,INVERSE,0,-1.8297779560089111,2026_02_20
26,14:18,1771597080,long,24721.0,24726.0,10.0,1,13.5,RM_PIVOT_TPSL,INVERSE,0,-2.4643754959106445,2026_02_20
27,14:28,1771597680,short,24711.25,24912.25,-402.0,20,56.5,RM_PIVOT_TPSL,INVERSE,0,1.797179102897644,2026_02_20
28,14:54,1771599240,long,24878.0,24880.0,4.0,5,11.5,RM_PIVOT_TPSL,INVERSE,0,-1.7253059148788452,2026_02_20
29,15:04,1771599840,short,24962.5,24893.25,138.5,2,152.5,RM_PIVOT_TPSL,INVERSE,0,2.8274874687194824,2026_02_20
30,15:09,1771600140,long,24971.75,25016.75,90.0,13,108.5,RM_PIVOT_TPSL,INVERSE,0,-1.6533699035644531,2026_02_20
31,16:03,1771603380,long,25135.75,25024.75,-222.0,21,4.0,RM_PIVOT_TPSL,INVERSE,0,-1.5596778392791748,2026_02_20
32,16:26,1771604760,short,24990.75,25125.25,-269.0,24,45.5,RM_PIVOT_TPSL,INVERSE,0,1.583413004875183,2026_02_20
33,16:54,1771606440,long,25126.0,24918.25,-415.5,30,7.5,RM_PIVOT_TPSL,INVERSE,0,-2.0030877590179443,2026_02_20
34,17:48,1771609680,short,24960.75,25012.25,-103.0,8,13.5,RM_PIVOT_TPSL,INVERSE,0,1.839379072189331,2026_02_20
35,18:07,1771610820,long,25029.25,24977.0,-104.5,16,23.5,RM_PIVOT_TPSL,INVERSE,0,-1.5445051193237305,2026_02_20
36,18:27,1771612020,short,24973.5,24979.0,-11.0,9,76.0,RM_PIVOT_TPSL,INVERSE,0,2.137117862701416,2026_02_20
37,18:38,1771612680,long,25045.0,25102.25,114.5,8,121.5,RM_PIVOT_TPSL,INVERSE,0,-1.7746500968933105,2026_02_20
38,19:31,1771615860,long,25065.0,25072.0,14.0,1,21.5,RM_PIVOT_TPSL,INVERSE,0,-1.6962679624557495,2026_02_20
39,20:15,1771618500,long,25067.25,25027.0,-80.5,13,4.0,RM_PIVOT_TPSL,INVERSE,0,-1.76364004611969,2026_02_20
0,00:07,1771805220,long,24940.5,24935.25,-10.5,5,10.0,RM_PIVOT_TPSL,INVERSE,0,-1.8457432985305786,2026_02_23
1,00:32,1771806720,short,24893.0,24882.0,22.0,13,29.5,RM_PIVOT_TPSL,INVERSE,0,1.8174787759780884,2026_02_23
2,00:47,1771807620,long,24889.5,24897.25,15.5,1,23.0,RM_PIVOT_TPSL,INVERSE,0,-1.5320452451705933,2026_02_23
3,00:50,1771807800,short,24878.25,24878.5,-0.5,0,0.0,RM_PIVOT_TPSL,INVERSE,0,1.5904252529144287,2026_02_23
4,01:24,1771809840,short,24872.0,24865.5,13.0,1,17.0,RM_PIVOT_TPSL,INVERSE,0,1.545175313949585,2026_02_23
5,01:28,1771810081,long,24870.25,24865.25,-10.0,9,5.0,RM_PIVOT_TPSL,INVERSE,0,-2.3345019817352295,2026_02_23
6,01:49,1771811340,long,24865.75,24860.0,-11.5,8,6.5,RM_PIVOT_TPSL,INVERSE,0,-2.2169392108917236,2026_02_23
7,01:59,1771811940,short,24850.75,24834.0,33.5,4,33.5,RM_PIVOT_TPSL,INVERSE,0,1.838931679725647,2026_02_23
8,02:43,1771814580,long,24837.5,24838.75,2.5,2,8.5,RM_PIVOT_TPSL,INVERSE,0,-1.5821874141693115,2026_02_23
9,03:23,1771816980,short,24833.75,24823.75,20.0,2,20.0,RM_PIVOT_TPSL,INVERSE,0,2.0290427207946777,2026_02_23
10,03:32,1771817520,short,24824.25,24833.75,-19.0,15,22.0,RM_PIVOT_TPSL,INVERSE,0,1.8968706130981445,2026_02_23
11,04:08,1771819680,long,24841.0,24840.5,-1.0,0,0.0,RM_PIVOT_TPSL,INVERSE,0,-1.5417134761810303,2026_02_23
12,04:14,1771820040,short,24847.75,24841.0,13.5,1,13.5,RM_PIVOT_TPSL,INVERSE,0,1.5088762044906616,2026_02_23
13,04:34,1771821240,short,24825.0,24815.25,19.5,8,23.5,RM_PIVOT_TPSL,INVERSE,0,1.6662769317626953,2026_02_23
14,05:03,1771822981,short,24826.25,24826.25,0.0,0,0.0,RM_PIVOT_TPSL,INVERSE,0,2.1323678493499756,2026_02_23
15,06:24,1771827841,long,24851.25,24849.75,-3.0,8,2.0,RM_PIVOT_TPSL,INVERSE,0,-1.5927965641021729,2026_02_23
16,06:49,1771829340,long,24860.25,24866.5,12.5,6,14.0,RM_PIVOT_TPSL,INVERSE,0,-1.7259093523025513,2026_02_23
17,07:32,1771831920,short,24898.5,24894.75,7.5,6,7.5,RM_PIVOT_TPSL,INVERSE,0,1.8644487857818604,2026_02_23
18,07:58,1771833480,long,24900.75,24903.25,5.0,1,9.5,RM_PIVOT_TPSL,INVERSE,0,-2.083085775375366,2026_02_23
19,08:03,1771833780,short,24903.0,24892.75,20.5,1,23.5,RM_PIVOT_TPSL,INVERSE,0,2.199882745742798,2026_02_23
20,08:16,1771834560,short,24902.75,24895.75,14.0,2,15.5,RM_PIVOT_TPSL,INVERSE,0,1.8684147596359253,2026_02_23
21,08:45,1771836300,long,24884.75,24890.25,11.0,1,15.5,RM_PIVOT_TPSL,INVERSE,0,-2.2012317180633545,2026_02_23
22,09:00,1771837200,long,24931.5,24945.75,28.5,2,28.5,RM_PIVOT_TPSL,INVERSE,0,-1.6490716934204102,2026_02_23
23,09:37,1771839420,long,24995.0,24990.25,-9.5,19,17.0,RM_PIVOT_TPSL,INVERSE,0,-2.040411949157715,2026_02_23
24,09:59,1771840743,short,24983.5,24981.75,3.5,5,8.0,RM_PIVOT_TPSL,INVERSE,0,1.650412678718567,2026_02_23
25,10:45,1771843500,short,24977.25,24972.25,10.0,2,17.0,RM_PIVOT_TPSL,INVERSE,0,1.86634361743927,2026_02_23
26,11:46,1771847160,short,24943.5,24939.0,9.0,1,18.5,RM_PIVOT_TPSL,INVERSE,0,1.8639391660690308,2026_02_23
27,12:41,1771850461,short,24906.5,24911.5,-10.0,6,9.5,RM_PIVOT_TPSL,INVERSE,0,1.5004048347473145,2026_02_23
28,13:19,1771852740,long,24921.5,24934.25,25.5,3,26.0,RM_PIVOT_TPSL,INVERSE,0,-1.6221966743469238,2026_02_23
29,13:24,1771853040,short,24921.0,24916.0,10.0,11,10.0,RM_PIVOT_TPSL,INVERSE,0,1.6650453805923462,2026_02_23
30,13:37,1771853820,long,24921.0,24937.0,32.0,3,33.0,RM_PIVOT_TPSL,INVERSE,0,-1.7553963661193848,2026_02_23
31,13:54,1771854840,long,24944.75,24945.25,1.0,8,9.5,RM_PIVOT_TPSL,INVERSE,0,-1.5958127975463867,2026_02_23
32,14:04,1771855440,short,24935.5,24938.5,-6.0,6,7.0,RM_PIVOT_TPSL,INVERSE,0,1.678046464920044,2026_02_23
33,14:17,1771856220,short,24948.0,24943.5,9.0,3,11.0,RM_PIVOT_TPSL,INVERSE,0,2.50565242767334,2026_02_23
34,14:35,1771857300,short,25006.75,24991.25,31.0,1,40.5,RM_PIVOT_TPSL,INVERSE,0,1.6572917699813843,2026_02_23
35,14:39,1771857540,long,25015.75,24905.0,-221.5,8,0.0,RM_PIVOT_TPSL,INVERSE,0,-1.6046712398529053,2026_02_23
36,15:08,1771859280,long,24889.5,24897.75,16.5,3,22.5,RM_PIVOT_TPSL,INVERSE,0,-2.0601840019226074,2026_02_23
37,15:13,1771859580,short,24870.75,24888.75,-36.0,11,23.5,RM_PIVOT_TPSL,INVERSE,0,1.6835684776306152,2026_02_23
38,15:50,1771861800,short,24824.5,24779.5,90.0,3,103.5,RM_PIVOT_TPSL,INVERSE,0,1.8470661640167236,2026_02_23
39,16:13,1771863180,short,24677.5,24765.0,-175.0,19,17.5,RM_PIVOT_TPSL,INVERSE,0,2.5136148929595947,2026_02_23
40,16:46,1771865160,short,24763.25,24754.75,17.0,1,30.0,RM_PIVOT_TPSL,INVERSE,0,1.6719928979873657,2026_02_23
41,18:39,1771871940,short,24805.5,24797.5,16.0,3,27.0,RM_PIVOT_TPSL,INVERSE,0,2.0689873695373535,2026_02_23
42,18:51,1771872660,short,24783.5,24767.75,31.5,3,31.5,RM_PIVOT_TPSL,INVERSE,0,1.9827728271484375,2026_02_23
43,19:03,1771873380,short,24722.5,24736.75,-28.5,14,0.5,RM_PIVOT_TPSL,INVERSE,0,1.5694879293441772,2026_02_23
44,19:53,1771876380,short,24701.5,24693.0,17.0,2,17.0,RM_PIVOT_TPSL,INVERSE,0,2.1938705444335938,2026_02_23
