concept,tf,regime_2d,shift_s,n,corr
price_sigma_w,5m,UP_SMOOTH,2,6738,0.18035297692865684
price_sigma_w,5m,UP_SMOOTH,4,6738,0.1787247086985048
price_sigma_w,5m,UP_SMOOTH,8,6738,0.20697105840888047
price_sigma_w,5m,UP_SMOOTH,12,6738,0.22586327333121164
price_sigma_w,5m,UP_CHOPPY,-12,3744,0.38925432469964183
price_sigma_w,5m,UP_CHOPPY,-8,3744,0.34209307550142926
price_sigma_w,5m,UP_CHOPPY,-4,3744,0.1754285988058587
price_sigma_w,5m,UP_CHOPPY,-2,3744,0.06290180009594981
price_sigma_w,5m,UP_CHOPPY,-1,3744,0.033153294627253985
price_sigma_w,5m,UP_CHOPPY,0,3744,0.0337288834591157
price_sigma_w,5m,UP_CHOPPY,1,3744,0.03461184917934527
price_sigma_w,5m,UP_CHOPPY,2,3744,0.03696635749978042
price_sigma_w,5m,UP_CHOPPY,4,3744,0.04698624173625208
price_sigma_w,5m,UP_CHOPPY,8,3744,0.05365604578009191
price_sigma_w,5m,UP_CHOPPY,12,3744,0.14149813273965964
price_sigma_w,5m,DOWN_SMOOTH,-12,4362,-0.4976333873040607
price_sigma_w,5m,DOWN_SMOOTH,-8,4362,-0.397324092263235
price_sigma_w,5m,DOWN_SMOOTH,-4,4362,-0.18520937702501966
price_sigma_w,5m,DOWN_SMOOTH,-2,4362,-0.10805435923557852
price_sigma_w,5m,DOWN_SMOOTH,-1,4362,-0.07605506588431843
price_sigma_w,5m,DOWN_SMOOTH,0,4362,-0.0568134290995415
price_sigma_w,5m,DOWN_SMOOTH,1,4362,-0.03149039174132045
price_sigma_w,5m,DOWN_SMOOTH,2,4362,-0.013906735257397917
price_sigma_w,5m,DOWN_SMOOTH,4,4362,-0.011516483468095737
price_sigma_w,5m,DOWN_SMOOTH,8,4362,-0.03705512841396377
price_sigma_w,5m,DOWN_SMOOTH,12,4362,-0.04004466463760508
price_sigma_w,5m,DOWN_CHOPPY,-12,2844,-0.35000479027430326
price_sigma_w,5m,DOWN_CHOPPY,-8,2844,-0.28477722205598827
price_sigma_w,5m,DOWN_CHOPPY,-4,2844,-0.13627459191274602
price_sigma_w,5m,DOWN_CHOPPY,-2,2844,-0.09730446149038893
price_sigma_w,5m,DOWN_CHOPPY,-1,2844,-0.09411300033843495
price_sigma_w,5m,DOWN_CHOPPY,0,2844,-0.11479952475173828
price_sigma_w,5m,DOWN_CHOPPY,1,2844,-0.12762238172894927
price_sigma_w,5m,DOWN_CHOPPY,2,2844,-0.1413041779399338
price_sigma_w,5m,DOWN_CHOPPY,4,2844,-0.15003322475165332
price_sigma_w,5m,DOWN_CHOPPY,8,2844,-0.11822250847859382
price_sigma_w,5m,DOWN_CHOPPY,12,2844,-0.05362964228298174
price_sigma_w,5m,FLAT_SMOOTH,-12,9282,-0.21763754443637984
price_sigma_w,5m,FLAT_SMOOTH,-8,9281,-0.1441351191829274
price_sigma_w,5m,FLAT_SMOOTH,-4,9277,-0.01882137701825909
price_sigma_w,5m,FLAT_SMOOTH,-2,9275,0.006368373283703854
price_sigma_w,5m,FLAT_SMOOTH,-1,9274,0.011046531514444683
price_sigma_w,5m,FLAT_SMOOTH,0,9273,0.009401071626352309
price_sigma_w,5m,FLAT_SMOOTH,1,9273,0.00710661194169776
price_sigma_w,5m,FLAT_SMOOTH,2,9273,0.0015506751968811974
price_sigma_w,5m,FLAT_SMOOTH,4,9273,-0.005820199540241728
price_sigma_w,5m,FLAT_SMOOTH,8,9273,-0.016063378781412996
price_sigma_w,5m,FLAT_SMOOTH,12,9273,-0.015438238130229803
price_sigma_w,5m,FLAT_CHOPPY,-12,17463,-0.18905840251425884
price_sigma_w,5m,FLAT_CHOPPY,-8,17463,-0.1441330685411862
price_sigma_w,5m,FLAT_CHOPPY,-4,17463,-0.06724646505938216
price_sigma_w,5m,FLAT_CHOPPY,-2,17463,-0.028711279624834378
price_sigma_w,5m,FLAT_CHOPPY,-1,17463,-0.012253073313427
price_sigma_w,5m,FLAT_CHOPPY,0,17463,-0.0038793886143771877
price_sigma_w,5m,FLAT_CHOPPY,1,17462,0.003799917767068301
price_sigma_w,5m,FLAT_CHOPPY,2,17461,0.011869684906579648
price_sigma_w,5m,FLAT_CHOPPY,4,17459,0.021624602674950963
price_sigma_w,5m,FLAT_CHOPPY,8,17455,0.02451234574927646
price_sigma_w,5m,FLAT_CHOPPY,12,17451,0.022283568286309945
price_sigma_w,15m,UP_SMOOTH,-12,6738,0.4534904966965391
price_sigma_w,15m,UP_SMOOTH,-8,6738,0.325950523325824
price_sigma_w,15m,UP_SMOOTH,-4,6738,0.22558482362188412
price_sigma_w,15m,UP_SMOOTH,-2,6738,0.19364093037336697
price_sigma_w,15m,UP_SMOOTH,-1,6738,0.18340900883636452
price_sigma_w,15m,UP_SMOOTH,0,6738,0.1768147825443511
price_sigma_w,15m,UP_SMOOTH,1,6738,0.17116072376826538
price_sigma_w,15m,UP_SMOOTH,2,6738,0.1631572922403759
price_sigma_w,15m,UP_SMOOTH,4,6738,0.15302408351266517
price_sigma_w,15m,UP_SMOOTH,8,6738,0.13486582992036497
price_sigma_w,15m,UP_SMOOTH,12,6738,0.11374399321204719
price_sigma_w,15m,UP_CHOPPY,-12,3744,0.22755037712197038
price_sigma_w,15m,UP_CHOPPY,-8,3744,0.15693026204271252
price_sigma_w,15m,UP_CHOPPY,-4,3744,0.10662156784791413
price_sigma_w,15m,UP_CHOPPY,-2,3744,0.09337404584330146
price_sigma_w,15m,UP_CHOPPY,-1,3744,0.09505312321286144
price_sigma_w,15m,UP_CHOPPY,0,3744,0.11121074357979302
price_sigma_w,15m,UP_CHOPPY,1,3744,0.12608071848730237
price_sigma_w,15m,UP_CHOPPY,2,3744,0.13574383789295633
price_sigma_w,15m,UP_CHOPPY,4,3744,0.15230513636792867
price_sigma_w,15m,UP_CHOPPY,8,3744,0.17035938884788243
price_sigma_w,15m,UP_CHOPPY,12,3744,0.18992442192511855
price_sigma_w,15m,DOWN_SMOOTH,-12,4362,-0.2207018177668343
price_sigma_w,15m,DOWN_SMOOTH,-8,4362,-0.08887383167827456
price_sigma_w,15m,DOWN_SMOOTH,-4,4362,0.008513744258896517
price_sigma_w,15m,DOWN_SMOOTH,-2,4362,0.034279515269471726
price_sigma_w,15m,DOWN_SMOOTH,-1,4362,0.04467214730604509
price_sigma_w,15m,DOWN_SMOOTH,0,4362,0.04931666794316415
price_sigma_w,15m,DOWN_SMOOTH,1,4362,0.05359299304585785
price_sigma_w,15m,DOWN_SMOOTH,2,4362,0.05708503984271842
price_sigma_w,15m,DOWN_SMOOTH,4,4362,0.05979022657750695
price_sigma_w,15m,DOWN_SMOOTH,8,4362,0.05483884797088097
price_sigma_w,15m,DOWN_SMOOTH,12,4362,0.044547516090362026
price_sigma_w,15m,DOWN_CHOPPY,-12,2844,-0.26871436163757867
