concept,tf,regime_2d,peak_shift,peak_corr,contemp_corr,role,lift_vs_contemp
price_sigma_w,15m,UP_SMOOTH,-12,0.4534904966965391,0.1768147825443511,lagging,0.27667571415218806
price_velocity_1b,1h,UP_SMOOTH,-12,0.453094098289333,0.09204126743148587,lagging,0.3610528308578471
swing_noise_w,1m,DOWN_SMOOTH,-12,-0.4500269359162246,-0.09387384145219592,lagging,0.3561530944640287
vol_mean_w,5m,DOWN_SMOOTH,-12,-0.44970911595956936,-0.11379666278790733,lagging,0.335912453171662
price_velocity_w,15m,FLAT_CHOPPY,-12,0.44324004382641025,-0.06882875824928794,lagging,0.37441128557712233
bar_range,5s,UP_SMOOTH,-12,0.43532407391091177,0.2317059901478299,lagging,0.20361808376308188
price_sigma_w,5s,UP_SMOOTH,-12,0.42775191664726386,0.24217814873446983,lagging,0.18557376791279404
price_velocity_w,15m,DOWN_CHOPPY,-12,0.42698169471534403,-0.10944980725174057,lagging,0.31753188746360345
bar_range,1h,UP_SMOOTH,-12,0.42651114784584054,0.23150927131771595,lagging,0.1950018765281246
z_se_w,15m,UP_CHOPPY,-12,0.4228179468449807,-0.09137525931529066,lagging,0.33144268752969
price_sigma_w,1m,DOWN_SMOOTH,-12,-0.40537852245984735,-0.10746542060788737,lagging,0.29791310185195996
bar_range,15m,DOWN_SMOOTH,-12,-0.4020204760222902,-0.08913552362501373,lagging,0.31288495239727643
z_se_w,15m,UP_SMOOTH,-12,0.3994864032959477,0.03656430306372176,lagging,0.36292210023222593
price_sigma_w,5m,UP_CHOPPY,-12,0.38925432469964183,0.0337288834591157,lagging,0.35552544124052615
body,1h,DOWN_CHOPPY,-12,0.3785203112480651,-0.08358545907485833,lagging,0.2949348521732068
body,1h,FLAT_SMOOTH,-12,0.3777009507890901,-0.06553317892249645,lagging,0.31216777186659367
body,1h,DOWN_SMOOTH,-12,0.37505358542575695,-0.05062454026693422,lagging,0.32442904515882276
price_velocity_1b,1h,DOWN_CHOPPY,-12,0.3739600333088111,-0.07511482460979126,lagging,0.29884520869901987
body,15m,UP_CHOPPY,-4,0.3707681820967977,-0.21538326533474778,lagging,0.1553849167620499
price_velocity_1b,15m,UP_CHOPPY,-4,0.3699186740502147,-0.21619914374515942,lagging,0.1537195303050553
bar_range,5m,DOWN_SMOOTH,-12,-0.3643563306353312,-0.13589723218807645,lagging,0.22845909844725473
swing_noise_w,1m,UP_CHOPPY,-12,0.3627032987432295,0.07443701420573383,lagging,0.28826628453749564
price_velocity_w,15m,UP_CHOPPY,-12,0.35757110146137927,-0.14629433131520428,lagging,0.211276770146175
price_velocity_w,15m,DOWN_SMOOTH,-12,0.356054961134717,-0.11628560235781679,lagging,0.23976935877690023
vol_mean_w,5m,UP_SMOOTH,-12,0.35197427720443314,0.1924390587022192,lagging,0.15953521850221394
swing_noise_w,5s,DOWN_SMOOTH,-12,-0.3516731805509823,-0.13703809528505023,lagging,0.21463508526593206
price_sigma_w,5m,DOWN_CHOPPY,-12,-0.35000479027430326,-0.11479952475173828,lagging,0.235205265522565
price_sigma_w,1m,UP_CHOPPY,-8,0.3458897437890727,0.05806617352162564,lagging,0.2878235702674471
vol_mean_w,1m,UP_SMOOTH,-12,0.345023840292131,0.1998485603918735,lagging,0.14517527990025753
bar_range,1m,DOWN_SMOOTH,-12,-0.34398465078939755,-0.13411117712067416,lagging,0.2098734736687234
vol_velocity_w,5m,DOWN_SMOOTH,-8,-0.3434606581814228,-0.08291542477796697,lagging,0.2605452334034558
price_velocity_1b,5m,UP_SMOOTH,-8,0.34048220730197093,0.0774450648905136,lagging,0.2630371424114573
body,5m,UP_SMOOTH,-8,0.3389156303992154,0.08050122690715279,lagging,0.2584144034920626
price_velocity_1b,1h,DOWN_SMOOTH,-12,0.33358095167765556,-0.04760833212279351,lagging,0.28597261955486203
bar_range,15m,UP_CHOPPY,-12,0.33040375274954364,0.060936827566954496,lagging,0.26946692518258913
swing_noise_w,1m,DOWN_CHOPPY,-12,-0.31463230372368867,-0.09757729532043855,lagging,0.21705500840325012
price_velocity_1b,5m,UP_CHOPPY,-12,0.30852077654745774,-0.10025048413026466,lagging,0.20827029241719308
body,5m,UP_CHOPPY,-12,0.30726970581382546,-0.09967604879659442,lagging,0.20759365701723104
bar_range,5m,UP_CHOPPY,-8,0.3027045375659386,0.08660486431237806,lagging,0.21609967325356055
vol_velocity_w,15m,DOWN_SMOOTH,-12,-0.3022392058756683,-0.010024075485130322,lagging,0.292215130390538
price_sigma_w,5s,DOWN_SMOOTH,-12,-0.29977750973024764,-0.10416947258653632,lagging,0.19560803714371133
bar_range,5s,UP_CHOPPY,-8,0.2986515542639428,0.12042583892626926,lagging,0.17822571533767353
bar_range,5s,DOWN_SMOOTH,-12,-0.2927766419580295,-0.11048465603822934,lagging,0.18229198591980017
price_velocity_1b,5m,FLAT_CHOPPY,-4,0.2923603048994408,0.008749481366126032,lagging,0.2836108235333148
body,5m,FLAT_CHOPPY,-4,0.2915093970076421,0.00838031328994475,lagging,0.28312908371769735
vol_mean_w,5s,DOWN_SMOOTH,-12,-0.29102479770827316,-0.09941785149750214,lagging,0.191606946210771
swing_noise_w,5s,UP_CHOPPY,-8,0.290569232096899,0.08106586406664537,lagging,0.20950336803025363
swing_noise_w,5m,DOWN_CHOPPY,-12,-0.29054681031071655,-0.0949889423432472,lagging,0.19555786796746935
swing_noise_w,15m,UP_SMOOTH,-12,0.2889721359765902,0.10093925309187987,lagging,0.18803288288471035
body,5m,FLAT_SMOOTH,-12,0.2877519339616977,-0.034379247934832026,lagging,0.25337268602686563
price_velocity_1b,5m,FLAT_SMOOTH,-12,0.28642818635819345,-0.029347692765618723,lagging,0.25708049359257473
price_velocity_1b,5m,DOWN_SMOOTH,-8,0.2852630069115838,0.006568296278342126,lagging,0.2786947106332417
z_se_w,1h,FLAT_CHOPPY,-12,0.2844196154427574,-0.042511879540857195,lagging,0.2419077359019002
body,5m,DOWN_SMOOTH,-8,0.28429383214085696,-0.0021353150367922303,lagging,0.28215851710406475
price_velocity_1b,5m,DOWN_CHOPPY,-8,0.2749485357677753,-0.021290126751536954,lagging,0.2536584090162383
z_se_w,5m,DOWN_SMOOTH,-4,0.27220335228037723,0.017757166080827183,lagging,0.25444618619955006
body,5m,DOWN_CHOPPY,-8,0.27187706896137404,-0.022475404682411056,lagging,0.249401664278963
z_se_w,5m,FLAT_SMOOTH,-4,0.27141115824615597,-0.010525371325782802,lagging,0.2608857869203732
z_se_w,5m,DOWN_CHOPPY,-4,0.2708355755553667,-0.012877452626937945,lagging,0.25795812292842873
swing_noise_w,5m,DOWN_SMOOTH,-12,-0.2700709110178661,-0.01689879654889336,lagging,0.25317211446897275
price_sigma_w,15m,DOWN_CHOPPY,-12,-0.26871436163757867,-0.045732705117727056,lagging,0.2229816565198516
vol_mean_w,1m,UP_CHOPPY,-8,0.26813365808449036,0.15108050969257872,lagging,0.11705314839191164
price_velocity_1b,1h,FLAT_SMOOTH,-12,0.264896078040104,-0.047450550613896345,lagging,0.21744552742620765
price_velocity_w,15m,FLAT_SMOOTH,-12,0.2648797504511792,-0.0737128368605187,lagging,0.19116691359066046
body,1h,UP_CHOPPY,-12,0.2643950027632025,-0.15205919907610382,lagging,0.11233580368709867
price_sigma_w,1m,DOWN_CHOPPY,-12,-0.26387103112311183,-0.07335282661171857,lagging,0.19051820451139326
price_velocity_1b,1h,UP_CHOPPY,-12,0.2636412765750849,-0.15265804946076192,lagging,0.11098322711432299
bar_range,15m,DOWN_CHOPPY,-12,-0.261058224144702,-0.1069205435526179,lagging,0.15413768059208408
vol_mean_w,5m,UP_CHOPPY,-12,0.26062351692411806,0.1035443957761259,lagging,0.15707912114799216
vol_mean_w,15m,UP_SMOOTH,-12,0.2569345283867964,0.1775760362825324,lagging,0.07935849210426402
body,1m,UP_SMOOTH,-4,0.24841293907155293,0.09555998087974908,lagging,0.15285295819180383
price_velocity_1b,1m,UP_SMOOTH,-4,0.24635683157196617,0.09434225987082598,lagging,0.1520145717011402
z_se_w,1h,DOWN_CHOPPY,-12,0.24548394436848803,-0.06827712901184148,lagging,0.17720681535664656
reversion_prob_w,1h,DOWN_SMOOTH,-12,0.2420676248510466,-0.03514161898407612,lagging,0.2069260058669705
bar_range,5m,DOWN_CHOPPY,-12,-0.2406969557783398,-0.08232635666778593,lagging,0.15837059911055387
swing_noise_w,5m,UP_CHOPPY,-12,0.23926766178624637,0.09713919763509712,lagging,0.14212846415114924
z_se_w,5m,FLAT_CHOPPY,-4,0.23886271917967564,0.012544225214281373,lagging,0.22631849396539427
z_se_w,1h,FLAT_SMOOTH,-12,0.2382232976661725,-0.028648678151513708,lagging,0.2095746195146588
z_se_w,1h,DOWN_SMOOTH,-12,0.23789983521073657,-0.04891790168358011,lagging,0.18898193352715648
vol_velocity_w,1h,DOWN_SMOOTH,-12,-0.23611361073437395,-0.11739607976731667,lagging,0.11871753096705728
z_se_w,1h,UP_SMOOTH,-12,0.23233085010522989,0.02217727404294288,lagging,0.21015357606228702
bar_range,1m,UP_CHOPPY,-8,0.23220848177049805,0.11983507832128659,lagging,0.11237340344921146
bar_range,1h,DOWN_SMOOTH,-12,-0.2320115165020598,-0.0478383031472005,lagging,0.1841732133548593
price_sigma_w,15m,UP_CHOPPY,-12,0.22755037712197038,0.11121074357979302,lagging,0.11633963354217736
vol_mean_w,5s,UP_SMOOTH,-12,0.2270648485044667,0.14228386827242773,lagging,0.08478098023203898
z_se_w,5m,UP_CHOPPY,-4,0.22399657128791226,-0.019323020304118557,lagging,0.2046735509837937
bar_range,1m,DOWN_CHOPPY,-12,-0.22385244166757495,-0.11129816457908388,lagging,0.11255427708849107
bar_range,1h,DOWN_CHOPPY,-12,-0.22074188668889422,-0.149160601914098,lagging,0.07158128477479622
price_sigma_w,15m,DOWN_SMOOTH,-12,-0.2207018177668343,0.04931666794316415,lagging,0.17138514982367015
price_sigma_w,5m,FLAT_SMOOTH,-12,-0.21763754443637984,0.009401071626352309,lagging,0.20823647281002752
vol_mean_w,15m,DOWN_SMOOTH,-12,-0.21634704567366828,-0.12056065122377269,lagging,0.09578639444989559
price_sigma_w,5s,UP_CHOPPY,-8,0.216335545986768,0.09764099274043797,lagging,0.11869455324633002
swing_noise_w,5s,DOWN_CHOPPY,-12,-0.21137245071455932,-0.09665060237982116,lagging,0.11472184833473816
vol_velocity_w,1h,UP_SMOOTH,-12,0.21076509530051799,0.15101721120127853,lagging,0.05974788409923945
price_sigma_w,5s,DOWN_CHOPPY,-12,-0.21063514209398512,-0.09848499762537792,lagging,0.1121501444686072
price_velocity_w,5s,UP_SMOOTH,-2,0.20826455440647118,0.07975155707656986,lagging,0.12851299732990132
reversion_prob_w,15m,DOWN_SMOOTH,-8,0.20781816212055032,0.06031439654007424,lagging,0.14750376558047607
price_sigma_w,1m,FLAT_SMOOTH,-12,-0.2063166477040323,0.008211199343561456,lagging,0.19810544836047084
bar_range,5s,DOWN_CHOPPY,-12,-0.20613655968039096,-0.09971390889541383,lagging,0.10642265078497713
body,1m,UP_CHOPPY,-2,0.2060631262812843,0.08329741479907367,lagging,0.12276571148221062
price_velocity_1b,1m,UP_CHOPPY,-2,0.20491306856765476,0.08312092085563733,lagging,0.12179214771201743
swing_noise_w,1m,FLAT_SMOOTH,-12,-0.20288274361029682,-0.002875953735630778,lagging,0.20000678987466605
vol_mean_w,5s,UP_CHOPPY,-8,0.20134951618100183,0.10899360161369433,lagging,0.0923559145673075
swing_noise_w,15m,UP_CHOPPY,-12,0.19984324981061324,0.10708322623563142,lagging,0.09276002357498182
vol_mean_w,1m,DOWN_CHOPPY,-12,-0.19594213918645367,-0.1085684039708832,lagging,0.08737373521557047
bar_range,1h,UP_CHOPPY,12,0.1916045752319406,0.10947536035951512,leading,0.08212921487242549
price_sigma_w,5m,FLAT_CHOPPY,-12,-0.18905840251425884,-0.0038793886143771877,lagging,0.18517901389988164
bar_range,5m,FLAT_SMOOTH,-12,-0.18880639087705314,0.0018134371687219466,lagging,0.1869929537083312
vol_mean_w,5m,DOWN_CHOPPY,-12,-0.18825256853263195,-0.13004514615608134,lagging,0.058207422376550605
z_se_w,5m,UP_SMOOTH,-4,0.18614145547060398,0.01020892323401883,lagging,0.17593253223658514
reversion_prob_w,1h,DOWN_CHOPPY,-12,0.18607574535936816,0.07971413105484687,lagging,0.10636161430452129
vol_velocity_w,5m,UP_CHOPPY,-4,0.18503631509119003,0.11676737804147198,lagging,0.06826893704971805
vol_velocity_w,15m,UP_SMOOTH,-12,0.18272930804504428,0.07230848720048143,lagging,0.11042082084456285
reversion_prob_w,15m,UP_SMOOTH,-8,-0.18061275029740154,-0.04721553279745322,lagging,0.13339721749994832
reversion_prob_w,1h,UP_SMOOTH,-12,-0.1803898854276015,-0.07269191347415214,lagging,0.10769797195344936
z_se_w,1h,UP_CHOPPY,-12,0.17972877678062132,-0.007528575564212766,lagging,0.17220020121640855
price_velocity_w,5s,UP_CHOPPY,-2,0.1796054485058927,0.061423497809399846,lagging,0.11818195069649284
bar_range,15m,FLAT_SMOOTH,-12,-0.17923969126240963,-0.008669530246253459,lagging,0.17057016101615616
swing_noise_w,1m,FLAT_CHOPPY,-12,-0.1762271060367034,-0.00708749021493466,lagging,0.16913961582176876
vol_mean_w,15m,UP_CHOPPY,-12,0.17584923248082052,0.13576133339375943,lagging,0.04008789908706109
swing_noise_w,5s,FLAT_SMOOTH,-12,-0.17298243773950334,-0.008365760000831432,lagging,0.1646166777386719
price_sigma_w,1m,FLAT_CHOPPY,-12,-0.1666926255451123,-0.027813419147925345,lagging,0.13887920639718696
swing_noise_w,1h,UP_CHOPPY,-4,0.16391231103461246,0.16089145106444697,lagging,0.0030208599701654903
bar_range,1m,FLAT_SMOOTH,-12,-0.1611841036119498,-0.017272243647814947,lagging,0.14391185996413486
vol_velocity_w,1m,DOWN_SMOOTH,-4,-0.16041384062677977,-0.06370530241961171,lagging,0.09670853820716806
bar_range,1m,FLAT_CHOPPY,-12,-0.15125475925586726,-0.017897441095478705,lagging,0.13335731816038857
z_se_w,1m,DOWN_CHOPPY,-2,0.14853603758150552,0.006058909047662448,lagging,0.14247712853384306
vol_velocity_w,5m,UP_SMOOTH,-8,0.14684174119563906,0.04997713077580836,lagging,0.0968646104198307
swing_noise_w,5s,FLAT_CHOPPY,-12,-0.14580158461654788,-0.02977181223112858,lagging,0.1160297723854193
bar_range,15m,FLAT_CHOPPY,-12,-0.14507387358615315,-0.009668702221247962,lagging,0.13540517136490518
z_se_w,1m,FLAT_SMOOTH,-2,0.14492763840548337,-0.007781074595204146,lagging,0.13714656381027923
bar_range,5m,FLAT_CHOPPY,-12,-0.14322127647111424,-0.021785260359662415,lagging,0.12143601611145183
z_se_w,1m,DOWN_SMOOTH,-2,0.1418196284747346,0.014415516792374168,lagging,0.12740411168236043
vol_mean_w,15m,DOWN_CHOPPY,-12,-0.14128856754796054,-0.10414997311768548,lagging,0.03713859443027506
vol_velocity_w,1h,UP_CHOPPY,-12,0.1398304368222115,0.05484324960287098,lagging,0.08498718721934051
vol_mean_w,5s,DOWN_CHOPPY,-12,-0.13954326553776528,-0.07135870977520208,lagging,0.0681845557625632
price_sigma_w,5s,FLAT_SMOOTH,-12,-0.1394004076668803,-0.01638335935664117,lagging,0.12301704831023913
price_sigma_w,5s,FLAT_CHOPPY,-12,-0.13718250397218243,-0.019727902552646927,lagging,0.11745460141953551
price_velocity_1b,1m,DOWN_SMOOTH,-4,0.13619876424792812,0.018846110119063824,lagging,0.1173526541288643
z_se_w,1m,UP_CHOPPY,-2,0.13491465380014528,0.02817388392702698,lagging,0.1067407698731183
vol_velocity_w,15m,FLAT_SMOOTH,-8,-0.13446312903852792,-0.09835161372147853,lagging,0.036111515317049384
body,1m,DOWN_SMOOTH,-4,0.13372144165347288,0.017838439762010525,lagging,0.11588300189146236
swing_noise_w,15m,DOWN_SMOOTH,-12,-0.13203656826825963,-0.014515798436044721,lagging,0.1175207698322149
z_se_w,1m,FLAT_CHOPPY,-2,0.1297907451493719,0.0053209695065672075,lagging,0.12446977564280468
body,5s,UP_CHOPPY,-4,0.12744092512678643,0.02682112036904893,lagging,0.10061980475773749
price_velocity_1b,5s,UP_CHOPPY,-4,0.12493829235255027,0.018891823203070417,lagging,0.10604646914947985
price_sigma_w,1h,UP_CHOPPY,0,0.1244884262301099,0.1244884262301099,contemporaneous,0.0
swing_noise_w,1h,UP_SMOOTH,-12,0.12360732525132505,0.09696329752154749,lagging,0.02664402772977756
vol_mean_w,1m,FLAT_SMOOTH,-12,-0.12301686147344962,-0.02912561313677421,lagging,0.0938912483366754
bar_range,5s,FLAT_CHOPPY,-12,-0.1229039821561417,-0.023788743271471152,lagging,0.09911523888467055
price_velocity_w,1h,UP_SMOOTH,-12,0.11919803480315734,-0.002550488443990085,lagging,0.11664754635916726
reversion_prob_w,15m,DOWN_CHOPPY,-12,0.11759714579315099,-0.02352614352161899,lagging,0.094071002271532
price_velocity_w,1h,UP_CHOPPY,-4,-0.1175691366771592,-0.10731175778947186,lagging,0.010257378887687338
bar_range,5s,FLAT_SMOOTH,-12,-0.11491240155479683,-0.017736457189782725,lagging,0.0971759443650141
swing_noise_w,5m,FLAT_CHOPPY,-12,-0.11407855232387625,0.02652638669120087,lagging,0.08755216563267537
price_velocity_w,1h,DOWN_CHOPPY,-2,-0.11340713020410492,-0.1067355260074575,lagging,0.006671604196647418
vol_velocity_w,15m,DOWN_CHOPPY,-12,-0.11227092662037297,-0.049639732227635416,lagging,0.06263119439273755
vol_velocity_w,1h,DOWN_CHOPPY,-12,-0.11189588824951646,-0.08745080034380967,lagging,0.02444508790570679
swing_noise_w,15m,DOWN_CHOPPY,-12,-0.11122269873508753,0.005027457040144817,lagging,0.10619524169494271
vol_mean_w,5m,FLAT_SMOOTH,-12,-0.11101507206431489,-0.04865267738474797,lagging,0.062362394679566925
price_velocity_1b,1m,FLAT_CHOPPY,-2,0.11023005075076447,-0.0023614516890606944,lagging,0.10786859906170378
price_velocity_w,1h,FLAT_CHOPPY,-1,-0.11021177053977736,-0.10868449908842148,lagging,0.00152727145135588
body,1m,FLAT_CHOPPY,-2,0.10970073782860598,-0.002570535123652398,lagging,0.10713020270495359
body,1m,FLAT_SMOOTH,-2,0.10801456507716958,-0.02015282403787382,lagging,0.08786174103929577
vol_mean_w,1m,FLAT_CHOPPY,-12,-0.10757928597683634,-0.004866954352057483,lagging,0.10271233162477886
price_velocity_1b,1m,FLAT_SMOOTH,-2,0.10666218247855622,-0.021493564085069417,lagging,0.0851686183934868
vol_mean_w,1h,DOWN_SMOOTH,12,0.1038730140121579,0.06230434768375284,leading,0.04156866632840506
price_velocity_w,5s,FLAT_CHOPPY,-2,0.10342294571733487,0.020712254097512837,lagging,0.08271069161982203
reversion_prob_w,15m,UP_CHOPPY,-8,-0.10335190439620477,0.020556705703922987,lagging,0.08279519869228179
hurst_w,15m,DOWN_SMOOTH,-1,0.10304161030419988,0.09917144518328758,lagging,0.003870165120912303
hurst_w,1h,DOWN_CHOPPY,-2,0.10175120531956235,0.09911781205344579,lagging,0.002633393266116557
price_velocity_w,5s,DOWN_SMOOTH,-4,0.10131093380773402,0.02090659992655664,lagging,0.08040433388117739
z_se_w,1m,UP_SMOOTH,-2,0.10006123114399015,0.007141063528146595,lagging,0.09292016761584355
reversion_prob_w,1h,FLAT_CHOPPY,-12,0.0989353752708482,-0.037072648203955054,lagging,0.06186272706689314
vol_velocity_w,5m,FLAT_CHOPPY,-8,-0.098670124568412,-0.04004609483646215,lagging,0.05862402973194985
price_velocity_1b,1m,DOWN_CHOPPY,-8,0.0950454780104521,-0.011935591645434382,lagging,0.08310988636501772
vol_velocity_w,5m,FLAT_SMOOTH,12,-0.09437421794193064,0.048390774775993003,leading,0.04598344316593764
body,1m,DOWN_CHOPPY,-8,0.09426860009790922,-0.012237371844532826,lagging,0.08203122825337639
vol_velocity_w,1m,UP_CHOPPY,-4,0.09146004171550055,0.04982750528537181,lagging,0.04163253643012874
vol_velocity_w,15m,UP_CHOPPY,-8,0.09057492282501223,0.050491074288206726,lagging,0.0400838485368055
vol_mean_w,5m,FLAT_CHOPPY,-12,-0.09020847252675353,0.0061243794413245395,lagging,0.08408409308542898
vol_velocity_w,15m,FLAT_CHOPPY,-12,-0.08772663240020172,-0.015729723520786124,lagging,0.0719969088794156
price_velocity_w,1h,FLAT_SMOOTH,-1,-0.08758489933493366,-0.08575717998184855,lagging,0.0018277193530851082
vol_velocity_w,5m,DOWN_CHOPPY,-8,-0.08735187584759799,0.04010207920737607,lagging,0.047249796640221914
price_sigma_w,15m,FLAT_CHOPPY,-12,-0.08670345643552345,0.03302176569594968,lagging,0.05368169073957377
reversion_prob_w,15m,FLAT_CHOPPY,-12,0.0858988533239155,-0.011428533731706407,lagging,0.0744703195922091
price_velocity_w,5s,FLAT_SMOOTH,-2,0.08460683471831688,-0.01440184378050258,lagging,0.07020499093781431
hurst_w,1m,UP_SMOOTH,-12,0.08361494377401937,0.007604451511335882,lagging,0.07601049226268349
swing_noise_w,5m,FLAT_SMOOTH,-12,-0.08080187290809562,-0.02561381204719024,lagging,0.055188060860905386
reversion_prob_w,15m,FLAT_SMOOTH,-12,0.07843896967073895,-0.023359809190974468,lagging,0.05507916047976448
vol_velocity_w,1m,DOWN_CHOPPY,-4,-0.07685576507308894,0.03992320103389248,lagging,0.03693256403919647
bar_range,1h,FLAT_CHOPPY,-12,-0.07476099408988571,0.02460295431228662,lagging,0.050158039777599084
price_sigma_w,1h,DOWN_CHOPPY,-4,0.07399347714917069,0.06354766581641205,lagging,0.01044581133275864
reversion_prob_w,1h,UP_CHOPPY,-12,-0.0714735981326009,0.0004664981614061491,lagging,0.07100709997119475
price_velocity_w,1h,DOWN_SMOOTH,12,-0.07121145354749726,-0.025554930245789254,leading,0.04565652330170801
hurst_w,1h,UP_SMOOTH,12,0.07106275403382725,0.023985475516975746,leading,0.047077278516851506
swing_noise_w,1h,DOWN_CHOPPY,-8,-0.07067531113295417,-0.06029823118521487,lagging,0.010377079947739294
body,5s,UP_SMOOTH,-4,0.07054796789133519,0.011694438632847698,lagging,0.05885352925848749
price_velocity_1b,5s,DOWN_CHOPPY,8,0.0680610461110911,0.0035407046719537023,leading,0.06452034143913739
vol_mean_w,1h,UP_SMOOTH,-12,0.06786971074334398,0.014622685726063676,lagging,0.053247025017280306
reversion_prob_w,1h,FLAT_SMOOTH,-12,0.066870229197523,0.005753190987105505,lagging,0.061117038210417494
vol_mean_w,5s,FLAT_SMOOTH,-12,-0.06668501835911698,-0.02694039016123685,lagging,0.03974462819788013
hurst_w,15m,UP_SMOOTH,12,-0.06580787664658556,-0.013657931553500872,leading,0.052149945093084696
hurst_w,5m,DOWN_SMOOTH,-12,-0.06577944615209821,-0.008316829010510611,lagging,0.0574626171415876
vol_mean_w,15m,FLAT_SMOOTH,-12,-0.06575679332789663,-0.004473144517764839,lagging,0.0612836488101318
vol_mean_w,1h,FLAT_SMOOTH,12,0.06562275084390756,0.04672891602008025,leading,0.01889383482382731
vol_mean_w,1h,UP_CHOPPY,-12,0.06553384901361319,0.029184350166087468,lagging,0.03634949884752572
price_velocity_w,5s,DOWN_CHOPPY,-1,-0.0649262872142504,-0.025880788890281416,lagging,0.039045498323968975
