pair,UP_SMOOTH,UP_CHOPPY,DOWN_SMOOTH,DOWN_CHOPPY,FLAT_SMOOTH,FLAT_CHOPPY
price_accel_1b__reversion_prob_w,-0.10048074240967243,-0.0015353141330316704,0.07582264521561118,0.02346366678855253,0.03083128705875286,0.03125724813643861
price_accel_1b__swing_noise_w,0.13890698191547116,-0.07128909738997785,-0.015640904754133614,-0.03427587695562192,0.0014047642495550409,0.011378729086619651
price_accel_1b__vol_accel_1b,0.0279792808674182,-0.04411403263263432,-0.09715345233789505,0.0025331096365242218,-0.03914692431518723,-0.016864618637888705
price_accel_1b__vol_accel_w,0.041840740506012525,-0.051527362381499166,-0.044860480531232476,-0.029240080596771606,-0.008282231199052689,-0.003410757695717891
price_accel_1b__vol_mean_w,0.044633263635618536,-0.048642249125433426,-0.040566951910849976,-8.730121445383382e-05,0.01657693702555493,0.0019189679092666704
price_accel_1b__vol_sigma_w,0.051015657557394296,-0.05594127515867949,-0.026975679460764488,-0.027203863766170077,0.015550593663704499,0.004172416285199285
price_accel_1b__vol_velocity_1b,0.08094450226486558,-0.0918106642991087,-0.04266202653808117,-0.03011698269986832,-0.023413304973631748,-0.006731259986131648
price_accel_1b__vol_velocity_w,0.06304763193559938,-0.07768751172772759,0.013745486702099758,-0.0272658334105741,0.035023396498047504,0.00012458982173112182
price_accel_1b__vwap_w,-0.030844629168297583,0.02540355391444743,-0.008341949428739209,0.023109837590842678,0.005349676598174827,-0.0026462341479806693
price_accel_1b__z_high_w,-0.06370324875303625,-0.1007946385941862,-0.13560313281273223,-0.14748711763110878,-0.12582098070111172,-0.1396666861318957
price_accel_1b__z_low_w,-0.09825705580097131,-0.08596624313417876,-0.11408565539629417,-0.12758738185857327,-0.12013528984861721,-0.12949101672608745
price_accel_1b__z_se_w,0.09622845269065265,0.08494766074420228,0.08170040384673657,0.11406320099702298,0.11273819318091867,0.0924559518262958
price_accel_w__SE_high_w,-0.005873109908508674,-0.059486725353824606,0.02384994758087828,0.009896508488217656,0.012126473444471111,0.03937050092025493
price_accel_w__SE_low_w,-0.07701094472978882,-0.07668934935663585,0.003995151197500795,0.002846535504492897,0.005039434956810964,0.021117955191072187
price_accel_w__hurst_w,-0.019446705635537326,-0.012522698473282143,-0.00920107775797901,0.008483263219527581,0.0066871608707282015,0.009048602568705358
price_accel_w__price_mean_w,-0.00376443230222665,-0.011465027381959723,-0.00030916632875254514,-0.0012058817830983939,-0.002783553572448949,-0.0042281442673472594
price_accel_w__price_sigma_w,-0.051727598549554464,-0.03727580625607903,-0.004696194839804974,0.01725326153698075,0.01443540250271229,0.03366176376692069
price_accel_w__reversion_prob_w,-0.0847703092079953,0.021347892096180078,0.09569900740159405,0.04384261188766545,0.040213040012125244,0.04546893484447659
price_accel_w__swing_noise_w,-0.09609811896892019,-0.021830409651726425,0.0409578317920404,0.03448508518593204,0.015040061253918609,0.03537655686234169
price_accel_w__vol_accel_w,0.07632283979693237,-0.0686121371960904,-0.11552555947497309,-0.0987343570933918,-0.046262948996529836,-0.045652490787283874
price_accel_w__vol_mean_w,-0.0187480112734579,-0.006777725264439892,0.02736513825571759,0.028745514567200127,0.026099182975826696,0.024004535986192815
price_accel_w__vol_sigma_w,0.004109960833464127,-0.013296498149420766,0.02451742728148754,0.012186303901909671,0.019192795420084018,0.022565777193907607
price_accel_w__vol_velocity_w,0.10017578537620625,-0.1184650450318524,-0.09196578375951862,-0.0917007095877086,-0.03526993147512122,-0.013561670751446703
price_accel_w__vwap_w,-0.0037318973952570173,-0.011458204589377737,5.86093501028453e-06,-0.0011278226819520362,-0.0027755187256261592,-0.004134908833478798
price_accel_w__z_high_w,0.15465725396477076,0.12747479168034356,0.16727177096266402,0.16627585135480336,0.20598314527672795,0.16941669813665677
price_accel_w__z_low_w,0.12811129338755894,0.1483793561174154,0.18599258231027319,0.18578321461505762,0.20430515721257422,0.17610199765886955
price_accel_w__z_se_w,0.27089080468866705,0.2594685133791764,0.33394024153302637,0.3573898280057004,0.3712086771649791,0.3368853358092154
price_mean_w__SE_high_w,-0.36708464965261506,-0.47858588923043116,-0.4031772679998939,-0.3219596624755517,-0.2533886608357275,-0.41774981968569497
price_mean_w__SE_low_w,-0.35822425976451705,-0.4714667651857424,-0.3754576833953226,-0.2972306263816634,-0.24521786282638355,-0.4053597154059038
price_mean_w__hurst_w,-0.06350698505113753,-0.007814271502936293,0.015000696712892147,-0.016844430469606486,-0.034971347941038455,-0.025099936778461476
price_mean_w__price_sigma_w,-0.34131816910683804,-0.46875281080228715,-0.3626800159516348,-0.29796462632743564,-0.23432843631683395,-0.38908533294625575
price_mean_w__reversion_prob_w,0.022894362423171537,0.014425364344954157,0.024145766737292674,0.03362246359466103,-0.0028560613867477567,-0.006597047980305454
price_mean_w__swing_noise_w,-0.39002313292741986,-0.5191834209266163,-0.44599978785195254,-0.34936416174785884,-0.3303213900980345,-0.4410394750128614
price_mean_w__vol_mean_w,-0.1936873383029338,-0.2355853406631159,-0.12378516708823653,-0.07992071499004064,-0.21689556593151452,-0.2022187955430897
price_mean_w__vol_sigma_w,-0.1298448956779651,-0.11851507947947375,-0.04216176077153345,0.011478096959645084,-0.14755650156679312,-0.10893616150461771
price_mean_w__vwap_w,0.9999952595188387,0.9999954923436223,0.9999865004271292,0.9999972134647575,0.9999928187740269,0.9999966952368243
price_mean_w__z_high_w,-0.003840839380674354,-0.02470637777877047,-0.01061311899813885,-0.0062119185708076905,0.008955680022363379,-0.0036783657125513585
price_mean_w__z_low_w,0.008098988352078515,-0.01894437147678566,-0.004731332523716164,-4.223035245668092e-05,0.0005721571515293581,-0.0009859916318588713
price_mean_w__z_se_w,-0.002189341835739211,-0.025232780825024788,-0.008227694716235743,0.001992774825252817,0.006494501674970852,-0.0017810173085214742
price_sigma_w__SE_high_w,0.8909199362637231,0.8968897129348751,0.8835738846034696,0.8314153632135934,0.9268653560141996,0.8580803376851699
price_sigma_w__SE_low_w,0.9094457029322843,0.8882997078004925,0.9043363835371327,0.8392820117198404,0.9346500719336814,0.8615104946368022
price_sigma_w__hurst_w,0.021614767249765927,0.04650789105527254,0.03244487591711185,-0.02901806898576404,-0.0315724291884218,0.006194652639709422
price_sigma_w__reversion_prob_w,-0.024291589605416764,-0.005325965890602938,-0.01069364273099091,-0.030472532787565915,0.0023884047840172264,-0.015799087724954638
price_sigma_w__swing_noise_w,0.8341789251656898,0.9119942198086515,0.8129877963873775,0.8131332978769026,0.6989064558399092,0.8478189651895748
price_sigma_w__vol_mean_w,0.5523448609831779,0.6733608530813481,0.577127662830562,0.6975382033804828,0.4377037069980135,0.6613793319881588
price_sigma_w__vol_sigma_w,0.5372772539372154,0.5315871463459787,0.5444421128442407,0.6662452548871239,0.42354077963123965,0.6162667563779731
price_sigma_w__vwap_w,-0.33992640675435637,-0.4678554235169502,-0.3660227103956032,-0.2988235374526637,-0.2334611409115476,-0.38942254429608186
price_sigma_w__z_high_w,-0.03544717217224863,-0.01102932635909286,0.017113271084593755,0.010261268552894042,-0.010189199088692478,-0.006087144947801646
price_sigma_w__z_low_w,-0.018102460601196912,0.00802335646138787,0.030236027449498225,0.035055681478466605,0.008309061669829473,0.01858712464290775
price_sigma_w__z_se_w,-0.026273825574176436,-0.008185965724303761,0.028437625458964406,0.020758421176835056,0.0013285960308791224,0.006288215466076001
price_velocity_1b__SE_high_w,0.12686972946593533,-0.1704459884208534,-0.06601637676393823,-0.03941283294103326,0.023495093834145667,0.006325042666423174
price_velocity_1b__SE_low_w,0.046206921464146566,-0.213738974607891,-0.08338057750483224,-0.06834556895061297,0.003116149309975095,-0.025392481891594928
price_velocity_1b__bar_range,0.3647031138199274,-0.2537286102779444,-0.19680203885081507,-0.11458361472905883,-0.02745673973379208,-0.046543053577962394
price_velocity_1b__body,0.9972066995117695,0.9988652317311223,0.9978481929109643,0.9977710778634769,0.9954650184047482,0.9968760672926784
price_velocity_1b__hurst_w,-0.0017242043631670748,-0.014771112590827497,0.01538795569323571,0.0013633676947598394,0.0024986861531446913,0.007509686312732635
price_velocity_1b__price_accel_1b,0.7491881209345913,0.7011043404136174,0.70934760841242,0.689746689863753,0.6871525246306255,0.6718724195848778
price_velocity_1b__price_accel_w,0.6705912964691972,0.6865395918698892,0.7108775461265788,0.7053947990235265,0.7069261440832493,0.7183378741778941
price_velocity_1b__price_mean_w,-0.030736949797609905,-0.005596863325815794,0.012372528259650822,0.0179964209533333,0.008540478010486623,0.010221878379324272
price_velocity_1b__price_sigma_w,0.06802305950133541,-0.13717118696052727,-0.07986830436658636,-0.04338768530647585,0.012297245500385499,-0.005550826535087365
price_velocity_1b__price_velocity_w,0.22544855878215303,0.24565588989081544,0.24547612343788894,0.22889351309879308,0.13890487716513883,0.21676221933479203
price_velocity_1b__reversion_prob_w,-0.10416344597904795,-0.010849865695603646,0.1433933892638944,0.0811950544453071,0.07408859069290917,0.06274207354067439
price_velocity_1b__swing_noise_w,0.06851177750277594,-0.13646972994485987,-0.05068834835950884,-0.042749839415652365,0.007607439954208604,-0.003033436478423586
price_velocity_1b__vol_accel_1b,0.013296846949111206,-0.030454457349431908,-0.06945942030762634,-0.04172044526054734,-0.04136492415012415,-0.023420660165662077
price_velocity_1b__vol_accel_w,0.041826737230375444,-0.04453516675185928,-0.06282014394043614,-0.06751529999071301,-0.0314290597747515,-0.025394814537317314
price_velocity_1b__vol_mean_w,0.05631890393114379,-0.06099204546033122,-0.08967693168788914,-0.023920398551252366,0.029483058962403486,0.003924826129670164
price_velocity_1b__vol_sigma_w,0.07418918835838943,-0.0608814219730157,-0.08266896994531577,-0.05438157800426223,0.007919816752738874,0.009338098447104114
price_velocity_1b__vol_velocity_1b,0.07959224310054976,-0.06971109557949559,-0.09526776700825619,-0.10332828429102925,-0.06529496359528868,-0.03198400744740754
price_velocity_1b__vol_velocity_w,0.07069333314623287,-0.07056237033555776,-0.09862412020146033,-0.0971113197194864,-0.041736272592461716,-0.020796750379378302
price_velocity_1b__vwap_w,-0.03046962040080195,-0.005544901314249325,0.012935466592838271,0.018156064235923784,0.008650456721613535,0.01045539102737205
price_velocity_1b__z_high_w,0.21471124821342302,0.1832260244133576,0.2342230558554371,0.27114737200339756,0.2688387676411165,0.25274582490505404
price_velocity_1b__z_low_w,0.1763832282879689,0.20116820301218236,0.2576580471079419,0.2986495772702151,0.28000595018379965,0.26201606882856987
price_velocity_1b__z_se_w,0.37294756831823034,0.36925918994526286,0.46123973685952513,0.5362640451482827,0.5127411525027354,0.4853164143001348
price_velocity_w__SE_high_w,0.4498702604374109,0.18900794511381466,-0.41954993587857303,-0.2019828068979639,0.22519754786344384,-0.0679502030803313
price_velocity_w__SE_low_w,0.43200623524739706,0.13431298828804666,-0.44160908813094607,-0.22615381821621386,0.17257327120068727,-0.1262304692942569
price_velocity_w__hurst_w,0.02595127632742407,0.011000260220991558,-0.03224174406066944,0.013424249360738707,-0.010426634296067699,0.013674023595619708
price_velocity_w__price_accel_w,0.012549849477558878,0.0694589396225221,0.18668348618272523,0.1839679395499401,0.10597797856620685,0.14697901590942875
price_velocity_w__price_mean_w,-0.07935278315708058,-0.06702884198277692,0.07380022885891573,0.02967179952534752,0.013849177663783359,0.016439156557465653
price_velocity_w__price_sigma_w,0.5348318225482117,0.25755656034634106,-0.4984958864675218,-0.2540688256245615,0.18498829781954976,-0.12975272548863903
price_velocity_w__reversion_prob_w,-0.01619559021779085,-0.009152643950467946,0.009580774831959744,0.057513132978104266,0.023337219772430882,0.019802551633216533
price_velocity_w__swing_noise_w,0.4548139720421209,0.18244225138983178,-0.3768826379789678,-0.20272370701727024,0.12341915801408727,-0.08842143239794753
price_velocity_w__vol_accel_w,-0.026707914539495992,0.01452504172990537,0.020784058533813855,-0.02175750635882366,0.0220707199869429,0.022011489164578353
price_velocity_w__vol_mean_w,0.22252768348021645,0.12081290219805765,-0.24174909212538082,-0.12762927691694131,-0.06747746806899832,-0.050720705750256466
price_velocity_w__vol_sigma_w,0.2370989231181355,0.09473869946219675,-0.27857358940019133,-0.1739051487869714,-0.08304779875706463,-0.05066680739930673
