**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

tf,pair,c1,c2,r_min,r_max,regime_min,regime_max,n_regimes,spread
1h,price_velocity_w__vol_mean_w,price_velocity_w,vol_mean_w,-0.6822117692361835,0.5480840976736608,DOWN_SMOOTH,UP_SMOOTH,6,1.2302958669098443
1D,price_velocity_w__SE_low_w,price_velocity_w,SE_low_w,-0.8226821673380077,0.3674223084344873,UP_CHOPPY,DOWN_CHOPPY,6,1.190104475772495
1D,price_velocity_w__SE_high_w,price_velocity_w,SE_high_w,-0.8233179773980808,0.36209326188058855,UP_CHOPPY,FLAT_SMOOTH,6,1.1854112392786693
15m,price_velocity_w__swing_noise_w,price_velocity_w,swing_noise_w,-0.5646444959621644,0.6154844797727159,DOWN_SMOOTH,UP_SMOOTH,6,1.1801289757348803
4h,price_velocity_w__SE_low_w,price_velocity_w,SE_low_w,-0.7049865225931318,0.4731114257284999,UP_CHOPPY,FLAT_SMOOTH,6,1.1780979483216316
1D,price_velocity_1b__bar_range,price_velocity_1b,bar_range,-0.6678344182573849,0.5085170258363532,DOWN_CHOPPY,FLAT_SMOOTH,6,1.1763514440937382
1D,bar_range__body,bar_range,body,-0.6673018223721664,0.4963572667753002,DOWN_CHOPPY,FLAT_SMOOTH,6,1.1636590891474665
1D,price_velocity_w__vol_mean_w,price_velocity_w,vol_mean_w,-0.8328812825789259,0.3272471870717236,UP_CHOPPY,DOWN_CHOPPY,6,1.1601284696506495
4h,price_velocity_w__SE_high_w,price_velocity_w,SE_high_w,-0.6411782850830314,0.49273636503262663,UP_CHOPPY,FLAT_SMOOTH,6,1.133914650115658
1D,vol_accel_1b__price_accel_w,vol_accel_1b,price_accel_w,-0.4629281506418644,0.6701364235732818,DOWN_SMOOTH,DOWN_CHOPPY,6,1.1330645742151462
1D,price_accel_1b__bar_range,price_accel_1b,bar_range,-0.5111850626384018,0.6015923197950245,DOWN_CHOPPY,UP_CHOPPY,6,1.1127773824334262
5m,price_velocity_w__SE_high_w,price_velocity_w,SE_high_w,-0.4821724862674416,0.6292951873702396,DOWN_SMOOTH,UP_SMOOTH,6,1.1114676736376812
5m,price_velocity_w__SE_low_w,price_velocity_w,SE_low_w,-0.5311447915641064,0.5666458381348465,DOWN_SMOOTH,UP_SMOOTH,6,1.0977906296989528
4h,z_se_w__reversion_prob_w,z_se_w,reversion_prob_w,-0.5480115828759797,0.5374888112564985,UP_SMOOTH,DOWN_SMOOTH,6,1.0855003941324783
1D,price_velocity_w__vol_sigma_w,price_velocity_w,vol_sigma_w,-0.8585315076639792,0.20639256156979824,UP_CHOPPY,FLAT_SMOOTH,6,1.0649240692337774
1D,bar_range__price_accel_w,bar_range,price_accel_w,-0.5231429542521363,0.5288534144328653,DOWN_SMOOTH,UP_SMOOTH,6,1.0519963686850016
1D,vol_velocity_1b__price_accel_w,vol_velocity_1b,price_accel_w,-0.49141767305871303,0.5490691699240544,DOWN_SMOOTH,DOWN_CHOPPY,6,1.0404868429827674
1m,price_velocity_w__price_sigma_w,price_velocity_w,price_sigma_w,-0.4984958864675218,0.5348318225482117,DOWN_SMOOTH,UP_SMOOTH,6,1.0333277090157336
15m,bar_range__price_velocity_w,bar_range,price_velocity_w,-0.551929503088282,0.4624502637429418,DOWN_SMOOTH,UP_SMOOTH,6,1.0143797668312238
15m,price_velocity_w__vol_mean_w,price_velocity_w,vol_mean_w,-0.5277255193041926,0.48510126168799955,DOWN_SMOOTH,UP_SMOOTH,6,1.0128267809921923
1h,bar_range__price_accel_w,bar_range,price_accel_w,-0.4101460067344527,0.5829519937362228,DOWN_SMOOTH,UP_SMOOTH,6,0.9930980004706754
1h,price_velocity_w__vol_sigma_w,price_velocity_w,vol_sigma_w,-0.5273167960247348,0.44161597728461743,DOWN_CHOPPY,UP_CHOPPY,6,0.9689327733093522
1h,bar_range__price_velocity_w,bar_range,price_velocity_w,-0.5807100237297333,0.3768319869010755,DOWN_SMOOTH,UP_SMOOTH,6,0.9575420106308088
1h,price_velocity_1b__reversion_prob_w,price_velocity_1b,reversion_prob_w,-0.421955779237173,0.5310586376645537,UP_SMOOTH,DOWN_SMOOTH,6,0.9530144169017267
1D,vol_accel_w__swing_noise_w,vol_accel_w,swing_noise_w,-0.5106684870659368,0.44075228092838187,UP_CHOPPY,DOWN_CHOPPY,6,0.9514207679943187
1h,body__reversion_prob_w,body,reversion_prob_w,-0.40164402762721835,0.5346692406904927,UP_SMOOTH,DOWN_SMOOTH,6,0.9363132683177111
15m,price_velocity_1b__bar_range,price_velocity_1b,bar_range,-0.4167195838846876,0.5189034257436299,DOWN_SMOOTH,UP_SMOOTH,6,0.9356230096283176
15m,price_velocity_w__vol_sigma_w,price_velocity_w,vol_sigma_w,-0.4750260317652494,0.4421199359014695,DOWN_SMOOTH,UP_SMOOTH,6,0.9171459676667189
4h,price_velocity_w__vol_mean_w,price_velocity_w,vol_mean_w,-0.7609052803150538,0.14841989200686212,UP_CHOPPY,FLAT_SMOOTH,6,0.9093251723219159
15m,bar_range__body,bar_range,body,-0.3748447610346842,0.5302224360476414,DOWN_SMOOTH,UP_SMOOTH,6,0.9050671970823256
4h,body__reversion_prob_w,body,reversion_prob_w,-0.39823671567332464,0.5049073078921742,UP_CHOPPY,DOWN_CHOPPY,6,0.9031440235654988
4h,price_velocity_1b__reversion_prob_w,price_velocity_1b,reversion_prob_w,-0.397828742631709,0.5044457987177039,UP_CHOPPY,DOWN_CHOPPY,6,0.9022745413494129
4h,z_high_w__reversion_prob_w,z_high_w,reversion_prob_w,-0.5384063049270148,0.35588973054034045,UP_SMOOTH,DOWN_SMOOTH,6,0.8942960354673553
1D,price_accel_1b__SE_low_w,price_accel_1b,SE_low_w,-0.3748349581646788,0.5192848440562224,UP_SMOOTH,UP_CHOPPY,6,0.8941198022209013
1D,vol_velocity_w__vol_sigma_w,vol_velocity_w,vol_sigma_w,-0.5335399705824097,0.35084403915741086,FLAT_SMOOTH,UP_CHOPPY,6,0.8843840097398206
5m,price_velocity_w__swing_noise_w,price_velocity_w,swing_noise_w,-0.3718485654268764,0.5085059685727287,DOWN_SMOOTH,UP_SMOOTH,6,0.8803545339996051
1m,price_velocity_w__SE_low_w,price_velocity_w,SE_low_w,-0.44160908813094607,0.43200623524739706,DOWN_SMOOTH,UP_SMOOTH,6,0.8736153233783431
1m,price_velocity_w__SE_high_w,price_velocity_w,SE_high_w,-0.41954993587857303,0.4498702604374109,DOWN_SMOOTH,UP_SMOOTH,6,0.869420196315984
1D,vol_velocity_1b__price_velocity_w,vol_velocity_1b,price_velocity_w,-0.30219694187695356,0.5651993909279313,FLAT_CHOPPY,DOWN_CHOPPY,6,0.8673963328048848
1D,price_mean_w__z_high_w,price_mean_w,z_high_w,-0.4033962563290506,0.46278527304966666,UP_SMOOTH,DOWN_SMOOTH,6,0.8661815293787172
1D,vol_accel_1b__body,vol_accel_1b,body,-0.27132567707396027,0.5942261802234459,DOWN_SMOOTH,DOWN_CHOPPY,6,0.8655518572974061
1D,vol_accel_1b__price_velocity_w,vol_accel_1b,price_velocity_w,-0.1419991578156437,0.7231431561411573,FLAT_CHOPPY,DOWN_CHOPPY,6,0.8651423139568011
1D,vwap_w__z_high_w,vwap_w,z_high_w,-0.40077504325374447,0.44963666954659437,UP_SMOOTH,DOWN_SMOOTH,6,0.8504117128003388
1D,price_accel_w__vol_accel_w,price_accel_w,vol_accel_w,-0.4867033471133623,0.3628205452571192,DOWN_SMOOTH,DOWN_CHOPPY,6,0.8495238923704815
1D,body__vol_velocity_w,body,vol_velocity_w,-0.5077164460779852,0.3398924179495598,DOWN_CHOPPY,FLAT_SMOOTH,6,0.847608864027545
5m,bar_range__price_velocity_w,bar_range,price_velocity_w,-0.39706845308403393,0.44792592791387004,DOWN_SMOOTH,UP_SMOOTH,6,0.8449943809979039
4h,price_velocity_w__vol_sigma_w,price_velocity_w,vol_sigma_w,-0.7468622128956127,0.09554149784403089,UP_CHOPPY,FLAT_SMOOTH,6,0.8424037107396436
1D,SE_low_w__hurst_w,SE_low_w,hurst_w,-0.518863288161068,0.3137449961749812,DOWN_CHOPPY,DOWN_SMOOTH,6,0.8326082843360492
1m,price_velocity_w__swing_noise_w,price_velocity_w,swing_noise_w,-0.3768826379789678,0.4548139720421209,DOWN_SMOOTH,UP_SMOOTH,6,0.8316966100210887
1h,z_se_w__reversion_prob_w,z_se_w,reversion_prob_w,-0.34326730219383095,0.4749286609023194,UP_SMOOTH,DOWN_SMOOTH,6,0.8181959630961504
4h,bar_range__price_velocity_w,bar_range,price_velocity_w,-0.6628525406595364,0.15350265688358353,DOWN_SMOOTH,UP_SMOOTH,6,0.8163551975431199
1D,SE_high_w__hurst_w,SE_high_w,hurst_w,-0.4693246494103978,0.3460674690046311,DOWN_CHOPPY,DOWN_SMOOTH,6,0.8153921184150289
1D,price_accel_1b__SE_high_w,price_accel_1b,SE_high_w,-0.11945512156561608,0.693426781006624,UP_SMOOTH,UP_CHOPPY,6,0.8128819025722401
1D,price_accel_1b__price_velocity_w,price_accel_1b,price_velocity_w,-0.35474917249768084,0.455522749704523,UP_CHOPPY,UP_SMOOTH,6,0.8102719222022039
1D,price_accel_1b__vol_sigma_w,price_accel_1b,vol_sigma_w,-0.34008560128700127,0.46980653868812294,DOWN_CHOPPY,UP_CHOPPY,6,0.8098921399751242
1D,price_velocity_1b__SE_high_w,price_velocity_1b,SE_high_w,-0.30985965398658377,0.49814562580564814,DOWN_SMOOTH,FLAT_CHOPPY,6,0.8080052797922319
1D,price_velocity_w__swing_noise_w,price_velocity_w,swing_noise_w,-0.47891461615696707,0.3255611362543573,UP_CHOPPY,FLAT_SMOOTH,6,0.8044757524113244
1D,vol_accel_1b__vol_velocity_w,vol_accel_1b,vol_velocity_w,-0.4231406370912058,0.377198707621692,DOWN_CHOPPY,DOWN_SMOOTH,6,0.8003393447128978
1D,price_velocity_1b__vol_accel_1b,price_velocity_1b,vol_accel_1b,-0.20125301976209908,0.5944072826421606,DOWN_SMOOTH,DOWN_CHOPPY,6,0.7956603024042597
1D,price_accel_1b__price_mean_w,price_accel_1b,price_mean_w,-0.49598461158216883,0.29562639935221025,UP_CHOPPY,DOWN_CHOPPY,6,0.791611010934379
4h,price_accel_1b__vol_accel_1b,price_accel_1b,vol_accel_1b,-0.43249119499949695,0.35503379659800427,DOWN_SMOOTH,UP_SMOOTH,6,0.7875249915975012
1D,price_velocity_w__price_mean_w,price_velocity_w,price_mean_w,-0.19394652425474457,0.5897880765421866,FLAT_SMOOTH,UP_CHOPPY,6,0.7837346007969311
1h,price_accel_w__reversion_prob_w,price_accel_w,reversion_prob_w,-0.35274388910354243,0.4300042810257121,UP_SMOOTH,DOWN_SMOOTH,6,0.7827481701292545
4h,price_accel_1b__bar_range,price_accel_1b,bar_range,-0.27878177982879554,0.5036846867008129,DOWN_SMOOTH,UP_SMOOTH,6,0.7824664665296084
1h,price_velocity_w__vwap_w,price_velocity_w,vwap_w,-0.36586180942511115,0.4159169140114763,UP_SMOOTH,DOWN_SMOOTH,6,0.7817787234365874
1h,price_velocity_w__price_mean_w,price_velocity_w,price_mean_w,-0.3658471773937043,0.41386980939712464,UP_SMOOTH,DOWN_SMOOTH,6,0.7797169867908289
1D,price_accel_1b__vwap_w,price_accel_1b,vwap_w,-0.4767239651778158,0.3027815593874717,UP_CHOPPY,DOWN_CHOPPY,6,0.7795055245652875
1D,price_accel_1b__swing_noise_w,price_accel_1b,swing_noise_w,-0.25904111424746146,0.5204397738390585,DOWN_CHOPPY,UP_CHOPPY,6,0.7794808880865199
1D,vol_velocity_w__price_sigma_w,vol_velocity_w,price_sigma_w,-0.37707735416975,0.4015360367701249,FLAT_SMOOTH,DOWN_CHOPPY,6,0.7786133909398749
1D,price_velocity_w__vwap_w,price_velocity_w,vwap_w,-0.19959758136493938,0.5703063592765548,FLAT_SMOOTH,UP_CHOPPY,6,0.7699039406414943
4h,price_accel_1b__vol_velocity_1b,price_accel_1b,vol_velocity_1b,-0.3279490977947669,0.43855977786768974,DOWN_SMOOTH,UP_SMOOTH,6,0.7665088756624566
1D,bar_range__price_velocity_w,bar_range,price_velocity_w,-0.6313364220732047,0.1309877163542556,UP_CHOPPY,FLAT_SMOOTH,6,0.7623241384274604
4h,price_accel_w__reversion_prob_w,price_accel_w,reversion_prob_w,-0.2845178133935853,0.4683355717790293,UP_SMOOTH,DOWN_CHOPPY,6,0.7528533851726146
1h,vol_velocity_w__z_high_w,vol_velocity_w,z_high_w,-0.4031964707652148,0.3383539460045322,DOWN_SMOOTH,UP_SMOOTH,6,0.7415504167697471
4h,price_velocity_w__price_mean_w,price_velocity_w,price_mean_w,-0.19276367346045806,0.5485629693577804,UP_SMOOTH,UP_CHOPPY,6,0.7413266428182385
1D,vol_accel_1b__bar_range,vol_accel_1b,bar_range,-0.246057779851806,0.4949955819241449,DOWN_CHOPPY,DOWN_SMOOTH,6,0.7410533617759509
4h,vol_velocity_1b__body,vol_velocity_1b,body,-0.4335657175214038,0.3010621305844086,DOWN_SMOOTH,UP_SMOOTH,6,0.7346278481058124
1D,vol_accel_w__price_mean_w,vol_accel_w,price_mean_w,-0.28140973245977263,0.45242035988547163,DOWN_CHOPPY,UP_CHOPPY,6,0.7338300923452443
4h,price_velocity_w__vwap_w,price_velocity_w,vwap_w,-0.1860754673774297,0.547226635376755,UP_SMOOTH,UP_CHOPPY,6,0.7333021027541846
1D,price_accel_w__vol_velocity_w,price_accel_w,vol_velocity_w,-0.4730492027958293,0.25971461805115015,DOWN_SMOOTH,FLAT_SMOOTH,6,0.7327638208469794
1D,vol_accel_w__reversion_prob_w,vol_accel_w,reversion_prob_w,-0.4837693443955376,0.2464289806123862,DOWN_SMOOTH,DOWN_CHOPPY,6,0.7301983250079238
1D,price_accel_1b__vol_mean_w,price_accel_1b,vol_mean_w,-0.18970266023264934,0.5404658151648327,UP_SMOOTH,UP_CHOPPY,6,0.7301684753974821
1h,vol_velocity_w__z_se_w,vol_velocity_w,z_se_w,-0.3830771926450216,0.347016713741363,DOWN_SMOOTH,UP_SMOOTH,6,0.7300939063863846
1D,vol_accel_1b__z_se_w,vol_accel_1b,z_se_w,-0.14077451149848627,0.5888037395894177,FLAT_SMOOTH,DOWN_CHOPPY,6,0.729578251087904
1D,vol_velocity_1b__swing_noise_w,vol_velocity_1b,swing_noise_w,-0.37559771812319603,0.35249262003936993,UP_CHOPPY,DOWN_CHOPPY,6,0.728090338162566
1D,vol_velocity_1b__SE_high_w,vol_velocity_1b,SE_high_w,-0.3791206864777139,0.3483604122892077,DOWN_SMOOTH,DOWN_CHOPPY,6,0.7274810987669216
4h,price_velocity_1b__swing_noise_w,price_velocity_1b,swing_noise_w,-0.3686015587327636,0.3569964205680854,DOWN_SMOOTH,UP_CHOPPY,6,0.725597979300849
4h,body__vol_velocity_w,body,vol_velocity_w,-0.41343262784798995,0.31214156635087076,DOWN_SMOOTH,UP_SMOOTH,6,0.7255741941988607
1D,vol_velocity_w__z_low_w,vol_velocity_w,z_low_w,-0.5195207498661384,0.2012217374190293,DOWN_SMOOTH,UP_SMOOTH,6,0.7207424872851677
4h,bar_range__z_se_w,bar_range,z_se_w,-0.44459445294682304,0.2737967231961703,DOWN_SMOOTH,UP_SMOOTH,6,0.7183911761429933
4h,vwap_w__hurst_w,vwap_w,hurst_w,-0.2555988194377252,0.4619916408709249,DOWN_SMOOTH,UP_SMOOTH,6,0.7175904603086501
1D,price_velocity_1b__price_sigma_w,price_velocity_1b,price_sigma_w,-0.4475512279047834,0.2687727972821338,DOWN_SMOOTH,UP_SMOOTH,6,0.7163240251869172
1D,vol_accel_w__vwap_w,vol_accel_w,vwap_w,-0.26734963043496623,0.4484642363486414,DOWN_CHOPPY,UP_CHOPPY,6,0.7158138667836076
1h,vol_velocity_w__z_low_w,vol_velocity_w,z_low_w,-0.3575648001974709,0.3581286015144599,DOWN_SMOOTH,UP_SMOOTH,6,0.7156934017119307
4h,price_mean_w__hurst_w,price_mean_w,hurst_w,-0.25552761767897564,0.4600953199717879,DOWN_SMOOTH,UP_SMOOTH,6,0.7156229376507635
4h,price_velocity_1b__price_sigma_w,price_velocity_1b,price_sigma_w,-0.36674836035320474,0.34822844025905997,DOWN_SMOOTH,UP_CHOPPY,6,0.7149768006122648
1D,z_low_w__reversion_prob_w,z_low_w,reversion_prob_w,-0.16034809631490735,0.5531714136650999,FLAT_CHOPPY,DOWN_SMOOTH,6,0.7135195099800072
1D,vol_velocity_w__vol_mean_w,vol_velocity_w,vol_mean_w,-0.32082938886169177,0.3913891428862088,DOWN_CHOPPY,UP_SMOOTH,6,0.7122185317479006
1D,price_accel_1b__vol_accel_1b,price_accel_1b,vol_accel_1b,-0.2968754773967836,0.40772229559976103,DOWN_SMOOTH,DOWN_CHOPPY,6,0.7045977729965447
1D,price_accel_1b__price_sigma_w,price_accel_1b,price_sigma_w,-0.20654716126930409,0.4953817737613229,DOWN_CHOPPY,UP_CHOPPY,6,0.701928935030627
4h,z_low_w__reversion_prob_w,z_low_w,reversion_prob_w,-0.18575105274881437,0.515819870712853,UP_CHOPPY,DOWN_SMOOTH,6,0.7015709234616674
1D,z_high_w__SE_high_w,z_high_w,SE_high_w,-0.36847602146320757,0.3289754047510925,DOWN_SMOOTH,DOWN_CHOPPY,6,0.6974514262143001
1D,vol_velocity_w__SE_high_w,vol_velocity_w,SE_high_w,-0.3724486560861141,0.32481252984698294,FLAT_SMOOTH,UP_CHOPPY,6,0.697261185933097
4h,price_accel_w__swing_noise_w,price_accel_w,swing_noise_w,-0.28948680776042873,0.4075370593671913,DOWN_SMOOTH,UP_SMOOTH,6,0.6970238671276201
1D,vol_velocity_1b__SE_low_w,vol_velocity_1b,SE_low_w,-0.3370044153994228,0.3599900904781889,DOWN_SMOOTH,DOWN_CHOPPY,6,0.6969945058776117
1D,price_sigma_w__hurst_w,price_sigma_w,hurst_w,-0.2413979856576693,0.4554644198610145,DOWN_CHOPPY,DOWN_SMOOTH,6,0.6968624055186838
5s,price_velocity_w__price_sigma_w,price_velocity_w,price_sigma_w,-0.3991180512218796,0.29668947018054215,UP_CHOPPY,UP_SMOOTH,6,0.6958075214024217
4h,price_velocity_1b__price_velocity_w,price_velocity_1b,price_velocity_w,-0.24912682550508927,0.44404444768291274,UP_CHOPPY,DOWN_SMOOTH,6,0.693171273188002
1D,vol_mean_w__reversion_prob_w,vol_mean_w,reversion_prob_w,-0.1827592788935753,0.5099131620170605,UP_CHOPPY,DOWN_CHOPPY,6,0.6926724409106357
5m,price_velocity_w__vol_sigma_w,price_velocity_w,vol_sigma_w,-0.379281458395425,0.3132563541725239,DOWN_SMOOTH,UP_SMOOTH,6,0.6925378125679489
1D,vol_accel_w__SE_low_w,vol_accel_w,SE_low_w,-0.3740594181733769,0.31745543134326226,DOWN_SMOOTH,DOWN_CHOPPY,6,0.6915148495166392
4h,price_velocity_1b__vol_velocity_1b,price_velocity_1b,vol_velocity_1b,-0.38306879634295044,0.30002627581979896,DOWN_SMOOTH,UP_SMOOTH,6,0.6830950721627493
4h,price_velocity_1b__vol_velocity_w,price_velocity_1b,vol_velocity_w,-0.37164722617188944,0.31138433216294426,DOWN_SMOOTH,UP_SMOOTH,6,0.6830315583348336
1D,price_velocity_1b__vol_velocity_w,price_velocity_1b,vol_velocity_w,-0.507447017891754,0.17533914479141338,DOWN_CHOPPY,FLAT_SMOOTH,6,0.6827861626831673
4h,body__vol_accel_w,body,vol_accel_w,-0.3737082395697989,0.3079499795259107,DOWN_SMOOTH,UP_SMOOTH,6,0.6816582190957096
4h,vol_velocity_w__z_se_w,vol_velocity_w,z_se_w,-0.4208130473234858,0.2566254866766552,DOWN_SMOOTH,UP_SMOOTH,6,0.677438534000141
1D,vol_velocity_1b__reversion_prob_w,vol_velocity_1b,reversion_prob_w,-0.43455564688422893,0.24176556392403042,DOWN_SMOOTH,DOWN_CHOPPY,6,0.6763212108082594
4h,price_sigma_w__hurst_w,price_sigma_w,hurst_w,-0.34432313753179017,0.32808115311167985,UP_SMOOTH,DOWN_SMOOTH,6,0.67240429064347
4h,vol_velocity_w__z_low_w,vol_velocity_w,z_low_w,-0.48800390479502354,0.18431946882025538,DOWN_SMOOTH,UP_SMOOTH,6,0.6723233736152789
1D,price_mean_w__hurst_w,price_mean_w,hurst_w,-0.41260946441006247,0.2590818200421987,UP_CHOPPY,FLAT_SMOOTH,6,0.6716912844522611
1D,price_velocity_1b__vol_velocity_1b,price_velocity_1b,vol_velocity_1b,-0.14289883425529534,0.5279102452210621,DOWN_SMOOTH,UP_CHOPPY,6,0.6708090794763575
1h,price_accel_1b__vol_accel_1b,price_accel_1b,vol_accel_1b,-0.3745898987574957,0.2952680173695538,DOWN_SMOOTH,UP_CHOPPY,6,0.6698579161270495
1D,vwap_w__hurst_w,vwap_w,hurst_w,-0.4142305795360929,0.25349198673487977,UP_CHOPPY,FLAT_SMOOTH,6,0.6677225662709727
1D,vol_velocity_1b__vol_velocity_w,vol_velocity_1b,vol_velocity_w,-0.08265168085175019,0.5838203320426125,DOWN_CHOPPY,FLAT_SMOOTH,6,0.6664720128943628
1h,bar_range__z_se_w,bar_range,z_se_w,-0.3820623768261482,0.2829324448195977,DOWN_SMOOTH,UP_SMOOTH,6,0.6649948216457459
4h,vol_velocity_1b__price_accel_w,vol_velocity_1b,price_accel_w,-0.3731609543203072,0.29034484827347407,DOWN_SMOOTH,UP_SMOOTH,6,0.6635058025937812
1D,vol_velocity_1b__body,vol_velocity_1b,body,-0.2107766861972821,0.4521883366594293,DOWN_SMOOTH,UP_CHOPPY,6,0.6629650228567114
1h,vol_velocity_1b__body,vol_velocity_1b,body,-0.4041177118650713,0.2566995751376655,DOWN_SMOOTH,UP_CHOPPY,6,0.6608172870027368
1D,price_accel_w__SE_high_w,price_accel_w,SE_high_w,-0.16928506214791028,0.4912823693349397,DOWN_SMOOTH,FLAT_CHOPPY,6,0.66056743148285
5m,price_velocity_w__vol_mean_w,price_velocity_w,vol_mean_w,-0.3414354522383268,0.31718523120714476,DOWN_SMOOTH,UP_SMOOTH,6,0.6586206834454715
1D,SE_low_w__reversion_prob_w,SE_low_w,reversion_prob_w,-0.0982426042731532,0.5567794868299301,FLAT_CHOPPY,DOWN_CHOPPY,6,0.6550220911030833
1D,z_low_w__SE_low_w,z_low_w,SE_low_w,-0.2674493928703297,0.38756815758916513,DOWN_CHOPPY,UP_SMOOTH,6,0.6550175504594948
5m,price_velocity_1b__bar_range,price_velocity_1b,bar_range,-0.32030142420917024,0.33379300586767263,DOWN_SMOOTH,UP_SMOOTH,6,0.6540944300768429
4h,price_velocity_1b__vol_accel_w,price_velocity_1b,vol_accel_w,-0.34450487862739915,0.30903898079436204,DOWN_SMOOTH,UP_SMOOTH,6,0.6535438594217612
1D,vwap_w__reversion_prob_w,vwap_w,reversion_prob_w,-0.3696314285550812,0.28389726386480246,DOWN_SMOOTH,UP_CHOPPY,6,0.6535286924198837
1D,bar_range__z_low_w,bar_range,z_low_w,-0.5370607552623989,0.11163686357500203,DOWN_SMOOTH,UP_SMOOTH,6,0.648697618837401
1D,price_mean_w__reversion_prob_w,price_mean_w,reversion_prob_w,-0.3728251711162823,0.2739118447465602,DOWN_SMOOTH,UP_CHOPPY,6,0.6467370158628425
1D,price_accel_w__price_sigma_w,price_accel_w,price_sigma_w,-0.15560802510193436,0.4883787713459186,DOWN_SMOOTH,UP_SMOOTH,6,0.643986796447853
4h,body__swing_noise_w,body,swing_noise_w,-0.2870044000203586,0.3564185432378572,DOWN_SMOOTH,UP_CHOPPY,6,0.6434229432582158
4h,body__price_sigma_w,body,price_sigma_w,-0.2885921057163381,0.34765134608373893,DOWN_SMOOTH,UP_CHOPPY,6,0.636243451800077
1D,vol_velocity_1b__z_se_w,vol_velocity_1b,z_se_w,-0.1510693888857076,0.4845930645816792,DOWN_SMOOTH,DOWN_CHOPPY,6,0.6356624534673868
1D,vol_sigma_w__z_low_w,vol_sigma_w,z_low_w,-0.37703457471303303,0.2563538235230799,DOWN_CHOPPY,UP_SMOOTH,6,0.6333883982361129
1D,z_high_w__swing_noise_w,z_high_w,swing_noise_w,-0.18991890024252925,0.44097455303894,DOWN_SMOOTH,UP_SMOOTH,6,0.6308934532814693
4h,price_accel_w__price_sigma_w,price_accel_w,price_sigma_w,-0.29583271208167006,0.3302346860016688,DOWN_SMOOTH,UP_SMOOTH,6,0.6260673980833389
1D,body__SE_high_w,body,SE_high_w,-0.20796373813979574,0.41721005904659286,DOWN_SMOOTH,FLAT_CHOPPY,6,0.6251737971863887
1D,body__price_sigma_w,body,price_sigma_w,-0.35708966293355937,0.2665644463150356,DOWN_CHOPPY,UP_SMOOTH,6,0.623654109248595
4h,body__price_velocity_w,body,price_velocity_w,-0.24774739103609605,0.37527756334159634,UP_CHOPPY,DOWN_SMOOTH,6,0.6230249543776925
