==========================================================================================
PEAK SEQUENCE ANALYSIS — 2026-02-05
Peaks: 40 (from 46 marked across all TFs)
Window: 30 bars before/after peak (1s resolution)
Bar 0 = peak moment
==========================================================================================

--- VELOCITY (n=40) ---
    +25      +0.100      +0.100       3.460
    +26      -0.130      -0.200       4.739
    +27      +0.005      +0.100       2.170
    +28      -0.395      +0.000       2.691
    +29      -0.100      -0.100       3.025
    +30      -0.255      +0.100       2.739

--- VOLUME (n=40) ---
 offset        mean      median         std
    -30     +10.650      +5.000      12.877
    -29      +9.050      +4.000      12.857
    -28      +8.200      +4.500       8.767
    -27      +8.750      +4.000      13.160
    -26      +6.275      +3.000       7.826
    -25      +8.125      +4.000      11.952
    -24      +8.575      +4.000       9.394
    -23      +7.925      +4.000      10.848
    -22     +11.000      +6.500      14.719
    -21     +14.100      +4.000      35.681
    -20     +11.175      +4.500      18.707
    -19      +6.425      +5.000       6.391
    -18      +7.150      +6.000       7.857
    -17      +8.200      +4.000      11.632
    -16     +11.900      +3.500      20.299
    -15      +9.525      +6.000       9.589
    -14      +5.075      +3.000       6.068
    -13     +10.750      +4.000      23.205
    -12      +9.875      +4.000      11.686
    -11      +8.075      +5.000       8.847
    -10     +10.600      +6.000      11.655
     -9      +8.900      +3.500      10.691
     -8      +8.600      +6.000       7.382
     -7      +9.175      +4.500      11.794
     -6      +8.050      +3.000      12.532
     -5      +8.100      +5.000      10.947
     -4     +10.775      +5.500      13.935
     -3      +9.300      +4.500      10.194
     -2      +9.250      +4.000      17.156
     -1     +12.600      +4.500      18.329
     +0     +53.475     +19.000     102.653  <-- PEAK
     +1     +32.050     +14.500      63.051
     +2     +29.675     +12.500      53.716
     +3     +24.075     +10.000      38.412
     +4     +20.650      +7.500      38.221
     +5     +18.725      +5.000      32.292
     +6     +18.425      +8.000      33.779
     +7     +17.350      +6.000      29.154
     +8     +14.875      +5.500      26.718
     +9     +15.300      +7.000      24.489
    +10     +18.575      +6.000      29.343
    +11     +18.650      +7.500      31.046
    +12     +18.175      +7.000      26.444
    +13     +15.375      +6.500      21.335
    +14     +14.000      +5.000      27.939
    +15     +19.825      +3.000      42.693
    +16     +19.175      +6.000      30.579
    +17     +14.975      +4.500      20.807
    +18     +15.275      +5.000      21.954
    +19     +17.200      +5.000      30.791
    +20     +24.850      +5.000      44.011
    +21     +13.200      +4.000      26.367
    +22     +12.800      +6.500      16.910
    +23     +12.250      +5.000      15.790
    +24     +19.550      +4.000      53.310
    +25     +17.775      +8.000      32.857
    +26     +19.275      +4.500      46.981
    +27     +14.375      +4.000      32.715
    +28     +17.000      +7.000      25.794
    +29     +18.350     +10.500      30.827
    +30     +12.250      +4.000      20.478

--- VOL_DELTA (n=40) ---
 offset        mean      median         std
    -30      +0.700      +0.000      16.672
    -29      -2.625      -1.000      15.501
    -28      -1.150      +0.000      11.936
    -27      +5.150      +0.500      14.939
    -26      -0.500      +1.000       9.811
    -25      -0.050      +1.500      14.431
    -24      +2.200      +1.000      11.977
    -23      -1.925      -1.000      13.263
    -22      +3.325      -1.500      17.955
    -21      +8.025      +0.500      37.508
    -20      +4.425      +0.000      19.652
    -19      +1.025      +0.500       8.725
    -18      -0.125      +2.000      10.562
    -17      +2.400      -1.000      14.028
    -16      +3.325      +1.000      23.239
    -15      -0.800      +0.000      12.943
    -14      +1.625      +1.000       7.713
    -13      -6.425      -1.000      24.510
    -12      -2.275      -2.000      15.126
    -11      -0.225      +1.000      11.976
    -10      -3.750      -2.500      15.288
     -9      +1.575      +0.500      13.485
     -8      -1.225      -1.000      10.992
     -7      +4.775      +0.000      13.962
     -6      +0.175      +0.000      14.889
     -5      -3.250      -1.000      13.223
     -4      +1.925      +1.000      17.509
     -3      +1.600      -0.500      13.702
     -2      -4.725      +0.000      18.302
     -1      -3.350      -2.500      21.988
     +0     -26.825      -2.000     112.595  <-- PEAK
     +1      +9.275      -2.000      70.118
     +2      +7.800      +4.000      60.868
     +3      +1.025      -1.000      45.297
     +4      +1.075      +2.500      43.394
     +5      -9.150      +0.500      36.188
     +6      +0.900      -2.000      20.136
     +7      +4.125      +1.000      33.671
     +8      +7.075      +1.000      29.072
     +9      -6.225      +1.500      28.106
    +10      +7.975      +0.500      33.766
    +11      +2.500      +1.000      36.130
    +12      -1.775      +1.000      32.035
    +13      +0.150      -1.000      24.538
    +14      -5.200      +0.000      30.236
    +15      +2.225      +0.000      46.982
    +16      -4.250      -2.000      35.843
    +17      -3.625      -1.500      25.378
    +18      -3.450      +1.000      23.879
    +19      +5.175      -1.000      34.885
    +20      +2.800      +1.000      50.464
    +21      -6.225      -1.000      28.817
    +22      -0.600      +2.500      21.181
    +23      -4.150      -1.500      19.144
    +24     -10.825      +1.000      55.738
    +25      -3.575      +1.500      37.160
    +26     -12.175      +0.500      48.807
    +27      -5.350      +1.000      35.331
    +28      -0.800      -1.000      30.868
    +29      -5.925      -0.500      35.382
    +30      -0.925      +2.000      23.821

--- VOL_RATIO (n=40) ---
 offset        mean      median         std
    -30      +1.204      +0.875       1.250
    -29      +0.828      +0.652       0.758
    -28      +0.967      +0.724       0.912
    -27      +0.792      +0.628       0.540
    -26      +0.641      +0.437       0.479
    -25      +0.934      +0.759       0.984
    -24      +1.120      +0.620       1.606
    -23      +1.170      +0.711       2.596
    -22      +1.271      +0.804       1.040
    -21      +2.138      +0.626       8.621
    -20      +1.046      +0.841       0.984
    -19      +0.930      +0.508       1.612
    -18      +0.935      +0.677       1.089
    -17      +1.053      +0.622       1.970
    -16      +1.045      +0.547       1.262
    -15      +1.231      +0.796       1.388
    -14      +0.553      +0.405       0.403
    -13      +1.674      +0.463       4.409
    -12      +1.117      +0.776       1.166
    -11      +0.964      +0.747       0.960
    -10      +1.154      +0.841       0.961
     -9      +0.905      +0.679       0.940
     -8      +1.225      +0.876       1.549
     -7      +0.897      +0.664       0.773
     -6      +0.818      +0.446       0.836
     -5      +0.806      +0.650       0.653
     -4      +1.472      +0.811       2.523
     -3      +1.189      +0.710       1.588
     -2      +0.807      +0.515       0.708
     -1      +1.213      +0.768       1.200
     +0      +4.334      +2.504       5.419  <-- PEAK
     +1      +2.536      +1.523       2.646
     +2      +2.139      +1.372       1.863
     +3      +1.813      +1.449       1.889
     +4      +1.296      +1.025       1.114
     +5      +1.102      +0.914       0.916
     +6      +1.655      +0.786       2.122
     +7      +1.090      +0.745       0.837
     +8      +0.988      +0.827       0.894
     +9      +1.249      +0.946       1.065
    +10      +1.427      +1.022       1.858
    +11      +1.342      +0.895       1.358
    +12      +1.400      +0.747       1.471
    +13      +1.185      +0.902       1.189
    +14      +0.871      +0.677       0.637
    +15      +1.101      +0.544       1.556
    +16      +1.329      +0.695       1.646
    +17      +0.970      +0.679       0.850
    +18      +1.218      +0.623       1.907
    +19      +1.430      +0.590       2.465
    +20      +2.336      +0.754       5.451
    +21      +0.877      +0.502       0.935
    +22      +1.010      +0.814       0.874
    +23      +1.019      +0.659       1.168
    +24      +1.183      +0.667       1.552
    +25      +1.179      +0.698       1.315
    +26      +1.027      +0.600       1.398
    +27      +0.725      +0.522       0.530
    +28      +1.219      +0.658       1.430
    +29      +1.532      +0.916       2.177
    +30      +0.737      +0.659       0.364

--- STD_PRICE (n=40) ---
 offset        mean      median         std
    -30      +7.596      +7.144       2.675
    -29      +7.790      +7.140       2.951
    -28      +7.849      +6.917       3.135
    -27      +7.722      +7.016       2.967
    -26      +7.668      +7.106       2.781
    -25      +7.747      +7.048       2.838
    -24      +7.618      +6.716       2.802
    -23      +7.597      +6.592       2.952
    -22      +7.563      +6.854       2.880
    -21      +7.479      +6.716       2.878
    -20      +7.646      +6.571       3.242
    -19      +7.552      +6.593       3.227
    -18      +7.558      +6.685       3.168
    -17      +7.468      +6.564       3.117
    -16      +7.513      +6.612       3.093
    -15      +7.441      +6.496       3.135
    -14      +7.455      +6.587       3.136
    -13      +7.467      +6.524       3.206
    -12      +7.743      +6.539       3.508
    -11      +7.620      +6.517       3.333
    -10      +7.670      +6.611       3.298
     -9      +7.534      +6.843       3.091
     -8      +7.407      +6.951       3.000
     -7      +7.404      +6.946       3.089
     -6      +7.457      +6.873       3.074
     -5      +7.488      +6.820       3.205
     -4      +7.398      +6.693       3.158
     -3      +7.401      +6.789       3.050
     -2      +7.461      +6.836       3.047
     -1      +7.382      +6.807       3.174
     +0      +7.241      +7.008       2.799  <-- PEAK
     +1      +8.077      +7.810       3.036
     +2      +8.338      +7.929       3.225
     +3      +8.613      +8.161       3.432
     +4      +9.153      +8.471       4.461
     +5      +9.780      +8.990       4.853
     +6      +9.882      +9.025       4.970
     +7     +10.141      +9.142       4.995
     +8      +9.997      +9.103       4.893
     +9      +9.967      +9.033       4.970
    +10     +10.050      +8.790       5.074
    +11     +10.062      +9.261       5.066
    +12     +10.325      +9.255       5.132
    +13     +10.453      +9.425       5.146
    +14     +10.510      +9.441       5.200
    +15     +10.518      +9.512       5.228
    +16     +10.601      +9.442       5.218
    +17     +10.737      +9.300       5.226
    +18     +10.693      +9.285       5.193
    +19     +10.818      +9.659       5.185
    +20     +10.810      +9.668       5.187
    +21     +10.547      +8.835       5.029
    +22     +10.448      +8.869       5.003
    +23     +10.224      +8.538       4.924
    +24      +9.698      +8.589       4.121
    +25      +9.382      +8.218       3.918
    +26      +9.559      +8.572       4.168
    +27      +9.298      +7.629       4.130
    +28      +9.232      +7.638       3.909
    +29      +9.454      +8.227       3.924
    +30      +9.571      +8.655       3.866

--- BAR_RANGE (n=40) ---
 offset        mean      median         std
    -30      +7.275      +4.000       9.222
    -29      +5.500      +3.000       7.880
    -28      +4.925      +4.000       4.327
    -27      +4.900      +4.000       5.665
    -26      +5.050      +5.500       5.249
    -25      +4.650      +3.000       5.561
    -24      +5.975      +2.000       7.679
    -23      +4.100      +2.000       5.495
    -22      +5.500      +5.000       4.817
    -21      +5.700      +2.000      10.359
    -20      +4.800      +3.500       5.631
    -19      +4.675      +3.000       5.596
    -18      +5.450      +3.500       6.004
    -17      +5.700      +4.000       7.610
    -16      +4.050      +1.000       5.727
    -15      +5.575      +3.500       6.652
    -14      +3.150      +1.500       3.921
    -13      +6.300      +2.000      12.855
    -12      +5.425      +3.500       5.234
    -11      +6.050      +4.000       7.096
    -10      +5.950      +4.500       5.491
     -9      +4.625      +3.000       5.544
     -8      +5.875      +5.000       5.144
     -7      +4.850      +3.000       5.588
     -6      +5.475      +2.500       9.547
     -5      +4.700      +3.500       4.479
     -4      +6.025      +5.000       5.846
     -3      +5.900      +5.500       5.567
     -2      +4.550      +3.000       7.921
     -1      +6.550      +3.500       7.674
     +0     +22.950     +12.000      26.646  <-- PEAK
     +1     +15.150      +8.500      15.036
     +2     +14.525     +10.500      19.074
     +3     +13.625      +9.000      18.924
     +4     +11.625      +7.000      15.096
     +5     +10.200      +5.000      13.223
     +6     +10.225      +8.000       9.845
     +7      +9.275      +6.500      10.740
     +8      +8.775      +5.500      10.976
     +9      +9.250      +6.000       9.523
    +10      +8.300      +5.500       8.198
    +11      +9.950      +7.000       9.646
    +12      +9.300      +6.000       9.255
    +13      +8.075      +5.500       8.481
    +14      +7.750      +5.500       9.772
    +15      +7.675      +4.000       9.408
    +16      +9.275      +5.500      11.265
    +17      +6.900      +4.500       7.245
    +18      +5.925      +3.000       6.505
    +19      +8.100      +6.000       9.192
    +20     +10.500      +7.000      13.105
    +21      +7.175      +3.500       9.022
    +22      +9.425      +5.000       9.985
    +23      +7.200      +5.000       8.756
    +24      +7.550      +5.500       8.894
    +25      +9.550      +6.500      12.671
    +26      +8.100      +5.500      10.552
    +27      +7.125      +4.500       8.838
    +28      +8.400      +5.500       8.348
    +29      +8.775      +6.500       9.858
    +30      +6.150      +3.500       7.568

--- WICK_RATIO (n=40) ---
 offset        mean      median         std
    -30      +0.197      +0.000       0.270
    -29      +0.197      +0.000       0.331
    -28      +0.206      +0.000       0.274
    -27      +0.268      +0.000       0.365
    -26      +0.181      +0.000       0.305
    -25      +0.165      +0.000       0.273
    -24      +0.219      +0.000       0.332
    -23      +0.154      +0.000       0.284
    -22      +0.166      +0.000       0.274
    -21      +0.127      +0.000       0.232
    -20      +0.231      +0.000       0.332
    -19      +0.283      +0.155       0.347
    -18      +0.180      +0.000       0.308
    -17      +0.165      +0.000       0.254
    -16      +0.191      +0.000       0.318
    -15      +0.196      +0.000       0.284
    -14      +0.175      +0.000       0.292
    -13      +0.173      +0.000       0.288
    -12      +0.292      +0.000       0.366
    -11      +0.235      +0.000       0.319
    -10      +0.207      +0.000       0.318
     -9      +0.258      +0.000       0.367
     -8      +0.266      +0.042       0.324
     -7      +0.202      +0.000       0.338
     -6      +0.140      +0.000       0.270
     -5      +0.166      +0.000       0.267
     -4      +0.255      +0.162       0.270
     -3      +0.155      +0.000       0.211
     -2      +0.260      +0.196       0.310
     -1      +0.260      +0.067       0.312
     +0      +0.321      +0.182       0.315  <-- PEAK
     +1      +0.423      +0.397       0.365
     +2      +0.259      +0.137       0.314
     +3      +0.248      +0.106       0.325
     +4      +0.222      +0.100       0.294
     +5      +0.270      +0.043       0.320
     +6      +0.233      +0.000       0.323
     +7      +0.280      +0.284       0.271
     +8      +0.295      +0.167       0.331
     +9      +0.265      +0.134       0.311
    +10      +0.349      +0.185       0.385
    +11      +0.206      +0.000       0.290
    +12      +0.220      +0.000       0.301
    +13      +0.241      +0.000       0.331
    +14      +0.228      +0.000       0.317
    +15      +0.214      +0.000       0.300
    +16      +0.144      +0.000       0.231
    +17      +0.257      +0.000       0.339
    +18      +0.267      +0.000       0.343
    +19      +0.188      +0.000       0.298
    +20      +0.235      +0.000       0.322
    +21      +0.132      +0.000       0.239
    +22      +0.222      +0.000       0.311
    +23      +0.194      +0.017       0.272
    +24      +0.277      +0.000       0.365
    +25      +0.136      +0.000       0.240
    +26      +0.255      +0.000       0.345
    +27      +0.191      +0.000       0.286
    +28      +0.203      +0.000       0.245
    +29      +0.276      +0.000       0.345
    +30      +0.227      +0.023       0.282

--- DP (n=40) ---
 offset        mean      median         std
    -30      +0.125      +0.000      10.921
    -29      -0.900      -1.000       9.473
    -28      -0.800      +0.000       5.555
    -27      +0.500      +0.500       6.229
    -26      +0.875      +1.500       7.281
    -25      +1.450      +1.500       7.513
    -24      +1.925      +1.000       7.989
    -23      -1.475      -1.000       6.641
    -22      -1.750      -2.000       6.670
    -21      +2.325      +0.500      12.764
    -20      +0.200      +0.000       5.510
    -19      +0.650      +0.500       7.478
    -18      +0.150      +2.000       7.942
    -17      -0.975      -1.000       8.545
    -16      +0.500      +2.000       5.886
    -15      +0.550      +0.000       7.176
    -14      +0.500      +1.000       7.138
    -13      -3.625      -2.000      12.585
    -12      -1.150      -2.000       6.590
    -11      +1.575      +2.000       8.464
    -10      -1.400      -2.000       6.981
     -9      +0.325      +0.500       6.850
     -8      -1.525      -1.000       6.693
     -7      +2.325      +0.000       6.944
     -6      +0.175      +0.000       8.899
     -5      -1.050      -2.000       5.536
     -4      +1.625      +1.000       7.549
     -3      +0.900      -0.500       7.965
     -2      -1.050      +0.000       6.197
     -1      -2.350      -2.500       9.251
     +0      -1.850      -4.000      17.955  <-- PEAK
     +1      -0.425      -4.000      12.163
     +2      +3.300      +3.000      13.486
     +3      -2.825      -3.000      20.098
     +4      +3.850      +3.000      17.182
     +5      -0.250      +0.500      10.899
     +6      -2.225      -3.000      12.144
     +7      +1.725      +1.500       9.670
     +8      +0.600      +1.000       7.046
     +9      +1.100      +1.000      10.956
    +10      +1.300      +1.000       7.982
    +11      -1.750      +1.000      12.814
    +12      -0.025      +1.000      10.878
    +13      -0.625      -1.000       9.115
    +14      -1.225      +0.000      10.776
    +15      +0.550      +0.000       7.287
    +16      -2.775      -4.500      10.942
    +17      -1.825      -2.000       6.902
    +18      +2.200      +2.000       8.168
    +19      -0.575      -1.000       9.823
    +20      +3.275      +4.000      13.874
    +21      -1.925      -1.000      10.076
    +22      +1.900      +3.000      10.276
    +23      -2.025      -2.000       9.358
    +24      -0.075      +1.500      10.999
    +25      +2.625      +2.000      13.700
    +26      -1.900      +0.500       8.351
    +27      -0.075      +2.000       7.281
    +28      -2.525      -2.000      11.018
    +29      -1.350      -0.500      11.164
    +30      +1.000      +1.500       7.839

==========================================================================================
SUMMARY: BEFORE vs AT vs AFTER peak (mean values)
==========================================================================================
Feature         Before(-30:-10)  Approach(-10:-1)   AT PEAK(0)   After(+1:+10)   After(+10:+30)
------------------------------------------------------------------------------------------
velocity                 +0.051            -0.103       -0.385          -0.031           -0.117
volume                   +9.040            +9.535      +53.475         +20.970          +16.716
vol_delta                +0.805            -0.625      -26.825          +2.387           -2.800
vol_ratio                +1.081            +1.049       +4.334          +1.530           +1.185
std_price                +7.605            +7.460       +7.241          +9.400          +10.147
bar_range                +5.237            +5.450      +22.950         +11.095           +8.145
dp                       +0.033            -0.202       -1.850          +0.615           -0.356
